<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPATU.US,5,20260520,213500,10.92,10.99,10.92,10.99,379,0
GPATU.US,5,20260521,215000,11.39,11.39,11.39,11.39,100,0
GPATU.US,5,20260522,160000,11.59,11.69,11.59,11.69,300,0
GPATU.US,5,20260522,164500,11.69,11.69,11.69,11.69,200,0
GPATU.US,5,20260526,205000,11.49,11.49,11.49,11.49,200,0
GPATU.US,5,20260527,162000,11.1,11.1,11.1,11.1,100,0
GPATU.US,5,20260601,170500,10.91,10.91,10.86,10.86,705,0
GPATU.US,5,20260601,201000,10.88,10.88,10.88,10.88,254,0
GPATU.US,5,20260602,184500,11.49,11.9,11.42,11.42,1400,0
GPATU.US,5,20260608,154500,10.91,10.91,10.91,10.91,100,0
GPATU.US,5,20260608,172000,10.88,10.92,10.88,10.92,200,0
GPATU.US,5,20260608,185500,10.92,10.92,10.88,10.88,420,0
GPATU.US,5,20260608,203500,10.88,10.88,10.88,10.88,100,0
GPATU.US,5,20260612,193000,11.09,11.09,11.09,11.09,100,0
GPATU.US,5,20260615,193000,10.89,10.89,10.88,10.88,302,0
GPATU.US,5,20260615,211500,10.88,10.88,10.88,10.88,801,0
GPATU.US,5,20260615,215500,10.88,10.88,10.88,10.88,100,0
