<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTEC.US,5,20260126,153000,1.28,1.3,1.25,1.28,74708,0
GTEC.US,5,20260126,153500,1.275,1.285,1.25,1.27,17682,0
GTEC.US,5,20260126,154000,1.24,1.24,1.2001,1.21,14053,0
GTEC.US,5,20260126,154500,1.21,1.21,1.2025,1.2025,550,0
GTEC.US,5,20260126,155000,1.21,1.21,1.19,1.2,6163,0
GTEC.US,5,20260126,155500,1.205,1.205,1.19,1.195,12337,0
GTEC.US,5,20260126,160000,1.19,1.2,1.185,1.1915,18910,0
GTEC.US,5,20260126,160500,1.205,1.22,1.205,1.215,2810,0
GTEC.US,5,20260126,161000,1.2066,1.22,1.2,1.2,30814,0
GTEC.US,5,20260126,161500,1.205,1.21,1.205,1.205,10375,0
GTEC.US,5,20260126,162000,1.21,1.2522,1.21,1.2522,13009,0
GTEC.US,5,20260126,162500,1.265,1.35,1.265,1.35,149623,0
GTEC.US,5,20260126,163000,1.36,1.36,1.325,1.325,9686,0
GTEC.US,5,20260126,163500,1.34,1.34,1.3,1.305,34855,0
GTEC.US,5,20260126,164000,1.3,1.305,1.275,1.275,4577,0
GTEC.US,5,20260126,164500,1.28,1.2998,1.28,1.2998,4396,0
GTEC.US,5,20260126,165000,1.285,1.29,1.28,1.29,1601,0
GTEC.US,5,20260126,165500,1.29,1.33,1.29,1.31,21763,0
GTEC.US,5,20260126,170000,1.3,1.3,1.27,1.29,35277,0
GTEC.US,5,20260126,170500,1.295,1.31,1.295,1.31,2062,0
GTEC.US,5,20260126,171000,1.3,1.3,1.2811,1.29,18065,0
GTEC.US,5,20260126,171500,1.29,1.295,1.29,1.29,3410,0
GTEC.US,5,20260126,172000,1.29,1.29,1.29,1.29,579,0
GTEC.US,5,20260126,172500,1.2822,1.2822,1.2822,1.2822,900,0
GTEC.US,5,20260126,173000,1.28,1.3,1.28,1.29,700,0
GTEC.US,5,20260126,173500,1.2813,1.29,1.2813,1.29,6232,0
GTEC.US,5,20260126,174000,1.283,1.283,1.27,1.27,5946,0
GTEC.US,5,20260126,174500,1.2699,1.28,1.2699,1.28,5600,0
GTEC.US,5,20260126,175000,1.28,1.28,1.2726,1.2726,1396,0
GTEC.US,5,20260126,175500,1.28,1.28,1.28,1.28,1135,0
GTEC.US,5,20260126,180000,1.28,1.29,1.2726,1.2726,5412,0
GTEC.US,5,20260126,180500,1.275,1.275,1.26,1.26,3750,0
GTEC.US,5,20260126,181000,1.26,1.26,1.2501,1.255,6452,0
GTEC.US,5,20260126,181500,1.26,1.27,1.2513,1.26,3095,0
GTEC.US,5,20260126,182000,1.26,1.27,1.25,1.27,3250,0
GTEC.US,5,20260126,182500,1.2642,1.28,1.2642,1.27,7096,0
GTEC.US,5,20260126,183000,1.28,1.3,1.28,1.3,400,0
GTEC.US,5,20260126,183500,1.285,1.3,1.285,1.3,500,0
GTEC.US,5,20260126,184000,1.29,1.29,1.29,1.29,100,0
GTEC.US,5,20260126,184500,1.29,1.29,1.27,1.27,18072,0
GTEC.US,5,20260126,185500,1.27,1.2838,1.27,1.2838,365,0
GTEC.US,5,20260126,190000,1.28,1.29,1.28,1.29,1057,0
GTEC.US,5,20260126,190500,1.29,1.3,1.29,1.29,8949,0
GTEC.US,5,20260126,191000,1.29,1.29,1.2801,1.2801,2036,0
GTEC.US,5,20260126,192000,1.29,1.31,1.2801,1.31,3878,0
GTEC.US,5,20260126,192500,1.305,1.305,1.2801,1.2801,2069,0
GTEC.US,5,20260126,193000,1.28,1.29,1.28,1.29,22961,0
GTEC.US,5,20260126,193500,1.2954,1.2954,1.2954,1.2954,200,0
GTEC.US,5,20260126,194000,1.295,1.33,1.295,1.32,6980,0
GTEC.US,5,20260126,194500,1.31,1.31,1.31,1.31,300,0
GTEC.US,5,20260126,195000,1.32,1.32,1.3199,1.32,8073,0
GTEC.US,5,20260126,195500,1.32,1.325,1.31,1.31,9145,0
GTEC.US,5,20260126,200000,1.31,1.31,1.299,1.31,7068,0
GTEC.US,5,20260126,200500,1.31,1.32,1.31,1.32,957,0
GTEC.US,5,20260126,201000,1.32,1.32,1.3101,1.3101,4070,0
