<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTOP.US,5,20260126,153000,39.8,39.8,39.8,39.8,484,0
GTOP.US,5,20260126,155500,39.8301,39.895,39.83,39.895,412,0
GTOP.US,5,20260126,160000,39.825,39.825,39.825,39.825,119,0
GTOP.US,5,20260126,160500,39.83,39.83,39.83,39.83,100,0
GTOP.US,5,20260126,161500,39.95,39.95,39.95,39.95,100,0
GTOP.US,5,20260126,162500,39.98,39.98,39.98,39.98,958,0
GTOP.US,5,20260126,165000,40.045,40.045,40.045,40.045,300,0
GTOP.US,5,20260126,165500,39.995,39.995,39.995,39.995,100,0
GTOP.US,5,20260126,173000,40.045,40.045,40.045,40.045,600,0
GTOP.US,5,20260126,182000,40.09,40.09,40.09,40.09,100,0
GTOP.US,5,20260126,185500,40.025,40.025,40.025,40.025,100,0
GTOP.US,5,20260126,203500,40.0957,40.0957,40.0957,40.0957,245,0
GTOP.US,5,20260126,205000,40.04,40.04,40.04,40.04,860,0
GTOP.US,5,20260126,214000,40.03,40.03,40.03,40.03,199,0
GTOP.US,5,20260127,153000,40.33,40.33,40.33,40.33,470,0
GTOP.US,5,20260127,153500,40.285,40.285,40.285,40.285,180,0
GTOP.US,5,20260127,154500,40.2011,40.2011,40.2011,40.2011,458,0
GTOP.US,5,20260127,155000,40.28,40.28,40.28,40.28,100,0
GTOP.US,5,20260127,162000,40.4211,40.4211,40.4211,40.4211,235,0
GTOP.US,5,20260127,165500,40.44,40.49,40.44,40.49,780,0
GTOP.US,5,20260127,170500,40.46,40.46,40.46,40.46,100,0
GTOP.US,5,20260127,171000,40.48,40.53,40.48,40.505,1111,0
GTOP.US,5,20260127,175000,40.45,40.45,40.45,40.45,100,0
GTOP.US,5,20260127,180500,40.44,40.5,40.44,40.5,2138,0
GTOP.US,5,20260127,181000,40.43,40.43,40.43,40.43,2025,0
GTOP.US,5,20260127,181500,40.3701,40.3967,40.37,40.3967,4782,0
GTOP.US,5,20260127,182500,40.33,40.3805,40.33,40.3805,622,0
GTOP.US,5,20260127,183000,40.43,40.43,40.361,40.43,3463,0
GTOP.US,5,20260127,183500,40.375,40.375,40.375,40.375,197,0
GTOP.US,5,20260127,184000,40.33,40.33,40.33,40.33,100,0
GTOP.US,5,20260127,191000,40.4,40.41,40.33,40.33,1232,0
GTOP.US,5,20260127,195000,40.32,40.32,40.32,40.32,100,0
GTOP.US,5,20260127,204000,40.355,40.41,40.355,40.41,2743,0
GTOP.US,5,20260127,204500,40.36,40.36,40.36,40.36,297,0
GTOP.US,5,20260127,205000,40.35,40.4348,40.35,40.4348,870,0
GTOP.US,5,20260127,205500,40.37,40.37,40.37,40.37,100,0
GTOP.US,5,20260127,212500,40.32,40.33,40.32,40.32,411,0
GTOP.US,5,20260127,213000,40.33,40.33,40.33,40.33,100,0
GTOP.US,5,20260128,153000,40.69,40.69,40.49,40.5,1200,0
GTOP.US,5,20260128,154000,40.6,40.645,40.6,40.645,500,0
GTOP.US,5,20260128,154500,40.74,40.74,40.74,40.74,100,0
GTOP.US,5,20260128,162500,40.645,40.645,40.645,40.645,103,0
GTOP.US,5,20260128,164000,40.52,40.52,40.52,40.52,100,0
GTOP.US,5,20260128,164500,40.5049,40.5049,40.5049,40.5049,123,0
GTOP.US,5,20260128,165500,40.56,40.56,40.465,40.465,1454,0
GTOP.US,5,20260128,170500,40.4656,40.4656,40.4656,40.4656,268,0
GTOP.US,5,20260128,171500,40.4,40.4,40.4,40.4,100,0
