<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTOQ.US,5,20260126,160000,22.7,22.7,22.7,22.7,4800,0
GTOQ.US,5,20260126,165000,22.6955,22.7,22.6955,22.7,491,0
GTOQ.US,5,20260126,165500,22.69,22.69,22.69,22.69,100,0
GTOQ.US,5,20260126,170000,22.6754,22.6754,22.6754,22.6754,515,0
GTOQ.US,5,20260126,174000,22.67,22.67,22.67,22.67,100,0
GTOQ.US,5,20260126,181500,22.6798,22.6798,22.6798,22.6798,151,0
GTOQ.US,5,20260126,182000,22.69,22.69,22.69,22.69,100,0
GTOQ.US,5,20260126,213000,22.69,22.69,22.69,22.69,3471,0
GTOQ.US,5,20260126,214000,22.69,22.72,22.69,22.72,1256,0
GTOQ.US,5,20260127,161500,22.71,22.71,22.71,22.71,55500,0
GTOQ.US,5,20260127,162000,22.71,22.72,22.71,22.72,400,0
GTOQ.US,5,20260127,165500,22.72,22.73,22.7199,22.725,600,0
GTOQ.US,5,20260127,183000,22.72,22.72,22.71,22.71,5200,0
GTOQ.US,5,20260127,190000,22.705,22.705,22.705,22.705,100,0
GTOQ.US,5,20260127,194500,22.705,22.705,22.705,22.705,955,0
GTOQ.US,5,20260128,161500,22.679,22.679,22.679,22.679,475,0
GTOQ.US,5,20260128,175000,22.68,22.68,22.68,22.68,4800,0
GTOQ.US,5,20260128,182000,22.67851,22.67851,22.67851,22.67851,116,0
GTOQ.US,5,20260128,193500,22.69,22.69,22.69,22.69,100,0
GTOQ.US,5,20260129,153500,22.65,22.67,22.65,22.67,3745,0
GTOQ.US,5,20260129,194500,22.66,22.66,22.66,22.66,4800,0
GTOQ.US,5,20260129,195000,22.655,22.655,22.655,22.655,100,0
GTOQ.US,5,20260130,153000,22.65,22.65,22.649,22.65,300,0
GTOQ.US,5,20260130,155500,22.63,22.63,22.6299,22.6299,200,0
GTOQ.US,5,20260130,165000,22.65,22.67,22.65,22.669,5700,0
GTOQ.US,5,20260130,165500,22.645,22.645,22.645,22.645,100,0
GTOQ.US,5,20260130,170500,22.645,22.645,22.645,22.645,100,0
GTOQ.US,5,20260130,171500,22.645,22.645,22.645,22.645,100,0
GTOQ.US,5,20260130,172500,22.649,22.649,22.649,22.649,100,0
GTOQ.US,5,20260130,174000,22.65,22.65,22.65,22.65,100,0
GTOQ.US,5,20260130,175000,22.649,22.649,22.649,22.649,100,0
GTOQ.US,5,20260130,180000,22.65,22.65,22.649,22.649,200,0
GTOQ.US,5,20260130,181000,22.649,22.649,22.649,22.649,100,0
GTOQ.US,5,20260130,182500,22.65,22.65,22.65,22.65,100,0
GTOQ.US,5,20260130,184000,22.65,22.65,22.65,22.65,100,0
GTOQ.US,5,20260130,200500,22.69,22.69,22.69,22.69,100,0
GTOQ.US,5,20260130,204000,22.6845,22.6845,22.6845,22.6845,190,0
GTOQ.US,5,20260130,212000,22.69,22.69,22.685,22.69,758,0
GTOQ.US,5,20260202,160000,22.67,22.67,22.67,22.67,100,0
GTOQ.US,5,20260202,163000,22.67,22.68,22.67,22.68,50855,0
GTOQ.US,5,20260202,163500,22.68,22.72,22.68,22.71,22157,0
GTOQ.US,5,20260202,164000,22.7,22.7,22.7,22.7,100,0
GTOQ.US,5,20260202,173000,22.67,22.67,22.67,22.67,5000,0
GTOQ.US,5,20260202,174000,22.67,22.67,22.67,22.67,2348,0
GTOQ.US,5,20260202,174500,22.68,22.7,22.6799,22.7,4077,0
GTOQ.US,5,20260202,183500,22.69,22.69,22.69,22.69,7180,0
GTOQ.US,5,20260202,185000,22.685,22.6998,22.685,22.6998,7199,0
GTOQ.US,5,20260202,190000,22.695,22.72,22.695,22.705,2644,0
GTOQ.US,5,20260202,191000,22.7,22.7,22.7,22.7,199,0
GTOQ.US,5,20260202,191500,22.705,22.74,22.705,22.71,25709,0
GTOQ.US,5,20260202,192500,22.7,22.8,22.7,22.727,36184,0
GTOQ.US,5,20260202,193000,22.7067,22.7067,22.7067,22.7067,125,0
GTOQ.US,5,20260202,193500,22.71,22.71,22.71,22.71,100,0
GTOQ.US,5,20260202,194000,22.71,22.74,22.71,22.715,35658,0
GTOQ.US,5,20260202,194500,22.715,22.715,22.715,22.715,500,0
GTOQ.US,5,20260202,201000,22.71,22.71,22.71,22.71,600,0
GTOQ.US,5,20260202,202000,22.715,22.715,22.715,22.715,2100,0
GTOQ.US,5,20260202,203000,22.72,22.73,22.72,22.72,902,0
GTOQ.US,5,20260202,203500,22.715,22.715,22.715,22.715,400,0
GTOQ.US,5,20260202,204000,22.72,22.72,22.72,22.72,100,0
GTOQ.US,5,20260202,210000,22.71,22.71,22.71,22.71,100,0
GTOQ.US,5,20260202,213500,22.7,22.7,22.7,22.7,1108,0
GTOQ.US,5,20260203,153000,22.69,22.69,22.69,22.69,100,0
GTOQ.US,5,20260203,153500,22.66,22.72,22.65,22.68,9400,0
GTOQ.US,5,20260203,160000,22.675,22.675,22.675,22.675,196,0
GTOQ.US,5,20260203,161500,22.68,22.68,22.68,22.68,200,0
GTOQ.US,5,20260203,163000,22.69,22.695,22.69,22.695,1344,0
GTOQ.US,5,20260203,164500,22.695,22.695,22.695,22.695,1017,0
