<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HCSG.US,5,20260126,153000,18.88,18.96,18.81,18.81,5044,0
HCSG.US,5,20260126,153500,18.81,18.81,18.81,18.81,300,0
HCSG.US,5,20260126,154000,18.86,18.86,18.81,18.81,200,0
HCSG.US,5,20260126,154500,18.85,18.955,18.81,18.82,1833,0
HCSG.US,5,20260126,155000,18.955,18.98,18.89,18.98,1645,0
HCSG.US,5,20260126,160000,18.9,18.98,18.9,18.9,1662,0
HCSG.US,5,20260126,160500,18.94,18.985,18.91,18.985,2719,0
HCSG.US,5,20260126,161000,18.975,18.98,18.91,18.98,1955,0
HCSG.US,5,20260126,161500,18.98,19.09,18.91,19.01,9700,0
HCSG.US,5,20260126,162000,18.99,18.99,18.98,18.99,501,0
HCSG.US,5,20260126,162500,18.98,19.03,18.93,18.93,1401,0
HCSG.US,5,20260126,163000,18.94,18.985,18.94,18.98,804,0
HCSG.US,5,20260126,163500,18.99,18.99,18.99,18.99,400,0
HCSG.US,5,20260126,164000,18.98,18.98,18.94,18.94,720,0
HCSG.US,5,20260126,164500,18.95,18.95,18.9,18.9,994,0
HCSG.US,5,20260126,165000,18.895,18.895,18.895,18.895,350,0
HCSG.US,5,20260126,165500,18.875,18.89,18.87,18.89,800,0
HCSG.US,5,20260126,170000,18.87,18.9169,18.87,18.89,1373,0
HCSG.US,5,20260126,170500,18.89,18.89,18.89,18.89,200,0
HCSG.US,5,20260126,171000,18.89,18.89,18.86,18.86,1200,0
HCSG.US,5,20260126,171500,18.86,18.87,18.86,18.86,400,0
HCSG.US,5,20260126,172000,18.865,18.865,18.865,18.865,498,0
HCSG.US,5,20260126,172500,18.86,18.91,18.86,18.9,2229,0
HCSG.US,5,20260126,173000,18.91,18.92,18.89,18.89,2329,0
HCSG.US,5,20260126,173500,18.88,18.88,18.87,18.87,1440,0
HCSG.US,5,20260126,174000,18.87,18.88,18.83,18.83,2494,0
HCSG.US,5,20260126,174500,18.85,18.85,18.85,18.85,100,0
HCSG.US,5,20260126,175000,18.875,18.875,18.86,18.87,919,0
HCSG.US,5,20260126,175500,18.86,18.895,18.86,18.8784,3213,0
HCSG.US,5,20260126,180000,18.89,18.89,18.88,18.89,360,0
HCSG.US,5,20260126,180500,18.895,18.925,18.89,18.92,5418,0
HCSG.US,5,20260126,181000,18.94,18.94,18.92,18.92,1298,0
HCSG.US,5,20260126,181500,18.93,18.94,18.93,18.93,1186,0
HCSG.US,5,20260126,182000,18.93,18.93,18.93,18.93,1156,0
HCSG.US,5,20260126,182500,18.92,18.95,18.91,18.95,1900,0
HCSG.US,5,20260126,183000,18.97,18.97,18.96,18.97,600,0
HCSG.US,5,20260126,183500,18.98,18.98,18.97,18.97,1210,0
HCSG.US,5,20260126,184000,18.97,19.03,18.97,19,6227,0
HCSG.US,5,20260126,184500,19,19,18.96,18.97,1669,0
HCSG.US,5,20260126,185000,18.96,18.98,18.96,18.98,1010,0
HCSG.US,5,20260126,185500,18.98,18.99,18.98,18.98,519,0
HCSG.US,5,20260126,190000,18.99,18.99,18.99,18.99,482,0
HCSG.US,5,20260126,190500,18.99,18.99,18.99,18.99,918,0
HCSG.US,5,20260126,191000,18.99,18.99,18.99,18.99,887,0
HCSG.US,5,20260126,191500,18.99,19.035,18.99,19.035,1528,0
HCSG.US,5,20260126,192500,19.05,19.05,19.05,19.05,100,0
HCSG.US,5,20260126,193000,19.045,19.045,18.99,19,3459,0
HCSG.US,5,20260126,193500,18.9942,19.005,18.9942,19.005,423,0
HCSG.US,5,20260126,194000,18.99,19.005,18.99,18.995,500,0
HCSG.US,5,20260126,194500,19,19,18.98,18.99,1784,0
HCSG.US,5,20260126,195500,18.99,19.04,18.98,19,3409,0
