<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HITI.US,5,20260126,153000,2.56,2.57,2.52,2.525,18028,0
HITI.US,5,20260126,153500,2.525,2.53,2.525,2.525,13028,0
HITI.US,5,20260126,154000,2.525,2.5401,2.515,2.515,12026,0
HITI.US,5,20260126,154500,2.52,2.53,2.52,2.52,10722,0
HITI.US,5,20260126,155000,2.52,2.53,2.52,2.53,8011,0
HITI.US,5,20260126,155500,2.53,2.53,2.525,2.525,2397,0
HITI.US,5,20260126,160000,2.52,2.5299,2.515,2.525,11092,0
HITI.US,5,20260126,160500,2.5283,2.5283,2.525,2.525,999,0
HITI.US,5,20260126,161000,2.5299,2.53,2.51,2.51,11009,0
HITI.US,5,20260126,161500,2.515,2.52,2.515,2.52,1400,0
HITI.US,5,20260126,162000,2.5211,2.5211,2.52,2.52,1560,0
HITI.US,5,20260126,162500,2.525,2.525,2.51,2.51,9437,0
HITI.US,5,20260126,163000,2.515,2.53,2.515,2.525,14824,0
HITI.US,5,20260126,163500,2.525,2.525,2.515,2.515,800,0
HITI.US,5,20260126,164000,2.51,2.51,2.51,2.51,100,0
HITI.US,5,20260126,164500,2.51,2.52,2.51,2.52,1000,0
HITI.US,5,20260126,165000,2.52,2.535,2.52,2.525,5333,0
HITI.US,5,20260126,165500,2.5239,2.5239,2.5239,2.5239,100,0
HITI.US,5,20260126,170000,2.5245,2.5245,2.52,2.52,369,0
HITI.US,5,20260126,170500,2.5265,2.5265,2.525,2.525,2482,0
HITI.US,5,20260126,171000,2.52,2.52,2.52,2.52,500,0
HITI.US,5,20260126,171500,2.5246,2.5266,2.52,2.5266,700,0
HITI.US,5,20260126,172000,2.52,2.53,2.52,2.53,1694,0
HITI.US,5,20260126,172500,2.53,2.53,2.52,2.525,300,0
HITI.US,5,20260126,173500,2.52,2.525,2.52,2.52,9648,0
HITI.US,5,20260126,174000,2.52,2.525,2.52,2.52,17100,0
HITI.US,5,20260126,174500,2.52,2.525,2.52,2.52,2100,0
HITI.US,5,20260126,175000,2.52,2.52,2.52,2.52,400,0
HITI.US,5,20260126,175500,2.52,2.53,2.52,2.52,1340,0
HITI.US,5,20260126,180000,2.525,2.53,2.52,2.52,2000,0
HITI.US,5,20260126,180500,2.52,2.52,2.52,2.52,1900,0
HITI.US,5,20260126,181000,2.52,2.525,2.52,2.52,7343,0
HITI.US,5,20260126,181500,2.52,2.52,2.52,2.52,1600,0
HITI.US,5,20260126,182000,2.52,2.555,2.52,2.555,15874,0
HITI.US,5,20260126,182500,2.55,2.555,2.54,2.54,5900,0
HITI.US,5,20260126,183000,2.54,2.5484,2.535,2.54,8960,0
HITI.US,5,20260126,183500,2.535,2.54,2.5344,2.535,10744,0
HITI.US,5,20260126,184000,2.54,2.54,2.54,2.54,400,0
HITI.US,5,20260126,184500,2.54,2.55,2.54,2.55,5074,0
HITI.US,5,20260126,185000,2.55,2.56,2.55,2.55,7280,0
HITI.US,5,20260126,185500,2.55,2.55,2.535,2.535,3326,0
HITI.US,5,20260126,190000,2.54,2.54,2.53,2.53,200,0
HITI.US,5,20260126,190500,2.535,2.535,2.535,2.535,100,0
HITI.US,5,20260126,191000,2.54,2.54,2.53,2.53,200,0
HITI.US,5,20260126,191500,2.5385,2.54,2.53,2.53,3201,0
HITI.US,5,20260126,192000,2.535,2.535,2.535,2.535,100,0
HITI.US,5,20260126,193000,2.54,2.54,2.53,2.535,4500,0
HITI.US,5,20260126,193500,2.5343,2.54,2.53,2.53,14600,0
HITI.US,5,20260126,194000,2.53,2.53,2.53,2.53,6200,0
HITI.US,5,20260126,194500,2.525,2.53,2.52,2.52,6094,0
HITI.US,5,20260126,195000,2.52,2.525,2.52,2.525,1855,0
HITI.US,5,20260126,195500,2.52,2.5291,2.52,2.5291,3113,0
HITI.US,5,20260126,200000,2.52,2.5255,2.52,2.52,1849,0
HITI.US,5,20260126,200500,2.52,2.525,2.52,2.52,1100,0
HITI.US,5,20260126,201000,2.52,2.525,2.52,2.52,1300,0
HITI.US,5,20260126,201500,2.52,2.525,2.52,2.52,1400,0
HITI.US,5,20260126,202000,2.52,2.52,2.51,2.51,26693,0
HITI.US,5,20260126,202500,2.5114,2.515,2.51,2.51,5987,0
HITI.US,5,20260126,203000,2.515,2.52,2.51,2.51,1518,0
HITI.US,5,20260126,203500,2.51,2.52,2.5,2.5,9661,0
HITI.US,5,20260126,204000,2.5,2.505,2.495,2.495,12441,0
HITI.US,5,20260126,204500,2.495,2.51,2.495,2.5,3808,0
HITI.US,5,20260126,205000,2.5,2.5083,2.5,2.5,1095,0
HITI.US,5,20260126,205500,2.5,2.5001,2.49,2.49,1475,0
HITI.US,5,20260126,210000,2.4986,2.5,2.495,2.495,900,0
HITI.US,5,20260126,210500,2.495,2.5,2.49,2.4984,9638,0
HITI.US,5,20260126,211000,2.5,2.5,2.49,2.49,700,0
HITI.US,5,20260126,211500,2.49,2.5,2.49,2.49,5300,0
