<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HOLX.US,5,20260126,153000,75.06,75.24,75.06,75.14,23370,0
HOLX.US,5,20260126,153500,75.15,75.19,75.15,75.17,7898,0
HOLX.US,5,20260126,154000,75.17,75.175,75.15,75.16,4977,0
HOLX.US,5,20260126,154500,75.163,75.18,75.155,75.175,10372,0
HOLX.US,5,20260126,155000,75.175,75.175,75.16,75.17,2201,0
HOLX.US,5,20260126,155500,75.18,75.22,75.17,75.215,22541,0
HOLX.US,5,20260126,160000,75.215,75.215,75.19,75.2,9605,0
HOLX.US,5,20260126,160500,75.2,75.2,75.18,75.195,18072,0
HOLX.US,5,20260126,161000,75.195,75.195,75.195,75.195,1900,0
HOLX.US,5,20260126,161500,75.195,75.1954,75.19,75.195,3972,0
HOLX.US,5,20260126,162000,75.195,75.195,75.19,75.195,1595,0
HOLX.US,5,20260126,162500,75.195,75.2,75.195,75.195,1100,0
HOLX.US,5,20260126,163000,75.195,75.2,75.195,75.195,2016,0
HOLX.US,5,20260126,163500,75.195,75.2,75.19,75.2,8070,0
HOLX.US,5,20260126,164000,75.195,75.2,75.18,75.185,25993,0
HOLX.US,5,20260126,164500,75.185,75.19,75.17,75.17,23349,0
HOLX.US,5,20260126,165000,75.165,75.17,75.155,75.155,6491,0
HOLX.US,5,20260126,165500,75.16,75.165,75.16,75.16,9912,0
HOLX.US,5,20260126,170000,75.17,75.17,75.16,75.165,1927,0
HOLX.US,5,20260126,170500,75.16,75.165,75.15,75.15,4952,0
HOLX.US,5,20260126,171000,75.15,75.155,75.14,75.145,5367,0
HOLX.US,5,20260126,171500,75.15,75.15,75.115,75.115,4730,0
HOLX.US,5,20260126,172000,75.115,75.12,75.11,75.115,3990,0
HOLX.US,5,20260126,172500,75.115,75.1151,75.11,75.11,15943,0
HOLX.US,5,20260126,173000,75.115,75.12,75.11,75.11,3424,0
HOLX.US,5,20260126,173500,75.115,75.12,75.115,75.115,2053,0
HOLX.US,5,20260126,174000,75.115,75.12,75.115,75.115,815,0
HOLX.US,5,20260126,174500,75.11268,75.12,75.11268,75.12,989,0
HOLX.US,5,20260126,175000,75.12,75.155,75.115,75.155,8023,0
HOLX.US,5,20260126,175500,75.155,75.155,75.15,75.155,2084,0
HOLX.US,5,20260126,180000,75.155,75.155,75.15,75.155,1815,0
HOLX.US,5,20260126,180500,75.155,75.155,75.15,75.155,1000,0
HOLX.US,5,20260126,181000,75.15,75.155,75.145,75.155,8689,0
HOLX.US,5,20260126,181500,75.155,75.16,75.155,75.155,3361,0
HOLX.US,5,20260126,182000,75.155,75.16,75.15,75.155,3004,0
HOLX.US,5,20260126,182500,75.155,75.155,75.145,75.155,5932,0
HOLX.US,5,20260126,183000,75.15,75.16,75.15,75.15,1219,0
HOLX.US,5,20260126,183500,75.155,75.16,75.15,75.16,6589,0
HOLX.US,5,20260126,184000,75.155,75.155,75.145,75.155,6984,0
HOLX.US,5,20260126,184500,75.155,75.155,75.15,75.155,1013,0
HOLX.US,5,20260126,185000,75.155,75.15663,75.15,75.155,2292,0
HOLX.US,5,20260126,185500,75.15,75.155,75.15,75.155,1434,0
HOLX.US,5,20260126,190000,75.155,75.155,75.15,75.15,1100,0
HOLX.US,5,20260126,190500,75.155,75.1558,75.15,75.155,2126,0
HOLX.US,5,20260126,191000,75.155,75.155,75.15,75.15,4092,0
HOLX.US,5,20260126,191500,75.145,75.155,75.145,75.155,1556,0
HOLX.US,5,20260126,192000,75.15,75.155,75.15,75.155,3493,0
HOLX.US,5,20260126,192500,75.155,75.155,75.15,75.155,1214,0
HOLX.US,5,20260126,193000,75.155,75.1555,75.145,75.155,2787,0
HOLX.US,5,20260126,193500,75.1579,75.1579,75.145,75.15,3347,0
HOLX.US,5,20260126,194000,75.145,75.15,75.145,75.145,1638,0
HOLX.US,5,20260126,194500,75.14427,75.145,75.135,75.135,6188,0
HOLX.US,5,20260126,195000,75.135,75.135,75.13,75.135,1100,0
HOLX.US,5,20260126,195500,75.13,75.135,75.13,75.135,1360,0
HOLX.US,5,20260126,200000,75.135,75.14,75.13,75.135,2678,0
HOLX.US,5,20260126,200500,75.135,75.14,75.135,75.14,1043,0
HOLX.US,5,20260126,201000,75.14,75.15,75.14,75.15,3791,0
HOLX.US,5,20260126,201500,75.145,75.15,75.145,75.15,900,0
HOLX.US,5,20260126,202000,75.15,75.15,75.145,75.145,1675,0
HOLX.US,5,20260126,202500,75.15,75.15,75.145,75.15,1900,0
HOLX.US,5,20260126,203000,75.145,75.15,75.145,75.145,2965,0
HOLX.US,5,20260126,203500,75.15,75.15,75.145,75.1468,1351,0
HOLX.US,5,20260126,204000,75.15,75.15,75.1445,75.15,2068,0
HOLX.US,5,20260126,204500,75.15,75.16,75.15,75.155,17837,0
HOLX.US,5,20260126,205000,75.155,75.155,75.15,75.155,13482,0
HOLX.US,5,20260126,205500,75.155,75.155,75.145,75.145,9119,0
HOLX.US,5,20260126,210000,75.145,75.145,75.13,75.13,3613,0
HOLX.US,5,20260126,210500,75.1314,75.16,75.1314,75.155,16909,0
HOLX.US,5,20260126,211000,75.155,75.155,75.15,75.15,600,0
HOLX.US,5,20260126,211500,75.155,75.16,75.15,75.155,18193,0
HOLX.US,5,20260126,212000,75.15,75.15,75.135,75.145,27096,0
HOLX.US,5,20260126,212500,75.145,75.15,75.145,75.145,3907,0
HOLX.US,5,20260126,213000,75.145,75.15,75.143,75.15,3036,0
HOLX.US,5,20260126,213500,75.15,75.15,75.14,75.145,5660,0
HOLX.US,5,20260126,214000,75.145,75.15,75.145,75.1475,6946,0
HOLX.US,5,20260126,214500,75.145,75.15,75.145,75.145,7019,0
HOLX.US,5,20260126,215000,75.15,75.185,75.14,75.185,47231,0
HOLX.US,5,20260126,215500,75.19,75.2,75.15,75.19,251314,0
HOLX.US,5,20260127,153000,75.14,75.24,75.14,75.22,41838,0
HOLX.US,5,20260127,153500,75.22,75.23,75.185,75.2,5077,0
HOLX.US,5,20260127,154000,75.19,75.21,75.182,75.185,3190,0
HOLX.US,5,20260127,154500,75.18,75.22,75.18,75.19,9207,0
HOLX.US,5,20260127,155000,75.19,75.2,75.18,75.195,6136,0
HOLX.US,5,20260127,155500,75.19,75.21,75.185,75.21,5298,0
HOLX.US,5,20260127,160000,75.205,75.205,75.2,75.2,3629,0
HOLX.US,5,20260127,160500,75.2,75.2,75.18,75.19,11133,0
HOLX.US,5,20260127,161000,75.19,75.205,75.19,75.205,1842,0
HOLX.US,5,20260127,161500,75.205,75.21,75.2,75.205,4924,0
HOLX.US,5,20260127,162000,75.202,75.21,75.2,75.205,6533,0
HOLX.US,5,20260127,162500,75.205,75.22,75.205,75.212,5090,0
HOLX.US,5,20260127,163000,75.215,75.215,75.21,75.215,1198,0
HOLX.US,5,20260127,163500,75.215,75.215,75.21,75.215,2465,0
HOLX.US,5,20260127,164000,75.2175,75.26,75.215,75.242,18162,0
HOLX.US,5,20260127,164500,75.25,75.36,75.245,75.34,34471,0
HOLX.US,5,20260127,165000,75.345,75.345,75.25,75.28,193310,0
HOLX.US,5,20260127,165500,75.28,75.345,75.28,75.315,8770,0
HOLX.US,5,20260127,170000,75.31,75.31,75.25,75.28,8747,0
HOLX.US,5,20260127,170500,75.28,75.29,72.28,75.26,90011,0
HOLX.US,5,20260127,171000,75.26,75.28,75.25,75.275,2607,0
HOLX.US,5,20260127,171500,75.28,75.28,75.255,75.26,8241,0
HOLX.US,5,20260127,172000,75.255,75.28,75.255,75.275,2373,0
HOLX.US,5,20260127,172500,75.275,75.3,75.275,75.3,6023,0
HOLX.US,5,20260127,173000,75.295,75.31,75.295,75.31,3134,0
HOLX.US,5,20260127,173500,75.305,75.31,75.29,75.29,3976,0
HOLX.US,5,20260127,174000,75.295,75.3,75.295,75.295,1440,0
HOLX.US,5,20260127,174500,75.295,75.32,75.295,75.3,6489,0
HOLX.US,5,20260127,175000,75.28,75.3,75.27,75.275,11694,0
