<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HRTX.US,5,20260126,153000,1.43,1.43,1.41,1.415,16311,0
HRTX.US,5,20260126,153500,1.415,1.43,1.415,1.42,56092,0
HRTX.US,5,20260126,154000,1.425,1.445,1.425,1.445,8053,0
HRTX.US,5,20260126,154500,1.44,1.45,1.44,1.445,4272,0
HRTX.US,5,20260126,155000,1.445,1.4451,1.44,1.445,4600,0
HRTX.US,5,20260126,155500,1.445,1.445,1.44,1.445,4334,0
HRTX.US,5,20260126,160000,1.445,1.445,1.44,1.445,21011,0
HRTX.US,5,20260126,160500,1.445,1.445,1.43,1.43,6383,0
HRTX.US,5,20260126,161000,1.435,1.435,1.43,1.435,1200,0
HRTX.US,5,20260126,161500,1.4345,1.435,1.43,1.435,3038,0
HRTX.US,5,20260126,162000,1.435,1.44,1.43,1.43,1339,0
HRTX.US,5,20260126,162500,1.44,1.44,1.435,1.435,6974,0
HRTX.US,5,20260126,163000,1.43,1.44,1.43,1.435,3345,0
HRTX.US,5,20260126,163500,1.43,1.44,1.43,1.435,2800,0
HRTX.US,5,20260126,164000,1.43,1.44,1.43,1.435,12275,0
HRTX.US,5,20260126,164500,1.4309,1.435,1.4301,1.435,11175,0
HRTX.US,5,20260126,165000,1.435,1.44,1.435,1.44,1799,0
HRTX.US,5,20260126,165500,1.435,1.435,1.43,1.435,3300,0
HRTX.US,5,20260126,170000,1.434,1.435,1.434,1.435,1400,0
HRTX.US,5,20260126,170500,1.435,1.4399,1.435,1.435,4106,0
HRTX.US,5,20260126,171000,1.435,1.435,1.435,1.435,3500,0
HRTX.US,5,20260126,171500,1.43,1.435,1.43,1.435,12661,0
HRTX.US,5,20260126,172000,1.4348,1.435,1.4348,1.435,5000,0
HRTX.US,5,20260126,172500,1.435,1.435,1.435,1.435,2115,0
HRTX.US,5,20260126,173000,1.435,1.435,1.43,1.43,1649,0
HRTX.US,5,20260126,173500,1.435,1.435,1.435,1.435,1973,0
HRTX.US,5,20260126,174000,1.4386,1.4386,1.435,1.435,1900,0
HRTX.US,5,20260126,174500,1.435,1.435,1.435,1.435,1600,0
HRTX.US,5,20260126,175000,1.435,1.44,1.43,1.44,1400,0
HRTX.US,5,20260126,175500,1.435,1.4399,1.43,1.435,3175,0
HRTX.US,5,20260126,180000,1.4312,1.435,1.4312,1.435,3700,0
HRTX.US,5,20260126,180500,1.435,1.435,1.43,1.43,2323,0
HRTX.US,5,20260126,181000,1.435,1.435,1.435,1.435,1400,0
