<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUTG.US,5,20260126,153500,13.52,14.2035,13.52,14.01,4444,0
HUTG.US,5,20260126,160000,13.875,13.875,13.875,13.875,106,0
HUTG.US,5,20260126,180500,13.4,13.4,13.4,13.4,2219,0
HUTG.US,5,20260126,183500,13.35,13.35,13.35,13.35,111,0
HUTG.US,5,20260126,185000,13.24,13.24,13.24,13.24,111,0
HUTG.US,5,20260126,191000,13.2328,13.33,13.2328,13.33,600,0
HUTG.US,5,20260126,195000,13.99,13.99,13.98,13.98,600,0
HUTG.US,5,20260126,200000,14.15,14.15,14.01,14.01,1826,0
HUTG.US,5,20260126,203500,13.32,13.32,13.31,13.31,1300,0
HUTG.US,5,20260126,210000,12.47,12.63,12.47,12.63,800,0
HUTG.US,5,20260126,211000,12.535,12.635,12.535,12.6161,833,0
HUTG.US,5,20260126,212000,12.42,12.42,12.42,12.42,5100,0
HUTG.US,5,20260126,212500,12.4626,12.4626,12.36,12.36,600,0
HUTG.US,5,20260126,213000,12.41,12.42,12.41,12.42,200,0
HUTG.US,5,20260126,213500,12.32,12.3421,12.32,12.3421,1000,0
HUTG.US,5,20260126,214500,12.72,12.76,12.72,12.76,300,0
HUTG.US,5,20260126,215000,12.8,12.8,12.8,12.8,300,0
HUTG.US,5,20260127,153000,13.59,13.59,13.4,13.4,980,0
HUTG.US,5,20260127,153500,13.81,13.81,13.18,13.18,800,0
HUTG.US,5,20260127,154000,13.1143,13.1143,13.1143,13.1143,100,0
HUTG.US,5,20260127,162500,12.95,13.08,12.95,13.08,200,0
HUTG.US,5,20260127,165000,13,13,13,13,500,0
HUTG.US,5,20260127,165500,13.1,13.1,13.1,13.1,500,0
HUTG.US,5,20260127,170000,13.1134,13.1134,13.1134,13.1134,159,0
HUTG.US,5,20260127,170500,13.35,13.35,13.35,13.35,100,0
HUTG.US,5,20260127,172500,13.43,13.465,13.4214,13.465,7865,0
HUTG.US,5,20260127,174000,13.68,13.69,13.68,13.69,397,0
HUTG.US,5,20260127,174500,13.655,13.655,13.53,13.53,300,0
HUTG.US,5,20260127,175500,13.41,13.41,13.41,13.41,100,0
HUTG.US,5,20260127,180000,13.35,13.35,13.35,13.35,2219,0
HUTG.US,5,20260127,180500,13.3301,13.3301,13.3301,13.3301,200,0
HUTG.US,5,20260127,182000,13.31,13.4287,13.31,13.4287,306,0
HUTG.US,5,20260127,184500,13.6,13.6,13.6,13.6,780,0
HUTG.US,5,20260127,192000,13.3601,13.3601,13.3601,13.3601,206,0
HUTG.US,5,20260127,192500,13.58,13.59,13.58,13.59,200,0
HUTG.US,5,20260127,193500,13.74,13.74,13.74,13.74,250,0
HUTG.US,5,20260127,194500,13.84,13.84,13.84,13.84,100,0
HUTG.US,5,20260127,195500,14.03,14.03,14.03,14.03,1810,0
HUTG.US,5,20260127,200500,14.01,14.01,14.01,14.01,100,0
HUTG.US,5,20260127,201500,14.09,14.09,14.09,14.09,100,0
HUTG.US,5,20260127,203000,13.93,13.93,13.93,13.93,300,0
HUTG.US,5,20260127,203500,13.9,13.9,13.87,13.87,800,0
HUTG.US,5,20260127,205000,14.06,14.13,14.06,14.13,2500,0
HUTG.US,5,20260127,205500,14.06,14.06,14.06,14.06,100,0
HUTG.US,5,20260127,210000,14.14,14.14,14.14,14.14,410,0
