<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYFT.US,5,20260126,153000,2.28,2.2931,2.25,2.2931,2730,0
HYFT.US,5,20260126,153500,2.22,2.22,2.16,2.19,8868,0
HYFT.US,5,20260126,154000,2.22,2.25,2.22,2.25,1603,0
HYFT.US,5,20260126,154500,2.265,2.265,2.23,2.23,3328,0
HYFT.US,5,20260126,155000,2.2677,2.2677,2.2398,2.2398,301,0
HYFT.US,5,20260126,155500,2.2475,2.2475,2.2,2.22,6353,0
HYFT.US,5,20260126,160000,2.22,2.23,2.2,2.2,9390,0
HYFT.US,5,20260126,161000,2.2,2.2,2.1707,2.19,6143,0
HYFT.US,5,20260126,161500,2.17,2.215,2.17,2.215,11102,0
HYFT.US,5,20260126,162000,2.21,2.21,2.21,2.21,2900,0
HYFT.US,5,20260126,162500,2.195,2.2,2.195,2.2,4341,0
HYFT.US,5,20260126,163000,2.2,2.2,2.2,2.2,441,0
HYFT.US,5,20260126,163500,2.22,2.22,2.205,2.205,4842,0
HYFT.US,5,20260126,164000,2.205,2.205,2.205,2.205,227,0
HYFT.US,5,20260126,164500,2.1945,2.2,2.19,2.2,6768,0
HYFT.US,5,20260126,165000,2.2,2.2,2.1904,2.1904,2285,0
HYFT.US,5,20260126,165500,2.19,2.19,2.19,2.19,3694,0
HYFT.US,5,20260126,170000,2.18,2.18,2.1602,2.161,1528,0
HYFT.US,5,20260126,170500,2.1605,2.17,2.1605,2.17,1150,0
HYFT.US,5,20260126,171000,2.165,2.165,2.155,2.155,715,0
HYFT.US,5,20260126,171500,2.16,2.16,2.15,2.15,2800,0
HYFT.US,5,20260126,172000,2.1484,2.1484,2.14,2.14,4390,0
HYFT.US,5,20260126,172500,2.145,2.15,2.145,2.15,2327,0
HYFT.US,5,20260126,173000,2.15,2.15,2.13,2.146303,1852,0
HYFT.US,5,20260126,173500,2.1401,2.145,2.1401,2.145,800,0
HYFT.US,5,20260126,174000,2.14,2.14,2.14,2.14,644,0
HYFT.US,5,20260126,174500,2.145,2.15,2.145,2.15,2448,0
HYFT.US,5,20260126,175000,2.155,2.18,2.14,2.16,27889,0
HYFT.US,5,20260126,175500,2.17,2.18,2.15,2.15,7488,0
HYFT.US,5,20260126,180000,2.15,2.16,2.15,2.1584,1800,0
HYFT.US,5,20260126,180500,2.15,2.18,2.145,2.17,6700,0
HYFT.US,5,20260126,181000,2.16,2.16,2.16,2.16,4573,0
HYFT.US,5,20260126,181500,2.16,2.16,2.16,2.16,1870,0
HYFT.US,5,20260126,182000,2.1509,2.1509,2.1509,2.1509,500,0
HYFT.US,5,20260126,183000,2.16,2.16,2.1546,2.1546,4671,0
HYFT.US,5,20260126,183500,2.151,2.151,2.14,2.14,3782,0
HYFT.US,5,20260126,184500,2.1409,2.15,2.14,2.15,7626,0
HYFT.US,5,20260126,185000,2.15,2.15,2.15,2.15,100,0
HYFT.US,5,20260126,190000,2.14,2.14,2.14,2.14,100,0
HYFT.US,5,20260126,190500,2.14,2.14,2.14,2.14,533,0
HYFT.US,5,20260126,191000,2.139,2.139,2.139,2.139,250,0
HYFT.US,5,20260126,191500,2.1384,2.1384,2.1384,2.1384,100,0
HYFT.US,5,20260126,192000,2.1499,2.1499,2.14,2.14,1324,0
HYFT.US,5,20260126,192500,2.1476,2.1476,2.14,2.14,4930,0
HYFT.US,5,20260126,193500,2.15,2.15,2.15,2.15,100,0
HYFT.US,5,20260126,194500,2.14,2.14,2.14,2.14,300,0
HYFT.US,5,20260126,195000,2.13,2.135,2.13,2.13,3461,0
HYFT.US,5,20260126,195500,2.14,2.14,2.14,2.14,114,0
HYFT.US,5,20260126,200000,2.14,2.165,2.14,2.165,2785,0
HYFT.US,5,20260126,200500,2.14,2.14,2.14,2.14,300,0
HYFT.US,5,20260126,201000,2.15,2.15,2.15,2.15,100,0
HYFT.US,5,20260126,201500,2.15,2.17,2.15,2.15,5874,0
HYFT.US,5,20260126,202000,2.1654,2.1654,2.1654,2.1654,123,0
HYFT.US,5,20260126,203000,2.1596,2.1596,2.1596,2.1596,200,0
HYFT.US,5,20260126,203500,2.145,2.145,2.145,2.145,200,0
HYFT.US,5,20260126,204500,2.145,2.145,2.13,2.14,300,0
HYFT.US,5,20260126,205500,2.1332,2.1332,2.1332,2.1332,100,0
HYFT.US,5,20260126,210000,2.135,2.165,2.1301,2.1301,1640,0
HYFT.US,5,20260126,211000,2.13,2.13,2.13,2.13,211,0
HYFT.US,5,20260126,211500,2.13,2.13,2.13,2.13,350,0
HYFT.US,5,20260126,212000,2.145,2.145,2.145,2.145,100,0
HYFT.US,5,20260126,212500,2.145,2.145,2.145,2.145,100,0
HYFT.US,5,20260126,213000,2.145,2.145,2.145,2.145,250,0
HYFT.US,5,20260126,213500,2.16,2.175,2.16,2.175,16122,0
HYFT.US,5,20260126,214000,2.17,2.17,2.16,2.17,3827,0
HYFT.US,5,20260126,214500,2.165,2.17,2.13,2.1301,11434,0
HYFT.US,5,20260126,215000,2.14,2.15,2.14,2.14,3730,0
