<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICUCW.US,5,20260126,153000,0.0248,0.0248,0.0247,0.024749,10114,0
ICUCW.US,5,20260126,155000,0.027,0.027,0.027,0.027,122,0
ICUCW.US,5,20260126,185000,0.025,0.025,0.025,0.025,999,0
ICUCW.US,5,20260126,190500,0.0241,0.025,0.0241,0.025,2704,0
ICUCW.US,5,20260126,194500,0.025,0.025,0.025,0.025,391,0
ICUCW.US,5,20260126,215500,0.0231,0.0231,0.0231,0.0231,200,0
ICUCW.US,5,20260127,164000,0.0233,0.0233,0.0225,0.0225,9998,0
ICUCW.US,5,20260127,173500,0.0233,0.0233,0.0233,0.0233,100,0
ICUCW.US,5,20260127,193000,0.025,0.0258,0.0236,0.0243,11172,0
ICUCW.US,5,20260127,202000,0.026,0.026,0.026,0.026,100,0
ICUCW.US,5,20260127,202500,0.0258,0.0258,0.0258,0.0258,400,0
ICUCW.US,5,20260128,154000,0.025,0.025,0.025,0.025,1555,0
ICUCW.US,5,20260128,163500,0.024649,0.024649,0.024649,0.024649,313,0
ICUCW.US,5,20260128,170500,0.0235,0.023823,0.0235,0.023823,4377,0
ICUCW.US,5,20260129,154000,0.0236,0.0236,0.0235,0.0235,6396,0
ICUCW.US,5,20260129,162000,0.0235,0.0235,0.0226,0.0226,3800,0
ICUCW.US,5,20260129,213500,0.025,0.025,0.025,0.025,100,0
ICUCW.US,5,20260130,180500,0.0249,0.0249,0.0249,0.0249,100,0
ICUCW.US,5,20260130,202500,0.0249,0.0249,0.0249,0.0249,100,0
ICUCW.US,5,20260202,154000,0.025,0.025,0.025,0.025,125,0
ICUCW.US,5,20260202,172500,0.0249,0.0249,0.0249,0.0249,100,0
ICUCW.US,5,20260202,175000,0.0249,0.0249,0.0249,0.0249,100,0
ICUCW.US,5,20260202,212000,0.0249,0.0249,0.0248,0.0248,200,0
ICUCW.US,5,20260202,215000,0.0249,0.0249,0.0248,0.0248,1924,0
ICUCW.US,5,20260203,180500,0.0248,0.0248,0.0248,0.0248,100,0
ICUCW.US,5,20260203,215500,0.0248,0.0248,0.0247,0.0247,13374,0
ICUCW.US,5,20260204,153000,0.023801,0.023801,0.0238,0.0238,1062,0
ICUCW.US,5,20260204,215000,0.0248,0.0248,0.0248,0.0248,100,0
ICUCW.US,5,20260205,161000,0.0235,0.0247,0.0235,0.0247,15920,0
ICUCW.US,5,20260205,162000,0.0247,0.0247,0.0247,0.0247,100,0
ICUCW.US,5,20260205,162500,0.0246,0.0247,0.0225,0.0225,15100,0
ICUCW.US,5,20260205,172000,0.0247,0.0247,0.0247,0.0247,500,0
ICUCW.US,5,20260205,172500,0.0247,0.0247,0.0247,0.0247,100,0
ICUCW.US,5,20260205,181500,0.0247,0.0247,0.0247,0.0247,2800,0
ICUCW.US,5,20260205,182000,0.0247,0.0247,0.0247,0.0247,100,0
ICUCW.US,5,20260205,182500,0.0247,0.0247,0.0247,0.0247,100,0
ICUCW.US,5,20260205,193500,0.0246,0.0246,0.0246,0.0246,100,0
ICUCW.US,5,20260205,194000,0.0246,0.0246,0.0246,0.0246,100,0
ICUCW.US,5,20260205,203000,0.0235,0.0235,0.0235,0.0235,500,0
ICUCW.US,5,20260205,203500,0.0235,0.0235,0.0235,0.0235,521,0
ICUCW.US,5,20260205,212500,0.0246,0.0246,0.0246,0.0246,100,0
ICUCW.US,5,20260205,213000,0.0235,0.0241,0.0225,0.0225,18271,0
ICUCW.US,5,20260205,213500,0.0246,0.0246,0.0246,0.0246,100,0
ICUCW.US,5,20260205,214500,0.0246,0.0246,0.0246,0.0246,100,0
ICUCW.US,5,20260209,163000,0.0246,0.0246,0.0246,0.0246,100,0
ICUCW.US,5,20260209,163500,0.0246,0.0246,0.0246,0.0246,1000,0
