<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGAC.US,5,20260126,153500,9.9183,9.9183,9.9183,9.9183,185,0
IGAC.US,5,20260127,180000,9.92,9.92,9.92,9.92,100000,0
IGAC.US,5,20260127,203000,9.92,9.92,9.92,9.92,150000,0
IGAC.US,5,20260127,204500,9.92,9.92,9.92,9.92,18023,0
IGAC.US,5,20260128,160000,9.92,9.92,9.92,9.92,1200,0
IGAC.US,5,20260129,211500,9.93,9.93,9.93,9.93,700,0
IGAC.US,5,20260129,215000,9.91,9.91,9.91,9.91,239,0
IGAC.US,5,20260202,211000,9.92,9.92,9.915,9.92,32695,0
IGAC.US,5,20260202,212500,9.92,9.92,9.915,9.92,28278,0
IGAC.US,5,20260202,213500,9.92,9.92,9.92,9.92,100000,0
IGAC.US,5,20260203,190500,9.93,9.93,9.93,9.93,100,0
IGAC.US,5,20260203,213500,9.93,9.93,9.93,9.93,5864,0
IGAC.US,5,20260204,185500,9.94,9.94,9.94,9.94,10360,0
IGAC.US,5,20260206,165000,9.94,9.95,9.94,9.95,29530,0
IGAC.US,5,20260206,192500,9.9445,9.9445,9.9445,9.9445,115,0
IGAC.US,5,20260206,214000,9.94,9.94,9.94,9.94,100,0
IGAC.US,5,20260210,181000,9.9721,9.9721,9.9721,9.9721,200,0
IGAC.US,5,20260211,174000,9.9887,9.9887,9.9887,9.9887,100,0
IGAC.US,5,20260212,180000,9.96,9.96,9.95,9.95,400,0
IGAC.US,5,20260212,194500,9.94,9.94,9.94,9.94,48400,0
IGAC.US,5,20260212,195000,9.94,9.94,9.94,9.94,2059,0
IGAC.US,5,20260217,153000,9.92,9.92,9.92,9.92,34997,0
IGAC.US,5,20260218,205000,9.93,9.93,9.93,9.93,1000,0
IGAC.US,5,20260219,190500,9.93,9.93,9.93,9.93,25000,0
IGAC.US,5,20260220,202000,9.949,9.949,9.949,9.949,100,0
IGAC.US,5,20260220,202500,9.949,9.95,9.9432,9.9432,1600,0
IGAC.US,5,20260220,215000,9.95,9.95,9.95,9.95,100,0
IGAC.US,5,20260224,213500,9.93,9.93,9.92,9.92,300,0
IGAC.US,5,20260225,215000,9.95,9.95,9.95,9.95,100,0
IGAC.US,5,20260226,201500,9.95,9.95,9.95,9.95,100,0
IGAC.US,5,20260302,175000,9.95,9.95,9.95,9.95,100,0
IGAC.US,5,20260302,184500,9.92,9.92,9.92,9.92,25000,0
IGAC.US,5,20260302,201000,9.94,9.94,9.94,9.94,5200,0
IGAC.US,5,20260302,203000,9.94,9.94,9.94,9.94,100,0
IGAC.US,5,20260303,182000,9.92,9.94,9.92,9.94,300,0
IGAC.US,5,20260303,194500,9.94,9.94,9.94,9.94,5200,0
IGAC.US,5,20260304,215000,9.94,9.94,9.94,9.94,5162,0
IGAC.US,5,20260305,163500,9.94,9.94,9.94,9.94,5200,0
IGAC.US,5,20260306,213000,9.94,9.94,9.94,9.94,5200,0
IGAC.US,5,20260311,205500,9.93,9.935,9.93,9.93,3300,0
IGAC.US,5,20260318,164500,9.92,9.92,9.92,9.92,1162,0
IGAC.US,5,20260323,162000,9.9341,9.9341,9.9341,9.9341,750,0
IGAC.US,5,20260323,164500,9.89,9.89,9.89,9.89,750,0
IGAC.US,5,20260330,213500,9.9,9.9,9.9,9.9,100,0
IGAC.US,5,20260409,215500,9.94,9.94,9.94,9.94,300,0
IGAC.US,5,20260413,163000,9.93,9.93,9.93,9.93,25000,0
IGAC.US,5,20260417,215500,9.95,9.95,9.95,9.95,1500,0
IGAC.US,5,20260420,172000,9.9498,9.95,9.9498,9.95,5700,0
IGAC.US,5,20260420,191500,9.96,9.96,9.945,9.945,11172,0
IGAC.US,5,20260420,192000,9.95,9.96,9.95,9.96,5131,0
IGAC.US,5,20260421,153000,9.95,9.95,9.95,9.95,5000,0
IGAC.US,5,20260428,215500,9.94,9.94,9.94,9.94,607,0
IGAC.US,5,20260429,182500,9.965,9.965,9.965,9.965,4124,0
IGAC.US,5,20260430,164500,9.9704,9.9704,9.9704,9.9704,105,0
IGAC.US,5,20260506,181500,9.97,9.97,9.9698,9.97,15200,0
IGAC.US,5,20260506,190500,9.98,9.98,9.98,9.98,100,0
IGAC.US,5,20260507,194000,9.97,9.97,9.97,9.97,5000,0
IGAC.US,5,20260519,194500,9.985,9.985,9.985,9.985,150,0
IGAC.US,5,20260528,153000,10,10,10,10,100,0
IGAC.US,5,20260529,163500,10,10,10,10,770,0
IGAC.US,5,20260529,200500,10.01,10.02,10.01,10.02,8430,0
IGAC.US,5,20260529,211500,10.01,10.01,10,10.01,4986,0
IGAC.US,5,20260602,170500,10.01,10.01,10.01,10.01,150,0
IGAC.US,5,20260608,211500,10.01,10.01,10.01,10.01,100,0
IGAC.US,5,20260610,203500,10.02,10.02,10.02,10.02,2634,0
IGAC.US,5,20260611,215500,10,10,10,10,516,0
IGAC.US,5,20260618,172000,10.02,10.0201,10.02,10.0201,12801,0
IGAC.US,5,20260618,211000,10.02,10.02,10.02,10.02,2593,0
IGAC.US,5,20260618,212500,10.02,10.02,10.02,10.02,9940,0
IGAC.US,5,20260618,213000,10.02,10.02,10.02,10.02,25000,0
