<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMA.US,5,20260126,153000,7.29,7.29,7.29,7.29,153,0
IMA.US,5,20260126,153500,7.3,7.3,7.3,7.3,100,0
IMA.US,5,20260126,170500,7.11,7.11,7.06,7.06,200,0
IMA.US,5,20260126,172000,7.15,7.15,7.045,7.045,525,0
IMA.US,5,20260126,173000,7.04,7.17,7.015,7.17,423,0
IMA.US,5,20260126,175000,7.0906,7.0906,7.0906,7.0906,150,0
IMA.US,5,20260126,175500,7.14,7.14,7.14,7.14,100,0
IMA.US,5,20260126,184000,7.077,7.077,7.077,7.077,200,0
IMA.US,5,20260126,204000,7.077,7.077,7.077,7.077,928,0
IMA.US,5,20260126,205000,7.01,7.01,7.01,7.01,100,0
IMA.US,5,20260126,215500,7.12,7.12,7.12,7.12,733,0
IMA.US,5,20260127,153500,7.3,7.3,7.3,7.3,100,0
IMA.US,5,20260127,155000,7.01,7.01,7.01,7.01,100,0
IMA.US,5,20260127,160500,7.075,7.075,7.075,7.075,150,0
IMA.US,5,20260127,165500,7.15,7.15,7.15,7.15,100,0
IMA.US,5,20260127,171500,7.0205,7.03,6.96,7.02,1050,0
IMA.US,5,20260127,173000,6.93,6.93,6.93,6.93,100,0
IMA.US,5,20260127,185500,7.015,7.08,7.015,7.06,1315,0
IMA.US,5,20260127,194500,7.035,7.035,7.035,7.035,100,0
IMA.US,5,20260127,195000,7.1,7.1,7.1,7.1,400,0
IMA.US,5,20260127,195500,7.11,7.11,7.11,7.11,600,0
IMA.US,5,20260127,200000,7.11,7.13,7.11,7.13,519,0
IMA.US,5,20260127,201000,7.17,7.17,7.17,7.17,100,0
IMA.US,5,20260127,203000,7.21,7.21,7.21,7.21,100,0
IMA.US,5,20260127,204000,7.23,7.23,7.23,7.23,880,0
IMA.US,5,20260127,205000,7.22,7.22,7.22,7.22,300,0
IMA.US,5,20260127,210500,7.26,7.26,7.26,7.26,100,0
IMA.US,5,20260127,213000,7.28,7.28,7.28,7.28,600,0
IMA.US,5,20260127,213500,7.28,7.28,7.28,7.28,400,0
IMA.US,5,20260127,214000,7.26,7.3,7.26,7.29,10846,0
IMA.US,5,20260127,214500,7.3,7.3,7.05,7.095,16680,0
IMA.US,5,20260127,215000,7.25,7.25,7.21,7.21,500,0
IMA.US,5,20260127,215500,7.29,7.4,7.29,7.35,4127,0
IMA.US,5,20260128,153000,7.4,7.4,7.4,7.4,100,0
IMA.US,5,20260128,154000,7.2334,7.2334,7.2334,7.2334,330,0
IMA.US,5,20260128,154500,7.4,7.4,7.4,7.4,100,0
IMA.US,5,20260128,162500,7.295,7.295,7.295,7.295,406,0
IMA.US,5,20260128,164000,7.25,7.25,7.25,7.25,555,0
IMA.US,5,20260128,165500,7.25,7.25,7.21,7.22,2600,0
IMA.US,5,20260128,175000,7.295,7.38,7.295,7.38,1232,0
IMA.US,5,20260128,180500,7.31,7.31,7.31,7.31,100,0
IMA.US,5,20260128,190000,7.29,7.29,7.29,7.29,300,0
IMA.US,5,20260128,193000,7.27,7.32,7.27,7.315,600,0
IMA.US,5,20260128,194500,7.32,7.32,7.32,7.32,200,0
IMA.US,5,20260128,195500,7.285,7.285,7.285,7.285,100,0
IMA.US,5,20260128,200000,7.27,7.27,7.27,7.27,200,0
IMA.US,5,20260128,200500,7.3,7.3,7.3,7.3,500,0
IMA.US,5,20260128,202500,7.29,7.29,7.29,7.29,200,0
IMA.US,5,20260128,205500,7.31,7.39,7.3,7.325,6299,0
IMA.US,5,20260128,212000,7.3326,7.4,7.325,7.375,7610,0
IMA.US,5,20260128,212500,7.39,7.39,7.38,7.38,206,0
IMA.US,5,20260128,213000,7.4,7.4,7.4,7.4,100,0
IMA.US,5,20260128,214000,7.39,7.39,7.38,7.38,279,0
IMA.US,5,20260128,214500,7.4,7.4,7.4,7.4,100,0
IMA.US,5,20260128,215000,7.4,7.4,7.4,7.4,351,0
IMA.US,5,20260128,215500,7.36,7.4,7.32,7.35,3628,0
IMA.US,5,20260129,153000,7.4,7.4,7.215,7.39,352,0
IMA.US,5,20260129,171500,7.29,7.38,7.29,7.295,595,0
IMA.US,5,20260129,181000,7.28,7.35,7.28,7.35,2400,0
IMA.US,5,20260129,181500,7.36,7.45,7.36,7.45,850,0
IMA.US,5,20260129,182500,7.3507,7.45,7.3507,7.4,300,0
IMA.US,5,20260129,183000,7.45,7.45,7.45,7.45,410,0
IMA.US,5,20260129,183500,7.45,7.5,7.45,7.5,1498,0
IMA.US,5,20260129,185500,7.49,7.49,7.49,7.49,357,0
IMA.US,5,20260129,195500,7.425,7.425,7.425,7.425,2713,0
IMA.US,5,20260129,201000,7.395,7.395,7.395,7.395,200,0
IMA.US,5,20260129,205500,7.435,7.435,7.42,7.42,300,0
IMA.US,5,20260129,212000,7.35,7.35,7.35,7.35,250,0
