<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPSC.US,5,20260126,153000,2.45,2.4978,2.38,2.39,51792,0
IPSC.US,5,20260126,153500,2.419,2.44,2.33,2.34,19616,0
IPSC.US,5,20260126,154000,2.35,2.4225,2.35,2.4225,10233,0
IPSC.US,5,20260126,154500,2.4,2.4,2.37,2.38,22792,0
IPSC.US,5,20260126,155000,2.38,2.39,2.33,2.35,37733,0
IPSC.US,5,20260126,155500,2.3367,2.345,2.2801,2.295,26466,0
IPSC.US,5,20260126,160000,2.295,2.295,2.2301,2.26,78420,0
IPSC.US,5,20260126,160500,2.26,2.26,2.1572,2.204,62913,0
IPSC.US,5,20260126,161000,2.2,2.216,2.1801,2.21,53497,0
IPSC.US,5,20260126,161500,2.216,2.2711,2.1984,2.2401,73152,0
IPSC.US,5,20260126,162000,2.24,2.3299,2.21,2.29,30611,0
IPSC.US,5,20260126,162500,2.3,2.319933,2.3,2.3,7884,0
IPSC.US,5,20260126,163000,2.315,2.315,2.27,2.27,20212,0
IPSC.US,5,20260126,163500,2.285,2.295,2.27,2.295,9459,0
IPSC.US,5,20260126,164000,2.29,2.29,2.26,2.27,7762,0
IPSC.US,5,20260126,164500,2.28,2.32,2.28,2.315,1454,0
IPSC.US,5,20260126,165000,2.3294,2.41,2.31,2.358,33070,0
IPSC.US,5,20260126,165500,2.3769,2.48,2.3769,2.435,49724,0
IPSC.US,5,20260126,170000,2.39,2.425,2.39,2.42,3065,0
IPSC.US,5,20260126,170500,2.415,2.419,2.415,2.415,948,0
IPSC.US,5,20260126,171000,2.42,2.4799,2.42,2.465,6552,0
IPSC.US,5,20260126,171500,2.457,2.457,2.4186,2.44,9904,0
IPSC.US,5,20260126,172000,2.44,2.47,2.44,2.44,1916,0
IPSC.US,5,20260126,172500,2.44,2.4535,2.43,2.445,19444,0
IPSC.US,5,20260126,173000,2.445,2.47,2.445,2.46,3420,0
IPSC.US,5,20260126,173500,2.455,2.47,2.42,2.455,13480,0
IPSC.US,5,20260126,174000,2.47,2.5199,2.4692,2.505,11839,0
IPSC.US,5,20260126,174500,2.51,2.52,2.5,2.505,6733,0
IPSC.US,5,20260126,175000,2.5199,2.55,2.49,2.525,14312,0
IPSC.US,5,20260126,175500,2.51,2.52,2.48,2.5,28804,0
IPSC.US,5,20260126,180000,2.515,2.52,2.5001,2.5001,17658,0
IPSC.US,5,20260126,180500,2.515,2.55,2.51,2.539,21482,0
IPSC.US,5,20260126,181000,2.53,2.53,2.5,2.51,13553,0
IPSC.US,5,20260126,181500,2.505,2.51,2.501273,2.505,5760,0
IPSC.US,5,20260126,182000,2.51,2.52,2.51,2.51,2596,0
IPSC.US,5,20260126,182500,2.51,2.51,2.5,2.501,13964,0
IPSC.US,5,20260126,183000,2.5,2.51,2.5,2.51,9128,0
IPSC.US,5,20260126,184000,2.52,2.52,2.51,2.51,13502,0
IPSC.US,5,20260126,184500,2.51,2.51,2.5,2.51,12228,0
IPSC.US,5,20260126,185000,2.5,2.51,2.5,2.51,10953,0
IPSC.US,5,20260126,185500,2.502,2.51,2.502,2.51,2750,0
IPSC.US,5,20260126,190000,2.5078,2.51,2.5001,2.5001,6895,0
IPSC.US,5,20260126,190500,2.51,2.51,2.5098,2.51,680,0
IPSC.US,5,20260126,191000,2.5,2.5,2.495,2.495,2558,0
IPSC.US,5,20260126,191500,2.4975,2.5,2.48,2.5,24980,0
IPSC.US,5,20260126,192000,2.5,2.505,2.5,2.505,1985,0
IPSC.US,5,20260126,192500,2.51,2.5395,2.51,2.5395,20248,0
IPSC.US,5,20260126,193000,2.513,2.5262,2.495,2.5,26132,0
IPSC.US,5,20260126,193500,2.51,2.51,2.485,2.505,24246,0
IPSC.US,5,20260126,194000,2.508,2.52,2.508,2.52,13236,0
IPSC.US,5,20260126,194500,2.515,2.55,2.515,2.55,13148,0
IPSC.US,5,20260126,195000,2.55,2.5516,2.55,2.55,7707,0
IPSC.US,5,20260126,195500,2.5401,2.6,2.5401,2.59,37076,0
IPSC.US,5,20260126,200000,2.575,2.58,2.5614,2.58,5681,0
IPSC.US,5,20260126,200500,2.575,2.595,2.5701,2.585,6666,0
IPSC.US,5,20260126,201000,2.587,2.596,2.585,2.59,8148,0
IPSC.US,5,20260126,201500,2.59,2.6,2.58,2.585,10356,0
IPSC.US,5,20260126,202000,2.585,2.6,2.57,2.57,64699,0
IPSC.US,5,20260126,202500,2.5733,2.5733,2.57,2.57,4050,0
IPSC.US,5,20260126,203000,2.57,2.6,2.57,2.5897,21245,0
IPSC.US,5,20260126,203500,2.56,2.5793,2.56,2.57,2739,0
IPSC.US,5,20260126,204000,2.57,2.575,2.49,2.5,14904,0
IPSC.US,5,20260126,204500,2.5,2.58,2.5,2.5,16461,0
IPSC.US,5,20260126,205000,2.49,2.49,2.48,2.48,690,0
IPSC.US,5,20260126,205500,2.4701,2.475,2.41,2.41,33323,0
IPSC.US,5,20260126,210000,2.41,2.43,2.41,2.42,1648,0
IPSC.US,5,20260126,210500,2.4101,2.42,2.39,2.39,12893,0
IPSC.US,5,20260126,211000,2.39,2.405,2.381,2.381,5214,0
IPSC.US,5,20260126,211500,2.39,2.42,2.385,2.385,15108,0
IPSC.US,5,20260126,212000,2.3801,2.3801,2.3702,2.38,10253,0
IPSC.US,5,20260126,212500,2.39,2.415,2.36,2.415,10943,0
IPSC.US,5,20260126,213000,2.415,2.49,2.415,2.49,53589,0
IPSC.US,5,20260126,213500,2.485,2.485,2.46,2.46,6572,0
IPSC.US,5,20260126,214000,2.46,2.46,2.45,2.46,5059,0
IPSC.US,5,20260126,214500,2.46,2.5,2.46,2.5,18635,0
IPSC.US,5,20260126,215000,2.5,2.6,2.485,2.57,105111,0
IPSC.US,5,20260126,215500,2.57,2.59,2.55,2.58,471241,0
IPSC.US,5,20260127,153000,2.55,2.56,2.484,2.484,17985,0
IPSC.US,5,20260127,153500,2.4201,2.515,2.4201,2.4801,10964,0
IPSC.US,5,20260127,154000,2.48,2.4885,2.4,2.45,23111,0
IPSC.US,5,20260127,154500,2.43,2.5,2.43,2.5,8918,0
IPSC.US,5,20260127,155000,2.48,2.53,2.48,2.53,8859,0
IPSC.US,5,20260127,155500,2.52,2.57,2.52,2.55,22308,0
IPSC.US,5,20260127,160000,2.55,2.59,2.55,2.58,17177,0
IPSC.US,5,20260127,160500,2.575,2.5843,2.57,2.57,3141,0
IPSC.US,5,20260127,161000,2.57,2.578,2.56,2.56,6908,0
IPSC.US,5,20260127,161500,2.57,2.5799,2.57,2.57,2221,0
IPSC.US,5,20260127,162000,2.575,2.6,2.57,2.6,33620,0
IPSC.US,5,20260127,162500,2.595,2.65,2.5775,2.6,47559,0
IPSC.US,5,20260127,163000,2.6099,2.615,2.6,2.615,22516,0
IPSC.US,5,20260127,163500,2.62,2.68,2.62,2.67,29785,0
IPSC.US,5,20260127,164000,2.66,2.66,2.619,2.625,15929,0
IPSC.US,5,20260127,164500,2.62,2.65,2.61,2.62,15566,0
IPSC.US,5,20260127,165000,2.6242,2.63,2.61,2.63,18378,0
IPSC.US,5,20260127,165500,2.625,2.665,2.625,2.65,73762,0
IPSC.US,5,20260127,170000,2.655,2.66,2.63,2.645,20909,0
IPSC.US,5,20260127,170500,2.64,2.69,2.6301,2.69,276539,0
IPSC.US,5,20260127,171000,2.7,2.7,2.6564,2.6793,18665,0
IPSC.US,5,20260127,171500,2.665,2.68,2.6616,2.67,10160,0
IPSC.US,5,20260127,172000,2.68,2.71,2.675,2.7,57262,0
IPSC.US,5,20260127,172500,2.69,2.705,2.69,2.69,20443,0
IPSC.US,5,20260127,173000,2.69,2.7,2.6694,2.685,14571,0
IPSC.US,5,20260127,173500,2.6927,2.6957,2.6401,2.65,59864,0
IPSC.US,5,20260127,174000,2.65,2.69,2.649,2.675,58917,0
IPSC.US,5,20260127,174500,2.675,2.6825,2.6248,2.6248,33519,0
IPSC.US,5,20260127,175000,2.62,2.6213,2.57,2.575,115496,0
IPSC.US,5,20260127,175500,2.574,2.58,2.52,2.54,38313,0
IPSC.US,5,20260127,180000,2.53,2.53,2.49,2.5,9678,0
IPSC.US,5,20260127,180500,2.52,2.58,2.5,2.57,59894,0
IPSC.US,5,20260127,181000,2.555,2.555,2.55,2.55,9951,0
IPSC.US,5,20260127,181500,2.55,2.59,2.55,2.58,17510,0
IPSC.US,5,20260127,182000,2.57,2.585,2.56,2.575,18956,0
IPSC.US,5,20260127,182500,2.5784,2.61,2.5784,2.59,19936,0
IPSC.US,5,20260127,183000,2.585,2.59,2.58,2.59,3980,0
IPSC.US,5,20260127,183500,2.595,2.595,2.59,2.59,1153,0
IPSC.US,5,20260127,184000,2.5901,2.6,2.59,2.5909,3116,0
IPSC.US,5,20260127,184500,2.59,2.6,2.59,2.595,11300,0
IPSC.US,5,20260127,185000,2.5999,2.5999,2.58,2.58,9021,0
IPSC.US,5,20260127,185500,2.58,2.59,2.58,2.585,3626,0
IPSC.US,5,20260127,190000,2.585,2.59,2.57,2.57,10414,0
IPSC.US,5,20260127,190500,2.57,2.59,2.57,2.59,21058,0
IPSC.US,5,20260127,191000,2.59,2.605,2.58,2.58,15763,0
IPSC.US,5,20260127,191500,2.58,2.59,2.55,2.55,9098,0
IPSC.US,5,20260127,192000,2.56,2.56,2.5401,2.56,9969,0
IPSC.US,5,20260127,192500,2.56,2.56,2.52,2.54,56557,0
IPSC.US,5,20260127,193000,2.56,2.56,2.525,2.53,2912,0
IPSC.US,5,20260127,193500,2.54,2.57,2.53,2.55,16209,0
IPSC.US,5,20260127,194000,2.545,2.55,2.545,2.55,11624,0
IPSC.US,5,20260127,194500,2.55,2.57,2.5426,2.565,4805,0
IPSC.US,5,20260127,195000,2.565,2.565,2.555,2.56,17053,0
IPSC.US,5,20260127,195500,2.56,2.6,2.56,2.6,33781,0
IPSC.US,5,20260127,200000,2.595,2.61,2.595,2.595,6100,0
IPSC.US,5,20260127,200500,2.595,2.595,2.58,2.595,2086,0
IPSC.US,5,20260127,201000,2.595,2.64,2.595,2.61,62918,0
IPSC.US,5,20260127,201500,2.61,2.63,2.605,2.605,4576,0
IPSC.US,5,20260127,202000,2.605,2.62,2.6027,2.62,2649,0
IPSC.US,5,20260127,202500,2.61,2.62,2.6001,2.62,25434,0
IPSC.US,5,20260127,203000,2.615,2.685,2.615,2.659,53126,0
IPSC.US,5,20260127,203500,2.655,2.6623,2.655,2.655,1500,0
IPSC.US,5,20260127,204000,2.67,2.67,2.6592,2.66,3712,0
