<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IRMD.US,5,20260126,153000,101.13,101.13,100.7078,100.7078,403,0
IRMD.US,5,20260126,154000,101.61,101.61,101.61,101.61,500,0
IRMD.US,5,20260126,154500,101.6,101.6,101.6,101.6,100,0
IRMD.US,5,20260126,160500,101.1,101.1,101.1,101.1,100,0
IRMD.US,5,20260126,161000,101.76,101.76,101.76,101.76,100,0
IRMD.US,5,20260126,162000,101.13,101.14,101.13,101.14,200,0
IRMD.US,5,20260126,162500,102.59,102.59,102.59,102.59,100,0
IRMD.US,5,20260126,163000,100.61,101.94,100.61,101.33,1096,0
IRMD.US,5,20260126,163500,101.65,101.65,101.2,101.54,3806,0
IRMD.US,5,20260126,164000,101.79,101.85,101.2,101.35,4905,0
IRMD.US,5,20260126,164500,101.57,101.7,101.5,101.6,1220,0
IRMD.US,5,20260126,165000,101.31,101.31,101.3,101.3,372,0
IRMD.US,5,20260126,165500,101.26,101.26,101.26,101.26,100,0
IRMD.US,5,20260126,170000,101.24,101.5,101.24,101.5,214,0
IRMD.US,5,20260126,171000,101.11,101.11,101.11,101.11,100,0
IRMD.US,5,20260126,172500,101.23,101.23,101.23,101.23,150,0
IRMD.US,5,20260126,173000,100.8601,101.185,100.8601,101.185,335,0
IRMD.US,5,20260126,173500,101.185,101.185,101.185,101.185,100,0
IRMD.US,5,20260126,180000,100.89,100.93,100.89,100.93,200,0
IRMD.US,5,20260126,183000,100.945,100.945,100.945,100.945,200,0
IRMD.US,5,20260126,184500,100.97,100.97,100.97,100.97,100,0
IRMD.US,5,20260126,190000,100.73,100.73,100.55,100.72,1062,0
IRMD.US,5,20260126,191500,100.585,100.73,100.5,100.73,830,0
IRMD.US,5,20260126,193000,100.76,100.76,100.72,100.72,300,0
IRMD.US,5,20260126,201500,100.8,100.8,100.8,100.8,200,0
IRMD.US,5,20260126,202500,100.83,100.83,100.83,100.83,200,0
IRMD.US,5,20260126,205500,100.68,100.9508,100.59,100.9508,1098,0
IRMD.US,5,20260126,210000,100.54,100.54,100.54,100.54,100,0
IRMD.US,5,20260126,210500,100.7738,100.7738,100.7738,100.7738,191,0
IRMD.US,5,20260126,211000,100.76,100.76,100.5878,100.5878,700,0
IRMD.US,5,20260126,213000,100.52,100.52,100.52,100.52,100,0
IRMD.US,5,20260126,213500,100.53,100.53,100.53,100.53,100,0
IRMD.US,5,20260126,214000,100.52,100.52,100.5101,100.5101,539,0
IRMD.US,5,20260126,214500,100.535,100.535,100.24,100.24,1000,0
IRMD.US,5,20260126,215000,100.6625,100.6625,100.26,100.26,200,0
IRMD.US,5,20260126,215500,100.23,100.37,100.07,100.1,7070,0
IRMD.US,5,20260127,153000,100.1,100.1,96.46,99.4135,684,0
IRMD.US,5,20260127,153500,99.4,99.67,99.4,99.67,200,0
IRMD.US,5,20260127,160000,100.32,100.32,100.32,100.32,100,0
IRMD.US,5,20260127,162000,100,100,100,100,100,0
IRMD.US,5,20260127,162500,100.81,101.32,100.81,101.01,1230,0
IRMD.US,5,20260127,171000,100.74,100.74,100.45,100.45,200,0
