<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISSC.US,5,20260126,153000,21.44,21.44,20.82,20.85,12362,0
ISSC.US,5,20260126,153500,20.88,21.25,20.84,20.85,5749,0
ISSC.US,5,20260126,154000,20.84,20.9625,20.82,20.9182,3552,0
ISSC.US,5,20260126,154500,20.92,21.18,20.92,21.17,3772,0
ISSC.US,5,20260126,155000,21.21,21.37,21.21,21.35,4699,0
ISSC.US,5,20260126,155500,21.3672,21.3672,21.06,21.073,6271,0
ISSC.US,5,20260126,160000,21.14,21.22,21.14,21.21,2341,0
ISSC.US,5,20260126,160500,21.1314,21.2,21.0253,21.0545,5016,0
ISSC.US,5,20260126,161000,21.06,21.0697,21.02,21.0697,1312,0
ISSC.US,5,20260126,161500,21.08,21.1,20.97,20.97,3350,0
ISSC.US,5,20260126,162000,21.0168,21.0168,20.97,20.97,300,0
ISSC.US,5,20260126,162500,20.9485,20.9485,20.9,20.92,1138,0
ISSC.US,5,20260126,163000,20.86,20.8601,20.67,20.67,12932,0
ISSC.US,5,20260126,163500,20.65,20.68,20.16,20.323,55567,0
ISSC.US,5,20260126,164000,20.35,20.35,20.16,20.19,11538,0
ISSC.US,5,20260126,164500,20.23,20.31,20.07,20.31,21558,0
ISSC.US,5,20260126,165000,20.32,20.4194,20.32,20.38,11360,0
ISSC.US,5,20260126,165500,20.39,20.42,20.36,20.39,2828,0
ISSC.US,5,20260126,170000,20.38,20.58,20.38,20.58,5153,0
ISSC.US,5,20260126,170500,20.5401,20.6699,20.5401,20.605,963,0
ISSC.US,5,20260126,171000,20.55,20.55,20.31,20.45,15589,0
ISSC.US,5,20260126,171500,20.445,20.45,20.355,20.355,2948,0
ISSC.US,5,20260126,172000,20.36,20.41,20.352,20.39,1950,0
ISSC.US,5,20260126,172500,20.31,20.35,20.19,20.272,4782,0
ISSC.US,5,20260126,173000,20.262,20.28,20.105,20.19,21010,0
ISSC.US,5,20260126,173500,20.1851,20.275,20.1851,20.25,5078,0
ISSC.US,5,20260126,174000,20.22,20.22,20.13,20.175,1670,0
ISSC.US,5,20260126,174500,20.175,20.4,20.175,20.375,8277,0
ISSC.US,5,20260126,175000,20.38,20.38,20.32,20.38,2119,0
ISSC.US,5,20260126,175500,20.33,20.46,20.33,20.41,5166,0
ISSC.US,5,20260126,180000,20.4211,20.4211,20.352,20.4164,2554,0
ISSC.US,5,20260126,180500,20.41,20.41,20.3,20.3,2322,0
ISSC.US,5,20260126,181000,20.31,20.4,20.31,20.4,1604,0
ISSC.US,5,20260126,181500,20.4,20.42,20.396,20.42,1045,0
ISSC.US,5,20260126,182000,20.401,20.44,20.37,20.4,8394,0
ISSC.US,5,20260126,182500,20.42,20.48,20.41,20.45,4759,0
ISSC.US,5,20260126,183000,20.44,20.46,20.42,20.4222,1711,0
ISSC.US,5,20260126,183500,20.4,20.42,20.37,20.37,1421,0
ISSC.US,5,20260126,184000,20.3606,20.39,20.21,20.215,8216,0
ISSC.US,5,20260126,184500,20.19,20.22,20.12,20.22,2057,0
ISSC.US,5,20260126,185000,20.14,20.14,20.05,20.095,4855,0
ISSC.US,5,20260126,185500,20.11,20.11,20,20,10192,0
ISSC.US,5,20260126,190000,20.011,20.035,19.75,19.9,39665,0
ISSC.US,5,20260126,190500,19.8501,20.06,19.8501,20.05,7914,0
ISSC.US,5,20260126,191000,20.05,20.058,20,20.035,4142,0
ISSC.US,5,20260126,191500,20.03,20.1094,20.025,20.1094,2180,0
ISSC.US,5,20260126,192000,20.11,20.11,20.07,20.08,504,0
ISSC.US,5,20260126,192500,20.08,20.1199,20.06,20.11,1743,0
ISSC.US,5,20260126,193000,20.13,20.208,20.13,20.13,4227,0
ISSC.US,5,20260126,193500,20.1303,20.2,20.12,20.15,4474,0
ISSC.US,5,20260126,194000,20.1461,20.17,20.1461,20.155,466,0
ISSC.US,5,20260126,194500,20.155,20.16,20.15,20.15,451,0
ISSC.US,5,20260126,195000,20.1342,20.1342,20.09,20.1,1683,0
ISSC.US,5,20260126,195500,20.12,20.13,20.07,20.095,1822,0
ISSC.US,5,20260126,200000,20.12,20.14,20.0925,20.14,1434,0
ISSC.US,5,20260126,200500,20.12,20.13,20.05,20.05,970,0
ISSC.US,5,20260126,201000,20.02,20.028,20.02,20.028,300,0
ISSC.US,5,20260126,201500,20,20,19.94,19.9501,3025,0
ISSC.US,5,20260126,202000,19.94,19.96,19.94,19.96,1464,0
ISSC.US,5,20260126,202500,19.96,19.97,19.93,19.955,1486,0
ISSC.US,5,20260126,203000,19.95,19.9705,19.94,19.94,470,0
ISSC.US,5,20260126,203500,19.94,19.97,19.91,19.91,2787,0
ISSC.US,5,20260126,204000,19.93,19.98,19.93,19.98,964,0
ISSC.US,5,20260126,204500,19.96,19.96,19.78,19.87,15654,0
ISSC.US,5,20260126,205000,19.85,19.85,19.81,19.84,3345,0
ISSC.US,5,20260126,205500,19.85,19.85,19.65,19.73,5425,0
ISSC.US,5,20260126,210000,19.73,19.98,19.72,19.85,15112,0
ISSC.US,5,20260126,210500,19.89,19.9,19.86,19.87,2184,0
ISSC.US,5,20260126,211000,19.9,19.9,19.82,19.85,7351,0
ISSC.US,5,20260126,211500,19.84,19.92,19.84,19.92,6055,0
ISSC.US,5,20260126,212000,19.95,20,19.92,20,3746,0
ISSC.US,5,20260126,212500,20.015,20.04,19.96,19.99,8441,0
ISSC.US,5,20260126,213000,20.06,20.06,20.045,20.045,2176,0
ISSC.US,5,20260126,213500,20.0699,20.145,20.0699,20.11,4728,0
ISSC.US,5,20260126,214000,20.13,20.13,20.085,20.085,1899,0
ISSC.US,5,20260126,214500,20.09,20.355,20.06,20.345,13711,0
ISSC.US,5,20260126,215000,20.37,20.44,20.29,20.415,28718,0
ISSC.US,5,20260126,215500,20.43,20.61,20.43,20.5,110249,0
ISSC.US,5,20260127,153000,20.77,21.06,20.77,21.06,8435,0
ISSC.US,5,20260127,153500,21.1,21.175,21.01,21.135,10198,0
ISSC.US,5,20260127,154000,21.21,21.44,21.21,21.38,4891,0
ISSC.US,5,20260127,154500,21.39,21.5,21.35,21.5,6684,0
ISSC.US,5,20260127,155000,21.5,21.5,21.38,21.38,284,0
ISSC.US,5,20260127,155500,21.34,21.34,21.01,21.135,3568,0
ISSC.US,5,20260127,160000,21.02,21.175,21.02,21.17,1810,0
ISSC.US,5,20260127,160500,21.02,21.095,20.9925,21.01,2461,0
ISSC.US,5,20260127,161000,21.02,21.02,20.71,20.9,2907,0
ISSC.US,5,20260127,161500,20.85,21,20.7775,20.965,13588,0
ISSC.US,5,20260127,162000,20.975,21.1599,20.91,21,1609,0
ISSC.US,5,20260127,162500,21,21.045,20.95,20.96,945,0
ISSC.US,5,20260127,163000,20.92,20.92,20.84,20.84,1143,0
ISSC.US,5,20260127,163500,20.913,20.913,20.725,20.725,1472,0
ISSC.US,5,20260127,164000,20.76,20.76,20.71,20.71,400,0
ISSC.US,5,20260127,164500,20.84,20.935,20.84,20.935,945,0
ISSC.US,5,20260127,165000,20.86,20.92,20.83,20.92,1934,0
ISSC.US,5,20260127,165500,20.83,20.83,20.83,20.83,264,0
ISSC.US,5,20260127,170000,20.95,21.03,20.92,21.03,3062,0
ISSC.US,5,20260127,170500,21,21.01,20.88,20.88,1473,0
ISSC.US,5,20260127,171000,20.96,20.96,20.96,20.96,446,0
ISSC.US,5,20260127,171500,20.9544,20.9544,20.895,20.9488,1369,0
ISSC.US,5,20260127,172000,20.96,20.96,20.96,20.96,100,0
ISSC.US,5,20260127,172500,20.965,20.965,20.77,20.79,2799,0
ISSC.US,5,20260127,173000,20.78,20.785,20.78,20.785,200,0
ISSC.US,5,20260127,173500,20.78,20.805,20.78,20.805,220,0
ISSC.US,5,20260127,174000,20.795,20.82,20.795,20.8,788,0
ISSC.US,5,20260127,174500,20.8,20.8,20.75,20.75,715,0
ISSC.US,5,20260127,175000,20.75,20.8,20.75,20.78,2490,0
ISSC.US,5,20260127,175500,20.79,20.795,20.78,20.78,1345,0
ISSC.US,5,20260127,180000,20.7801,20.8506,20.78,20.8506,1715,0
ISSC.US,5,20260127,180500,20.85,20.85,20.85,20.85,823,0
ISSC.US,5,20260127,181000,20.85,20.85,20.74,20.76,1536,0
ISSC.US,5,20260127,181500,20.76,20.9499,20.76,20.9,2757,0
ISSC.US,5,20260127,182000,20.896,20.9499,20.85,20.9499,1050,0
ISSC.US,5,20260127,182500,20.9499,20.9499,20.9499,20.9499,250,0
ISSC.US,5,20260127,183000,20.925,20.925,20.9,20.9,500,0
ISSC.US,5,20260127,183500,20.9087,20.9087,20.9087,20.9087,125,0
ISSC.US,5,20260127,184000,20.925,20.925,20.925,20.925,100,0
ISSC.US,5,20260127,184500,20.895,20.895,20.87,20.89,813,0
ISSC.US,5,20260127,185000,20.92,20.92,20.91,20.91,249,0
ISSC.US,5,20260127,185500,20.94,21.06,20.925,21.06,2374,0
ISSC.US,5,20260127,190000,20.96,20.9669,20.8701,20.95,9555,0
ISSC.US,5,20260127,191000,20.92,20.955,20.91,20.91,3337,0
ISSC.US,5,20260127,191500,20.92,20.96,20.92,20.96,645,0
ISSC.US,5,20260127,192000,20.96,20.96,20.96,20.96,200,0
ISSC.US,5,20260127,192500,20.88,20.95,20.88,20.95,500,0
ISSC.US,5,20260127,193000,20.96,21.03,20.96,21.02,1245,0
ISSC.US,5,20260127,193500,21.065,21.065,21.065,21.065,225,0
ISSC.US,5,20260127,194000,21.0275,21.0696,21.0275,21.03,3603,0
ISSC.US,5,20260127,195000,21.036,21.05,21.01,21.02,2700,0
ISSC.US,5,20260127,195500,21,21,20.97,20.97,550,0
ISSC.US,5,20260127,200000,20.97,21.02,20.97,21.005,885,0
ISSC.US,5,20260127,200500,21.015,21.015,20.97,20.97,200,0
ISSC.US,5,20260127,201000,20.97,21.02,20.96,21.02,1638,0
ISSC.US,5,20260127,201500,21.105,21.105,21.1,21.1,200,0
ISSC.US,5,20260127,202000,21.1,21.15,21.1,21.1,2753,0
ISSC.US,5,20260127,202500,21.085,21.085,21.06,21.06,200,0
ISSC.US,5,20260127,203000,21.06,21.06,21.06,21.06,200,0
ISSC.US,5,20260127,203500,21.08,21.11,21.08,21.11,300,0
ISSC.US,5,20260127,204000,21.075,21.075,21.075,21.075,315,0
ISSC.US,5,20260127,204500,21.088,21.12,21.07,21.1,2157,0
ISSC.US,5,20260127,205000,21.16,21.16,21.11,21.11,1100,0
ISSC.US,5,20260127,205500,21.1,21.11,21.1,21.1,1574,0
ISSC.US,5,20260127,210000,21.08,21.11,21.08,21.11,1337,0
ISSC.US,5,20260127,210500,21.09,21.09,21.0645,21.09,1892,0
ISSC.US,5,20260127,211000,21.11,21.11,21.11,21.11,200,0
ISSC.US,5,20260127,211500,21.11,21.15,21.11,21.14,1359,0
ISSC.US,5,20260127,212000,21.16,21.2,21.14,21.14,3447,0
ISSC.US,5,20260127,212500,21.16,21.16,21.08,21.08,1621,0
ISSC.US,5,20260127,213000,21.05,21.051,20.975,20.99,1453,0
ISSC.US,5,20260127,213500,20.9401,21.02,20.9401,21.02,1677,0
ISSC.US,5,20260127,214000,21.0472,21.06,21.03,21.03,7574,0
ISSC.US,5,20260127,214500,21.05,21.21,21.035,21.21,5616,0
ISSC.US,5,20260127,215000,21.2,21.21,21.14,21.1996,4151,0
ISSC.US,5,20260127,215500,21.185,21.28,21.11,21.28,33130,0
ISSC.US,5,20260128,153000,21.28,21.3,21,21,10772,0
ISSC.US,5,20260128,153500,20.89,20.89,20.825,20.825,3020,0
ISSC.US,5,20260128,154000,20.82,20.845,20.82,20.82,546,0
ISSC.US,5,20260128,154500,20.8,20.8,20.6,20.6186,6943,0
ISSC.US,5,20260128,155000,20.605,20.605,20.594,20.594,394,0
ISSC.US,5,20260128,155500,20.52,20.565,20.3,20.37,10462,0
ISSC.US,5,20260128,160000,20.35,20.35,20.325,20.325,595,0
ISSC.US,5,20260128,160500,20.295,20.32,20.13,20.13,6622,0
ISSC.US,5,20260128,161000,20.06,20.07,19.87,19.95,10934,0
ISSC.US,5,20260128,161500,19.925,20.02,19.9101,19.985,6926,0
ISSC.US,5,20260128,162000,19.98,20.05,19.94,19.995,2508,0
ISSC.US,5,20260128,162500,19.93,19.94,19.8,19.8801,11042,0
ISSC.US,5,20260128,163000,19.95,20.01,19.95,19.97,3596,0
ISSC.US,5,20260128,163500,19.955,20.04,19.955,20.04,2426,0
ISSC.US,5,20260128,164000,20.07,20.07,20.07,20.07,100,0
ISSC.US,5,20260128,164500,20.065,20.065,20.065,20.065,100,0
ISSC.US,5,20260128,165000,20.03,20.1299,20.03,20.1299,1750,0
ISSC.US,5,20260128,165500,20.0601,20.095,20.04,20.04,650,0
ISSC.US,5,20260128,170000,20,20.07,19.99,20.07,2157,0
ISSC.US,5,20260128,170500,20.06,20.06,20.04,20.04,673,0
ISSC.US,5,20260128,171000,20.0418,20.0425,20.03,20.0425,1400,0
ISSC.US,5,20260128,171500,20.0201,20.08,20.02,20.08,2050,0
