<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JATT.US,5,20260417,165000,10,10.05,9.99,10.025,134152,0
JATT.US,5,20260417,165500,10.03,10.07,10.02,10.0547,19778,0
JATT.US,5,20260417,170000,10.07,10.07,10.06,10.06,300,0
JATT.US,5,20260417,170500,10.06,10.08,10.05,10.05,4219,0
JATT.US,5,20260417,171000,10.08,10.1,10.06,10.06,2994,0
JATT.US,5,20260417,172000,10.0708,10.105,10.0708,10.0875,1441,0
JATT.US,5,20260417,172500,10.105,10.105,10.105,10.105,200,0
JATT.US,5,20260417,173000,10.12,10.12,10.12,10.12,200,0
JATT.US,5,20260417,173500,10.12,10.14,10.0825,10.14,2848,0
JATT.US,5,20260417,174000,10.15,10.15,10.14,10.14,300,0
JATT.US,5,20260417,174500,10.14,10.14,10.14,10.14,1000,0
JATT.US,5,20260417,175000,10.18,10.18,10.18,10.18,200,0
JATT.US,5,20260417,175500,10.14,10.15,10.11,10.11,400,0
JATT.US,5,20260417,180500,10.105,10.105,10.1008,10.1008,600,0
JATT.US,5,20260417,181500,10.14,10.14,10.11,10.12,1100,0
JATT.US,5,20260417,182000,10.14,10.52,10.14,10.52,4000,0
JATT.US,5,20260417,183000,10.175,10.25,10.14,10.25,594,0
JATT.US,5,20260417,184000,10.25,10.25,10.25,10.25,100,0
JATT.US,5,20260417,184500,10.15,10.2,10.15,10.2,300,0
JATT.US,5,20260417,185000,10.28,10.28,10.28,10.28,107,0
JATT.US,5,20260417,185500,10.145,10.145,10.145,10.145,100,0
JATT.US,5,20260417,190000,10.25,10.25,10.23,10.25,400,0
JATT.US,5,20260417,190500,10.23,10.23,10.23,10.23,100,0
JATT.US,5,20260417,191000,10.2,10.2,10.2,10.2,100,0
JATT.US,5,20260417,192500,10.11,10.155,10.11,10.155,200,0
JATT.US,5,20260417,193000,10.2,10.25,10.15,10.25,1170,0
JATT.US,5,20260417,193500,10.22,10.22,10.22,10.22,100,0
JATT.US,5,20260417,200000,10.2,10.29,10.2,10.29,4123,0
JATT.US,5,20260417,201500,10.17,10.19,10.125,10.15,2000,0
JATT.US,5,20260417,202500,10.1,10.14,10.1,10.11,300,0
JATT.US,5,20260417,203000,10.17,10.19,10.17,10.18,300,0
JATT.US,5,20260417,204000,10.2,10.22,10.2,10.21,900,0
JATT.US,5,20260417,205000,10.19,10.19,10.19,10.19,100,0
JATT.US,5,20260417,205500,10.19,10.19,10.19,10.19,200,0
JATT.US,5,20260417,210000,10.25,10.25,10.25,10.25,100,0
JATT.US,5,20260417,211000,10.23,10.23,10.215,10.215,200,0
