<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KIDS.US,5,20260126,153000,18.14,18.14,18.14,18.14,530,0
KIDS.US,5,20260126,153500,18.3,18.31,17.89,17.89,350,0
KIDS.US,5,20260126,155000,18.025,18.16,18.025,18.16,800,0
KIDS.US,5,20260126,155500,18.06,18.21,18.05,18.105,1082,0
KIDS.US,5,20260126,161000,18.2,18.27,18.15,18.15,3218,0
KIDS.US,5,20260126,161500,18.13,18.13,18.13,18.13,300,0
KIDS.US,5,20260126,162500,18.255,18.255,18.255,18.255,300,0
KIDS.US,5,20260126,163000,18.24,18.24,18.16,18.235,591,0
KIDS.US,5,20260126,163500,18.16,18.16,18.115,18.13,1150,0
KIDS.US,5,20260126,164000,18.165,18.19,18.1,18.19,2176,0
KIDS.US,5,20260126,165000,18.19,18.19,18.18,18.18,600,0
KIDS.US,5,20260126,165500,18.15,18.15,18.15,18.15,300,0
KIDS.US,5,20260126,170000,18.17,18.275,18.17,18.275,1400,0
KIDS.US,5,20260126,170500,18.255,18.255,18.255,18.255,100,0
KIDS.US,5,20260126,171000,18.21,18.25,18.21,18.25,300,0
KIDS.US,5,20260126,172000,18.15,18.16,18.14,18.14,551,0
KIDS.US,5,20260126,172500,18.2,18.2,18.2,18.2,100,0
KIDS.US,5,20260126,173000,18.205,18.205,18.205,18.205,200,0
KIDS.US,5,20260126,173500,18.26,18.27,18.23,18.25,1100,0
KIDS.US,5,20260126,174000,18.22,18.225,18.2,18.2,300,0
KIDS.US,5,20260126,174500,18.2,18.2,18.17,18.17,300,0
KIDS.US,5,20260126,175500,18.15,18.15,18.15,18.15,100,0
KIDS.US,5,20260126,181000,18.15,18.175,18.15,18.175,200,0
KIDS.US,5,20260126,182000,18.13,18.13,18.13,18.13,100,0
KIDS.US,5,20260126,182500,18.13,18.14,18.13,18.14,300,0
KIDS.US,5,20260126,184000,18.14,18.15,18.09,18.09,304,0
KIDS.US,5,20260126,184500,18.12,18.12,18.105,18.105,300,0
KIDS.US,5,20260126,185000,18.0801,18.0801,18.0801,18.0801,100,0
KIDS.US,5,20260126,185500,18.08,18.0825,18.08,18.0825,200,0
KIDS.US,5,20260126,190500,18.05,18.05,17.995,17.995,609,0
KIDS.US,5,20260126,191500,18.03,18.03,18.02,18.02,200,0
KIDS.US,5,20260126,192500,18.03,18.03,18.01,18.02,482,0
KIDS.US,5,20260126,193500,17.98,17.98,17.95,17.95,200,0
KIDS.US,5,20260126,195000,17.95,17.95,17.95,17.95,100,0
KIDS.US,5,20260126,200000,17.93,17.93,17.93,17.93,100,0
KIDS.US,5,20260126,201000,17.96,17.96,17.96,17.96,185,0
KIDS.US,5,20260126,203000,17.9,17.9,17.9,17.9,100,0
KIDS.US,5,20260126,204500,17.91,17.91,17.91,17.91,300,0
KIDS.US,5,20260126,205500,17.875,17.88,17.875,17.88,200,0
KIDS.US,5,20260126,210000,17.922,17.922,17.922,17.922,139,0
KIDS.US,5,20260126,210500,17.915,17.915,17.91,17.91,200,0
KIDS.US,5,20260126,211000,17.905,17.975,17.905,17.975,1100,0
KIDS.US,5,20260126,211500,17.94,17.97,17.94,17.965,700,0
KIDS.US,5,20260126,212000,17.97,17.97,17.97,17.97,100,0
KIDS.US,5,20260126,212500,17.955,17.955,17.93,17.93,400,0
KIDS.US,5,20260126,213000,17.94,17.94,17.94,17.94,200,0
KIDS.US,5,20260126,213500,17.955,17.955,17.9,17.9,1301,0
KIDS.US,5,20260126,214000,17.9,17.915,17.89,17.915,854,0
KIDS.US,5,20260126,214500,17.91,17.91,17.91,17.91,100,0
KIDS.US,5,20260126,215000,17.9,17.91,17.86,17.87,1583,0
KIDS.US,5,20260126,215500,17.845,17.845,17.78,17.78,14234,0
KIDS.US,5,20260127,153000,18.07,18.245,18.015,18.015,5995,0
KIDS.US,5,20260127,154000,17.94,17.995,17.69,17.995,1404,0
KIDS.US,5,20260127,155000,17.81,17.81,17.81,17.81,100,0
KIDS.US,5,20260127,160000,17.73,17.74,17.71,17.71,500,0
KIDS.US,5,20260127,160500,17.72,17.72,17.72,17.72,100,0
KIDS.US,5,20260127,161000,17.76,17.875,17.76,17.875,433,0
KIDS.US,5,20260127,161500,17.8775,18.01,17.875,17.94,1231,0
KIDS.US,5,20260127,162500,17.95,17.98,17.95,17.96,506,0
KIDS.US,5,20260127,163000,17.875,17.875,17.815,17.815,750,0
KIDS.US,5,20260127,163500,17.785,17.89,17.785,17.88,550,0
KIDS.US,5,20260127,165000,17.91,17.91,17.91,17.91,300,0
KIDS.US,5,20260127,165500,17.87,17.87,17.87,17.87,100,0
KIDS.US,5,20260127,170500,17.856,17.87,17.856,17.87,442,0
KIDS.US,5,20260127,171000,17.88,17.94,17.88,17.94,610,0
KIDS.US,5,20260127,171500,18.01,18.01,18.01,18.01,100,0
KIDS.US,5,20260127,174000,17.94,17.97,17.92,17.92,508,0
KIDS.US,5,20260127,174500,17.935,17.935,17.935,17.935,100,0
KIDS.US,5,20260127,181500,17.97,17.97,17.97,17.97,200,0
KIDS.US,5,20260127,182000,17.99,17.99,17.99,17.99,100,0
KIDS.US,5,20260127,183000,17.95,17.95,17.87,17.87,385,0
KIDS.US,5,20260127,184500,17.88,17.88,17.83,17.83,346,0
KIDS.US,5,20260127,185000,17.845,17.845,17.845,17.845,437,0
KIDS.US,5,20260127,185500,17.79,17.79,17.79,17.79,100,0
KIDS.US,5,20260127,191000,17.78,17.8,17.76,17.8,718,0
KIDS.US,5,20260127,192000,17.835,17.835,17.835,17.835,309,0
KIDS.US,5,20260127,192500,17.79,17.79,17.79,17.79,200,0
KIDS.US,5,20260127,193000,17.88,17.88,17.88,17.88,100,0
KIDS.US,5,20260127,194000,17.8478,17.8478,17.84,17.84,471,0
KIDS.US,5,20260127,195000,17.86,17.86,17.86,17.86,100,0
KIDS.US,5,20260127,200000,17.8624,17.8624,17.8624,17.8624,148,0
KIDS.US,5,20260127,202500,17.8201,17.855,17.8201,17.855,265,0
KIDS.US,5,20260127,203500,17.84,17.86,17.84,17.86,700,0
KIDS.US,5,20260127,204500,17.84,17.84,17.84,17.84,590,0
KIDS.US,5,20260127,205500,17.855,17.855,17.855,17.855,100,0
KIDS.US,5,20260127,210000,17.83,17.83,17.83,17.83,168,0
