<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KTCC.US,5,20260126,153000,2.78,2.7999,2.78,2.7999,1109,0
KTCC.US,5,20260126,154500,2.75,2.75,2.75,2.75,100,0
KTCC.US,5,20260126,160000,2.7999,2.7999,2.7999,2.7999,1500,0
KTCC.US,5,20260126,173500,2.75,2.7684,2.75,2.7684,575,0
KTCC.US,5,20260126,174500,2.75,2.7661,2.75,2.76,4698,0
KTCC.US,5,20260126,175000,2.75,2.75,2.75,2.75,200,0
KTCC.US,5,20260126,175500,2.72,2.72,2.72,2.72,2044,0
KTCC.US,5,20260126,185000,2.75,2.75,2.75,2.75,408,0
KTCC.US,5,20260126,193000,2.8,2.8,2.8,2.8,357,0
KTCC.US,5,20260126,194000,2.775,2.83,2.775,2.8,4490,0
KTCC.US,5,20260126,201000,2.83,2.83,2.83,2.83,100,0
KTCC.US,5,20260126,210000,2.8,2.83,2.8,2.83,858,0
KTCC.US,5,20260126,211000,2.86,2.86,2.86,2.86,100,0
KTCC.US,5,20260126,214500,2.804,2.804,2.804,2.804,100,0
KTCC.US,5,20260126,215500,2.76,2.76,2.76,2.76,3070,0
KTCC.US,5,20260127,153000,2.79,2.79,2.79,2.79,144,0
KTCC.US,5,20260127,160500,2.85,2.85,2.85,2.85,550,0
KTCC.US,5,20260127,174000,2.8499,2.8499,2.8499,2.8499,1000,0
KTCC.US,5,20260127,190000,2.79,2.79,2.79,2.79,916,0
KTCC.US,5,20260127,191500,2.85,2.85,2.85,2.85,1000,0
KTCC.US,5,20260127,214500,2.84,2.84,2.84,2.84,100,0
KTCC.US,5,20260127,215500,2.81,2.82,2.76,2.76,4183,0
KTCC.US,5,20260128,153500,2.77,2.77,2.77,2.77,2000,0
KTCC.US,5,20260128,155500,2.785,2.785,2.785,2.785,4882,0
KTCC.US,5,20260128,170000,2.818,2.818,2.818,2.818,1000,0
KTCC.US,5,20260128,180000,2.785,2.785,2.785,2.785,100,0
KTCC.US,5,20260128,181000,2.795,2.795,2.795,2.795,100,0
KTCC.US,5,20260128,182500,2.83,2.83,2.83,2.83,100,0
KTCC.US,5,20260128,191000,2.83,2.83,2.83,2.83,1000,0
KTCC.US,5,20260128,210000,2.84,2.84,2.84,2.84,100,0
KTCC.US,5,20260128,215500,2.825,2.88,2.825,2.88,3196,0
KTCC.US,5,20260129,153000,2.87,2.92,2.87,2.92,937,0
KTCC.US,5,20260129,153500,2.87,2.88,2.87,2.87,355,0
KTCC.US,5,20260129,154000,2.92,2.92,2.92,2.92,100,0
KTCC.US,5,20260129,155500,2.89,2.89,2.89,2.89,694,0
KTCC.US,5,20260129,165500,2.91,2.91,2.91,2.91,694,0
KTCC.US,5,20260129,175000,2.91,2.91,2.88,2.9,1494,0
KTCC.US,5,20260129,180000,2.9199,2.9199,2.9199,2.9199,856,0
KTCC.US,5,20260129,183000,2.9,2.9,2.9,2.9,100,0
KTCC.US,5,20260129,185500,2.88,2.93,2.88,2.93,5215,0
KTCC.US,5,20260129,191500,2.91,2.91,2.83,2.83,804,0
KTCC.US,5,20260129,192000,2.74,2.91,2.74,2.91,2100,0
KTCC.US,5,20260129,200000,2.89,2.89,2.89,2.89,300,0
KTCC.US,5,20260129,205500,2.89,2.89,2.89,2.89,100,0
KTCC.US,5,20260129,212500,2.88,2.88,2.88,2.88,300,0
KTCC.US,5,20260129,214000,2.93,2.93,2.93,2.93,100,0
KTCC.US,5,20260129,214500,2.93,2.93,2.93,2.93,100,0
KTCC.US,5,20260130,153000,2.9,2.9,2.9,2.9,520,0
KTCC.US,5,20260130,154000,2.835,2.835,2.835,2.835,420,0
