<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KYTX.US,5,20260126,153000,9.63,9.645,9.44,9.542,36155,0
KYTX.US,5,20260126,153500,9.43,9.43,9.2,9.25,14761,0
KYTX.US,5,20260126,154000,9.25,9.51,9.2397,9.51,11864,0
KYTX.US,5,20260126,154500,9.47,9.47,9.29,9.29,5480,0
KYTX.US,5,20260126,155000,9.28,9.29,9.2,9.255,28788,0
KYTX.US,5,20260126,155500,9.18,9.4938,9.02,9.49,76166,0
KYTX.US,5,20260126,160000,9.335,9.3947,9.26,9.36,13433,0
KYTX.US,5,20260126,160500,9.36,9.36,9.165,9.259,52201,0
KYTX.US,5,20260126,161000,9.165,9.2199,9.12,9.17,6521,0
KYTX.US,5,20260126,161500,9.174,9.39,9.165,9.39,21930,0
KYTX.US,5,20260126,162000,9.39,9.39,9.3,9.315,2145,0
KYTX.US,5,20260126,162500,9.335,9.335,9.2,9.25,2297,0
KYTX.US,5,20260126,163000,9.19,9.27,9.19,9.255,9105,0
KYTX.US,5,20260126,163500,9.23,9.255,9.2,9.2343,2717,0
KYTX.US,5,20260126,164000,9.19,9.29,9.1601,9.23,11398,0
KYTX.US,5,20260126,164500,9.24,9.2826,9.23,9.24,3129,0
KYTX.US,5,20260126,165000,9.2442,9.26,9.2,9.2,9250,0
KYTX.US,5,20260126,165500,9.2,9.225,9.2,9.225,471,0
KYTX.US,5,20260126,170000,9.25,9.25,9.1936,9.225,3670,0
KYTX.US,5,20260126,170500,9.1901,9.25,9.18,9.245,15936,0
KYTX.US,5,20260126,171000,9.25,9.29,9.25,9.29,5066,0
KYTX.US,5,20260126,171500,9.27,9.27,9.24,9.25,9498,0
KYTX.US,5,20260126,172000,9.24,9.27,9.24,9.265,4656,0
KYTX.US,5,20260126,172500,9.265,9.265,9.24,9.26,1688,0
KYTX.US,5,20260126,173000,9.23,9.29,9.22,9.22,2236,0
KYTX.US,5,20260126,173500,9.21,9.21,9.21,9.21,200,0
KYTX.US,5,20260126,174000,9.21,9.21,9.15,9.1899,2950,0
KYTX.US,5,20260126,174500,9.15,9.16,9.13,9.15,8715,0
KYTX.US,5,20260126,175000,9.14,9.16,9.12,9.12,3353,0
KYTX.US,5,20260126,175500,9.125,9.13,9.12,9.125,3500,0
KYTX.US,5,20260126,180000,9.12,9.125,9.09,9.1,5309,0
KYTX.US,5,20260126,180500,9.0892,9.0975,9.0892,9.09,3400,0
KYTX.US,5,20260126,181000,9.09,9.1,9.06,9.1,7524,0
KYTX.US,5,20260126,181500,9.07,9.071,9.06,9.06,3109,0
KYTX.US,5,20260126,182000,9.06,9.108,9.03,9.108,9918,0
KYTX.US,5,20260126,182500,9.075,9.1,9.075,9.09,3636,0
KYTX.US,5,20260126,183000,9.08,9.12,9.05,9.08,22568,0
KYTX.US,5,20260126,183500,9.08,9.09,9.07,9.0765,6286,0
KYTX.US,5,20260126,184000,9.08,9.0863,9,9.03,25417,0
KYTX.US,5,20260126,184500,9.0463,9.0463,8.98,9,4531,0
KYTX.US,5,20260126,185000,8.9999,9.0169,8.91,8.9917,16777,0
KYTX.US,5,20260126,185500,8.99,9.015,8.96,8.96,17686,0
KYTX.US,5,20260126,190000,8.95,8.96,8.93,8.94,3805,0
KYTX.US,5,20260126,190500,8.95,8.97,8.9484,8.9644,2063,0
KYTX.US,5,20260126,191000,8.9779,8.980133,8.93,8.955,20071,0
KYTX.US,5,20260126,191500,8.955,8.955,8.93,8.93,10545,0
KYTX.US,5,20260126,192000,8.94,8.97,8.94,8.97,914,0
KYTX.US,5,20260126,192500,8.96,8.96,8.94,8.9516,12086,0
KYTX.US,5,20260126,193000,8.94,8.97,8.94,8.955,4532,0
KYTX.US,5,20260126,193500,8.94,8.94,8.92,8.92,16593,0
KYTX.US,5,20260126,194000,8.92,8.9633,8.91,8.96,6231,0
KYTX.US,5,20260126,194500,8.9305,9,8.9305,8.99,24513,0
KYTX.US,5,20260126,195000,8.98,8.98,8.97,8.97,2689,0
KYTX.US,5,20260126,195500,8.97,8.97,8.94,8.948,2151,0
KYTX.US,5,20260126,200000,8.9492,8.99,8.9401,8.9886,9582,0
KYTX.US,5,20260126,200500,8.99,9.02,8.96,9.02,13784,0
KYTX.US,5,20260126,201000,9,9.045,8.97,9.045,32987,0
KYTX.US,5,20260126,201500,9.045,9.0799,9,9.01,12142,0
KYTX.US,5,20260126,202000,9.005,9.06,8.99,9.035,12154,0
KYTX.US,5,20260126,202500,9.035,9.035,9.01,9.0101,2370,0
KYTX.US,5,20260126,203000,9.0262,9.075,9.02,9.0625,4301,0
KYTX.US,5,20260126,203500,9.07,9.07,9.03,9.035,8870,0
KYTX.US,5,20260126,204000,9.03,9.06,9.0049,9.04,12180,0
KYTX.US,5,20260126,204500,9.045,9.045,9,9.025,3160,0
KYTX.US,5,20260126,205000,9.01,9.01,8.98,8.98,4516,0
KYTX.US,5,20260126,205500,8.98,8.9963,8.95,8.975,2713,0
KYTX.US,5,20260126,210000,8.98,9.01,8.95,9.01,7579,0
KYTX.US,5,20260126,210500,8.9908,9.01,8.98,8.98,5091,0
KYTX.US,5,20260126,211000,9.005,9.005,8.9601,8.9601,3480,0
KYTX.US,5,20260126,211500,8.96,8.98,8.96,8.96,3100,0
KYTX.US,5,20260126,212000,8.96,8.9708,8.8,8.87,72201,0
KYTX.US,5,20260126,212500,8.87,8.93,8.87,8.9286,4888,0
KYTX.US,5,20260126,213000,8.89,8.92,8.89,8.9,2691,0
KYTX.US,5,20260126,213500,8.9,8.9,8.8,8.8266,43094,0
KYTX.US,5,20260126,214000,8.8364,8.88,8.82,8.88,8228,0
KYTX.US,5,20260126,214500,8.89,8.91,8.87,8.91,5923,0
KYTX.US,5,20260126,215000,8.91,8.91,8.85,8.875,11097,0
KYTX.US,5,20260126,215500,8.88,8.89,8.83,8.88,75058,0
KYTX.US,5,20260127,153000,8.91,9.32,8.91,9.32,19057,0
KYTX.US,5,20260127,153500,9.4,9.49,9.3,9.3879,16463,0
KYTX.US,5,20260127,154000,9.3875,9.395,9.21,9.22,14831,0
KYTX.US,5,20260127,154500,9.2775,9.285,9.18,9.19,2841,0
KYTX.US,5,20260127,155000,9.19,9.25,9.18,9.235,5839,0
KYTX.US,5,20260127,155500,9.235,9.2754,9.17,9.17,4150,0
KYTX.US,5,20260127,160000,9.17,9.24,9.13,9.1368,11569,0
KYTX.US,5,20260127,160500,9.12,9.1563,9.1,9.12,1327,0
KYTX.US,5,20260127,161000,9.1396,9.4355,9.1371,9.25,24577,0
KYTX.US,5,20260127,161500,9.3,9.35,9.28,9.28,2299,0
KYTX.US,5,20260127,162000,9.2624,9.41,9.2624,9.38,3541,0
KYTX.US,5,20260127,162500,9.37,9.45,9.37,9.45,4497,0
KYTX.US,5,20260127,163000,9.45,9.54,9.38,9.382,21583,0
KYTX.US,5,20260127,163500,9.39,9.4599,9.36,9.415,9573,0
KYTX.US,5,20260127,164000,9.43,9.43,9.36,9.36,3552,0
KYTX.US,5,20260127,164500,9.4,9.48,9.3699,9.48,5072,0
KYTX.US,5,20260127,165000,9.48,9.51,9.45,9.485,12705,0
KYTX.US,5,20260127,165500,9.46,9.46,9.4,9.4,12760,0
KYTX.US,5,20260127,170000,9.38,9.4305,9.37,9.39,650,0
KYTX.US,5,20260127,170500,9.36,9.4191,9.36,9.4191,5085,0
KYTX.US,5,20260127,171000,9.42,9.445,9.39,9.39,6018,0
KYTX.US,5,20260127,171500,9.42,9.4885,9.39,9.4885,6564,0
KYTX.US,5,20260127,172000,9.465,9.465,9.4,9.4,6032,0
KYTX.US,5,20260127,172500,9.42,9.42,9.39,9.41,3525,0
KYTX.US,5,20260127,173000,9.41,9.41,9.39,9.39,5370,0
KYTX.US,5,20260127,173500,9.39,9.41,9.35,9.35,4664,0
KYTX.US,5,20260127,174000,9.35,9.36,9.33,9.36,3372,0
KYTX.US,5,20260127,174500,9.34,9.45,9.32,9.4139,15277,0
KYTX.US,5,20260127,175000,9.43,9.43,9.38,9.405,4736,0
KYTX.US,5,20260127,175500,9.405,9.41,9.38,9.4,5046,0
KYTX.US,5,20260127,180000,9.38,9.4062,9.36,9.36,6458,0
KYTX.US,5,20260127,180500,9.34,9.41,9.34,9.41,1250,0
KYTX.US,5,20260127,181000,9.3801,9.45,9.3801,9.42,7831,0
KYTX.US,5,20260127,181500,9.42,9.42,9.335,9.38,17981,0
KYTX.US,5,20260127,182000,9.3662,9.45,9.3662,9.45,5486,0
KYTX.US,5,20260127,182500,9.45,9.5061,9.44,9.465,3560,0
KYTX.US,5,20260127,183000,9.47,9.51,9.45,9.4869,3268,0
KYTX.US,5,20260127,183500,9.48,9.49,9.455,9.49,750,0
KYTX.US,5,20260127,184000,9.49,9.49,9.39,9.4,12171,0
KYTX.US,5,20260127,184500,9.4,9.4,9.385,9.39,700,0
KYTX.US,5,20260127,185000,9.375,9.41,9.34,9.36,6202,0
KYTX.US,5,20260127,185500,9.365,9.365,9.34,9.34,900,0
KYTX.US,5,20260127,190000,9.3913,9.3913,9.35,9.37,3130,0
KYTX.US,5,20260127,190500,9.385,9.39,9.35,9.3585,4535,0
KYTX.US,5,20260127,191000,9.375,9.375,9.375,9.375,700,0
KYTX.US,5,20260127,191500,9.38,9.41,9.37,9.39,2661,0
