<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LBRDA.US,5,20260126,153000,44.76,44.82,44.76,44.82,1053,0
LBRDA.US,5,20260126,153500,44.91,45.03,44.91,45.03,400,0
LBRDA.US,5,20260126,154000,45.02,45.02,45.02,45.02,100,0
LBRDA.US,5,20260126,154500,44.65,45.095,44.65,44.96,5669,0
LBRDA.US,5,20260126,155000,44.92,45.08,44.92,45.08,800,0
LBRDA.US,5,20260126,155500,44.96,44.96,44.6,44.6,1445,0
LBRDA.US,5,20260126,160000,44.6,44.93,44.6,44.93,606,0
LBRDA.US,5,20260126,160500,44.89,44.97,44.89,44.94,645,0
LBRDA.US,5,20260126,161000,44.99,44.99,44.885,44.885,500,0
LBRDA.US,5,20260126,161500,44.9,44.94,44.88,44.94,500,0
LBRDA.US,5,20260126,162000,44.86,44.86,44.86,44.86,100,0
LBRDA.US,5,20260126,162500,44.84,44.84,44.84,44.84,100,0
LBRDA.US,5,20260126,163000,44.81,44.885,44.81,44.885,800,0
LBRDA.US,5,20260126,163500,44.8779,44.8779,44.79,44.79,600,0
LBRDA.US,5,20260126,164000,44.74,44.81,44.74,44.74,2500,0
LBRDA.US,5,20260126,164500,44.79,44.82,44.79,44.82,933,0
LBRDA.US,5,20260126,165000,44.83,44.86,44.73,44.73,1407,0
LBRDA.US,5,20260126,165500,44.79,44.79,44.47,44.47,1227,0
LBRDA.US,5,20260126,170000,44.5,44.65,44.5,44.65,1250,0
LBRDA.US,5,20260126,170500,44.68,44.68,44.62,44.62,800,0
LBRDA.US,5,20260126,171000,44.56,44.61,44.56,44.61,500,0
LBRDA.US,5,20260126,171500,44.5536,44.69,44.5536,44.64,500,0
LBRDA.US,5,20260126,172000,44.66,44.66,44.64,44.64,200,0
LBRDA.US,5,20260126,172500,44.7,44.7,44.67,44.67,200,0
LBRDA.US,5,20260126,173500,44.61,44.61,44.58,44.58,200,0
LBRDA.US,5,20260126,174000,44.47,44.47,44.47,44.47,100,0
LBRDA.US,5,20260126,174500,44.5,44.5,44.5,44.5,100,0
LBRDA.US,5,20260126,175000,44.49,44.54,44.49,44.54,200,0
LBRDA.US,5,20260126,175500,44.57,44.57,44.57,44.57,300,0
LBRDA.US,5,20260126,181000,44.44,44.44,44.42,44.42,290,0
LBRDA.US,5,20260126,181500,44.445,44.445,44.43,44.43,330,0
LBRDA.US,5,20260126,182500,44.48,44.49,44.445,44.445,335,0
LBRDA.US,5,20260126,183500,44.49,44.49,44.49,44.49,100,0
LBRDA.US,5,20260126,184500,44.495,44.495,44.495,44.495,132,0
LBRDA.US,5,20260126,185000,44.551,44.6,44.55,44.55,1047,0
LBRDA.US,5,20260126,190000,44.49,44.52,44.49,44.52,212,0
LBRDA.US,5,20260126,191000,44.39,44.42,44.39,44.42,200,0
LBRDA.US,5,20260126,192000,44.44,44.46,44.44,44.46,200,0
LBRDA.US,5,20260126,193000,44.43,44.43,44.43,44.43,185,0
LBRDA.US,5,20260126,193500,44.32,44.32,44.25,44.25,207,0
LBRDA.US,5,20260126,194500,44.31,44.31,44.31,44.31,100,0
LBRDA.US,5,20260126,195000,44.255,44.26,44.255,44.26,200,0
LBRDA.US,5,20260126,195500,44.3,44.3,44.3,44.3,100,0
LBRDA.US,5,20260126,200000,44.44,44.44,44.44,44.44,100,0
LBRDA.US,5,20260126,200500,44.36,44.36,44.36,44.36,100,0
LBRDA.US,5,20260126,201000,44.4,44.4,44.4,44.4,605,0
LBRDA.US,5,20260126,201500,44.39,44.39,44.39,44.39,100,0
LBRDA.US,5,20260126,203000,44.46,44.46,44.46,44.46,200,0
LBRDA.US,5,20260126,203500,44.4,44.4,44.4,44.4,100,0
LBRDA.US,5,20260126,204500,44.46,44.46,44.42,44.42,200,0
LBRDA.US,5,20260126,205500,44.43,44.43,44.43,44.43,100,0
LBRDA.US,5,20260126,210000,44.42,44.44,44.42,44.44,200,0
LBRDA.US,5,20260126,210500,44.48,44.48,44.48,44.48,100,0
LBRDA.US,5,20260126,211000,44.47,44.48,44.47,44.48,200,0
LBRDA.US,5,20260126,211500,44.49,44.5194,44.41,44.49,2343,0
LBRDA.US,5,20260126,212000,44.51,44.63,44.51,44.63,500,0
LBRDA.US,5,20260126,212500,44.73,44.85,44.73,44.85,2376,0
LBRDA.US,5,20260126,213000,44.79,44.84,44.775,44.84,1000,0
LBRDA.US,5,20260126,213500,44.83,44.94,44.79,44.79,3266,0
LBRDA.US,5,20260126,214000,44.84,44.93,44.84,44.85,1645,0
LBRDA.US,5,20260126,214500,44.89,45.09,44.89,45.06,1793,0
LBRDA.US,5,20260126,215000,45.035,45.06,44.81,44.81,4331,0
LBRDA.US,5,20260126,215500,44.85,44.99,44.81,44.95,13408,0
LBRDA.US,5,20260127,153000,44.74,44.74,44.74,44.74,184,0
LBRDA.US,5,20260127,153500,44.1,44.155,44.05,44.05,531,0
LBRDA.US,5,20260127,154000,43.95,43.98,43.8804,43.98,484,0
LBRDA.US,5,20260127,154500,44.07,44.07,43.93,44,3000,0
LBRDA.US,5,20260127,155000,43.94,44.12,43.94,43.98,2562,0
LBRDA.US,5,20260127,155500,44.04,44.04,43.87,43.89,1455,0
LBRDA.US,5,20260127,160000,43.78,43.92,43.64,43.64,4941,0
LBRDA.US,5,20260127,160500,43.76,43.77,43.465,43.465,1030,0
LBRDA.US,5,20260127,161000,43.47,43.55,43.38,43.38,953,0
