<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LIVE.US,5,20260126,153000,20.64,21.225,20.64,21.225,495,0
LIVE.US,5,20260126,171500,20.8,20.8,20.8,20.8,111,0
LIVE.US,5,20260126,174000,20.855,20.855,20.743,20.743,250,0
LIVE.US,5,20260126,182000,20.46,20.46,20.46,20.46,147,0
LIVE.US,5,20260126,193500,20.05,20.69,19.9501,20.33,805,0
LIVE.US,5,20260126,194000,20.691,20.7,20.69,20.69,300,0
LIVE.US,5,20260126,210500,19.98,19.98,19.98,19.98,292,0
LIVE.US,5,20260126,211000,20.66,20.66,20.66,20.66,100,0
LIVE.US,5,20260126,213000,20.155,20.155,20.155,20.155,1067,0
LIVE.US,5,20260126,215500,20.5,20.5,20.5,20.5,100,0
LIVE.US,5,20260127,173500,20.705,20.705,20.705,20.705,200,0
LIVE.US,5,20260127,175500,20.705,20.705,20.705,20.705,300,0
LIVE.US,5,20260127,180500,20.7002,20.7002,20.7002,20.7002,1413,0
LIVE.US,5,20260127,181000,20.705,20.705,20.705,20.705,100,0
LIVE.US,5,20260127,181500,21,21,21,21,2492,0
LIVE.US,5,20260127,183500,21.11,21.25,21.11,21.25,1300,0
LIVE.US,5,20260127,192500,21.1,21.1,21.1,21.1,100,0
LIVE.US,5,20260127,202000,21.1,21.1,21.1,21.1,100,0
LIVE.US,5,20260127,214500,21.25,21.25,21.155,21.155,526,0
LIVE.US,5,20260127,215500,21.25,21.25,21.09,21.09,390,0
LIVE.US,5,20260128,155500,21.15,21.3,21.15,21.3,231,0
LIVE.US,5,20260128,160500,21.544,21.544,21.544,21.544,125,0
LIVE.US,5,20260128,161500,21.1,21.11,21.1,21.11,206,0
LIVE.US,5,20260128,162500,21.1887,21.255,21.0001,21.0814,1094,0
LIVE.US,5,20260128,172000,21,21,21,21,257,0
LIVE.US,5,20260128,180000,21.08,21.08,21.08,21.08,162,0
LIVE.US,5,20260128,181500,20.5501,20.5501,20.5501,20.5501,167,0
LIVE.US,5,20260128,190000,20.68,20.68,20.68,20.68,100,0
LIVE.US,5,20260128,190500,20.6301,20.6301,20.6301,20.6301,125,0
LIVE.US,5,20260128,193000,20.78,20.78,20.78,20.78,174,0
LIVE.US,5,20260128,204000,21.2255,21.2255,21.2255,21.2255,1000,0
LIVE.US,5,20260128,205000,20.35,20.35,20.35,20.35,208,0
LIVE.US,5,20260129,160000,20.67,21.33,20.67,21.33,1415,0
LIVE.US,5,20260129,182000,21.1651,21.1651,21.1651,21.1651,100,0
LIVE.US,5,20260129,184000,20.88,20.88,20.88,20.88,100,0
LIVE.US,5,20260129,185000,20.87,21.056305,20.83,21.056173,614,0
LIVE.US,5,20260129,201000,20.395,20.395,20.395,20.395,353,0
LIVE.US,5,20260129,205500,20.7384,20.7384,20.7384,20.7384,174,0
LIVE.US,5,20260130,172000,19.995,19.995,19.995,19.995,425,0
LIVE.US,5,20260130,183000,20.49,20.49,20.49,20.49,100,0
LIVE.US,5,20260130,191500,20.2525,20.2525,20.2525,20.2525,135,0
LIVE.US,5,20260130,193500,20.336,20.336,20.336,20.336,453,0
LIVE.US,5,20260130,202500,20.1928,20.1928,20.1928,20.1928,100,0
LIVE.US,5,20260130,204000,20.4103,20.4103,20.4103,20.4103,106,0
LIVE.US,5,20260130,211500,20.4,20.5,20.4,20.5,314,0
LIVE.US,5,20260202,154500,20.41,20.41,20.41,20.41,400,0
LIVE.US,5,20260202,160000,20.645,20.645,20.645,20.645,152,0
LIVE.US,5,20260202,162000,20.8523,20.8523,20.8523,20.8523,100,0
LIVE.US,5,20260202,180000,20.71,20.7416,20.71,20.7416,350,0
LIVE.US,5,20260202,191500,20.5,20.5,20.5,20.5,328,0
LIVE.US,5,20260202,200500,20.6,20.6,20.6,20.6,2363,0
LIVE.US,5,20260203,154000,20.745,20.745,20.745,20.745,104,0
LIVE.US,5,20260203,182000,20.82,20.82,20.82,20.82,250,0
LIVE.US,5,20260203,183000,20.63,20.6301,20.5901,20.5901,1125,0
LIVE.US,5,20260203,184000,20.7335,20.7335,20.7335,20.7335,245,0
LIVE.US,5,20260203,203000,20.01,20.01,20.01,20.01,600,0
LIVE.US,5,20260203,211000,19.62,19.62,19.62,19.62,100,0
LIVE.US,5,20260203,215500,19.51,19.51,19.51,19.51,236,0
LIVE.US,5,20260204,163000,20.1,20.1,20.1,20.1,100,0
LIVE.US,5,20260204,170000,20.09,20.09,20.09,20.09,100,0
LIVE.US,5,20260204,180000,19.91,19.91,19.91,19.91,100,0
LIVE.US,5,20260204,183500,19.6,19.6,19.6,19.6,100,0
LIVE.US,5,20260204,184500,19.5,19.5,19.5,19.5,627,0
LIVE.US,5,20260204,190500,19.16,19.16,19.16,19.16,100,0
LIVE.US,5,20260204,194500,19.59,19.59,19.59,19.59,100,0
LIVE.US,5,20260204,215500,19.77,19.77,19.77,19.77,254,0
LIVE.US,5,20260205,165500,19.2,19.66,19.2,19.3,1594,0
LIVE.US,5,20260205,170000,19.49,19.49,19.49,19.49,200,0
LIVE.US,5,20260205,174500,19.5,19.5,19.39,19.39,400,0
LIVE.US,5,20260205,184500,19.32,19.32,19.32,19.32,100,0
LIVE.US,5,20260205,210000,19.32,19.32,19.32,19.32,103,0
LIVE.US,5,20260205,212000,19.19,19.29,19.19,19.29,300,0
LIVE.US,5,20260205,213500,19,19,18.77,18.77,200,0
LIVE.US,5,20260205,214500,18.89,18.89,18.89,18.89,111,0
LIVE.US,5,20260206,153000,18.74,18.74,18.74,18.74,227,0
LIVE.US,5,20260206,172000,18.505,18.505,18.505,18.505,500,0
LIVE.US,5,20260206,184500,18.66,18.66,18.66,18.66,100,0
LIVE.US,5,20260206,190500,18.68,18.68,18.68,18.68,200,0
LIVE.US,5,20260206,193000,18.615,18.615,18.615,18.615,266,0
LIVE.US,5,20260206,215500,18.53,18.53,18.53,18.53,146,0
LIVE.US,5,20260209,153000,18.13,19.01,18.13,19.01,419,0
LIVE.US,5,20260209,160000,20.1506,20.1506,20.1506,20.1506,103,0
LIVE.US,5,20260209,161500,20.195,20.195,20.195,20.195,243,0
LIVE.US,5,20260209,162000,20.2,20.2,20.2,20.2,100,0
LIVE.US,5,20260209,163500,19.75,19.75,19.75,19.75,1470,0
LIVE.US,5,20260209,191500,19.49,19.49,19.46,19.49,1208,0
LIVE.US,5,20260209,192000,19.49,19.49,19.49,19.49,1054,0
LIVE.US,5,20260209,195000,19.31,19.31,19.31,19.31,240,0
LIVE.US,5,20260209,203500,19.5,19.5,19.5,19.5,909,0
LIVE.US,5,20260209,204000,19.33,19.33,19.33,19.33,100,0
LIVE.US,5,20260209,204500,19.3,19.3,19.3,19.3,100,0
LIVE.US,5,20260209,205000,19.2,19.2,19.125,19.125,300,0
LIVE.US,5,20260209,210000,19.435,19.435,19.435,19.435,927,0
LIVE.US,5,20260209,211000,19.39,19.39,19.39,19.39,200,0
LIVE.US,5,20260209,211500,19.2,19.2,19.195,19.195,200,0
LIVE.US,5,20260209,214000,19.21,19.21,19.21,19.21,100,0
LIVE.US,5,20260210,162000,19.7,19.7,19.5,19.51,784,0
LIVE.US,5,20260210,162500,19.2,19.2,19.2,19.2,100,0
LIVE.US,5,20260210,163500,19.305,19.305,19.305,19.305,120,0
LIVE.US,5,20260210,164000,19.31,19.31,19.31,19.31,100,0
LIVE.US,5,20260210,185500,19.25,19.25,19.25,19.25,249,0
LIVE.US,5,20260210,192000,19.21,19.21,19.21,19.21,112,0
LIVE.US,5,20260211,160500,20.0847,20.0847,20.0847,20.0847,244,0
LIVE.US,5,20260211,161500,19.32,19.32,18.83,18.91,1400,0
LIVE.US,5,20260211,162500,19.19,19.19,19.19,19.19,812,0
LIVE.US,5,20260211,163000,19.4,19.4,19.4,19.4,100,0
LIVE.US,5,20260211,164500,19.28,19.28,19.24,19.24,300,0
LIVE.US,5,20260211,173500,19.13,19.83,19.13,19.83,494,0
LIVE.US,5,20260211,184500,19.58,19.665,19.09,19.665,1173,0
LIVE.US,5,20260211,185000,19.84,19.84,19.84,19.84,261,0
LIVE.US,5,20260211,185500,19.87,19.87,19.8,19.8,300,0
LIVE.US,5,20260211,191000,19.48,19.48,19.48,19.48,100,0
LIVE.US,5,20260211,214500,19.01,19.01,19.01,19.01,100,0
LIVE.US,5,20260211,215500,19.51,19.51,19.51,19.51,100,0
LIVE.US,5,20260212,153000,18.61,18.61,18.61,18.61,100,0
LIVE.US,5,20260212,154000,19,19,19,19,190,0
LIVE.US,5,20260212,162500,18.85,18.85,18.85,18.85,756,0
LIVE.US,5,20260212,172000,18.9182,19.19,18.9182,18.9182,745,0
LIVE.US,5,20260212,172500,19.84,19.84,19.29,19.29,300,0
LIVE.US,5,20260212,174000,20.78,20.78,20.78,20.78,100,0
LIVE.US,5,20260212,175500,19.23,19.23,19.23,19.23,100,0
LIVE.US,5,20260212,181000,19.65,19.65,19.4536,19.4536,800,0
LIVE.US,5,20260212,182500,19.525,19.525,19.525,19.525,190,0
LIVE.US,5,20260212,205500,19.43,19.43,19.43,19.43,600,0
LIVE.US,5,20260212,210000,19.37,19.37,19.06,19.06,200,0
LIVE.US,5,20260212,210500,18.73,18.73,18.73,18.73,162,0
LIVE.US,5,20260213,153000,19.19,19.19,19.19,19.19,252,0
