<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LOPE.US,5,20260126,153000,178.77,178.77,178.77,178.77,2334,0
LOPE.US,5,20260126,153500,178.78,179.365,178.78,179.36,500,0
LOPE.US,5,20260126,154000,179.01,179.01,178.73,178.74,1232,0
LOPE.US,5,20260126,154500,178.71,179.27,178.71,179.27,300,0
LOPE.US,5,20260126,155000,178.9,179.99,178.765,179.99,2513,0
LOPE.US,5,20260126,155500,179.78,179.78,179.305,179.61,300,0
LOPE.US,5,20260126,160000,180.15,180.56,179.565,179.565,600,0
LOPE.US,5,20260126,160500,178.5,179.5725,178.5,179.57,684,0
LOPE.US,5,20260126,161000,179.62,179.62,179.19,179.19,658,0
LOPE.US,5,20260126,161500,178.59,178.59,178.1,178.16,1108,0
LOPE.US,5,20260126,162000,177.505,177.505,177.505,177.505,359,0
LOPE.US,5,20260126,163000,178.045,178.045,178.045,178.045,100,0
LOPE.US,5,20260126,163500,177.9725,177.9725,177.9725,177.9725,100,0
LOPE.US,5,20260126,164000,177.66,178.59,177.29,178.59,2826,0
LOPE.US,5,20260126,164500,177.225,177.65,177.2,177.65,1602,0
LOPE.US,5,20260126,165000,177.51,177.56,177.45,177.55,1829,0
LOPE.US,5,20260126,170000,177.31,177.34,177.3,177.33,500,0
LOPE.US,5,20260126,170500,177.18,177.18,176.545,176.545,830,0
LOPE.US,5,20260126,171500,175.84,176.03,175.16,175.16,999,0
LOPE.US,5,20260126,172000,175.3,175.52,175.3,175.52,400,0
LOPE.US,5,20260126,172500,175.52,175.52,175.52,175.52,200,0
LOPE.US,5,20260126,173000,175.97,175.97,175.615,175.615,300,0
LOPE.US,5,20260126,173500,175.41,175.52,175.41,175.52,400,0
LOPE.US,5,20260126,174500,175.41,175.41,175.08,175.17,911,0
LOPE.US,5,20260126,175000,175.07,175.07,175.07,175.07,200,0
LOPE.US,5,20260126,180000,174.64,174.64,174.63,174.63,400,0
LOPE.US,5,20260126,180500,174.38,174.4,174.36,174.36,400,0
LOPE.US,5,20260126,181000,174.31,174.37,174.31,174.37,300,0
LOPE.US,5,20260126,181500,174.93,174.93,174.34,174.34,583,0
LOPE.US,5,20260126,182000,174.39,174.955,174.39,174.46,300,0
LOPE.US,5,20260126,183500,174.9,174.9,174.9,174.9,331,0
LOPE.US,5,20260126,184000,174.74,174.74,174.64,174.6797,470,0
LOPE.US,5,20260126,184500,174.74,174.74,174.6,174.6,300,0
LOPE.US,5,20260126,185000,174.47,174.57,174.41,174.57,1000,0
LOPE.US,5,20260126,185500,174.44,174.44,174.325,174.325,400,0
LOPE.US,5,20260126,190500,173.75,174.315,173.74,173.74,490,0
LOPE.US,5,20260126,191000,174.32,174.32,174.21,174.21,600,0
LOPE.US,5,20260126,191500,174.16,174.72,174.06,174.72,2372,0
LOPE.US,5,20260126,192000,174.715,174.715,174.39,174.39,600,0
LOPE.US,5,20260126,192500,174.38,174.38,174.38,174.38,100,0
LOPE.US,5,20260126,193000,174.35,174.35,174.35,174.35,100,0
LOPE.US,5,20260126,193500,174.54,174.54,174.05,174.05,200,0
LOPE.US,5,20260126,194000,174.07,174.07,174.07,174.07,200,0
LOPE.US,5,20260126,194500,174.07,174.535,174.07,174.535,300,0
LOPE.US,5,20260126,200000,174.475,174.475,174.475,174.475,100,0
LOPE.US,5,20260126,200500,174.47,174.47,174.47,174.47,100,0
LOPE.US,5,20260126,201000,174.482,174.482,174.465,174.465,614,0
LOPE.US,5,20260126,201500,174.765,174.765,174.525,174.525,200,0
LOPE.US,5,20260126,202000,174.91,175.06,174.85,174.85,1708,0
LOPE.US,5,20260126,202500,174.85,174.85,174.85,174.85,100,0
LOPE.US,5,20260126,203500,175.0174,175.06,174.83,175.06,763,0
LOPE.US,5,20260126,204000,175,175,175,175,100,0
LOPE.US,5,20260126,204500,174.89,174.89,174.62,174.62,600,0
LOPE.US,5,20260126,205000,174.62,174.62,174.62,174.62,100,0
LOPE.US,5,20260126,210000,174.63,174.64,174.63,174.63,708,0
