<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MASI.US,5,20260126,153000,141.9,142.48,140.84,140.85,2757,0
MASI.US,5,20260126,153500,140.64,140.64,140.57,140.57,400,0
MASI.US,5,20260126,154000,140.59,140.67,140.59,140.64,300,0
MASI.US,5,20260126,154500,140.67,141.54,140.67,141.54,315,0
MASI.US,5,20260126,155500,141.54,141.54,141.54,141.54,381,0
MASI.US,5,20260126,160000,140.79,141.055,140.79,141.055,2100,0
MASI.US,5,20260126,160500,141.01,141.502,140.83,140.83,325,0
MASI.US,5,20260126,161000,140.9,141.52,140.9,141.4925,1400,0
MASI.US,5,20260126,161500,141.54,141.605,141.18,141.605,400,0
MASI.US,5,20260126,162000,141.605,141.86,141.365,141.795,3185,0
MASI.US,5,20260126,162500,141.865,141.865,141.18,141.24,400,0
MASI.US,5,20260126,163000,141.17,141.6145,141.17,141.6025,2600,0
MASI.US,5,20260126,163500,141.565,141.565,141.565,141.565,100,0
MASI.US,5,20260126,164000,141.55,141.585,141.55,141.585,300,0
MASI.US,5,20260126,164500,141.3,141.3,140.96,141.06,1800,0
MASI.US,5,20260126,165000,140.93,141.03,140.7,140.7,700,0
MASI.US,5,20260126,165500,140.73,140.81,140.53,140.63,2121,0
MASI.US,5,20260126,170000,140.695,140.715,140.59,140.59,400,0
MASI.US,5,20260126,170500,140.45,140.545,140.43,140.545,1211,0
MASI.US,5,20260126,171000,140.55,140.55,139.64,139.985,4036,0
MASI.US,5,20260126,171500,140.1,140.48,139.87,140.06,13002,0
MASI.US,5,20260126,172000,140.02,140.375,139.93,140.375,1920,0
MASI.US,5,20260126,172500,140.41,140.63,140.41,140.47,580,0
MASI.US,5,20260126,173000,140.73,140.73,140.545,140.635,1013,0
MASI.US,5,20260126,173500,140.655,140.6825,140.655,140.665,300,0
MASI.US,5,20260126,174000,140.685,140.71,140.54,140.54,530,0
MASI.US,5,20260126,174500,140.74,140.74,140.41,140.41,1300,0
MASI.US,5,20260126,175000,140.43,140.43,140.17,140.325,900,0
MASI.US,5,20260126,175500,140.24,140.36,140.07,140.36,1150,0
MASI.US,5,20260126,180000,140.27,140.59,140.26,140.435,1650,0
MASI.US,5,20260126,180500,140.44,140.44,140.44,140.44,200,0
MASI.US,5,20260126,181000,140.465,140.485,140.03,140.205,2750,0
MASI.US,5,20260126,181500,140.34,140.47,140.255,140.355,3550,0
MASI.US,5,20260126,182000,140.375,140.375,140.375,140.375,200,0
MASI.US,5,20260126,182500,140.39,140.41,140.39,140.41,300,0
MASI.US,5,20260126,183000,140.59,140.59,140.32,140.46,2570,0
MASI.US,5,20260126,183500,140.58,140.63,140.355,140.355,4370,0
MASI.US,5,20260126,184000,140.26,140.29,140.18,140.24,900,0
MASI.US,5,20260126,184500,140.05,140.44,140.05,140.44,200,0
MASI.US,5,20260126,185000,140.47,140.55,140.315,140.37,1150,0
MASI.US,5,20260126,185500,140.44,140.44,140.44,140.44,350,0
MASI.US,5,20260126,190000,140.21,140.38,140.05,140.38,700,0
MASI.US,5,20260126,190500,140.38,140.49,140.33,140.42,19215,0
MASI.US,5,20260126,191000,140.48,140.48,140.48,140.48,100,0
MASI.US,5,20260126,191500,140.63,140.63,140.63,140.63,200,0
MASI.US,5,20260126,192000,140.61,140.93,140.3825,140.59,12510,0
MASI.US,5,20260126,192500,140.77,140.8783,140.66,140.83,700,0
MASI.US,5,20260126,193000,140.83,140.83,140.68,140.7,1100,0
MASI.US,5,20260126,193500,140.67,140.68,140.515,140.61,1250,0
MASI.US,5,20260126,194000,140.55,140.56,140.5175,140.56,981,0
MASI.US,5,20260126,194500,140.53,140.64,140.53,140.58,4144,0
MASI.US,5,20260126,195000,140.585,140.72,140.515,140.515,1550,0
MASI.US,5,20260126,195500,140.575,140.71,140.56,140.61,4820,0
MASI.US,5,20260126,200000,140.51,140.6,140.43,140.45,1300,0
MASI.US,5,20260126,200500,140.57,140.595,140.49,140.595,902,0
MASI.US,5,20260126,201000,140.48,140.595,140.07,140.29,14140,0
MASI.US,5,20260126,201500,140.355,140.365,140.355,140.365,3286,0
MASI.US,5,20260126,202000,140.365,140.365,140.13,140.14,1100,0
MASI.US,5,20260126,202500,140.365,140.365,140.065,140.11,14058,0
MASI.US,5,20260126,203000,140.11,140.32,140.11,140.21,3537,0
MASI.US,5,20260126,203500,140.17,140.265,140.135,140.23,2480,0
MASI.US,5,20260126,204000,140.15,140.51,140.12,140.385,13316,0
MASI.US,5,20260126,204500,140.385,140.385,140.25,140.34,2158,0
MASI.US,5,20260126,205000,140.335,140.6,140.335,140.58,5064,0
MASI.US,5,20260126,205500,140.58,140.74,140.58,140.655,4339,0
MASI.US,5,20260126,210000,140.54,140.78,140.485,140.78,5062,0
MASI.US,5,20260126,210500,140.81,140.85,140.51,140.61,1815,0
MASI.US,5,20260126,211000,140.615,140.75,140.6,140.695,3126,0
MASI.US,5,20260126,211500,140.71,140.71,140.49,140.53,5792,0
MASI.US,5,20260126,212000,140.54,140.64,140.53,140.58,1610,0
MASI.US,5,20260126,212500,140.5,140.53,140.16,140.195,4043,0
MASI.US,5,20260126,213000,140.21,140.44,140.21,140.425,2527,0
MASI.US,5,20260126,213500,140.395,140.395,140.18,140.2,3098,0
MASI.US,5,20260126,214000,140.11,140.165,140,140.09,3510,0
MASI.US,5,20260126,214500,140.11,140.275,140.04,140.22,5170,0
MASI.US,5,20260126,215000,140.25,140.28,139.97,140.1,21123,0
MASI.US,5,20260126,215500,140.09,140.22,140,140.2,118302,0
MASI.US,5,20260127,153000,139.3,139.3,139.3,139.3,2301,0
MASI.US,5,20260127,153500,138.2775,138.39,138.2775,138.38,300,0
MASI.US,5,20260127,154000,138.59,138.97,138.385,138.97,686,0
MASI.US,5,20260127,154500,138.675,138.94,138.675,138.7875,1192,0
MASI.US,5,20260127,155000,138.89,138.89,138.43,138.45,2350,0
MASI.US,5,20260127,155500,138.62,138.66,138.2,138.2,2500,0
MASI.US,5,20260127,160000,138.2,138.335,138.2,138.335,360,0
MASI.US,5,20260127,160500,138.32,138.32,138.19,138.19,637,0
MASI.US,5,20260127,161000,138.4,138.43,137.81,137.81,5416,0
MASI.US,5,20260127,161500,137.65,138.135,137.65,138.135,400,0
MASI.US,5,20260127,162000,138.14,138.145,137.69,137.895,1223,0
MASI.US,5,20260127,162500,137.82,138,137.81,137.98,3320,0
MASI.US,5,20260127,163000,138.135,138.135,137.75,137.75,1400,0
MASI.US,5,20260127,163500,137.65,137.765,137.445,137.445,1700,0
MASI.US,5,20260127,164000,137.455,137.85,137.455,137.69,1400,0
MASI.US,5,20260127,164500,137.64,138.045,137.64,138.045,1744,0
MASI.US,5,20260127,165000,138.065,138.1,138.065,138.1,1196,0
MASI.US,5,20260127,165500,138.36,139.31,138.36,139.31,2120,0
MASI.US,5,20260127,170000,139.43,139.57,139.08,139.09,940,0
MASI.US,5,20260127,170500,139.42,139.42,138.79,138.965,2866,0
MASI.US,5,20260127,171000,138.8,138.8,138.685,138.72,300,0
MASI.US,5,20260127,171500,138.825,138.825,138.825,138.825,200,0
MASI.US,5,20260127,172000,138.9,138.9,138.845,138.845,200,0
MASI.US,5,20260127,172500,138.845,138.94,138.61,138.94,1000,0
MASI.US,5,20260127,173000,138.87,138.95,138.79,138.95,600,0
MASI.US,5,20260127,173500,138.96,138.99,138.91,138.93,400,0
MASI.US,5,20260127,174000,139.1,139.1,138.95,138.975,600,0
