<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAZE.US,5,20260126,153000,44.2,44.2,43.45,43.585,6549,0
MAZE.US,5,20260126,153500,43.59,43.68,43.3,43.53,18516,0
MAZE.US,5,20260126,154000,43.53,43.9,43.485,43.515,4865,0
MAZE.US,5,20260126,154500,43.735,44.95,43.735,44.6,9485,0
MAZE.US,5,20260126,155000,44.515,45,44.335,44.97,7466,0
MAZE.US,5,20260126,155500,44.8,45.18,44.8,45.18,7045,0
MAZE.US,5,20260126,160000,45.469,45.47,44.99,45.335,17605,0
MAZE.US,5,20260126,160500,45.335,45.625,45.065,45.625,33579,0
MAZE.US,5,20260126,161000,45.76,46.11,45.41,45.7,4724,0
MAZE.US,5,20260126,161500,45.69,45.69,44.79,45.08,8163,0
MAZE.US,5,20260126,162000,45.28,45.61,44.985,45.61,2084,0
MAZE.US,5,20260126,162500,45.53,45.53,44.8,44.8,690,0
MAZE.US,5,20260126,163000,44.92,44.92,44.92,44.92,109,0
MAZE.US,5,20260126,163500,44.645,44.92,44.6126,44.92,785,0
MAZE.US,5,20260126,164000,44.9,44.9,44.615,44.89,878,0
MAZE.US,5,20260126,164500,44.98,45.24,44.77,45.15,2026,0
MAZE.US,5,20260126,165000,45.26,45.28,44.955,45.25,1042,0
MAZE.US,5,20260126,165500,44.955,45.28,44.6301,44.955,825,0
MAZE.US,5,20260126,170000,45.27,45.27,44.96,44.96,400,0
MAZE.US,5,20260126,170500,45.24,45.24,44.96,45.22,400,0
MAZE.US,5,20260126,171000,45.21,45.23,44.81,44.81,700,0
MAZE.US,5,20260126,171500,44.955,45.26,44.94,45.02,2500,0
MAZE.US,5,20260126,172000,44.915,45.07,44.79,45.05,600,0
MAZE.US,5,20260126,172500,44.9551,44.9551,44.66,44.76,2870,0
MAZE.US,5,20260126,173000,44.71,44.71,44.215,44.365,2150,0
MAZE.US,5,20260126,173500,44.33,44.81,44.33,44.71,1520,0
MAZE.US,5,20260126,174000,44.515,44.84,44.33,44.465,874,0
MAZE.US,5,20260126,174500,44.34,44.34,44.34,44.34,100,0
MAZE.US,5,20260126,175000,44.44,44.44,44.36,44.36,600,0
MAZE.US,5,20260126,175500,44.41,44.41,44.41,44.41,300,0
MAZE.US,5,20260126,180000,44.37,44.53,44.37,44.53,600,0
MAZE.US,5,20260126,180500,44.53,44.53,44.53,44.53,500,0
MAZE.US,5,20260126,181500,44.44,44.44,44.44,44.44,100,0
MAZE.US,5,20260126,182000,44.515,44.63,44.5,44.63,300,0
MAZE.US,5,20260126,182500,44.495,44.64,44.495,44.64,600,0
MAZE.US,5,20260126,183000,44.495,44.65,44.495,44.65,300,0
MAZE.US,5,20260126,183500,44.58,44.91,44.53,44.9,2897,0
MAZE.US,5,20260126,184000,44.88,45.09,44.75,45.09,900,0
MAZE.US,5,20260126,184500,44.94,44.94,44.805,44.805,500,0
MAZE.US,5,20260126,185500,44.75,44.76,44.75,44.76,200,0
MAZE.US,5,20260126,190000,44.76,44.9,44.67,44.885,1350,0
MAZE.US,5,20260126,190500,44.9,44.9,44.745,44.87,1531,0
MAZE.US,5,20260126,191000,44.82,44.83,44.75,44.75,500,0
MAZE.US,5,20260126,191500,44.75,44.87,44.75,44.75,800,0
MAZE.US,5,20260126,192000,44.76,44.86,44.76,44.86,400,0
MAZE.US,5,20260126,192500,44.745,44.91,44.745,44.82,950,0
MAZE.US,5,20260126,193000,44.82,44.975,44.82,44.82,500,0
MAZE.US,5,20260126,193500,44.82,44.995,44.82,44.995,793,0
MAZE.US,5,20260126,194000,44.82,44.995,44.82,44.98,830,0
MAZE.US,5,20260126,194500,44.825,44.995,44.825,44.875,900,0
MAZE.US,5,20260126,195000,44.93,44.93,44.855,44.855,200,0
MAZE.US,5,20260126,195500,44.855,44.94,44.8,44.86,900,0
MAZE.US,5,20260126,200000,44.865,44.87,44.81,44.87,414,0
MAZE.US,5,20260126,200500,44.875,45.105,44.81,45.105,2504,0
MAZE.US,5,20260126,201000,45.26,45.26,45.04,45.115,800,0
MAZE.US,5,20260126,201500,45.105,45.105,45.105,45.105,100,0
MAZE.US,5,20260126,202000,45.065,45.115,44.97,45.1025,971,0
MAZE.US,5,20260126,202500,45.25,45.25,45.115,45.22,400,0
MAZE.US,5,20260126,203000,45.235,45.235,45.08,45.105,1000,0
MAZE.US,5,20260126,203500,45.005,45.0904,44.74,44.74,3057,0
MAZE.US,5,20260126,204500,44.65,44.65,44.605,44.605,617,0
MAZE.US,5,20260126,205000,44.56,44.64,44.46,44.46,2016,0
MAZE.US,5,20260126,205500,44.45,44.95,44.44,44.945,6515,0
MAZE.US,5,20260126,210000,44.92,44.92,44.92,44.92,200,0
MAZE.US,5,20260126,210500,44.83,44.95,44.83,44.95,350,0
MAZE.US,5,20260126,211000,45.08,45.16,45.08,45.13,2213,0
MAZE.US,5,20260126,211500,45.12,45.2,44.97,45.15,4045,0
MAZE.US,5,20260126,212000,45.015,45.295,45.015,45.295,2280,0
MAZE.US,5,20260126,212500,45.295,45.32,45.28,45.28,700,0
MAZE.US,5,20260126,213000,45.32,45.32,45.045,45.07,4756,0
MAZE.US,5,20260126,213500,45.01,45.1,44.91,44.91,8855,0
MAZE.US,5,20260126,214000,44.89,44.895,44.71,44.895,7496,0
MAZE.US,5,20260126,214500,44.895,44.895,44.72,44.755,3228,0
MAZE.US,5,20260126,215000,44.7,44.8,44.7,44.76,5693,0
MAZE.US,5,20260126,215500,44.74,44.74,44.51,44.58,53122,0
MAZE.US,5,20260127,153000,45,45.06,44.7,45.06,6182,0
MAZE.US,5,20260127,153500,44.93,45.83,44.93,45.52,3671,0
MAZE.US,5,20260127,154000,45.515,45.525,45.515,45.525,500,0
MAZE.US,5,20260127,154500,45.52,46.055,45.52,46.055,900,0
MAZE.US,5,20260127,155000,46.12,46.12,45.56,46.05,7728,0
MAZE.US,5,20260127,155500,46.11,46.11,45.75,45.77,900,0
MAZE.US,5,20260127,160000,45.54,45.84,45.54,45.79,1573,0
MAZE.US,5,20260127,160500,45.72,45.79,45.43,45.58,2762,0
MAZE.US,5,20260127,161000,45.82,45.82,45.52,45.52,3527,0
MAZE.US,5,20260127,161500,45.79,45.79,45.49,45.74,1200,0
MAZE.US,5,20260127,162000,45.7,46.2775,45.67,46.2,17421,0
MAZE.US,5,20260127,162500,46.145,46.35,46.1125,46.23,4751,0
MAZE.US,5,20260127,163000,46.145,46.32,45.85,46.2,18380,0
MAZE.US,5,20260127,163500,46.2,46.99,46.12,46.24,39136,0
MAZE.US,5,20260127,164000,46.28,46.82,46.265,46.7,4665,0
MAZE.US,5,20260127,164500,46.63,46.86,46.53,46.53,3948,0
MAZE.US,5,20260127,165000,46.53,46.53,46.23,46.36,977,0
MAZE.US,5,20260127,165500,46.25,46.25,46.04,46.04,740,0
MAZE.US,5,20260127,170000,45.94,45.95,45.4,45.6,3600,0
MAZE.US,5,20260127,170500,45.47,45.745,45.345,45.345,4165,0
MAZE.US,5,20260127,171000,45.5,45.79,45.35,45.4,3832,0
MAZE.US,5,20260127,171500,45.79,46.03,45.55,46.03,2020,0
MAZE.US,5,20260127,172000,46,46.75,45.74,46.52,7660,0
MAZE.US,5,20260127,172500,46.52,46.595,45.79,46.025,2400,0
MAZE.US,5,20260127,173000,45.79,46.36,45.79,45.79,1523,0
MAZE.US,5,20260127,173500,45.78,45.97,45.45,45.57,1441,0
MAZE.US,5,20260127,174000,45.305,45.35,45.29,45.35,400,0
MAZE.US,5,20260127,174500,45.33,46.05,45.29,46.02,5924,0
MAZE.US,5,20260127,175000,46.02,46.045,45.71,45.71,2889,0
MAZE.US,5,20260127,180000,45.53,45.825,45.53,45.825,347,0
MAZE.US,5,20260127,180500,45.58,45.66,45.53,45.66,400,0
MAZE.US,5,20260127,181000,45.48,45.48,45.48,45.48,100,0
MAZE.US,5,20260127,181500,45.49,45.5,45.34,45.41,1285,0
MAZE.US,5,20260127,182000,45.61,45.61,45.41,45.6,1458,0
MAZE.US,5,20260127,182500,45.545,45.545,45.42,45.42,1566,0
MAZE.US,5,20260127,183000,45.28,45.28,44.67,44.69,4312,0
MAZE.US,5,20260127,184000,45.1805,45.1877,45.1805,45.1877,800,0
MAZE.US,5,20260127,184500,44.92,44.965,44.64,44.965,932,0
MAZE.US,5,20260127,185000,44.95,45.26,44.95,45.26,2114,0
MAZE.US,5,20260127,185500,44.95,45.245,44.945,44.945,2169,0
MAZE.US,5,20260127,190000,44.945,44.985,44.8,44.8,2462,0
MAZE.US,5,20260127,190500,44.8803,44.8803,44.385,44.5,5192,0
MAZE.US,5,20260127,191000,44.405,44.51,44.405,44.51,300,0
MAZE.US,5,20260127,192500,44.5,44.79,44.5,44.79,1000,0
MAZE.US,5,20260127,193000,44.785,45.105,44.785,45.105,300,0
MAZE.US,5,20260127,193500,45.12,45.36,44.87,45.26,11426,0
MAZE.US,5,20260127,194000,44.9103,45.26,44.9103,45.26,548,0
MAZE.US,5,20260127,194500,45.03,45.26,45.03,45.23,411,0
MAZE.US,5,20260127,195000,45.095,45.26,45.095,45.26,300,0
MAZE.US,5,20260127,195500,45.095,45.4,45.095,45.175,36303,0
MAZE.US,5,20260127,200000,45.175,45.285,45.01,45.17,2386,0
MAZE.US,5,20260127,200500,44.94,45.165,44.87,45.035,800,0
MAZE.US,5,20260127,201000,44.92,45.0975,44.87,45.03,3489,0
MAZE.US,5,20260127,201500,45.02,45.185,45.02,45.185,200,0
MAZE.US,5,20260127,202000,45.12,45.12,45.12,45.12,100,0
MAZE.US,5,20260127,202500,44.92,44.92,44.79,44.79,300,0
MAZE.US,5,20260127,203500,44.88,44.88,44.875,44.875,400,0
MAZE.US,5,20260127,204000,44.875,44.875,44.875,44.875,200,0
MAZE.US,5,20260127,204500,44.64,44.7575,44.64,44.7575,300,0
MAZE.US,5,20260127,205000,44.63,44.72,44.45,44.72,2854,0
MAZE.US,5,20260127,205500,44.68,44.72,44.51,44.51,600,0
MAZE.US,5,20260127,210000,44.72,44.75,44.515,44.75,1500,0
MAZE.US,5,20260127,210500,44.86,45.005,44.86,45.005,400,0
MAZE.US,5,20260127,211000,44.98,44.98,44.79,44.98,580,0
MAZE.US,5,20260127,211500,44.975,45.005,44.76,45.005,750,0
MAZE.US,5,20260127,212000,45.005,45.005,44.83,44.84,1752,0
MAZE.US,5,20260127,212500,44.86,44.86,44.75,44.75,1153,0
MAZE.US,5,20260127,213000,44.75,44.885,44.665,44.885,2135,0
MAZE.US,5,20260127,213500,44.88,44.945,44.7125,44.91,2586,0
MAZE.US,5,20260127,214000,44.905,45.03,44.87,44.87,7237,0
MAZE.US,5,20260127,214500,44.9,45.245,44.9,45.245,49675,0
MAZE.US,5,20260127,215000,45.245,45.245,44.99,45.035,22407,0
MAZE.US,5,20260127,215500,45.12,45.34,44.985,45.34,60034,0
MAZE.US,5,20260128,153000,45.34,45.515,44.82,44.82,986,0
MAZE.US,5,20260128,153500,45.51,45.51,44.6,44.94,711,0
MAZE.US,5,20260128,154000,45.14,45.14,44.6,44.6,4799,0
MAZE.US,5,20260128,154500,44.475,44.72,44.38,44.38,400,0
MAZE.US,5,20260128,155000,44.3325,44.71,44.3325,44.355,900,0
MAZE.US,5,20260128,155500,44.355,44.435,43.9,44.22,9303,0
MAZE.US,5,20260128,160000,44.34,44.34,44.34,44.34,100,0
MAZE.US,5,20260128,160500,44.11,44.11,44.1,44.1,600,0
MAZE.US,5,20260128,161000,44.16,44.7,44.16,44.415,6088,0
MAZE.US,5,20260128,161500,44.415,44.415,43.76,43.895,7980,0
MAZE.US,5,20260128,162000,43.89,44.065,43.76,43.96,4904,0
MAZE.US,5,20260128,162500,44.088,44.088,43.78,43.85,6347,0
MAZE.US,5,20260128,163000,43.85,44.03,43.53,43.73,4496,0
MAZE.US,5,20260128,163500,43.51,43.69,43.51,43.69,400,0
MAZE.US,5,20260128,164000,43.86,43.872,43.71,43.75,2107,0
MAZE.US,5,20260128,164500,43.805,43.805,43.645,43.645,2138,0
MAZE.US,5,20260128,165000,43.645,43.74,43.64,43.65,2516,0
MAZE.US,5,20260128,165500,43.65,43.89,43.65,43.73,4131,0
MAZE.US,5,20260128,170000,43.65,43.73,43.65,43.71,500,0
MAZE.US,5,20260128,170500,43.665,43.79,43.665,43.71,1400,0
MAZE.US,5,20260128,171000,43.66,43.66,43.192,43.28,9896,0
MAZE.US,5,20260128,171500,43.35,43.6,43.33,43.46,6088,0
MAZE.US,5,20260128,172000,43.455,43.4625,43.42,43.42,900,0
MAZE.US,5,20260128,172500,43.42,43.56,43.405,43.56,3065,0
MAZE.US,5,20260128,173000,43.56,43.56,43,43.05,6598,0
MAZE.US,5,20260128,173500,43.1,43.16,42.83,42.87,8175,0
MAZE.US,5,20260128,174000,42.84,42.84,42.585,42.725,5081,0
MAZE.US,5,20260128,174500,42.7,42.818,42.665,42.8,2300,0
MAZE.US,5,20260128,175000,42.75,42.765,42.625,42.765,2745,0
MAZE.US,5,20260128,175500,42.765,42.765,42.585,42.585,1200,0
MAZE.US,5,20260128,180000,42.6,42.63,42.33,42.63,2210,0
MAZE.US,5,20260128,180500,42.7178,42.74,42.64,42.7,1600,0
MAZE.US,5,20260128,181000,42.69,42.745,42.495,42.745,1101,0
MAZE.US,5,20260128,181500,42.68,42.68,42.4,42.595,4800,0
MAZE.US,5,20260128,182000,42.59,42.7,42.5642,42.565,1200,0
MAZE.US,5,20260128,182500,42.66,42.895,42.65,42.89,3550,0
MAZE.US,5,20260128,183000,42.895,43.05,42.8,42.81,4269,0
MAZE.US,5,20260128,183500,42.86,42.86,42.86,42.86,100,0
MAZE.US,5,20260128,184000,42.8,42.85,42.74,42.85,716,0
MAZE.US,5,20260128,184500,42.85,42.985,42.85,42.985,4022,0
MAZE.US,5,20260128,185000,42.92,42.985,42.85,42.97,1800,0
MAZE.US,5,20260128,185500,42.97,43.015,42.94,42.99,7475,0
MAZE.US,5,20260128,190000,42.99,42.99,42.99,42.99,784,0
MAZE.US,5,20260128,190500,42.99,43.015,42.805,42.9,7293,0
MAZE.US,5,20260128,191000,42.82,42.95,42.8,42.94,1600,0
MAZE.US,5,20260128,191500,42.92,42.92,42.92,42.92,200,0
MAZE.US,5,20260128,192000,42.92,42.92,42.89,42.89,800,0
MAZE.US,5,20260128,192500,42.85,43.08,42.85,43.08,4996,0
MAZE.US,5,20260128,193000,43.025,43.08,43.01,43.01,500,0
MAZE.US,5,20260128,193500,43.01,43.2,42.96,43.19,7407,0
MAZE.US,5,20260128,194000,43.18,43.18,43.05,43.05,1206,0
MAZE.US,5,20260128,194500,43.075,43.075,43.07,43.075,1042,0
MAZE.US,5,20260128,195000,42.9777,43.04,42.85,42.85,8144,0
MAZE.US,5,20260128,195500,42.81,42.88,42.81,42.87,1800,0
MAZE.US,5,20260128,200000,42.8,42.82,42.63,42.705,3425,0
MAZE.US,5,20260128,200500,42.64,42.715,42.615,42.715,4563,0
MAZE.US,5,20260128,201000,42.66,42.715,42.64,42.715,1200,0
MAZE.US,5,20260128,201500,42.63,42.71,42.57,42.62,3333,0
MAZE.US,5,20260128,202000,42.62,43.055,42.62,43.055,4755,0
MAZE.US,5,20260128,202500,42.91,43.045,42.91,43.02,1101,0
MAZE.US,5,20260128,203000,42.91,43.64,42.81,43.11,4754,0
MAZE.US,5,20260128,203500,43.035,43.035,42.9,42.9,2145,0
MAZE.US,5,20260128,204000,43.02,43.02,42.9,43.015,2518,0
MAZE.US,5,20260128,204500,42.92,43.265,42.92,43.26,5926,0
MAZE.US,5,20260128,205000,43.13,43.645,43.13,43.53,5743,0
MAZE.US,5,20260128,205500,43.51,43.575,43.28,43.28,7948,0
MAZE.US,5,20260128,210000,43.22,43.45,43.22,43.29,2791,0
MAZE.US,5,20260128,210500,43.335,43.53,42.99,43.465,14255,0
MAZE.US,5,20260128,211000,43.465,43.5299,43.23,43.235,4234,0
MAZE.US,5,20260128,211500,43.23,43.37,43.11,43.275,2670,0
MAZE.US,5,20260128,212000,43.265,43.34,43.235,43.34,646,0
MAZE.US,5,20260128,212500,43.18,43.395,43.18,43.385,4080,0
MAZE.US,5,20260128,213000,43.38,43.51,43.36,43.51,2300,0
MAZE.US,5,20260128,213500,43.5,43.5,43.43,43.44,2800,0
MAZE.US,5,20260128,214000,43.44,43.55,43.27,43.32,7034,0
MAZE.US,5,20260128,214500,43.275,43.45,43.275,43.43,2200,0
MAZE.US,5,20260128,215000,43.44,43.505,43.02,43.17,13554,0
MAZE.US,5,20260128,215500,43.1,43.41,43.01,43.36,48083,0
MAZE.US,5,20260129,153000,43.15,43.415,42.22,43.415,29001,0
MAZE.US,5,20260129,153500,43.41,43.48,42.93,43.48,11200,0
MAZE.US,5,20260129,154000,43.48,43.59,43.2404,43.295,1053,0
MAZE.US,5,20260129,154500,43.6,44.275,43.6,44.1,4001,0
MAZE.US,5,20260129,155000,43.8,43.8,43.54,43.54,300,0
MAZE.US,5,20260129,155500,43.92,44.45,43.92,44.45,200,0
MAZE.US,5,20260129,160000,43.39,43.92,43.39,43.915,3109,0
MAZE.US,5,20260129,160500,43.83,43.835,43.825,43.825,1109,0
MAZE.US,5,20260129,161000,43.825,44.12,43.475,43.475,3568,0
MAZE.US,5,20260129,161500,43.69,43.95,43.47,43.585,9111,0
MAZE.US,5,20260129,162000,43.465,43.66,43.46,43.66,300,0
MAZE.US,5,20260129,162500,43.62,43.67,43.445,43.63,2950,0
MAZE.US,5,20260129,163000,43.5,43.5,43.4725,43.48,3120,0
MAZE.US,5,20260129,163500,43.29,43.495,43.28,43.495,500,0
MAZE.US,5,20260129,164000,43.15,43.21,42.86,43.03,4555,0
MAZE.US,5,20260129,164500,43.14,43.3,43.1,43.28,1400,0
MAZE.US,5,20260129,165000,43.08,43.56,42.82,43.165,8160,0
MAZE.US,5,20260129,165500,43.52,43.65,43.31,43.65,900,0
MAZE.US,5,20260129,170000,43.215,43.27,43.215,43.27,200,0
MAZE.US,5,20260129,171000,43.61,43.83,43.61,43.83,1200,0
MAZE.US,5,20260129,171500,43.83,43.83,43.83,43.83,100,0
MAZE.US,5,20260129,172000,43.46,43.73,43.46,43.73,500,0
MAZE.US,5,20260129,172500,43.73,43.95,43.73,43.95,850,0
MAZE.US,5,20260129,173000,43.725,43.725,43.725,43.725,100,0
MAZE.US,5,20260129,173500,43.725,43.99,43.725,43.97,900,0
MAZE.US,5,20260129,174000,43.97,44.265,43.9,44.16,1276,0
MAZE.US,5,20260129,174500,44.275,44.275,44.275,44.275,100,0
MAZE.US,5,20260129,175000,44.3,44.55,44.24,44.46,5300,0
MAZE.US,5,20260129,175500,44.6899,44.6899,44.295,44.295,680,0
MAZE.US,5,20260129,180000,44.225,44.225,44.225,44.225,5428,0
MAZE.US,5,20260129,180500,44.225,44.42,43.913,44.225,633,0
MAZE.US,5,20260129,181000,44.225,44.415,44.155,44.41,1964,0
MAZE.US,5,20260129,181500,44.15,44.515,44.15,44.515,800,0
