<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MKLYU.US,5,20260202,163500,10.175,10.2,10.175,10.2,1600,0
MKLYU.US,5,20260205,205500,10.2,10.2,10.2,10.2,100,0
MKLYU.US,5,20260210,153000,10.2,10.2,10.2,10.2,252,0
MKLYU.US,5,20260211,174000,10.18,10.18,10.18,10.18,6500,0
MKLYU.US,5,20260218,183500,10.15,10.15,10.15,10.15,41200,0
MKLYU.US,5,20260218,184000,10.15,10.15,10.15,10.15,2299,0
MKLYU.US,5,20260309,165000,10.13,10.13,10.12,10.12,2600,0
MKLYU.US,5,20260309,165500,10.12,10.12,10.12,10.12,10500,0
MKLYU.US,5,20260309,201000,10.12,10.12,10.12,10.12,3985,0
MKLYU.US,5,20260309,201500,10.12,10.12,10.12,10.12,600,0
MKLYU.US,5,20260309,202000,10.12,10.12,10.12,10.12,7500,0
MKLYU.US,5,20260312,151000,10.13,10.13,10.13,10.13,300,0
MKLYU.US,5,20260313,143000,10.13,10.13,10.13,10.13,600,0
MKLYU.US,5,20260317,153500,10.13,10.13,10.13,10.13,800,0
MKLYU.US,5,20260318,143000,10.13,10.13,10.13,10.13,100,0
MKLYU.US,5,20260318,170000,10.1299,10.13,10.1299,10.13,600,0
MKLYU.US,5,20260318,195000,10.12,10.12,10.12,10.12,100,0
MKLYU.US,5,20260319,154000,10.12,10.12,10.12,10.12,100,0
MKLYU.US,5,20260326,184500,10.13,10.13,10.13,10.13,954,0
MKLYU.US,5,20260414,173500,10.15,10.15,10.15,10.15,1351,0
MKLYU.US,5,20260416,153000,10.17,10.17,10.17,10.17,100,0
MKLYU.US,5,20260416,182000,10.17,10.17,10.17,10.17,800,0
MKLYU.US,5,20260417,215500,10.16,10.16,10.16,10.16,100,0
MKLYU.US,5,20260420,213500,10.2,10.2,10.2,10.2,900,0
MKLYU.US,5,20260423,160500,10.22,10.22,10.22,10.22,900,0
MKLYU.US,5,20260428,215500,10.25,10.25,10.25,10.25,100,0
MKLYU.US,5,20260430,153000,10.2,10.2,10.2,10.2,100,0
MKLYU.US,5,20260430,194000,10.23,10.2368,10.23,10.2368,1030,0
MKLYU.US,5,20260504,153000,10.21,10.21,10.21,10.21,100,0
MKLYU.US,5,20260507,200000,10.21,10.2101,10.21,10.2101,800,0
MKLYU.US,5,20260512,155000,10.24,10.24,10.24,10.24,1000,0
MKLYU.US,5,20260513,153000,10.21,10.21,10.21,10.21,100,0
MKLYU.US,5,20260513,213500,10.25,10.25,10.25,10.25,100,0
MKLYU.US,5,20260514,153000,10.21,10.21,10.21,10.21,100,0
MKLYU.US,5,20260521,210000,10.2,10.2,10.2,10.2,100,0
MKLYU.US,5,20260522,194000,10.25,10.25,10.25,10.25,703,0
MKLYU.US,5,20260526,153000,10.22,10.22,10.22,10.22,100,0
MKLYU.US,5,20260526,155500,10.27,11.015,10.27,11.015,3246,0
MKLYU.US,5,20260526,161000,10.43,10.43,10.43,10.43,100,0
MKLYU.US,5,20260526,173500,10.3,10.3,10.27,10.27,2635,0
MKLYU.US,5,20260526,180500,10.27,10.27,10.27,10.27,150,0
MKLYU.US,5,20260605,203000,10.33,10.3301,10.33,10.3301,400,0
MKLYU.US,5,20260608,153000,10.33,10.33,10.33,10.33,100,0
