<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLAB.US,5,20260126,153000,82.52,83.01,81.5,83.01,505,0
MLAB.US,5,20260126,154000,83.23,83.23,83.23,83.23,100,0
MLAB.US,5,20260126,155000,82.71,83,82.71,83,400,0
MLAB.US,5,20260126,155500,82.8,83.11,82.75,82.9,5814,0
MLAB.US,5,20260126,160000,82.81,82.99,82.43,82.66,976,0
MLAB.US,5,20260126,160500,82.83,82.99,82.69,82.69,800,0
MLAB.US,5,20260126,161500,82.65,83.2295,82.39,82.52,2302,0
MLAB.US,5,20260126,162000,82.4,82.4,82.4,82.4,180,0
MLAB.US,5,20260126,162500,82.7999,82.7999,82.7999,82.7999,102,0
MLAB.US,5,20260126,164000,82.59,82.59,81.35,81.35,221,0
MLAB.US,5,20260126,164500,82.01,82.14,82,82.01,600,0
MLAB.US,5,20260126,165000,81.81,82,81.8,82,735,0
MLAB.US,5,20260126,180000,81.66,81.74,81.66,81.74,200,0
MLAB.US,5,20260126,181000,82.21,82.21,82.21,82.21,100,0
MLAB.US,5,20260126,182000,82.07,82.07,82.07,82.07,100,0
MLAB.US,5,20260126,182500,82.06,82.06,82.06,82.06,100,0
MLAB.US,5,20260126,184000,81.96,82.25,81.96,82.07,662,0
MLAB.US,5,20260126,190000,81.9,81.9,81.9,81.9,100,0
MLAB.US,5,20260126,192500,82.12,82.12,82.12,82.12,200,0
MLAB.US,5,20260126,193000,82.2,82.2,82.2,82.2,200,0
MLAB.US,5,20260126,194500,81.97,82.07,81.97,82.07,340,0
MLAB.US,5,20260126,201000,81.949,81.949,81.949,81.949,157,0
MLAB.US,5,20260126,202500,82.25,82.4,82.25,82.4,500,0
MLAB.US,5,20260126,203000,82.1,82.285,82.05,82.2745,1185,0
MLAB.US,5,20260126,203500,82.42,82.52,82.21,82.21,603,0
MLAB.US,5,20260126,204500,82.14,82.14,82.09,82.09,300,0
MLAB.US,5,20260126,211000,82.3,82.3,82.3,82.3,366,0
MLAB.US,5,20260126,212500,82.11,82.11,82.11,82.11,100,0
MLAB.US,5,20260126,213000,82.08,82.29,82.08,82.29,1136,0
MLAB.US,5,20260126,214000,82.05,82.05,82.05,82.05,100,0
MLAB.US,5,20260126,215000,81.82,81.96,81.81,81.81,1000,0
MLAB.US,5,20260126,215500,81.77,82.07,81.72,81.72,5831,0
MLAB.US,5,20260127,153000,81.81,81.81,81.81,81.81,183,0
MLAB.US,5,20260127,154000,81.46,81.51,81.45,81.51,300,0
MLAB.US,5,20260127,155000,81.71,81.71,81.71,81.71,100,0
MLAB.US,5,20260127,163000,82,82,82,82,500,0
MLAB.US,5,20260127,174000,81,81,80.78,80.82,600,0
MLAB.US,5,20260127,174500,80.8,80.89,80.8,80.88,500,0
MLAB.US,5,20260127,180500,80.7,80.7,80.7,80.7,100,0
MLAB.US,5,20260127,181500,80.5,80.54,80.5,80.5,1568,0
MLAB.US,5,20260127,182500,81.005,81.05,81.005,81.05,500,0
MLAB.US,5,20260127,190500,80.92,80.92,80.92,80.92,100,0
MLAB.US,5,20260127,191500,81.09,81.1,81.09,81.1,300,0
MLAB.US,5,20260127,192000,80.61,80.61,80.61,80.61,316,0
MLAB.US,5,20260127,192500,81.57,81.57,81.57,81.57,100,0
MLAB.US,5,20260127,195000,80.96,81.12,80.71,80.86,1300,0
MLAB.US,5,20260127,200000,80.5325,80.5325,80.5,80.5,343,0
MLAB.US,5,20260127,200500,80.79,80.93,80.79,80.92,840,0
MLAB.US,5,20260127,201500,80.625,80.625,80.625,80.625,200,0
MLAB.US,5,20260127,202500,80.5982,80.625,80.5982,80.625,226,0
MLAB.US,5,20260127,204500,80.78,80.78,80.76,80.76,200,0
MLAB.US,5,20260127,205000,80.635,80.96,80.635,80.96,400,0
MLAB.US,5,20260127,211000,81.4,81.44,81.09,81.09,1329,0
MLAB.US,5,20260127,211500,81.565,81.565,81.09,81.09,300,0
MLAB.US,5,20260127,212500,80.995,81.1925,80.995,81.1925,555,0
MLAB.US,5,20260127,213000,80.86,81.3821,80.86,80.86,323,0
MLAB.US,5,20260127,213500,80.8,80.8,80.8,80.8,111,0
MLAB.US,5,20260127,214500,80.91,80.97,80.91,80.97,300,0
MLAB.US,5,20260127,215000,81.26,81.3,81.18,81.3,402,0
MLAB.US,5,20260127,215500,81.53,81.6,81.43,81.58,7649,0
MLAB.US,5,20260128,153000,82,82.2,81.71,81.71,444,0
MLAB.US,5,20260128,153500,81.71,82.1,81.54,81.85,3135,0
MLAB.US,5,20260128,154000,81.52,82.1,80.54,81.9,2799,0
MLAB.US,5,20260128,154500,81.75,82.29,81.65,81.75,8159,0
MLAB.US,5,20260128,155000,81.7,81.77,81.46,81.77,500,0
MLAB.US,5,20260128,155500,81.97,81.98,81.41,81.41,4186,0
MLAB.US,5,20260128,160000,81.75,81.75,81.75,81.75,300,0
MLAB.US,5,20260128,160500,81.75,81.75,81.75,81.75,300,0
MLAB.US,5,20260128,161000,81.73,81.8,81.6,81.72,5801,0
MLAB.US,5,20260128,161500,81.85,82.505,81.5,82.135,1705,0
MLAB.US,5,20260128,162000,81.69,81.85,81.1925,81.5,4175,0
MLAB.US,5,20260128,162500,81.58,81.58,81.31,81.38,1560,0
MLAB.US,5,20260128,163000,81.055,81.39,81.055,81.39,200,0
MLAB.US,5,20260128,164000,80.91,80.98,80.82,80.82,400,0
MLAB.US,5,20260128,171000,80.405,80.405,80.405,80.405,100,0
MLAB.US,5,20260128,172500,80.3,80.3,80.065,80.065,453,0
MLAB.US,5,20260128,173000,80.59,80.88,80.59,80.6,800,0
MLAB.US,5,20260128,175000,81.045,81.045,80.695,80.83,300,0
MLAB.US,5,20260128,181000,80.805,80.805,80.805,80.805,100,0
MLAB.US,5,20260128,183000,80.51,80.51,80.075,80.075,796,0
MLAB.US,5,20260128,184000,80.37,80.45,80.37,80.45,300,0
MLAB.US,5,20260128,184500,80.67,80.67,80.67,80.67,100,0
