<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYHD.US,5,20260227,202500,25.04,25.04,25.04,25.04,500,0
MYHD.US,5,20260303,155500,24.91,24.91,24.91,24.91,700,0
MYHD.US,5,20260305,153000,25.22,25.22,25.22,25.22,475,0
MYHD.US,5,20260305,183500,25,25,25,25,700,0
MYHD.US,5,20260305,190000,24.96,25.04,24.96,24.96,5238,0
MYHD.US,5,20260305,203000,25.02,25.09,24.99,24.99,3650,0
MYHD.US,5,20260305,210000,24.98,24.98,24.98,24.98,700,0
MYHD.US,5,20260306,153000,24.9,24.9,24.9,24.9,700,0
MYHD.US,5,20260306,183500,24.92,24.92,24.92,24.92,300,0
MYHD.US,5,20260309,203500,24.92,24.92,24.92,24.92,700,0
MYHD.US,5,20260311,143500,24.95,24.95,24.95,24.95,700,0
MYHD.US,5,20260311,144500,24.93,24.93,24.93,24.93,700,0
MYHD.US,5,20260311,173500,24.94,24.94,24.94,24.94,800,0
MYHD.US,5,20260311,183500,24.9425,24.9425,24.935,24.935,280,0
MYHD.US,5,20260311,184500,24.935,24.935,24.935,24.935,400,0
MYHD.US,5,20260312,143000,24.87,24.87,24.87,24.87,700,0
MYHD.US,5,20260312,143500,24.92,24.92,24.92,24.92,100,0
MYHD.US,5,20260312,144500,24.87,24.87,24.87,24.87,700,0
MYHD.US,5,20260312,151500,24.85,24.85,24.85,24.85,700,0
MYHD.US,5,20260312,152000,24.84,24.84,24.81,24.81,900,0
MYHD.US,5,20260312,180500,24.81,24.81,24.81,24.81,700,0
MYHD.US,5,20260312,195500,24.77,24.77,24.77,24.77,700,0
MYHD.US,5,20260313,143500,24.83,24.83,24.83,24.83,700,0
MYHD.US,5,20260313,151500,24.81,24.81,24.81,24.81,700,0
MYHD.US,5,20260313,153000,24.84,24.85,24.84,24.85,800,0
MYHD.US,5,20260313,154500,24.8,24.8,24.8,24.8,700,0
MYHD.US,5,20260313,155500,24.79,24.79,24.79,24.79,700,0
MYHD.US,5,20260313,163500,24.75,24.75,24.75,24.75,700,0
MYHD.US,5,20260318,195000,24.84,24.84,24.84,24.84,700,0
MYHD.US,5,20260318,204000,24.8,24.8,24.78,24.78,800,0
MYHD.US,5,20260319,143500,24.67,24.67,24.67,24.67,700,0
MYHD.US,5,20260319,161500,24.7299,24.73,24.7299,24.73,682,0
MYHD.US,5,20260319,200500,24.77,24.77,24.77,24.77,700,0
MYHD.US,5,20260320,145000,24.74,24.74,24.74,24.74,700,0
MYHD.US,5,20260320,193000,24.66,24.66,24.66,24.66,700,0
MYHD.US,5,20260320,202000,24.63,24.63,24.63,24.63,700,0
MYHD.US,5,20260323,151500,24.66,24.66,24.66,24.66,700,0
MYHD.US,5,20260323,172500,24.74,24.74,24.74,24.74,700,0
MYHD.US,5,20260324,144000,24.7,24.7,24.7,24.7,700,0
MYHD.US,5,20260325,161500,24.77,24.77,24.77,24.77,700,0
MYHD.US,5,20260326,143500,24.7,24.7,24.7,24.7,700,0
MYHD.US,5,20260326,171500,24.67,24.67,24.67,24.67,700,0
MYHD.US,5,20260326,181500,24.64,24.64,24.64,24.64,700,0
MYHD.US,5,20260326,184500,24.62,24.62,24.61,24.61,800,0
MYHD.US,5,20260327,143500,24.55,24.55,24.53,24.53,800,0
MYHD.US,5,20260330,211000,24.56,24.56,24.56,24.56,700,0
MYHD.US,5,20260331,164500,24.675,24.675,24.675,24.675,267,0
MYHD.US,5,20260331,184000,24.71,24.71,24.71,24.71,800,0
MYHD.US,5,20260401,153000,24.71,24.71,24.71,24.71,200,0
MYHD.US,5,20260401,153500,24.71,24.71,24.65,24.65,1400,0
MYHD.US,5,20260401,175500,24.67,24.67,24.67,24.67,700,0
MYHD.US,5,20260401,181500,24.69,24.69,24.69,24.69,4450,0
MYHD.US,5,20260402,162000,24.63,24.63,24.63,24.63,700,0
MYHD.US,5,20260402,163500,24.69,24.69,24.69,24.69,200,0
MYHD.US,5,20260402,204000,24.75,24.77,24.75,24.77,1040,0
MYHD.US,5,20260402,205500,24.735,24.76,24.735,24.75,1905,0
MYHD.US,5,20260402,215000,24.75,24.76,24.75,24.76,200,0
MYHD.US,5,20260406,201000,24.78,24.78,24.78,24.78,100,0
MYHD.US,5,20260407,161500,24.76,24.76,24.76,24.76,100,0
MYHD.US,5,20260407,170000,24.71,24.71,24.71,24.71,700,0
MYHD.US,5,20260407,171000,24.73,24.73,24.73,24.73,100,0
MYHD.US,5,20260407,200500,24.76,24.76,24.76,24.76,100,0
MYHD.US,5,20260407,201500,24.77,24.77,24.77,24.77,100,0
MYHD.US,5,20260407,202000,24.78,24.78,24.78,24.78,100,0
MYHD.US,5,20260407,202500,24.78,24.78,24.78,24.78,100,0
MYHD.US,5,20260407,203000,24.78,24.78,24.78,24.78,11100,0
MYHD.US,5,20260407,203500,24.78,24.78,24.78,24.78,100,0
MYHD.US,5,20260407,204000,24.7216,24.77,24.7216,24.77,440,0
MYHD.US,5,20260407,204500,24.77,24.77,24.77,24.77,100,0
MYHD.US,5,20260407,205000,24.77,24.77,24.77,24.77,200,0
MYHD.US,5,20260407,205500,24.77,24.77,24.77,24.77,100,0
MYHD.US,5,20260407,210000,24.77,24.77,24.77,24.77,100,0
MYHD.US,5,20260407,210500,24.77,24.77,24.77,24.77,100,0
MYHD.US,5,20260407,211000,24.77,24.77,24.77,24.77,100,0
MYHD.US,5,20260407,211500,24.77,24.77,24.77,24.77,200,0
MYHD.US,5,20260407,212000,24.78,24.78,24.78,24.78,100,0
MYHD.US,5,20260407,212500,24.78,24.78,24.78,24.78,200,0
MYHD.US,5,20260407,213000,24.78,24.78,24.78,24.78,200,0
MYHD.US,5,20260407,213500,24.78,24.78,24.78,24.78,200,0
MYHD.US,5,20260407,214000,24.78,24.78,24.78,24.78,100,0
MYHD.US,5,20260407,214500,24.78,24.78,24.78,24.78,300,0
MYHD.US,5,20260407,215000,24.78,24.79,24.78,24.79,500,0
MYHD.US,5,20260408,154500,24.97,24.97,24.97,24.97,700,0
MYHD.US,5,20260408,162500,25.01,25.01,25.01,25.01,100,0
MYHD.US,5,20260409,173000,24.93,24.96,24.93,24.96,900,0
MYHD.US,5,20260414,163500,25.02,25.02,25.02,25.02,200,0
MYHD.US,5,20260414,213000,25.03,25.03,25.02,25.02,1760,0
MYHD.US,5,20260417,165500,25.14,25.14,25.14,25.14,100,0
MYHD.US,5,20260417,214500,25.15,25.15,25.15,25.15,690,0
MYHD.US,5,20260417,215000,25.15,25.16,25.15,25.15,1214,0
MYHD.US,5,20260420,183000,25.13,25.13,25.13,25.13,100,0
MYHD.US,5,20260421,170000,25.07,25.07,25.07,25.07,700,0
MYHD.US,5,20260421,212000,25.07,25.07,25.07,25.07,100,0
MYHD.US,5,20260421,213500,25.0899,25.0899,25.0899,25.0899,355,0
MYHD.US,5,20260423,193500,25.045,25.045,25.045,25.045,135,0
MYHD.US,5,20260429,200000,25.03,25.03,25.03,25.03,100,0
MYHD.US,5,20260430,155500,25.05,25.05,25.035,25.035,1300,0
MYHD.US,5,20260430,160000,25.05,25.05,25.05,25.05,100,0
MYHD.US,5,20260501,162500,24.965,24.965,24.965,24.965,120,0
MYHD.US,5,20260501,201000,24.99,24.99,24.99,24.99,100,0
MYHD.US,5,20260504,174000,24.93,24.96,24.93,24.96,200,0
MYHD.US,5,20260505,174500,24.925,24.925,24.925,24.925,175,0
MYHD.US,5,20260506,155000,25.02,25.02,25.02,25.02,100,0
MYHD.US,5,20260506,161000,25.03,25.03,25.03,25.03,100,0
MYHD.US,5,20260507,192500,24.98,24.98,24.98,24.98,100,0
MYHD.US,5,20260508,170500,25,25,25,25,100,0
MYHD.US,5,20260512,205500,24.96,24.96,24.96,24.96,120,0
MYHD.US,5,20260514,193000,25,25,25,25,1040,0
MYHD.US,5,20260514,194500,25.0192,25.0192,25.0192,25.0192,1030,0
MYHD.US,5,20260514,200000,25.01,25.01,25.01,25.01,300,0
MYHD.US,5,20260514,215500,24.97,24.97,24.97,24.97,1000,0
MYHD.US,5,20260515,172500,24.885,24.9,24.885,24.893,620,0
MYHD.US,5,20260521,172500,24.905,24.905,24.905,24.905,200,0
MYHD.US,5,20260521,194500,24.94,24.94,24.94,24.94,800,0
MYHD.US,5,20260527,183000,25.0788,25.0788,25.0788,25.0788,400,0
MYHD.US,5,20260608,193500,24.9087,24.9087,24.9087,24.9087,690,0
MYHD.US,5,20260609,170000,24.915,24.915,24.915,24.915,100,0
MYHD.US,5,20260609,215500,24.8715,24.8715,24.8715,24.8715,240,0
MYHD.US,5,20260610,173500,24.91,25.05,24.895,25.05,1050,0
MYHD.US,5,20260610,194000,24.9,24.9,24.9,24.9,100,0
MYHD.US,5,20260611,193000,24.92,24.92,24.92,24.92,100,0
MYHD.US,5,20260612,175500,25.02,25.02,25.0199,25.0199,360,0
MYHD.US,5,20260615,175500,25.1,25.1,25.09,25.09,395,0
MYHD.US,5,20260617,213000,25,25,25,25,700,0
