<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NAVN.US,5,20260126,153000,14.92,15.055,14.72,14.795,14867,0
NAVN.US,5,20260126,153500,14.743,14.89,14.743,14.85,4078,0
NAVN.US,5,20260126,154000,14.815,14.95,14.815,14.89,3525,0
NAVN.US,5,20260126,154500,14.89,14.95,14.89,14.89,1878,0
NAVN.US,5,20260126,155000,14.89,14.9,14.77,14.865,28425,0
NAVN.US,5,20260126,155500,14.84,14.88,14.8,14.82,6004,0
NAVN.US,5,20260126,160000,14.8,14.86,14.79,14.79,23740,0
NAVN.US,5,20260126,160500,14.79,14.815,14.69,14.69,16724,0
NAVN.US,5,20260126,161000,14.7,14.71,14.655,14.69,4503,0
NAVN.US,5,20260126,161500,14.685,14.795,14.685,14.795,4204,0
NAVN.US,5,20260126,162000,14.81,14.85,14.77,14.85,400,0
NAVN.US,5,20260126,162500,14.8,14.815,14.78,14.795,2205,0
NAVN.US,5,20260126,163000,14.82,14.86,14.79,14.85,3101,0
NAVN.US,5,20260126,163500,14.855,14.855,14.855,14.855,700,0
NAVN.US,5,20260126,164000,14.83,14.91,14.8,14.805,3688,0
NAVN.US,5,20260126,164500,14.78,14.89,14.77,14.77,1927,0
NAVN.US,5,20260126,165000,14.83,14.83,14.77,14.79,1272,0
NAVN.US,5,20260126,165500,14.7868,14.79,14.76,14.77,9432,0
NAVN.US,5,20260126,170000,14.77,14.79,14.76,14.765,3052,0
NAVN.US,5,20260126,170500,14.78,14.78,14.765,14.765,4600,0
NAVN.US,5,20260126,171000,14.77,14.78,14.75,14.78,3790,0
NAVN.US,5,20260126,171500,14.76,14.7899,14.76,14.76,4651,0
NAVN.US,5,20260126,172000,14.74,14.87,14.74,14.87,5653,0
NAVN.US,5,20260126,172500,14.88,14.885,14.83,14.83,4685,0
NAVN.US,5,20260126,173000,14.82,14.93,14.81,14.91,7956,0
NAVN.US,5,20260126,173500,14.895,14.94,14.895,14.9004,1752,0
NAVN.US,5,20260126,174000,14.925,15.04,14.9,14.965,20617,0
NAVN.US,5,20260126,174500,14.995,14.995,14.9,14.925,2774,0
NAVN.US,5,20260126,175000,14.9,14.94,14.9,14.94,1700,0
NAVN.US,5,20260126,175500,14.92,14.9426,14.9,14.91,3805,0
NAVN.US,5,20260126,180000,14.91,14.9196,14.9,14.91,2385,0
NAVN.US,5,20260126,180500,14.92,14.945,14.9,14.945,11418,0
NAVN.US,5,20260126,181000,14.93,14.96,14.9,14.92,6520,0
NAVN.US,5,20260126,181500,14.925,14.94,14.9175,14.92,4217,0
NAVN.US,5,20260126,182000,14.91,14.91,14.9,14.9,817,0
NAVN.US,5,20260126,182500,14.905,14.93,14.905,14.92,7897,0
NAVN.US,5,20260126,183000,14.93,14.94,14.92,14.94,2271,0
NAVN.US,5,20260126,183500,14.95,15,14.95,15,5388,0
NAVN.US,5,20260126,184000,15.01,15.01,15.01,15.01,300,0
NAVN.US,5,20260126,184500,15.02,15.02,15,15,510,0
NAVN.US,5,20260126,185000,15.01,15.02,15,15.02,1304,0
NAVN.US,5,20260126,185500,15.02,15.02,15,15,1011,0
NAVN.US,5,20260126,190000,15.005,15.005,14.96,14.96,2500,0
NAVN.US,5,20260126,190500,14.95,14.95,14.9,14.915,1620,0
NAVN.US,5,20260126,191000,14.92,14.92,14.9,14.9,1464,0
NAVN.US,5,20260126,191500,14.9,14.95,14.9,14.95,3810,0
NAVN.US,5,20260126,192000,14.96,14.96,14.925,14.95,5240,0
NAVN.US,5,20260126,192500,14.95,14.95,14.91,14.928,2194,0
NAVN.US,5,20260126,193000,14.93,14.95,14.93,14.94,2841,0
NAVN.US,5,20260126,193500,14.93,14.93,14.91,14.91,2730,0
NAVN.US,5,20260126,194000,14.9,14.9199,14.9,14.9,7982,0
NAVN.US,5,20260126,194500,14.905,14.92,14.9,14.905,9741,0
