<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTRP.US,5,20260126,153000,3.27,3.27,3.25,3.25,763,0
NTRP.US,5,20260126,160000,3.2,3.2,3.2,3.2,100,0
NTRP.US,5,20260126,160500,3.17,3.17,3.17,3.17,280,0
NTRP.US,5,20260126,163500,3.21,3.21,3.2,3.2,600,0
NTRP.US,5,20260126,164500,3.2,3.2,3.2,3.2,500,0
NTRP.US,5,20260126,165000,3.16,3.16,3.16,3.16,600,0
NTRP.US,5,20260126,165500,3.1878,3.1878,3.15,3.15,947,0
NTRP.US,5,20260126,170000,3.15,3.15,3.1317,3.14,1200,0
NTRP.US,5,20260126,171000,3.15,3.23,3.15,3.225,3559,0
NTRP.US,5,20260126,175000,3.2,3.2,3.2,3.2,100,0
NTRP.US,5,20260126,180000,3.14,3.14,3.14,3.14,103,0
NTRP.US,5,20260126,183500,3.195,3.2306,3.1846,3.2306,800,0
NTRP.US,5,20260126,184000,3.22,3.2367,3.2026,3.2026,600,0
NTRP.US,5,20260126,184500,3.2364,3.2364,3.2364,3.2364,1200,0
NTRP.US,5,20260126,185000,3.23,3.29511,3.22,3.29511,800,0
NTRP.US,5,20260126,190500,3.3492,3.3492,3.3492,3.3492,1000,0
NTRP.US,5,20260126,193000,3.28,3.28,3.28,3.28,100,0
NTRP.US,5,20260126,201500,3.24,3.31,3.24,3.31,2774,0
NTRP.US,5,20260126,202000,3.315,3.315,3.315,3.315,150,0
NTRP.US,5,20260126,210000,3.325,3.325,3.325,3.325,100,0
NTRP.US,5,20260126,212000,3.3502,3.3502,3.3502,3.3502,1900,0
NTRP.US,5,20260126,212500,3.335,3.335,3.335,3.335,230,0
NTRP.US,5,20260126,213000,3.28,3.28,3.22,3.275,3075,0
NTRP.US,5,20260126,213500,3.24,3.24,3.24,3.24,100,0
NTRP.US,5,20260126,215500,3.32,3.32,3.32,3.32,203,0
NTRP.US,5,20260127,153000,3.31,3.31,3.3,3.3,534,0
NTRP.US,5,20260127,153500,3.3,3.3,3.3,3.3,200,0
NTRP.US,5,20260127,154500,3.28,3.28,3.28,3.28,314,0
NTRP.US,5,20260127,155000,3.28,3.28,3.28,3.28,400,0
NTRP.US,5,20260127,160000,3.28,3.28,3.28,3.28,114,0
NTRP.US,5,20260127,161000,3.28,3.28,3.28,3.28,100,0
NTRP.US,5,20260127,170500,3.22,3.23,3.15,3.15,4751,0
NTRP.US,5,20260127,182000,3.28,3.28,3.28,3.28,400,0
NTRP.US,5,20260127,182500,3.28,3.28,3.28,3.28,400,0
NTRP.US,5,20260127,183000,3.28,3.28,3.28,3.28,200,0
NTRP.US,5,20260127,194500,3.3604,3.3604,3.3604,3.3604,100,0
NTRP.US,5,20260127,202500,3.3399,3.34,3.3399,3.34,1926,0
NTRP.US,5,20260127,203000,3.3046,3.3046,3.3046,3.3046,500,0
NTRP.US,5,20260127,203500,3.34,3.36,3.34,3.36,887,0
NTRP.US,5,20260127,204000,3.345,3.345,3.345,3.345,350,0
NTRP.US,5,20260127,213000,3.31,3.31,3.31,3.31,300,0
NTRP.US,5,20260127,214000,3.31,3.31,3.25,3.25,1647,0
NTRP.US,5,20260127,215500,3.26,3.26,3.26,3.26,300,0
NTRP.US,5,20260128,153000,3.32,3.32,3.32,3.32,151,0
NTRP.US,5,20260128,154500,3.23,3.23,3.23,3.23,100,0
NTRP.US,5,20260128,155000,3.2548,3.2548,3.2548,3.2548,250,0
NTRP.US,5,20260128,155500,3.24,3.24,3.24,3.24,300,0
NTRP.US,5,20260128,160000,3.22,3.22,3.21,3.21,300,0
NTRP.US,5,20260128,161000,3.2,3.2,3.2,3.2,103,0
NTRP.US,5,20260128,162500,3.2,3.2,3.2,3.2,100,0
NTRP.US,5,20260128,165500,3.18,3.18,3.18,3.18,267,0
NTRP.US,5,20260128,171500,3.16,3.18,3.16,3.175,1423,0
NTRP.US,5,20260128,173500,3.17,3.2,3.17,3.2,600,0
NTRP.US,5,20260128,180000,3.2,3.205,3.2,3.205,5300,0
NTRP.US,5,20260128,190000,3.2315,3.2315,3.2315,3.2315,200,0
NTRP.US,5,20260128,190500,3.245,3.245,3.245,3.245,200,0
NTRP.US,5,20260128,191000,3.2615,3.2615,3.2615,3.2615,200,0
NTRP.US,5,20260128,191500,3.245,3.245,3.245,3.245,300,0
NTRP.US,5,20260128,192500,3.245,3.245,3.245,3.245,146,0
NTRP.US,5,20260128,193000,3.29,3.3,3.285,3.285,568,0
NTRP.US,5,20260128,201000,3.265,3.265,3.2,3.22,2961,0
NTRP.US,5,20260128,201500,3.22,3.22,3.22,3.22,140,0
NTRP.US,5,20260128,202500,3.3,3.3,3.3,3.3,100,0
NTRP.US,5,20260128,205500,3.3199,3.3199,3.3199,3.3199,200,0
NTRP.US,5,20260128,214500,3.255,3.255,3.18,3.18,1855,0
NTRP.US,5,20260128,215000,3.196,3.196,3.196,3.196,100,0
NTRP.US,5,20260128,215500,3.2,3.2,3.15,3.15,1371,0
NTRP.US,5,20260129,153000,3.07,3.1,3.07,3.08,6415,0
NTRP.US,5,20260129,153500,3.11,3.11,3.07,3.07,246,0
NTRP.US,5,20260129,154000,3.09,3.09,3.09,3.09,100,0
NTRP.US,5,20260129,154500,3.08,3.09,3.05,3.05,1550,0
NTRP.US,5,20260129,162500,3.1999,3.1999,3.1736,3.1736,1500,0
NTRP.US,5,20260129,165500,3.12,3.12,3.09,3.09,1600,0
NTRP.US,5,20260129,171500,3.1499,3.19,3.1499,3.19,700,0
NTRP.US,5,20260129,172500,3.15,3.15,3.15,3.15,11650,0
NTRP.US,5,20260129,173000,3.18,3.222642,3.15,3.15,6500,0
NTRP.US,5,20260129,173500,3.158,3.158,3.15,3.15,2651,0
NTRP.US,5,20260129,174000,3.1699,3.19,3.1699,3.17,1100,0
NTRP.US,5,20260129,183500,3.1759,3.1759,3.1759,3.1759,1520,0
NTRP.US,5,20260129,190000,3.188,3.188,3.18,3.18,900,0
NTRP.US,5,20260129,192000,3.18,3.18,3.18,3.18,200,0
NTRP.US,5,20260129,192500,3.175,3.175,3.1444,3.17,300,0
NTRP.US,5,20260129,193000,3.1736,3.19,3.1736,3.19,1800,0
NTRP.US,5,20260129,193500,3.2,3.21,3.1999,3.1999,1068,0
NTRP.US,5,20260129,194000,3.26,3.26,3.26,3.26,100,0
NTRP.US,5,20260129,211000,3.255,3.255,3.255,3.255,5000,0
NTRP.US,5,20260129,213000,3.2,3.2,3.1,3.1,7773,0
NTRP.US,5,20260129,213500,3.1101,3.1101,3.1101,3.1101,4336,0
NTRP.US,5,20260129,214000,3.12,3.12,3.12,3.12,100,0
NTRP.US,5,20260129,215000,3.1556,3.1556,3.1556,3.1556,901,0
NTRP.US,5,20260129,215500,3.21,3.21,3.13,3.13,1390,0
NTRP.US,5,20260130,160000,3.14,3.14,3.09,3.09,950,0
NTRP.US,5,20260130,160500,3.08,3.1262,3.03,3.03,4957,0
NTRP.US,5,20260130,162500,3.0869,3.0869,3.0869,3.0869,500,0
NTRP.US,5,20260130,164500,3.08,3.08,3.08,3.08,100,0
NTRP.US,5,20260130,165500,3.08,3.08,3.08,3.08,100,0
NTRP.US,5,20260130,170000,3.09,3.09,3.09,3.09,147,0
NTRP.US,5,20260130,170500,3.12,3.12,3.05,3.11,2400,0
NTRP.US,5,20260130,171000,3.11,3.14,3.11,3.14,953,0
NTRP.US,5,20260130,174500,3.05,3.05,3.05,3.05,200,0
NTRP.US,5,20260130,175000,3.095,3.095,3.095,3.095,1000,0
NTRP.US,5,20260130,182500,3.1272,3.1272,3.07,3.07,1100,0
NTRP.US,5,20260130,192000,3.07,3.07,3.02,3.02,1619,0
NTRP.US,5,20260130,193500,3.1,3.1,3.1,3.1,100,0
NTRP.US,5,20260130,194500,3.0948,3.0948,3.0948,3.0948,1000,0
NTRP.US,5,20260130,195000,3.1,3.1,3.0905,3.0905,400,0
NTRP.US,5,20260130,195500,3.14,3.14,3.1,3.1,500,0
NTRP.US,5,20260130,203500,3.155,3.155,3.1,3.1,200,0
NTRP.US,5,20260130,204500,3.11,3.11,3.11,3.11,500,0
NTRP.US,5,20260130,205000,3.0912,3.0912,3.0912,3.0912,490,0
NTRP.US,5,20260130,211000,3.1,3.1503,3.09,3.1,3600,0
NTRP.US,5,20260130,212000,3.145,3.145,3.145,3.145,432,0
NTRP.US,5,20260130,215500,3.12,3.135,3.04,3.04,1621,0
NTRP.US,5,20260202,153000,3.01,3.01,3.01,3.01,100,0
NTRP.US,5,20260202,153500,3.0829,3.11,3.01,3.01,4100,0
NTRP.US,5,20260202,154000,3.05,3.299,3.05,3.2566,4419,0
NTRP.US,5,20260202,154500,3.2999,3.316,3.11,3.11,4931,0
NTRP.US,5,20260202,155000,3.2,3.2,3.2,3.2,100,0
NTRP.US,5,20260202,155500,3.21,3.25,3.21,3.25,500,0
NTRP.US,5,20260202,160000,3.3399,3.34,3.22,3.3399,3800,0
NTRP.US,5,20260202,160500,3.275,3.34,3.22,3.34,1700,0
NTRP.US,5,20260202,164000,3.26,3.37,3.26,3.35,3201,0
NTRP.US,5,20260202,164500,3.31,3.31,3.31,3.31,100,0
NTRP.US,5,20260202,165000,3.29,3.3,3.24,3.25,500,0
NTRP.US,5,20260202,173500,3.2201,3.2576,3.18,3.2576,3300,0
NTRP.US,5,20260202,175000,3.25,3.3,3.18,3.226,1600,0
NTRP.US,5,20260202,175500,3.3299,3.3299,3.18,3.2579,2300,0
NTRP.US,5,20260202,180000,3.31,3.32,3.18,3.21,4100,0
NTRP.US,5,20260202,181500,3.2375,3.2375,3.2375,3.2375,499,0
NTRP.US,5,20260202,182000,3.25,3.25,3.19,3.19,1600,0
NTRP.US,5,20260202,182500,3.34,3.34,3.34,3.34,998,0
NTRP.US,5,20260202,183500,3.2774,3.3402,3.23,3.29,4100,0
NTRP.US,5,20260202,184500,3.305,3.305,3.27,3.27,1600,0
NTRP.US,5,20260202,185000,3.3139,3.3139,3.2,3.2,2288,0
NTRP.US,5,20260202,191000,3.2267,3.26,3.17,3.17,3700,0
NTRP.US,5,20260202,191500,3.26,3.3,3.26,3.3,394,0
NTRP.US,5,20260202,192000,3.3,3.3,3.29,3.29,2034,0
NTRP.US,5,20260202,192500,3.35,3.35,3.35,3.35,100,0
NTRP.US,5,20260202,194500,3.24,3.24,3.17,3.17,2100,0
NTRP.US,5,20260202,200500,3.21,3.25,3.12,3.12,7300,0
NTRP.US,5,20260202,201000,3.17,3.2299,3.14,3.14,1400,0
NTRP.US,5,20260202,214000,3.16,3.16,3.16,3.16,100,0
NTRP.US,5,20260202,215500,3.15,3.15,3.1,3.1,2466,0
NTRP.US,5,20260203,153000,3.1,3.1,3.1,3.1,300,0
NTRP.US,5,20260203,160000,3.165,3.165,3.165,3.165,100,0
NTRP.US,5,20260203,163000,3.165,3.165,3.165,3.165,150,0
NTRP.US,5,20260203,164500,3.11,3.17,3.05,3.17,1483,0
NTRP.US,5,20260203,165000,3.0301,3.0301,3.0301,3.0301,500,0
NTRP.US,5,20260203,172000,3.2399,3.2399,3.2399,3.2399,156,0
NTRP.US,5,20260203,172500,3.09,3.1,3.09,3.1,200,0
NTRP.US,5,20260203,174500,3.01,3.01,3.01,3.01,100,0
NTRP.US,5,20260203,175000,2.99,3.05,2.99,3.05,2874,0
NTRP.US,5,20260203,180000,3.09,3.09,3.09,3.09,951,0
NTRP.US,5,20260203,180500,3.09,3.09,3.09,3.09,400,0
NTRP.US,5,20260203,182500,3.055,3.06,3.055,3.06,200,0
NTRP.US,5,20260203,191000,3.05,3.13,3.05,3.11,3000,0
NTRP.US,5,20260203,191500,3.12,3.12,3.12,3.12,200,0
NTRP.US,5,20260203,192500,3.12,3.12,3.05,3.05,700,0
NTRP.US,5,20260203,193000,3.05,3.074,3.04,3.0734,498,0
NTRP.US,5,20260203,193500,3.0761,3.11,3.06,3.06,1200,0
NTRP.US,5,20260203,200000,3.11,3.11,3.1,3.1,600,0
NTRP.US,5,20260203,200500,3.1,3.1,3.1,3.1,100,0
NTRP.US,5,20260203,202500,3.05,3.1,3.02,3.02,3140,0
NTRP.US,5,20260203,203000,3.05,3.05,3.03,3.05,400,0
NTRP.US,5,20260203,203500,3.05,3.05,3.05,3.05,249,0
