<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTSK.US,5,20260126,153000,15.36,15.48,15.23,15.395,31605,0
NTSK.US,5,20260126,153500,15.4438,15.512,15.32,15.47,7330,0
NTSK.US,5,20260126,154000,15.49,15.62,15.49,15.575,22456,0
NTSK.US,5,20260126,154500,15.58,15.59,15.475,15.475,6366,0
NTSK.US,5,20260126,155000,15.475,15.4986,15.39,15.39,9371,0
NTSK.US,5,20260126,155500,15.39,15.39,15.31,15.38,8014,0
NTSK.US,5,20260126,160000,15.36,15.39,15.345,15.365,9152,0
NTSK.US,5,20260126,160500,15.365,15.395,15.29,15.3,17409,0
NTSK.US,5,20260126,161000,15.3,15.35,15.28,15.3435,5498,0
NTSK.US,5,20260126,161500,15.36,15.555,15.36,15.55,4003,0
NTSK.US,5,20260126,162000,15.523,15.61,15.523,15.59,9031,0
NTSK.US,5,20260126,162500,15.59,15.595,15.55,15.57,11003,0
NTSK.US,5,20260126,163000,15.575,15.575,15.48,15.5391,6076,0
NTSK.US,5,20260126,163500,15.54,15.55,15.5,15.5295,5952,0
NTSK.US,5,20260126,164000,15.51,15.51,15.42,15.42,3998,0
NTSK.US,5,20260126,164500,15.435,15.48,15.435,15.47,3802,0
NTSK.US,5,20260126,165000,15.49,15.51,15.48,15.495,15357,0
NTSK.US,5,20260126,165500,15.51,15.51,15.45,15.45,3421,0
NTSK.US,5,20260126,170000,15.46,15.48,15.44,15.45,6594,0
NTSK.US,5,20260126,170500,15.4582,15.4582,15.4,15.44,6775,0
NTSK.US,5,20260126,171000,15.435,15.47,15.41,15.45,5181,0
NTSK.US,5,20260126,171500,15.465,15.5,15.4346,15.5,13839,0
NTSK.US,5,20260126,172000,15.5,15.55,15.49,15.5433,2420,0
NTSK.US,5,20260126,172500,15.54,15.5899,15.521,15.58,2800,0
NTSK.US,5,20260126,173000,15.6,15.6366,15.6,15.6,5379,0
NTSK.US,5,20260126,173500,15.6,15.6,15.56,15.56,4716,0
NTSK.US,5,20260126,174000,15.57,15.62,15.56,15.605,5793,0
NTSK.US,5,20260126,174500,15.62,15.62,15.55,15.56,9679,0
NTSK.US,5,20260126,175000,15.555,15.58,15.55,15.58,5983,0
NTSK.US,5,20260126,175500,15.57,15.585,15.535,15.535,6538,0
NTSK.US,5,20260126,180000,15.55,15.55,15.53,15.53,2807,0
NTSK.US,5,20260126,180500,15.54,15.55,15.51,15.525,7152,0
NTSK.US,5,20260126,181000,15.52,15.52,15.485,15.49,4624,0
NTSK.US,5,20260126,181500,15.495,15.5,15.485,15.49,1944,0
NTSK.US,5,20260126,182000,15.5,15.61,15.5,15.6,29378,0
NTSK.US,5,20260126,182500,15.5993,15.63,15.58,15.62,8651,0
NTSK.US,5,20260126,183000,15.62,15.64,15.62,15.64,8601,0
NTSK.US,5,20260126,183500,15.64,15.66,15.64,15.645,7984,0
NTSK.US,5,20260126,184000,15.64,15.645,15.62,15.645,3956,0
NTSK.US,5,20260126,184500,15.64,15.65,15.6372,15.65,2254,0
NTSK.US,5,20260126,185000,15.65,15.7,15.63,15.63,34660,0
NTSK.US,5,20260126,185500,15.625,15.625,15.6,15.61,4304,0
NTSK.US,5,20260126,190000,15.605,15.62,15.58,15.61,4627,0
NTSK.US,5,20260126,190500,15.61,15.62,15.55,15.56,11312,0
NTSK.US,5,20260126,191000,15.57,15.585,15.53,15.535,3427,0
NTSK.US,5,20260126,191500,15.54,15.56,15.54,15.555,1310,0
NTSK.US,5,20260126,192000,15.55,15.55,15.54,15.545,1933,0
NTSK.US,5,20260126,192500,15.54,15.54,15.54,15.54,1010,0
NTSK.US,5,20260126,193000,15.54,15.6,15.54,15.57,6714,0
NTSK.US,5,20260126,193500,15.57,15.57,15.56,15.56,3169,0
NTSK.US,5,20260126,194000,15.5553,15.6,15.555,15.58,2699,0
NTSK.US,5,20260126,194500,15.56,15.59,15.56,15.59,1904,0
NTSK.US,5,20260126,195000,15.5759,15.605,15.5759,15.59,3310,0
NTSK.US,5,20260126,195500,15.58,15.61,15.58,15.605,16543,0
NTSK.US,5,20260126,200000,15.5901,15.68,15.5901,15.615,15564,0
NTSK.US,5,20260126,200500,15.62,15.63,15.595,15.6,3905,0
NTSK.US,5,20260126,201000,15.6,15.62,15.56,15.575,3544,0
NTSK.US,5,20260126,201500,15.58,15.6,15.56,15.57,10299,0
NTSK.US,5,20260126,202000,15.58,15.58,15.54,15.56,5582,0
NTSK.US,5,20260126,202500,15.57,15.57,15.55,15.55,3260,0
NTSK.US,5,20260126,203000,15.56,15.565,15.525,15.535,13571,0
NTSK.US,5,20260126,203500,15.54,15.54,15.5276,15.53,1584,0
NTSK.US,5,20260126,204000,15.52,15.54,15.52,15.53,5361,0
NTSK.US,5,20260126,204500,15.52,15.555,15.51,15.5301,8703,0
NTSK.US,5,20260126,205000,15.52,15.52,15.485,15.495,3051,0
NTSK.US,5,20260126,205500,15.48,15.52,15.48,15.51,5108,0
NTSK.US,5,20260126,210000,15.51,15.51,15.485,15.5,2938,0
NTSK.US,5,20260126,210500,15.505,15.525,15.495,15.51,4955,0
NTSK.US,5,20260126,211000,15.5,15.51,15.49,15.505,4805,0
NTSK.US,5,20260126,211500,15.505,15.505,15.48,15.5,6857,0
NTSK.US,5,20260126,212000,15.51,15.55,15.5,15.51,34627,0
NTSK.US,5,20260126,212500,15.535,15.535,15.51,15.515,16791,0
NTSK.US,5,20260126,213000,15.51,15.5157,15.47,15.48,43130,0
NTSK.US,5,20260126,213500,15.48,15.5,15.48,15.485,8722,0
NTSK.US,5,20260126,214000,15.485,15.5,15.47,15.48,13306,0
NTSK.US,5,20260126,214500,15.48,15.495,15.445,15.4552,20093,0
NTSK.US,5,20260126,215000,15.46,15.49,15.37,15.39,36668,0
NTSK.US,5,20260126,215500,15.38,15.47,15.33,15.42,216455,0
NTSK.US,5,20260127,153000,15.51,15.56,15.4,15.43,47968,0
NTSK.US,5,20260127,153500,15.33,15.58,15.33,15.5399,20176,0
NTSK.US,5,20260127,154000,15.52,15.56,15.4721,15.545,13411,0
NTSK.US,5,20260127,154500,15.57,15.59,15.5203,15.565,45466,0
NTSK.US,5,20260127,155000,15.565,15.58,15.48,15.51,12642,0
NTSK.US,5,20260127,155500,15.495,15.51,15.46,15.46,4318,0
NTSK.US,5,20260127,160000,15.46,15.72,15.46,15.64,109400,0
NTSK.US,5,20260127,160500,15.62,15.76,15.58,15.76,28684,0
NTSK.US,5,20260127,161000,15.75,16.03,15.745,15.99,92849,0
NTSK.US,5,20260127,161500,15.98,16.02,15.95,16.005,122319,0
NTSK.US,5,20260127,162000,16,16.2,15.99,16.155,122578,0
NTSK.US,5,20260127,162500,16.17,16.19,15.9606,16.03,95651,0
NTSK.US,5,20260127,163000,16.015,16.03,15.9414,15.975,44753,0
NTSK.US,5,20260127,163500,15.975,16.04,15.94,16.02,46050,0
NTSK.US,5,20260127,164000,16.04,16.11,15.99,15.99,19707,0
NTSK.US,5,20260127,164500,15.99,16.26,15.962,16.26,48643,0
NTSK.US,5,20260127,165000,16.24,16.25,16.185,16.2,59814,0
NTSK.US,5,20260127,165500,16.2,16.24,16.18,16.23,23857,0
NTSK.US,5,20260127,170000,16.23,16.26,16.2,16.23,35632,0
NTSK.US,5,20260127,170500,16.23,16.26,16.215,16.26,27203,0
NTSK.US,5,20260127,171000,16.26,16.65,15.97,16.64,513916,0
NTSK.US,5,20260127,171500,16.6353,16.7,16.5117,16.544,226398,0
NTSK.US,5,20260127,172000,16.56,16.56,16.25,16.37,64164,0
