<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVNI.US,5,20260126,153000,2.5,2.6199,2.41,2.4101,56145,0
NVNI.US,5,20260126,153500,2.41,2.5018,2.24,2.401,13811,0
NVNI.US,5,20260126,154000,2.401,2.4325,2.07,2.0824,26320,0
NVNI.US,5,20260126,154500,2.0501,2.1086,1.865,2,49617,0
NVNI.US,5,20260126,155000,1.99,2,1.73,1.76,52981,0
NVNI.US,5,20260126,155500,1.7198,1.9,1.7107,1.8745,25565,0
NVNI.US,5,20260126,160000,1.84,1.84,1.77,1.7802,31851,0
NVNI.US,5,20260126,160500,1.7838,1.8,1.76,1.785,11966,0
NVNI.US,5,20260126,161000,1.785,1.82,1.73,1.73,69722,0
NVNI.US,5,20260126,161500,1.76,1.7647,1.6,1.7207,59836,0
NVNI.US,5,20260126,162000,1.7399,1.7699,1.67,1.705,21444,0
NVNI.US,5,20260126,162500,1.72,1.82,1.69,1.76,87648,0
NVNI.US,5,20260126,163000,1.7762,1.8,1.7437,1.7983,11772,0
NVNI.US,5,20260126,163500,1.78,1.7926,1.74,1.77,9567,0
NVNI.US,5,20260126,164000,1.7785,1.85,1.77,1.81,8344,0
NVNI.US,5,20260126,164500,1.8201,1.9,1.7901,1.83,22458,0
NVNI.US,5,20260126,165000,1.84,1.85,1.7322,1.741,39983,0
NVNI.US,5,20260126,165500,1.75,1.81,1.74,1.7604,38198,0
NVNI.US,5,20260126,170000,1.7762,1.7762,1.72,1.7462,36338,0
NVNI.US,5,20260126,170500,1.7306,1.79,1.7,1.72,35822,0
NVNI.US,5,20260126,171000,1.7372,1.77,1.725,1.74,22167,0
NVNI.US,5,20260126,171500,1.7455,1.75,1.72,1.7207,16017,0
NVNI.US,5,20260126,172000,1.7443,1.7626,1.73,1.7307,13051,0
NVNI.US,5,20260126,172500,1.73,1.7301,1.7,1.7,30514,0
NVNI.US,5,20260126,173000,1.7001,1.72,1.7,1.72,20318,0
NVNI.US,5,20260126,173500,1.7198,1.76,1.7116,1.755,24949,0
NVNI.US,5,20260126,174000,1.76,1.76,1.73,1.73,8291,0
NVNI.US,5,20260126,174500,1.7389,1.76,1.7389,1.75,1374,0
NVNI.US,5,20260126,175000,1.76,1.78,1.76,1.76,7790,0
NVNI.US,5,20260126,175500,1.77,1.84,1.77,1.84,9063,0
NVNI.US,5,20260126,180000,1.81,1.8399,1.79,1.8,19464,0
NVNI.US,5,20260126,180500,1.8,1.8,1.77,1.77,11876,0
NVNI.US,5,20260126,181000,1.77,1.7784,1.7601,1.77,4572,0
NVNI.US,5,20260126,181500,1.7717,1.78,1.72,1.77,17289,0
NVNI.US,5,20260126,182000,1.78,1.9,1.7707,1.805,32626,0
NVNI.US,5,20260126,182500,1.8392,1.8398,1.8,1.8,10277,0
NVNI.US,5,20260126,183000,1.8064,1.8064,1.7901,1.7901,1500,0
NVNI.US,5,20260126,183500,1.7997,1.8,1.79,1.8,1800,0
NVNI.US,5,20260126,184000,1.79,1.7996,1.79,1.79,1392,0
NVNI.US,5,20260126,184500,1.791,1.8,1.79,1.79,1424,0
NVNI.US,5,20260126,185000,1.8,1.8,1.7907,1.7907,2773,0
NVNI.US,5,20260126,185500,1.795,1.795,1.79,1.79,1905,0
NVNI.US,5,20260126,190000,1.78,1.78,1.77,1.77,1160,0
NVNI.US,5,20260126,190500,1.77,1.78,1.765,1.78,4048,0
NVNI.US,5,20260126,191000,1.78,1.84,1.78,1.8379,5031,0
NVNI.US,5,20260126,191500,1.8364,1.8364,1.8,1.819,2875,0
NVNI.US,5,20260126,192000,1.81,1.825,1.805,1.81,1672,0
NVNI.US,5,20260126,192500,1.815,1.83,1.8124,1.8124,3854,0
NVNI.US,5,20260126,193000,1.83,1.85,1.8,1.805,1200,0
NVNI.US,5,20260126,193500,1.81,1.81,1.805,1.8093,4356,0
NVNI.US,5,20260126,194000,1.805,1.85,1.8,1.84,3897,0
NVNI.US,5,20260126,194500,1.84,1.84,1.82,1.825,5360,0
NVNI.US,5,20260126,195000,1.83,1.83,1.828,1.83,1300,0
NVNI.US,5,20260126,195500,1.83,1.83,1.83,1.83,503,0
NVNI.US,5,20260126,200000,1.82,1.83,1.8,1.825,4489,0
NVNI.US,5,20260126,200500,1.8299,1.83,1.8299,1.83,867,0
NVNI.US,5,20260126,201000,1.8299,1.8299,1.8201,1.8201,1894,0
NVNI.US,5,20260126,201500,1.825,1.83,1.825,1.83,3381,0
NVNI.US,5,20260126,202000,1.835,1.835,1.8299,1.83,2235,0
NVNI.US,5,20260126,202500,1.83,1.83,1.8209,1.8209,2602,0
NVNI.US,5,20260126,203500,1.83,1.835,1.825,1.83,6434,0
NVNI.US,5,20260126,204000,1.83,1.848,1.83,1.8479,1548,0
NVNI.US,5,20260126,204500,1.8481,1.8481,1.84,1.84,291,0
NVNI.US,5,20260126,205000,1.84,1.84,1.84,1.84,569,0
NVNI.US,5,20260126,205500,1.8392,1.85,1.8312,1.85,7702,0
NVNI.US,5,20260126,210000,1.848,1.8499,1.8442,1.849,7807,0
NVNI.US,5,20260126,210500,1.8499,1.88,1.845,1.88,14252,0
NVNI.US,5,20260126,211000,1.93,1.93,1.9,1.9008,3796,0
NVNI.US,5,20260126,211500,1.9,1.9022,1.8808,1.8874,4791,0
NVNI.US,5,20260126,212000,1.88,1.9052,1.85,1.87,16761,0
NVNI.US,5,20260126,212500,1.87,1.91,1.8626,1.91,6721,0
NVNI.US,5,20260126,213000,1.89,1.9,1.84,1.84,7754,0
NVNI.US,5,20260126,213500,1.85,1.8851,1.8401,1.845,17172,0
NVNI.US,5,20260126,214000,1.841,1.8849,1.7907,1.795,7637,0
NVNI.US,5,20260126,214500,1.795,1.8,1.79,1.795,904,0
NVNI.US,5,20260126,215000,1.795,1.795,1.79,1.795,11563,0
NVNI.US,5,20260126,215500,1.795,1.81,1.76,1.76,19654,0
NVNI.US,5,20260127,153000,1.79,1.83,1.79,1.82,23951,0
NVNI.US,5,20260127,153500,1.82,1.89,1.82,1.881,11335,0
NVNI.US,5,20260127,154000,1.8962,2.02,1.82,1.9949,23486,0
NVNI.US,5,20260127,154500,1.99,1.99,1.8523,1.9183,9444,0
NVNI.US,5,20260127,155000,1.905,1.97,1.905,1.9219,12387,0
NVNI.US,5,20260127,155500,1.94,1.95,1.85,1.91,33918,0
NVNI.US,5,20260127,160000,1.865,1.89,1.81,1.81,14630,0
NVNI.US,5,20260127,160500,1.81,1.87,1.81,1.87,1247,0
NVNI.US,5,20260127,161000,1.845,1.85,1.8295,1.85,5365,0
NVNI.US,5,20260127,161500,1.85,1.949,1.84,1.8994,850,0
NVNI.US,5,20260127,162000,1.9228,1.9228,1.89,1.89,502,0
NVNI.US,5,20260127,162500,1.89,1.89,1.89,1.89,700,0
NVNI.US,5,20260127,163000,1.8783,1.8783,1.87,1.87,2009,0
NVNI.US,5,20260127,163500,1.87,1.89,1.8501,1.8501,669,0
NVNI.US,5,20260127,164000,1.865,1.88,1.865,1.875,574,0
NVNI.US,5,20260127,164500,1.87,1.87,1.87,1.87,288,0
NVNI.US,5,20260127,165500,1.85,1.85,1.81,1.8143,19854,0
NVNI.US,5,20260127,170000,1.82,1.9082,1.82,1.9082,1982,0
NVNI.US,5,20260127,170500,1.87,1.92,1.87,1.92,2562,0
NVNI.US,5,20260127,171000,1.9046,1.915,1.854,1.854,7181,0
NVNI.US,5,20260127,171500,1.89,1.9408,1.89,1.925,2642,0
NVNI.US,5,20260127,172000,1.9141,1.9141,1.9141,1.9141,500,0
NVNI.US,5,20260127,172500,1.94,1.94,1.92,1.92,408,0
NVNI.US,5,20260127,173000,1.92,1.93,1.92,1.93,3792,0
NVNI.US,5,20260127,173500,1.92,1.935,1.92,1.935,1425,0
NVNI.US,5,20260127,174000,1.94,1.94,1.9,1.92,5757,0
NVNI.US,5,20260127,174500,1.9,1.925799,1.9,1.925799,10100,0
NVNI.US,5,20260127,175000,1.903,1.91,1.9,1.905,1604,0
NVNI.US,5,20260127,175500,1.91,1.91,1.9,1.905,1850,0
NVNI.US,5,20260127,180000,1.91,1.95,1.9099,1.9206,2434,0
NVNI.US,5,20260127,180500,1.94,1.94,1.94,1.94,1958,0
NVNI.US,5,20260127,181000,1.955,1.955,1.9497,1.95,2094,0
NVNI.US,5,20260127,182000,1.945,1.945,1.92,1.92,400,0
NVNI.US,5,20260127,182500,1.92,1.92,1.92,1.92,2078,0
NVNI.US,5,20260127,183000,1.92,1.93,1.91,1.93,2575,0
NVNI.US,5,20260127,184000,1.93,1.93,1.93,1.93,100,0
NVNI.US,5,20260127,184500,1.93,1.93,1.93,1.93,450,0
NVNI.US,5,20260127,185000,1.94,1.94,1.94,1.94,200,0
NVNI.US,5,20260127,185500,1.94,1.94,1.94,1.94,400,0
NVNI.US,5,20260127,190000,1.94,1.94,1.94,1.94,119,0
NVNI.US,5,20260127,190500,1.9496,1.9496,1.9474,1.9474,830,0
NVNI.US,5,20260127,191000,1.9392,1.95,1.9392,1.95,800,0
NVNI.US,5,20260127,191500,1.94,1.94,1.93,1.93,750,0
NVNI.US,5,20260127,192000,1.925,1.925,1.925,1.925,225,0
NVNI.US,5,20260127,192500,1.93,1.9338,1.93,1.9338,555,0
NVNI.US,5,20260127,193500,1.95,1.95,1.935,1.935,3044,0
NVNI.US,5,20260127,194000,1.93,1.93,1.93,1.93,230,0
NVNI.US,5,20260127,195000,1.93,1.9367,1.93,1.9367,719,0
NVNI.US,5,20260127,195500,1.94,1.94,1.94,1.94,100,0
NVNI.US,5,20260127,200000,1.9369,1.9369,1.92,1.92,443,0
NVNI.US,5,20260127,200500,1.925,1.925,1.91,1.91,1340,0
NVNI.US,5,20260127,202500,1.92,1.92,1.92,1.92,200,0
NVNI.US,5,20260127,204000,1.92,1.92,1.92,1.92,1187,0
NVNI.US,5,20260127,204500,1.935,1.935,1.9157,1.92,608,0
NVNI.US,5,20260127,205000,1.94,1.94,1.94,1.94,400,0
NVNI.US,5,20260127,205500,1.925,1.925,1.925,1.925,150,0
NVNI.US,5,20260127,210000,1.94,1.96,1.94,1.96,235,0
NVNI.US,5,20260127,210500,1.9599,1.9599,1.935,1.94,3000,0
NVNI.US,5,20260127,211000,1.9201,1.9493,1.9201,1.9464,1609,0
NVNI.US,5,20260127,212000,1.935,1.935,1.935,1.935,100,0
NVNI.US,5,20260127,212500,1.935,1.935,1.935,1.935,5193,0
NVNI.US,5,20260127,213000,1.95,1.95,1.95,1.95,312,0
NVNI.US,5,20260127,213500,1.95,1.95,1.94,1.94,200,0
NVNI.US,5,20260127,214000,1.94,1.945,1.94,1.945,300,0
NVNI.US,5,20260127,214500,1.945,1.96,1.91,1.935,14448,0
NVNI.US,5,20260127,215000,1.91,1.9452,1.91,1.94,455,0
NVNI.US,5,20260127,215500,1.94,1.96,1.93,1.94,3633,0
NVNI.US,5,20260128,153000,1.89,1.965,1.89,1.965,3445,0
NVNI.US,5,20260128,153500,1.96,1.98,1.96,1.96,5694,0
NVNI.US,5,20260128,154000,1.97,1.97,1.95,1.95,1260,0
NVNI.US,5,20260128,155000,1.93,1.93,1.9,1.92,1149,0
NVNI.US,5,20260128,155500,1.9713,1.9713,1.9713,1.9713,419,0
NVNI.US,5,20260128,160000,1.9305,1.94,1.89,1.9,3202,0
NVNI.US,5,20260128,160500,1.88,1.89,1.84,1.84,10374,0
NVNI.US,5,20260128,161000,1.81,1.8112,1.81,1.8108,16210,0
NVNI.US,5,20260128,162000,1.8339,1.84,1.8339,1.84,403,0
NVNI.US,5,20260128,162500,1.83,1.83,1.76,1.79,18810,0
NVNI.US,5,20260128,163000,1.775,1.85,1.77,1.85,4300,0
NVNI.US,5,20260128,163500,1.77,1.82,1.77,1.8,403,0
NVNI.US,5,20260128,164000,1.8,1.8,1.8,1.8,400,0
NVNI.US,5,20260128,164500,1.8014,1.8014,1.8,1.8,1259,0
