<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NWGL.US,5,20260126,153000,1.08,1.1501,1.08,1.1501,498,0
NWGL.US,5,20260126,154500,1.2299,1.2299,1.2299,1.2299,300,0
NWGL.US,5,20260126,155500,1.18,1.18,1.18,1.18,120,0
NWGL.US,5,20260126,164500,1.18,1.18,1.18,1.18,370,0
NWGL.US,5,20260126,175000,1.15,1.15,1.15,1.15,760,0
NWGL.US,5,20260126,181500,1.12,1.12,1.12,1.12,100,0
NWGL.US,5,20260126,190000,1.12,1.12,1.12,1.12,100,0
NWGL.US,5,20260126,201000,1.13,1.13,1.12,1.12,1000,0
NWGL.US,5,20260126,203000,1.12,1.13,1.12,1.13,211,0
NWGL.US,5,20260126,205000,1.12,1.13,1.12,1.13,2451,0
NWGL.US,5,20260127,182500,1.19,1.21,1.19,1.21,1465,0
NWGL.US,5,20260127,183000,1.18,1.205,1.18,1.2,1821,0
NWGL.US,5,20260127,183500,1.22,1.23,1.22,1.23,1271,0
NWGL.US,5,20260127,184000,1.25,1.25,1.25,1.25,251,0
NWGL.US,5,20260127,184500,1.26,1.26,1.25,1.25,200,0
NWGL.US,5,20260127,185000,1.27,1.27,1.27,1.27,100,0
NWGL.US,5,20260127,185500,1.24,1.24,1.22,1.23,1300,0
NWGL.US,5,20260127,190500,1.258,1.26,1.25,1.25,1200,0
NWGL.US,5,20260127,191500,1.26,1.26,1.26,1.26,184,0
NWGL.US,5,20260127,192500,1.26,1.26,1.17,1.2,6210,0
NWGL.US,5,20260127,193500,1.23,1.2598,1.2295,1.2598,5600,0
NWGL.US,5,20260127,194000,1.25,1.25,1.23,1.23,4082,0
NWGL.US,5,20260127,194500,1.2687,1.2687,1.215,1.2391,3584,0
NWGL.US,5,20260127,195000,1.23,1.27,1.23,1.25,9548,0
NWGL.US,5,20260127,195500,1.25,1.2593,1.2428,1.2428,1500,0
NWGL.US,5,20260127,200000,1.25,1.25,1.25,1.25,500,0
NWGL.US,5,20260127,202500,1.24,1.25,1.24,1.2497,880,0
NWGL.US,5,20260127,203000,1.2484,1.26,1.24,1.26,1600,0
NWGL.US,5,20260127,203500,1.25,1.29,1.25,1.29,4106,0
NWGL.US,5,20260127,204000,1.26,1.26,1.26,1.26,100,0
NWGL.US,5,20260127,204500,1.26,1.26,1.2288,1.23,3300,0
NWGL.US,5,20260127,210000,1.25,1.25,1.25,1.25,100,0
NWGL.US,5,20260127,210500,1.24,1.27,1.24,1.27,673,0
NWGL.US,5,20260127,211000,1.2558,1.26,1.245,1.26,1850,0
NWGL.US,5,20260127,211500,1.26,1.26,1.255,1.26,2000,0
NWGL.US,5,20260127,212000,1.265,1.265,1.26,1.2635,398,0
NWGL.US,5,20260127,212500,1.2699,1.2699,1.2699,1.2699,100,0
NWGL.US,5,20260127,213000,1.26,1.26,1.235,1.24,3124,0
NWGL.US,5,20260127,213500,1.25,1.25,1.25,1.25,100,0
NWGL.US,5,20260127,215000,1.2482,1.25,1.2482,1.25,3807,0
NWGL.US,5,20260127,215500,1.26,1.27,1.2586,1.26,2292,0
NWGL.US,5,20260128,153000,1.3252,1.3299,1.25,1.25,11182,0
NWGL.US,5,20260128,153500,1.2463,1.2748,1.2463,1.26,700,0
NWGL.US,5,20260128,154000,1.2749,1.3144,1.2749,1.28,857,0
NWGL.US,5,20260128,155000,1.275,1.3,1.275,1.3,500,0
NWGL.US,5,20260128,155500,1.289,1.289,1.289,1.289,109,0
NWGL.US,5,20260128,160500,1.3,1.3,1.3,1.3,100,0
NWGL.US,5,20260128,161000,1.2985,1.3,1.2985,1.3,800,0
NWGL.US,5,20260128,162500,1.3,1.3086,1.3,1.3086,200,0
NWGL.US,5,20260128,163000,1.305,1.305,1.3,1.3,300,0
NWGL.US,5,20260128,163500,1.31,1.31,1.31,1.31,748,0
NWGL.US,5,20260128,164000,1.32,1.3481,1.32,1.3481,10717,0
NWGL.US,5,20260128,164500,1.34,1.38,1.34,1.34,21243,0
NWGL.US,5,20260128,165000,1.34,1.44,1.32,1.37,25238,0
NWGL.US,5,20260128,165500,1.35,1.385,1.33,1.35,4141,0
NWGL.US,5,20260128,170000,1.365,1.365,1.35,1.36,2191,0
NWGL.US,5,20260128,170500,1.36,1.3756,1.355,1.37,1478,0
NWGL.US,5,20260128,171000,1.366,1.37,1.36,1.369,879,0
NWGL.US,5,20260128,171500,1.37,1.39,1.3666,1.3666,4402,0
NWGL.US,5,20260128,172000,1.37,1.37,1.35,1.35,2148,0
NWGL.US,5,20260128,172500,1.37,1.3759,1.37,1.37,900,0
NWGL.US,5,20260128,173000,1.38,1.38,1.38,1.38,100,0
NWGL.US,5,20260128,173500,1.375,1.375,1.36,1.36,800,0
NWGL.US,5,20260128,174000,1.352,1.352,1.35,1.35,1948,0
NWGL.US,5,20260128,174500,1.34,1.39,1.33,1.35,1840,0
NWGL.US,5,20260128,175000,1.39,1.39,1.375,1.375,200,0
NWGL.US,5,20260128,175500,1.36,1.38,1.36,1.38,900,0
