<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NXPI.US,5,20260126,153000,232.34,233.88,231.53,231.94,30201,0
NXPI.US,5,20260126,153500,232.29,233.6725,232.29,233.6725,7685,0
NXPI.US,5,20260126,154000,233.31,233.86,232.09,233.4,28807,0
NXPI.US,5,20260126,154500,233.675,234.275,233.59,233.805,5275,0
NXPI.US,5,20260126,155000,233.97,234.235,233.1,233.22,10902,0
NXPI.US,5,20260126,155500,233.19,233.3,232.175,233.1,11288,0
NXPI.US,5,20260126,160000,233.105,233.55,232.81,233.55,8400,0
NXPI.US,5,20260126,160500,233.5,233.77,233.1,233.11,8439,0
NXPI.US,5,20260126,161000,233.265,233.71,233.07,233.54,9429,0
NXPI.US,5,20260126,161500,233.7561,233.76,233.48,233.73,4898,0
NXPI.US,5,20260126,162000,233.6101,233.7073,233.155,233.44,14382,0
NXPI.US,5,20260126,162500,233.46,233.46,232.81,232.9,7503,0
NXPI.US,5,20260126,163000,232.73,233.36,232.4407,233.11,8333,0
NXPI.US,5,20260126,163500,232.99,233.19,232.85,233.19,4703,0
NXPI.US,5,20260126,164000,233.035,233.055,232.04,232.04,10446,0
NXPI.US,5,20260126,164500,232.045,232.61,232.03,232.305,5265,0
NXPI.US,5,20260126,165000,232.325,232.565,232.07,232.455,4487,0
NXPI.US,5,20260126,165500,232.38,232.38,231.83,232.045,2553,0
NXPI.US,5,20260126,170000,231.93,232.18,231.87,231.9,7558,0
NXPI.US,5,20260126,170500,231.79,231.79,231.59,231.59,3103,0
NXPI.US,5,20260126,171000,231.5,231.5,230.69,230.725,4220,0
NXPI.US,5,20260126,171500,230.69,230.99,230.54,230.62,5403,0
NXPI.US,5,20260126,172000,230.5,230.9799,230.5,230.93,4935,0
NXPI.US,5,20260126,172500,230.8658,231.02,230.81,230.875,5789,0
NXPI.US,5,20260126,173000,230.96,231.12,230.83,231,2322,0
NXPI.US,5,20260126,173500,230.98,231.02,230.81,230.94,4420,0
NXPI.US,5,20260126,174000,230.76,230.76,230.28,230.415,6245,0
NXPI.US,5,20260126,174500,230.425,230.52,230.08,230.28,5831,0
NXPI.US,5,20260126,175000,230.28,230.44,230.15,230.15,3259,0
NXPI.US,5,20260126,175500,230.16,230.16,230.01,230.01,2100,0
NXPI.US,5,20260126,180000,229.93,230.43,229.92,230.35,42417,0
NXPI.US,5,20260126,180500,230.35,230.845,230.27,230.41,11546,0
NXPI.US,5,20260126,181000,230.36,230.64,230.19,230.64,4076,0
NXPI.US,5,20260126,181500,230.64,230.645,230.27,230.335,4496,0
NXPI.US,5,20260126,182000,230.33,230.43,230.05,230.08,5686,0
NXPI.US,5,20260126,182500,230.0096,230.1,229.89,229.89,1225,0
NXPI.US,5,20260126,183000,229.9,230.53,229.9,230.53,9028,0
NXPI.US,5,20260126,183500,230.63,230.67,230.35,230.61,5756,0
NXPI.US,5,20260126,184000,230.53,230.5659,230.46,230.48,7378,0
NXPI.US,5,20260126,184500,230.475,230.76,230.38,230.63,9034,0
NXPI.US,5,20260126,185000,230.61,230.88,230.48,230.835,6478,0
NXPI.US,5,20260126,185500,230.8,230.805,230.71,230.74,2522,0
NXPI.US,5,20260126,190000,230.7,230.79,230.62,230.79,2568,0
NXPI.US,5,20260126,190500,230.745,230.76,230.57,230.62,6827,0
NXPI.US,5,20260126,191000,230.605,230.72,230.605,230.72,3024,0
NXPI.US,5,20260126,191500,230.65,230.79,230.575,230.635,5709,0
NXPI.US,5,20260126,192000,230.7,230.98,230.65,230.98,4325,0
NXPI.US,5,20260126,192500,230.92,231.25,230.84,231.25,2689,0
NXPI.US,5,20260126,193000,231.18,231.63,231.18,231.52,7206,0
NXPI.US,5,20260126,193500,231.475,231.69,231.475,231.52,15333,0
NXPI.US,5,20260126,194000,231.475,231.66,231.39,231.41,6794,0
NXPI.US,5,20260126,194500,231.4366,231.5,231.33,231.48,2882,0
NXPI.US,5,20260126,195000,231.48,231.72,231.39,231.39,8502,0
NXPI.US,5,20260126,195500,231.33,231.58,231.29,231.58,11263,0
NXPI.US,5,20260126,200000,231.58,231.58,231.42,231.485,2627,0
NXPI.US,5,20260126,200500,231.49,231.86,231.49,231.76,9263,0
NXPI.US,5,20260126,201000,231.765,232,231.66,231.7,6180,0
NXPI.US,5,20260126,201500,231.7375,231.7375,231.56,231.67,600,0
NXPI.US,5,20260126,202000,231.51,231.705,231.325,231.41,11382,0
NXPI.US,5,20260126,202500,231.47,231.71,231.47,231.625,3513,0
NXPI.US,5,20260126,203000,231.63,231.765,231.55,231.63,15278,0
NXPI.US,5,20260126,203500,231.65,231.81,231.51,231.545,11052,0
NXPI.US,5,20260126,204000,231.5525,231.6,231.3,231.3,3086,0
NXPI.US,5,20260126,204500,231.35,231.4,231.25,231.4,2481,0
NXPI.US,5,20260126,205000,231.33,231.42,231.29,231.29,9378,0
NXPI.US,5,20260126,205500,231.37,231.75,231.16,231.52,189623,0
NXPI.US,5,20260126,210000,231.6075,232.26,231.21,232.14,14328,0
NXPI.US,5,20260126,210500,232.15,232.22,231.56,231.56,8452,0
NXPI.US,5,20260126,211000,231.81,232.11,231.68,232.02,9410,0
NXPI.US,5,20260126,211500,232.02,232.045,231.64,231.65,7093,0
NXPI.US,5,20260126,212000,231.725,231.9,231.7,231.88,10434,0
NXPI.US,5,20260126,212500,231.8,231.8,231.28,231.28,7671,0
NXPI.US,5,20260126,213000,231.345,231.81,231.23,231.8,23156,0
NXPI.US,5,20260126,213500,231.8,231.9,231.64,231.71,8603,0
NXPI.US,5,20260126,214000,231.71,231.72,231.55,231.64,12303,0
NXPI.US,5,20260126,214500,231.64,231.7,231.29,231.3,12920,0
NXPI.US,5,20260126,215000,231.29,231.62,231,231.15,69305,0
NXPI.US,5,20260126,215500,231.1,231.1325,230.82,231.05,457235,0
NXPI.US,5,20260127,153000,231.87,233.17,230,231.88,28460,0
NXPI.US,5,20260127,153500,231.88,231.88,230.14,230.475,12791,0
NXPI.US,5,20260127,154000,230.4311,231.75,229.72,231.685,46166,0
NXPI.US,5,20260127,154500,231.835,232.15,231.18,232.15,38308,0
NXPI.US,5,20260127,155000,232.15,232.895,231.46,232.42,53326,0
NXPI.US,5,20260127,155500,232.51,233.35,232.32,233.35,15888,0
NXPI.US,5,20260127,160000,233.19,233.21,232.4125,232.59,22664,0
NXPI.US,5,20260127,160500,232.57,232.64,231.98,232,40786,0
NXPI.US,5,20260127,161000,232.07,232.33,231.68,232,30205,0
NXPI.US,5,20260127,161500,232,232.03,231.34,231.5375,6717,0
NXPI.US,5,20260127,162000,231.535,232.07,231.47,231.99,47263,0
NXPI.US,5,20260127,162500,231.93,232.34,231.835,232.07,10916,0
NXPI.US,5,20260127,163000,231.9,232.44,231.78,232.44,8152,0
NXPI.US,5,20260127,163500,232.55,232.83,231.51,231.80691,19459,0
NXPI.US,5,20260127,164000,231.69,232.36,231.52,232.36,21579,0
NXPI.US,5,20260127,164500,232.425,232.435,232.21,232.215,20600,0
NXPI.US,5,20260127,165000,232.215,232.52,232.18,232.355,7288,0
NXPI.US,5,20260127,165500,232.355,232.66,232.2,232.66,21604,0
NXPI.US,5,20260127,170000,232.78,232.93,232.17,232.6,21108,0
NXPI.US,5,20260127,170500,232.89,233.38,232.75,232.92,24478,0
NXPI.US,5,20260127,171000,232.92,234,232.92,233.595,22259,0
NXPI.US,5,20260127,171500,233.6,234.205,233.38,234.205,30472,0
NXPI.US,5,20260127,172000,234.205,234.205,233.5,233.69,26470,0
NXPI.US,5,20260127,172500,233.6875,233.84,233.3928,233.62,16554,0
NXPI.US,5,20260127,173000,233.66,233.75,233.43,233.55,60779,0
NXPI.US,5,20260127,173500,233.55,233.65,233.22,233.3,31880,0
NXPI.US,5,20260127,174000,233.3,233.6,233.3,233.38,26396,0
NXPI.US,5,20260127,174500,233.3,233.46,233.3,233.4,2200,0
NXPI.US,5,20260127,175000,233.32,233.34,232.71,232.87,5594,0
NXPI.US,5,20260127,175500,232.85,232.92,232.53,232.55,3482,0
NXPI.US,5,20260127,180000,232.41,232.47,232.315,232.4316,1290,0
NXPI.US,5,20260127,180500,232.3075,232.32,231.69,231.81,6708,0
NXPI.US,5,20260127,181000,231.81,231.81,231.57,231.67,7452,0
NXPI.US,5,20260127,181500,231.585,231.585,231.25,231.34,12148,0
NXPI.US,5,20260127,182000,231.34,231.48,231.25,231.36,2326,0
NXPI.US,5,20260127,182500,231.51,232,231.505,231.66,5499,0
NXPI.US,5,20260127,183000,231.745,231.745,231.53,231.615,8607,0
NXPI.US,5,20260127,183500,231.51,231.66,231.44,231.66,3699,0
NXPI.US,5,20260127,184000,231.71,231.76,231.57,231.67,3836,0
NXPI.US,5,20260127,184500,231.6826,231.77,231.56,231.61,2435,0
NXPI.US,5,20260127,185000,231.63,231.72,231.51,231.685,1153,0
NXPI.US,5,20260127,185500,231.69,231.69,231.37,231.43,4917,0
NXPI.US,5,20260127,190000,231.27,231.42,231.12,231.235,4664,0
NXPI.US,5,20260127,190500,231.06,231.38,231.06,231.38,810,0
NXPI.US,5,20260127,191000,231.24,231.24,230.92,231.065,2731,0
NXPI.US,5,20260127,191500,231.12,231.27,230.96,230.96,2138,0
NXPI.US,5,20260127,192000,231.05,231.05,230.87,230.9,2858,0
NXPI.US,5,20260127,192500,230.79,230.97,230.71,230.85,9317,0
NXPI.US,5,20260127,193000,230.85,230.97,230.68,230.845,22489,0
NXPI.US,5,20260127,193500,230.76,230.97,230.7,230.97,1410,0
NXPI.US,5,20260127,194000,230.855,230.905,230.36,230.42,4521,0
NXPI.US,5,20260127,194500,230.52,230.58,230.4,230.55,2627,0
NXPI.US,5,20260127,195000,230.55,230.55,230.37,230.43,4010,0
NXPI.US,5,20260127,195500,230.41,230.53,230.32,230.49,4939,0
NXPI.US,5,20260127,200000,230.485,230.65,230.11,230.185,16894,0
NXPI.US,5,20260127,200500,230.185,230.29,230.01,230.25,11483,0
NXPI.US,5,20260127,201000,230.25,230.25,230.11,230.1285,3724,0
NXPI.US,5,20260127,201500,230.18,230.41,230.13,230.31,8126,0
NXPI.US,5,20260127,202000,230.39,230.895,230.33,230.895,6449,0
NXPI.US,5,20260127,202500,230.9,231.06,230.68,230.68,3688,0
NXPI.US,5,20260127,203000,230.64,231.63,230.64,231.63,8508,0
NXPI.US,5,20260127,203500,231.7,231.75,230.7,230.7,11949,0
NXPI.US,5,20260127,204000,230.63,231.06,230.57,230.82,12049,0
NXPI.US,5,20260127,204500,230.825,231.24,230.69,231.18,8481,0
NXPI.US,5,20260127,205000,231.18,231.25,230.91,231.015,33916,0
NXPI.US,5,20260127,205500,231.015,231.2052,230.87,230.935,18992,0
NXPI.US,5,20260127,210000,230.86,231.31,230.67,231.23,14832,0
NXPI.US,5,20260127,210500,231.225,231.345,230.92,231.26,20878,0
NXPI.US,5,20260127,211000,231.34,231.87,231.14,231.755,19177,0
NXPI.US,5,20260127,211500,231.79,232.36,231.745,232.155,38157,0
NXPI.US,5,20260127,212000,232.155,232.16,231.12,231.215,39367,0
NXPI.US,5,20260127,212500,231.185,231.55,231.185,231.42,15486,0
NXPI.US,5,20260127,213000,231.47,231.47,231.19,231.20168,24176,0
NXPI.US,5,20260127,213500,231.17,231.36,231.07,231.36,10715,0
NXPI.US,5,20260127,214000,231.43,231.43,230.85,231,36714,0
NXPI.US,5,20260127,214500,231.08,231.2,230.82,231.07,25314,0
NXPI.US,5,20260127,215000,231.06,231.06,229.24,229.24,71927,0
NXPI.US,5,20260127,215500,229.33,229.68,229.27,229.42,870961,0
NXPI.US,5,20260128,153000,233.705,240.07,233.16,238.22,79603,0
NXPI.US,5,20260128,153500,237.925,239.59,237.925,239.38,30969,0
NXPI.US,5,20260128,154000,239.2964,239.89,238.29,239.545,45351,0
NXPI.US,5,20260128,154500,239.535,240.49,238.55,239.06,19133,0
NXPI.US,5,20260128,155000,239,240.1899,238.5,239.23,9698,0
NXPI.US,5,20260128,155500,239.23,240.02,239.155,239.27,68873,0
NXPI.US,5,20260128,160000,239.455,240.62,239.28,240.25,25670,0
NXPI.US,5,20260128,160500,240.29,240.29,238.28,238.55,14806,0
NXPI.US,5,20260128,161000,238.7,238.97,238.12,238.83,21572,0
NXPI.US,5,20260128,161500,238.79,239.41,238.79,239.295,10560,0
NXPI.US,5,20260128,162000,239.295,240,239.29,239.47,18691,0
NXPI.US,5,20260128,162500,239.32,239.97,239.32,239.94,13459,0
NXPI.US,5,20260128,163000,240,240.94,239.94,240.59,24069,0
NXPI.US,5,20260128,163500,240.56,241.27,240.53,241.1,5171,0
NXPI.US,5,20260128,164000,241.06,241.34,240.4023,240.485,9181,0
NXPI.US,5,20260128,164500,240.42,240.627,239.38,239.38,8717,0
NXPI.US,5,20260128,165000,239.37,239.37,238.88,239.22,10308,0
NXPI.US,5,20260128,165500,239.185,239.185,238,238,7391,0
NXPI.US,5,20260128,170000,237.94,239.72,237.94,239.6046,4786,0
NXPI.US,5,20260128,170500,239.85,240.755,239.85,239.9991,13666,0
NXPI.US,5,20260128,171000,240.17,240.38,239.74,239.99,9743,0
NXPI.US,5,20260128,171500,239.97,239.98,239.33,239.33,6744,0
NXPI.US,5,20260128,172000,239.33,239.45,239.055,239.4,8497,0
NXPI.US,5,20260128,172500,239.42,239.91,239.39,239.66,5530,0
NXPI.US,5,20260128,173000,239.61,239.72,239.46,239.6,5047,0
NXPI.US,5,20260128,173500,239.525,239.97,239.525,239.86,7527,0
NXPI.US,5,20260128,174000,240,240.075,239.715,240.045,5841,0
NXPI.US,5,20260128,174500,239.95,240.43,239.94,240.36,6683,0
NXPI.US,5,20260128,175000,240.47,240.56,240.1001,240.38,5384,0
NXPI.US,5,20260128,175500,240.375,240.92,240.36,240.895,7517,0
NXPI.US,5,20260128,180000,240.8,241.05,240.66,241.05,4227,0
NXPI.US,5,20260128,180500,240.97,241.57,240.95,241.47,3954,0
NXPI.US,5,20260128,181000,241.64,242.01,241.46,242.01,6375,0
NXPI.US,5,20260128,181500,242.07,242.61,241.93,242.55,10499,0
NXPI.US,5,20260128,182000,242.555,242.63,241.92,241.92,4300,0
NXPI.US,5,20260128,182500,241.9,242.31,241.82,241.82,7271,0
NXPI.US,5,20260128,183000,241.84,242.28,241.82,242.01,10650,0
NXPI.US,5,20260128,183500,242.005,242.63,241.94,242.48,19417,0
NXPI.US,5,20260128,184000,242.515,242.93,242.44,242.68,12526,0
NXPI.US,5,20260128,184500,242.5,242.62,242.33,242.565,5659,0
NXPI.US,5,20260128,185000,242.565,242.604,242.13,242.604,24140,0
NXPI.US,5,20260128,185500,242.495,242.64,242.12,242.12,7844,0
NXPI.US,5,20260128,190000,242.12,242.41,241.92,242.015,8584,0
NXPI.US,5,20260128,190500,241.92,242.11,241.92,241.965,2150,0
NXPI.US,5,20260128,191000,241.965,242.13,241.295,241.295,5973,0
NXPI.US,5,20260128,191500,241.29,241.4,241.015,241.32,24193,0
NXPI.US,5,20260128,192000,241.375,241.78,241.25,241.615,6599,0
NXPI.US,5,20260128,192500,241.615,241.755,241.54,241.755,4836,0
NXPI.US,5,20260128,193000,241.755,241.85,241.48,241.54,6402,0
NXPI.US,5,20260128,193500,241.38,241.55,240.99,241.465,9958,0
NXPI.US,5,20260128,194000,241.465,241.645,241.4,241.59,9793,0
NXPI.US,5,20260128,194500,241.72,241.79,241.2,241.2,9962,0
NXPI.US,5,20260128,195000,241.18,241.215,240.42,240.4525,7521,0
NXPI.US,5,20260128,195500,240.52,240.845,240.28,240.57,9396,0
NXPI.US,5,20260128,200000,240.3,240.94,239.8,240.55,6742,0
NXPI.US,5,20260128,200500,240.55,240.55,239.8,240.155,11649,0
NXPI.US,5,20260128,201000,240.29,240.495,240.01,240.21,7176,0
NXPI.US,5,20260128,201500,240.1786,240.1786,239.81,239.9,3458,0
NXPI.US,5,20260128,202000,239.9,239.99,239.39,239.875,9105,0
NXPI.US,5,20260128,202500,239.88,240.16,239.795,239.8,8629,0
NXPI.US,5,20260128,203000,239.72,240.75,238.58,240.335,36491,0
NXPI.US,5,20260128,203500,240.45,240.485,239.39,239.7315,7571,0
NXPI.US,5,20260128,204000,239.46,239.78,239.303,239.665,6353,0
NXPI.US,5,20260128,204500,239.69,240.27,239.67,240.07,10015,0
NXPI.US,5,20260128,205000,240.215,240.34,239.99,239.99,4294,0
NXPI.US,5,20260128,205500,239.97,239.97,239.41,239.45,8655,0
NXPI.US,5,20260128,210000,239.33,240.23,239.33,240.225,7942,0
NXPI.US,5,20260128,210500,240.225,241.13,240.18,240.89,6043,0
NXPI.US,5,20260128,211000,240.93,241.03,240.73,240.94,36390,0
NXPI.US,5,20260128,211500,240.95,241.47,240.855,240.9,12205,0
NXPI.US,5,20260128,212000,240.9,241.02,240.74,240.75,7247,0
NXPI.US,5,20260128,212500,240.835,240.86,239.97,239.97,13611,0
NXPI.US,5,20260128,213000,239.9895,240.0399,239.64,239.64,17156,0
NXPI.US,5,20260128,213500,239.67,239.9899,239.62,239.71,7870,0
NXPI.US,5,20260128,214000,239.665,239.74,238.97,238.97,10047,0
NXPI.US,5,20260128,214500,238.93,239.15,238.78,238.87,30350,0
NXPI.US,5,20260128,215000,238.76,239.96,238.65,239.88,35634,0
NXPI.US,5,20260128,215500,240.02,240.38,239.745,240.03,659787,0
NXPI.US,5,20260129,153000,239.83,240,237.2539,237.91,39880,0
