<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OBAWU.US,5,20260202,160000,10.28,10.28,10.28,10.28,100,0
OBAWU.US,5,20260305,192000,10.29,10.29,10.29,10.29,100,0
OBAWU.US,5,20260325,172500,10.2,10.2,10.2,10.2,150000,0
OBAWU.US,5,20260325,175000,11.245,11.245,11.245,11.245,500,0
OBAWU.US,5,20260327,143000,10.59,10.59,10.59,10.59,400,0
OBAWU.US,5,20260330,201000,10.2,10.2,10.2,10.2,5442,0
OBAWU.US,5,20260330,201500,10.2,10.2,10.2,10.2,4947,0
OBAWU.US,5,20260330,215000,10.25,10.25,10.25,10.25,100,0
OBAWU.US,5,20260407,162500,10.16,10.16,10.16,10.16,102,0
OBAWU.US,5,20260409,181500,10.29,10.39,10.2,10.2,400,0
OBAWU.US,5,20260422,215500,10.2,10.2,10.2,10.2,138,0
OBAWU.US,5,20260526,211000,10.25,10.25,10.25,10.25,2471,0
OBAWU.US,5,20260615,203500,10.4,10.4,10.4,10.4,100,0
OBAWU.US,5,20260622,173000,10.575,10.575,10.575,10.575,200,0
OBAWU.US,5,20260622,181500,10.29,10.29,10.29,10.29,100,0
