<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OMAB.US,5,20260126,153000,115.77,115.77,114.685,114.84,1092,0
OMAB.US,5,20260126,154000,117.21,117.405,117.21,117.405,500,0
OMAB.US,5,20260126,155000,117.54,117.54,117.02,117.02,250,0
OMAB.US,5,20260126,155500,117.13,117.13,117.005,117.005,931,0
OMAB.US,5,20260126,160000,117.14,117.14,117.03,117.03,700,0
OMAB.US,5,20260126,160500,117.43,117.65,117.03,117.625,1369,0
OMAB.US,5,20260126,161000,117.5,117.59,117.5,117.59,200,0
OMAB.US,5,20260126,161500,117.63,117.65,117.63,117.65,200,0
OMAB.US,5,20260126,162000,118,118.02,118,118.02,200,0
OMAB.US,5,20260126,162500,117.45,117.505,117.45,117.505,834,0
OMAB.US,5,20260126,163000,117.7,117.7,117.7,117.7,200,0
OMAB.US,5,20260126,163500,117.765,117.765,117.765,117.765,100,0
OMAB.US,5,20260126,164500,117.98,118.36,117.98,118.34,600,0
OMAB.US,5,20260126,165000,118.355,119.13,118.355,118.64,2100,0
OMAB.US,5,20260126,165500,118.62,118.82,118.55,118.55,3162,0
OMAB.US,5,20260126,170000,118.64,118.95,118.52,118.54,2400,0
OMAB.US,5,20260126,170500,118.91,118.91,118.91,118.91,200,0
OMAB.US,5,20260126,171000,118.635,118.635,118.46,118.46,1232,0
OMAB.US,5,20260126,171500,118.47,118.47,118.47,118.47,100,0
OMAB.US,5,20260126,172000,118.53,118.53,118.53,118.53,100,0
OMAB.US,5,20260126,172500,118.455,118.63,118.455,118.63,300,0
OMAB.US,5,20260126,173000,118.55,118.67,118.55,118.67,200,0
OMAB.US,5,20260126,173500,118.51,118.51,118.44,118.44,200,0
OMAB.US,5,20260126,174000,118.355,118.355,118.21,118.29,300,0
OMAB.US,5,20260126,175000,118.07,118.07,118.07,118.07,200,0
OMAB.US,5,20260126,175500,118.07,118.13,117.95,118.09,1550,0
OMAB.US,5,20260126,180000,117.63,118.04,117.63,118.04,300,0
OMAB.US,5,20260126,181000,118.17,118.17,118.17,118.17,231,0
OMAB.US,5,20260126,182000,117.77,117.77,117.77,117.77,100,0
OMAB.US,5,20260126,182500,117.76,117.76,117.76,117.76,100,0
OMAB.US,5,20260126,183000,117.705,117.75,117.4,117.4,600,0
OMAB.US,5,20260126,183500,117.4,117.81,117.4,117.72,400,0
OMAB.US,5,20260126,184000,117.77,117.77,117.77,117.77,200,0
OMAB.US,5,20260126,184500,117.91,117.96,117.91,117.96,200,0
OMAB.US,5,20260126,185000,118.04,118.1,118,118.1,400,0
OMAB.US,5,20260126,185500,117.81,117.81,117.81,117.81,100,0
OMAB.US,5,20260126,191000,117.8,117.83,117.8,117.83,200,0
OMAB.US,5,20260126,191500,117.89,117.99,117.77,117.99,500,0
OMAB.US,5,20260126,193500,118.01,118.01,117.86,117.86,200,0
OMAB.US,5,20260126,195000,118.13,118.13,118.13,118.13,100,0
OMAB.US,5,20260126,195500,118.28,118.28,117.85,117.85,638,0
OMAB.US,5,20260126,200500,117.855,118.1,117.855,118.1,300,0
OMAB.US,5,20260126,201500,118.41,118.46,118.41,118.46,200,0
OMAB.US,5,20260126,202000,118.355,118.52,118.355,118.52,565,0
OMAB.US,5,20260126,202500,118.21,118.21,117.9,118.19,500,0
OMAB.US,5,20260126,203000,118.1,118.165,118.1,118.165,200,0
