<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ONDS.US,5,20260126,153000,12.15,12.19,11.86,11.95,2978946,0
ONDS.US,5,20260126,153500,11.96,12.07,11.9,11.935,1454645,0
ONDS.US,5,20260126,154000,11.935,12.22,11.89,12.195,2032893,0
ONDS.US,5,20260126,154500,12.19584,12.3,12.17,12.19,1940478,0
ONDS.US,5,20260126,155000,12.185,12.335,12.16,12.1801,1129752,0
ONDS.US,5,20260126,155500,12.1846,12.216409,12.06,12.075,980959,0
ONDS.US,5,20260126,160000,12.07,12.08,11.81,11.825,2131557,0
ONDS.US,5,20260126,160500,11.825,11.91,11.8,11.8203,1420227,0
ONDS.US,5,20260126,161000,11.8248,11.87,11.725,11.7899,2356718,0
ONDS.US,5,20260126,161500,11.785,11.82,11.75,11.765,1018331,0
ONDS.US,5,20260126,162000,11.7676,11.84,11.7601,11.815,979090,0
ONDS.US,5,20260126,162500,11.8166,11.83,11.7,11.73,1759160,0
ONDS.US,5,20260126,163000,11.725,11.728,11.53,11.545,2860673,0
ONDS.US,5,20260126,163500,11.5474,11.5598,11.37,11.385,3309649,0
ONDS.US,5,20260126,164000,11.38,11.3999,11.31,11.35,2063679,0
ONDS.US,5,20260126,164500,11.355,11.5,11.35,11.475,1672799,0
ONDS.US,5,20260126,165000,11.475,11.57,11.46,11.545,1535218,0
ONDS.US,5,20260126,165500,11.545,11.56,11.41,11.4197,1065288,0
ONDS.US,5,20260126,170000,11.415,11.45,11.35,11.3845,968695,0
ONDS.US,5,20260126,170500,11.39,11.45,11.36,11.4046,787146,0
ONDS.US,5,20260126,171000,11.4045,11.43,11.335,11.36,761087,0
ONDS.US,5,20260126,171500,11.355,11.36,11.3,11.319,1001421,0
ONDS.US,5,20260126,172000,11.31,11.355,11.28,11.28,897027,0
ONDS.US,5,20260126,172500,11.28,11.3,11.22,11.275,1260743,0
ONDS.US,5,20260126,173000,11.275,11.29,11.22,11.255,703885,0
ONDS.US,5,20260126,173500,11.255,11.3,11.22,11.265,725502,0
ONDS.US,5,20260126,174000,11.265,11.28,11.22,11.225,607130,0
ONDS.US,5,20260126,174500,11.225,11.28,11.17,11.278,1104916,0
ONDS.US,5,20260126,175000,11.275,11.34,11.26,11.3099,683981,0
ONDS.US,5,20260126,175500,11.3055,11.31,11.26,11.265,567778,0
ONDS.US,5,20260126,180000,11.265,11.2869,11.23,11.265,743325,0
ONDS.US,5,20260126,180500,11.265,11.28,11.21,11.235,699932,0
ONDS.US,5,20260126,181000,11.235,11.26,11.21,11.2579,382687,0
ONDS.US,5,20260126,181500,11.259,11.28,11.2145,11.255,409474,0
ONDS.US,5,20260126,182000,11.255,11.27,11.24,11.245,268514,0
ONDS.US,5,20260126,182500,11.245,11.27,11.22,11.255,425948,0
ONDS.US,5,20260126,183000,11.255,11.29,11.225,11.255,507840,0
ONDS.US,5,20260126,183500,11.25,11.28,11.23,11.245,481387,0
ONDS.US,5,20260126,184000,11.245,11.245,11.17,11.1798,936422,0
ONDS.US,5,20260126,184500,11.175,11.215,11.15,11.205,804048,0
ONDS.US,5,20260126,185000,11.205,11.23,11.16,11.18,387689,0
ONDS.US,5,20260126,185500,11.185,11.22,11.17,11.185,294941,0
ONDS.US,5,20260126,190000,11.18,11.1899,11.09,11.1038,1176519,0
ONDS.US,5,20260126,190500,11.105,11.14,11.05,11.115,1023426,0
ONDS.US,5,20260126,191000,11.115,11.15,11.09,11.135,467149,0
ONDS.US,5,20260126,191500,11.14,11.2,11.12,11.186587,414664,0
ONDS.US,5,20260126,192000,11.185,11.1889,11.14,11.165,344873,0
ONDS.US,5,20260126,192500,11.165,11.18,11.14,11.17,317852,0
ONDS.US,5,20260126,193000,11.1746,11.18,11.145,11.175,374967,0
ONDS.US,5,20260126,193500,11.18,11.19,11.16,11.1753,418380,0
ONDS.US,5,20260126,194000,11.175,11.2,11.17,11.18,424135,0
ONDS.US,5,20260126,194500,11.175,11.23,11.16,11.228,436603,0
ONDS.US,5,20260126,195000,11.225,11.24,11.205,11.219,429826,0
ONDS.US,5,20260126,195500,11.215,11.27,11.195,11.2607,515494,0
ONDS.US,5,20260126,200000,11.2664,11.29,11.21,11.2134,459300,0
ONDS.US,5,20260126,200500,11.21,11.215,11.13,11.14,621825,0
ONDS.US,5,20260126,201000,11.1438,11.2,11.12,11.185,403773,0
ONDS.US,5,20260126,201500,11.19,11.2,11.14,11.155,429487,0
ONDS.US,5,20260126,202000,11.155,11.17,11.12,11.1599,237407,0
ONDS.US,5,20260126,202500,11.16,11.17,11.12,11.125,286856,0
ONDS.US,5,20260126,203000,11.125,11.1499,11.09,11.115,390407,0
ONDS.US,5,20260126,203500,11.115,11.145,11.1,11.125,253955,0
ONDS.US,5,20260126,204000,11.12,11.14,11.11,11.127,306315,0
ONDS.US,5,20260126,204500,11.12,11.13,11.071,11.075,460808,0
ONDS.US,5,20260126,205000,11.0735,11.08,11.01,11.03,817530,0
ONDS.US,5,20260126,205500,11.0301,11.0499,11.01,11.0303,724959,0
ONDS.US,5,20260126,210000,11.035,11.035,10.97,11.005,1957175,0
ONDS.US,5,20260126,210500,11.005,11.03,10.97,10.975,595297,0
ONDS.US,5,20260126,211000,10.9799,11.009,10.97,11.005,473995,0
ONDS.US,5,20260126,211500,11.0075,11.05,10.95,11.045,676460,0
ONDS.US,5,20260126,212000,11.0499,11.05,10.985,11.0197,480734,0
ONDS.US,5,20260126,212500,11.015,11.03,10.9745,10.9749,527210,0
ONDS.US,5,20260126,213000,10.975,11.02,10.95,10.9658,542083,0
ONDS.US,5,20260126,213500,10.965,11.02,10.961,11.005,814006,0
ONDS.US,5,20260126,214000,11.0099,11.01,10.97,10.985,462109,0
ONDS.US,5,20260126,214500,10.99,11.05,10.9846,11.035,734823,0
ONDS.US,5,20260126,215000,11.03,11.085,11.02,11.075,851237,0
ONDS.US,5,20260126,215500,11.08,11.16,11.075,11.16,3476201,0
ONDS.US,5,20260127,153000,11.21,11.28,11.09,11.1509,1697420,0
ONDS.US,5,20260127,153500,11.16,11.36,11.1501,11.321,1405187,0
ONDS.US,5,20260127,154000,11.325,11.56,11.3,11.3401,2798966,0
ONDS.US,5,20260127,154500,11.345,11.45,11.27,11.375,1070943,0
ONDS.US,5,20260127,155000,11.3793,11.5,11.35,11.445,1099671,0
ONDS.US,5,20260127,155500,11.445,11.47,11.35,11.355,834076,0
ONDS.US,5,20260127,160000,11.355,11.57,11.32,11.5399,1213796,0
ONDS.US,5,20260127,160500,11.535,11.66,11.5117,11.6383,1850554,0
ONDS.US,5,20260127,161000,11.639,11.73,11.62,11.6601,1719294,0
ONDS.US,5,20260127,161500,11.665,11.84,11.6301,11.815,2038631,0
ONDS.US,5,20260127,162000,11.815,11.91,11.76,11.815,1813699,0
ONDS.US,5,20260127,162500,11.815,12.055,11.785,11.99,2906219,0
ONDS.US,5,20260127,163000,11.9802,12.005,11.79,11.8342,1899276,0
ONDS.US,5,20260127,163500,11.83,11.95,11.82,11.906,1237186,0
ONDS.US,5,20260127,164000,11.9098,12.1,11.9046,12.075,2585532,0
ONDS.US,5,20260127,164500,12.0778,12.12,11.98,12.0339,1377132,0
ONDS.US,5,20260127,165000,12.035,12.12,12.0102,12.08,1432584,0
ONDS.US,5,20260127,165500,12.081,12.15,12.01,12.125,1462315,0
ONDS.US,5,20260127,170000,12.1202,12.131,11.97,12.065,1384691,0
ONDS.US,5,20260127,170500,12.065,12.12,11.92,11.95,1198345,0
ONDS.US,5,20260127,171000,11.941,12.0599,11.94,12.035,846434,0
ONDS.US,5,20260127,171500,12.0358,12.27,12.005,12.2346,1545693,0
ONDS.US,5,20260127,172000,12.2337,12.3,12.195,12.255,1128139,0
ONDS.US,5,20260127,172500,12.25,12.27,12.19,12.2251,888572,0
ONDS.US,5,20260127,173000,12.23,12.3,12.22,12.245,1000662,0
ONDS.US,5,20260127,173500,12.245,12.3799,12.24,12.36,1328473,0
ONDS.US,5,20260127,174000,12.365,12.39,12.29,12.355,1328343,0
ONDS.US,5,20260127,174500,12.355,12.38,12.31,12.3544,1304999,0
ONDS.US,5,20260127,175000,12.355,12.36,12.24,12.245,1323598,0
