<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPENZ.US,5,20260126,153000,0.5699,0.61,0.5699,0.61,12983,0
OPENZ.US,5,20260126,153500,0.60371,0.6071,0.6,0.605,8293,0
OPENZ.US,5,20260126,154000,0.6071,0.6071,0.6057,0.6057,1000,0
OPENZ.US,5,20260126,154500,0.605349,0.605699,0.6,0.6028,15444,0
OPENZ.US,5,20260126,155000,0.6,0.6002,0.5911,0.6,32602,0
OPENZ.US,5,20260126,155500,0.59,0.5963,0.59,0.5963,3176,0
OPENZ.US,5,20260126,160000,0.5902,0.5902,0.59,0.59,666,0
OPENZ.US,5,20260126,160500,0.59,0.59,0.59,0.59,436,0
OPENZ.US,5,20260126,161000,0.59816,0.59816,0.59,0.594999,3279,0
OPENZ.US,5,20260126,162000,0.59,0.595,0.59,0.5949,31005,0
OPENZ.US,5,20260126,163000,0.59,0.59,0.570201,0.570201,9526,0
OPENZ.US,5,20260126,163500,0.5703,0.572843,0.5703,0.5703,900,0
OPENZ.US,5,20260126,164500,0.5752,0.5795,0.575,0.5751,2626,0
OPENZ.US,5,20260126,165000,0.57915,0.5823,0.576,0.576,14479,0
OPENZ.US,5,20260126,165500,0.576,0.576,0.5701,0.5739,10036,0
OPENZ.US,5,20260126,170000,0.575,0.575,0.575,0.575,500,0
OPENZ.US,5,20260126,170500,0.5749,0.5749,0.57,0.5701,606,0
OPENZ.US,5,20260126,171000,0.573,0.573,0.5729,0.5729,1466,0
OPENZ.US,5,20260126,171500,0.5729,0.575,0.5729,0.575,5780,0
OPENZ.US,5,20260126,172000,0.575,0.575,0.575,0.575,700,0
OPENZ.US,5,20260126,172500,0.5749,0.575,0.5749,0.575,916,0
OPENZ.US,5,20260126,173000,0.5749,0.575,0.5749,0.575,9399,0
OPENZ.US,5,20260126,173500,0.574967,0.575,0.5749,0.57495,1677,0
OPENZ.US,5,20260126,174000,0.575,0.5829,0.575,0.5829,40208,0
OPENZ.US,5,20260126,175000,0.58,0.58,0.575001,0.575001,300,0
OPENZ.US,5,20260126,175500,0.575,0.5815,0.575,0.581,4814,0
OPENZ.US,5,20260126,180000,0.5775,0.58,0.5749,0.58,9725,0
OPENZ.US,5,20260126,180500,0.576315,0.5798,0.5749,0.5774,1195,0
OPENZ.US,5,20260126,181000,0.5788,0.5788,0.5749,0.5749,200,0
OPENZ.US,5,20260126,181500,0.575,0.575,0.575,0.575,210,0
OPENZ.US,5,20260126,182000,0.5749,0.58,0.5749,0.5794,2196,0
OPENZ.US,5,20260126,182500,0.58,0.5809,0.58,0.5809,10179,0
OPENZ.US,5,20260126,183000,0.5798,0.5799,0.5798,0.5799,392,0
OPENZ.US,5,20260126,183500,0.582,0.582,0.581,0.581,400,0
OPENZ.US,5,20260126,184000,0.5809,0.5809,0.5749,0.5749,2000,0
OPENZ.US,5,20260126,184500,0.5749,0.575,0.5749,0.5749,516,0
OPENZ.US,5,20260126,185500,0.577351,0.577351,0.577351,0.577351,100,0
OPENZ.US,5,20260126,190000,0.58,0.587,0.57999,0.57999,17965,0
OPENZ.US,5,20260126,190500,0.58,0.582,0.5785,0.5785,1843,0
OPENZ.US,5,20260126,191000,0.5785,0.5785,0.5785,0.5785,148,0
OPENZ.US,5,20260126,191500,0.5749,0.5749,0.569356,0.569356,26932,0
OPENZ.US,5,20260126,192000,0.5695,0.5695,0.5695,0.5695,500,0
OPENZ.US,5,20260126,192500,0.5691,0.5699,0.5691,0.569868,504,0
OPENZ.US,5,20260126,193000,0.5695,0.5695,0.5695,0.5695,382,0
OPENZ.US,5,20260126,193500,0.5698,0.5699,0.5695,0.5699,1500,0
OPENZ.US,5,20260126,194000,0.5699,0.57,0.5549,0.556,18177,0
OPENZ.US,5,20260126,195000,0.5699,0.57,0.5699,0.57,200,0
OPENZ.US,5,20260126,195500,0.57,0.57,0.57,0.57,200,0
OPENZ.US,5,20260126,200000,0.57,0.5723,0.5609,0.5609,2935,0
OPENZ.US,5,20260126,200500,0.56,0.56,0.56,0.56,166,0
OPENZ.US,5,20260126,201000,0.5609,0.563,0.5565,0.5565,18473,0
OPENZ.US,5,20260126,201500,0.5565,0.5565,0.5565,0.5565,500,0
OPENZ.US,5,20260126,202000,0.5565,0.5565,0.553,0.553,324,0
OPENZ.US,5,20260126,202500,0.5636,0.5636,0.5636,0.5636,366,0
OPENZ.US,5,20260126,203000,0.562,0.562,0.562,0.562,350,0
OPENZ.US,5,20260126,203500,0.565762,0.565762,0.565762,0.565762,1545,0
OPENZ.US,5,20260126,204000,0.554,0.554,0.554,0.554,100,0
OPENZ.US,5,20260126,205000,0.557,0.557,0.557,0.557,833,0
OPENZ.US,5,20260126,205500,0.554,0.554,0.554,0.554,100,0
OPENZ.US,5,20260126,210000,0.554,0.5541,0.554,0.5541,3000,0
OPENZ.US,5,20260126,210500,0.5565,0.5565,0.556499,0.556499,200,0
OPENZ.US,5,20260126,211000,0.5565,0.56,0.553,0.553,2407,0
OPENZ.US,5,20260126,211500,0.5565,0.5565,0.5565,0.5565,200,0
OPENZ.US,5,20260126,212000,0.556499,0.55999,0.553,0.553,5050,0
OPENZ.US,5,20260126,212500,0.553,0.5531,0.553,0.5531,850,0
OPENZ.US,5,20260126,213000,0.5565,0.56,0.5565,0.56,12602,0
OPENZ.US,5,20260126,213500,0.56,0.56,0.56,0.56,100,0
OPENZ.US,5,20260126,214000,0.5599,0.5599,0.5599,0.5599,100,0
OPENZ.US,5,20260126,214500,0.5599,0.5648,0.5599,0.5643,1500,0
OPENZ.US,5,20260126,215000,0.56,0.56,0.56,0.56,129,0
OPENZ.US,5,20260126,215500,0.5599,0.5619,0.54,0.54,10182,0
OPENZ.US,5,20260127,153000,0.5998,0.5998,0.56,0.56,34789,0
OPENZ.US,5,20260127,153500,0.5501,0.5652,0.5501,0.5652,5198,0
OPENZ.US,5,20260127,154000,0.553,0.5531,0.5451,0.5475,33988,0
OPENZ.US,5,20260127,154500,0.5451,0.5476,0.5451,0.5476,6530,0
OPENZ.US,5,20260127,155000,0.545,0.55,0.545,0.55,11692,0
OPENZ.US,5,20260127,155500,0.5411,0.5411,0.5411,0.5411,3000,0
OPENZ.US,5,20260127,160000,0.5461,0.5461,0.541,0.541001,12714,0
OPENZ.US,5,20260127,160500,0.545,0.5471,0.5441,0.5449,2069,0
OPENZ.US,5,20260127,161000,0.5449,0.55,0.5449,0.545,15215,0
OPENZ.US,5,20260127,161500,0.546,0.55,0.546,0.55,1669,0
OPENZ.US,5,20260127,162000,0.5557,0.5557,0.5441,0.5441,231,0
OPENZ.US,5,20260127,162500,0.5441,0.5458,0.5441,0.5442,4999,0
OPENZ.US,5,20260127,163000,0.547,0.547,0.5441,0.54695,1720,0
OPENZ.US,5,20260127,163500,0.5441,0.5469,0.5441,0.5469,800,0
OPENZ.US,5,20260127,164000,0.5455,0.5467,0.544,0.5467,2290,0
OPENZ.US,5,20260127,164500,0.545,0.545,0.54,0.54,5026,0
OPENZ.US,5,20260127,165000,0.54,0.5437,0.54,0.5437,1360,0
OPENZ.US,5,20260127,170000,0.54,0.541,0.54,0.540647,13267,0
OPENZ.US,5,20260127,170500,0.538,0.54,0.538,0.5399,3600,0
OPENZ.US,5,20260127,171000,0.5376,0.5406,0.5376,0.5406,2734,0
OPENZ.US,5,20260127,171500,0.5467,0.553,0.5467,0.553,6740,0
OPENZ.US,5,20260127,172000,0.5481,0.5556,0.5481,0.5484,14065,0
OPENZ.US,5,20260127,172500,0.5501,0.5502,0.5501,0.5502,332,0
OPENZ.US,5,20260127,173000,0.5503,0.55285,0.55,0.55285,919,0
OPENZ.US,5,20260127,173500,0.5529,0.554,0.544,0.554,4400,0
OPENZ.US,5,20260127,174000,0.5496,0.5557,0.5496,0.5557,17850,0
OPENZ.US,5,20260127,174500,0.539801,0.539801,0.539801,0.539801,147,0
OPENZ.US,5,20260127,175000,0.5398,0.54,0.5398,0.5398,30158,0
OPENZ.US,5,20260127,175500,0.5464,0.5525,0.5464,0.5523,13905,0
OPENZ.US,5,20260127,180000,0.55045,0.5525,0.55045,0.5525,900,0
OPENZ.US,5,20260127,180500,0.5484,0.5484,0.54585,0.54585,1160,0
OPENZ.US,5,20260127,181000,0.5391,0.5391,0.539,0.539,4646,0
OPENZ.US,5,20260127,181500,0.5301,0.5378,0.53,0.5378,615,0
OPENZ.US,5,20260127,182000,0.53,0.5378,0.53,0.53,448,0
OPENZ.US,5,20260127,182500,0.537,0.537,0.528,0.52995,14225,0
OPENZ.US,5,20260127,183000,0.53,0.53,0.53,0.53,9811,0
OPENZ.US,5,20260127,183500,0.53,0.5375,0.53,0.5375,1545,0
OPENZ.US,5,20260127,184500,0.5375,0.5376,0.531,0.5375,2165,0
OPENZ.US,5,20260127,185000,0.53755,0.5529,0.536,0.551,22756,0
OPENZ.US,5,20260127,185500,0.542,0.5486,0.5391,0.5391,1942,0
OPENZ.US,5,20260127,190000,0.5381,0.5381,0.5381,0.5381,100,0
OPENZ.US,5,20260127,191000,0.54,0.5499,0.54,0.5499,446,0
OPENZ.US,5,20260127,192500,0.54,0.545,0.54,0.545,2302,0
OPENZ.US,5,20260127,193000,0.5446,0.5446,0.5446,0.5446,363,0
OPENZ.US,5,20260127,194000,0.54,0.5445,0.54,0.5401,1186,0
OPENZ.US,5,20260127,194500,0.5446,0.5446,0.54,0.5439,2291,0
OPENZ.US,5,20260127,195000,0.548799,0.548799,0.548799,0.548799,1000,0
OPENZ.US,5,20260127,195500,0.52,0.533,0.52,0.533,300,0
OPENZ.US,5,20260127,200000,0.539202,0.539202,0.539202,0.539202,200,0
OPENZ.US,5,20260127,200500,0.535,0.535,0.53,0.5301,926,0
OPENZ.US,5,20260127,201000,0.53,0.53,0.53,0.53,100,0
OPENZ.US,5,20260127,201500,0.538,0.538,0.538,0.538,100,0
OPENZ.US,5,20260127,202500,0.542761,0.556,0.53,0.5433,19126,0
OPENZ.US,5,20260127,203000,0.55,0.5512,0.54,0.54,6540,0
OPENZ.US,5,20260127,203500,0.537551,0.5439,0.537551,0.5439,443,0
OPENZ.US,5,20260127,204000,0.5312,0.543899,0.5312,0.543899,2200,0
OPENZ.US,5,20260127,205500,0.5313,0.5319,0.5313,0.5319,294,0
OPENZ.US,5,20260127,210000,0.5376,0.5376,0.5312,0.5312,1300,0
OPENZ.US,5,20260127,210500,0.5319,0.5319,0.5312,0.5313,3697,0
OPENZ.US,5,20260127,211000,0.5312,0.552,0.5312,0.536,4504,0
