<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ORRF.US,5,20260126,153000,36.07,36.4,36.07,36.25,2005,0
ORRF.US,5,20260126,153500,36.26,36.31,36.25,36.31,300,0
ORRF.US,5,20260126,154500,36.28,36.28,36.28,36.28,200,0
ORRF.US,5,20260126,155000,36.22,36.22,36.22,36.22,209,0
ORRF.US,5,20260126,160000,36.04,36.06,36,36,950,0
ORRF.US,5,20260126,160500,36,36.005,35.98,36.005,712,0
ORRF.US,5,20260126,161000,36.06,36.08,36.06,36.08,533,0
ORRF.US,5,20260126,162000,36.16,36.16,36.16,36.16,188,0
ORRF.US,5,20260126,162500,36.1,36.1,35.97,35.97,800,0
ORRF.US,5,20260126,163000,35.95,35.96,35.95,35.96,1000,0
ORRF.US,5,20260126,164000,35.92,35.92,35.86,35.9,1260,0
ORRF.US,5,20260126,165500,35.82,35.86,35.82,35.845,550,0
ORRF.US,5,20260126,170000,35.86,35.86,35.83,35.83,300,0
ORRF.US,5,20260126,170500,35.835,35.835,35.835,35.835,250,0
ORRF.US,5,20260126,171000,35.8,35.8,35.735,35.735,2125,0
ORRF.US,5,20260126,171500,35.7,35.7,35.58,35.59,2579,0
ORRF.US,5,20260126,172000,35.6,35.6,35.6,35.6,100,0
ORRF.US,5,20260126,172500,35.6,35.61,35.6,35.61,500,0
ORRF.US,5,20260126,173000,35.55,35.6,35.53,35.6,1200,0
ORRF.US,5,20260126,174000,35.58,35.61,35.58,35.61,400,0
ORRF.US,5,20260126,175000,35.53,35.53,35.53,35.53,100,0
ORRF.US,5,20260126,175500,35.51,35.515,35.465,35.465,954,0
ORRF.US,5,20260126,180500,35.45,35.52,35.45,35.52,1499,0
ORRF.US,5,20260126,181000,35.52,35.52,35.42,35.42,2976,0
ORRF.US,5,20260126,181500,35.44,35.55,35.44,35.535,3219,0
ORRF.US,5,20260126,182000,35.535,35.66,35.535,35.64,11852,0
ORRF.US,5,20260126,182500,35.69,35.69,35.69,35.69,199,0
ORRF.US,5,20260126,183000,35.71,35.72,35.71,35.72,510,0
ORRF.US,5,20260126,183500,35.71,35.71,35.705,35.705,1627,0
ORRF.US,5,20260126,184000,35.69,35.7,35.69,35.7,656,0
ORRF.US,5,20260126,184500,35.67,35.68,35.65,35.65,913,0
ORRF.US,5,20260126,185500,35.69,35.69,35.67,35.67,200,0
ORRF.US,5,20260126,190000,35.68,35.72,35.68,35.71,633,0
ORRF.US,5,20260126,190500,35.72,35.72,35.69,35.695,571,0
ORRF.US,5,20260126,191000,35.73,35.73,35.7,35.7,788,0
ORRF.US,5,20260126,191500,35.73,35.7425,35.73,35.7425,600,0
ORRF.US,5,20260126,192000,35.78,35.78,35.7722,35.7722,600,0
ORRF.US,5,20260126,192500,35.77,35.79,35.77,35.77,500,0
ORRF.US,5,20260126,193000,35.74,35.77,35.74,35.77,1142,0
ORRF.US,5,20260126,193500,35.74,35.75,35.74,35.75,603,0
ORRF.US,5,20260126,194000,35.78,35.79,35.78,35.79,396,0
ORRF.US,5,20260126,194500,35.79,35.88,35.79,35.875,1342,0
ORRF.US,5,20260126,195000,35.89,35.89,35.86,35.885,1964,0
ORRF.US,5,20260126,195500,35.86,35.87,35.86,35.86,1242,0
ORRF.US,5,20260126,200000,35.86,35.94,35.86,35.94,1119,0
ORRF.US,5,20260126,200500,35.97,35.985,35.97,35.985,494,0
ORRF.US,5,20260126,201000,36,36.06,36,36.06,400,0
ORRF.US,5,20260126,201500,36.03,36.05,36.03,36.05,300,0
ORRF.US,5,20260126,202000,36.03,36.09,36.03,36.09,250,0
ORRF.US,5,20260126,202500,36.105,36.11,36.1,36.11,1395,0
ORRF.US,5,20260126,203000,36.19,36.19,36.19,36.19,100,0
ORRF.US,5,20260126,203500,36.14,36.14,36.095,36.11,2944,0
ORRF.US,5,20260126,204000,36.065,36.065,36.02,36.02,750,0
ORRF.US,5,20260126,204500,36.01,36.01,35.98,35.98,300,0
ORRF.US,5,20260126,205000,35.99,36.02,35.99,36.02,499,0
ORRF.US,5,20260126,205500,36.01,36.06,36.01,36.06,801,0
ORRF.US,5,20260126,210000,36.05,36.11,36.05,36.11,400,0
ORRF.US,5,20260126,210500,36.15,36.16,36.14,36.16,400,0
ORRF.US,5,20260126,211000,36.24,36.24,36.22,36.22,931,0
ORRF.US,5,20260126,211500,36.2456,36.2456,36.2,36.2,457,0
ORRF.US,5,20260126,212000,36.19,36.23,36.19,36.19,778,0
ORRF.US,5,20260126,212500,36.19,36.19,36.15,36.17,1315,0
ORRF.US,5,20260126,213000,36.18,36.2,36.17,36.19,2950,0
ORRF.US,5,20260126,213500,36.19,36.19,36.13,36.13,1391,0
ORRF.US,5,20260126,214000,36.11,36.19,36.11,36.16,3688,0
ORRF.US,5,20260126,214500,36.17,36.2,36.12,36.12,3797,0
ORRF.US,5,20260126,215000,36.14,36.16,36.08,36.1,3098,0
ORRF.US,5,20260126,215500,36.09,36.09,36.02,36.04,55923,0
ORRF.US,5,20260127,153000,36.04,36.04,36.04,36.04,543,0
ORRF.US,5,20260127,153500,36.15,36.15,36.14,36.14,225,0
ORRF.US,5,20260127,154500,36.25,36.25,36.165,36.165,438,0
ORRF.US,5,20260127,155000,36.29,36.33,36.255,36.255,1463,0
ORRF.US,5,20260127,155500,36.255,36.255,36.19,36.19,1482,0
ORRF.US,5,20260127,161500,36.15,36.16,36.15,36.16,400,0
ORRF.US,5,20260127,162000,36.24,36.24,36.24,36.24,200,0
ORRF.US,5,20260127,162500,36.24,36.24,36.16,36.16,500,0
ORRF.US,5,20260127,163000,36.1,36.1,36.09,36.095,505,0
ORRF.US,5,20260127,164000,36.15,36.15,36.15,36.15,100,0
ORRF.US,5,20260127,165000,36.16,36.16,36.16,36.16,408,0
ORRF.US,5,20260127,165500,36.16,36.18,36.16,36.18,411,0
ORRF.US,5,20260127,170000,36.17,36.17,36.17,36.17,125,0
ORRF.US,5,20260127,170500,36.22,36.22,36.15,36.15,300,0
ORRF.US,5,20260127,171000,36.235,36.235,36.235,36.235,107,0
ORRF.US,5,20260127,171500,36.18,36.18,36.13,36.13,625,0
ORRF.US,5,20260127,172000,36.13,36.13,36.13,36.13,100,0
