<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OTEX.US,5,20260126,153000,28.97,28.98,28.72,28.72,24954,0
OTEX.US,5,20260126,153500,28.68,28.72,28.62,28.67,9725,0
OTEX.US,5,20260126,154000,28.68,28.7,28.57,28.57,11691,0
OTEX.US,5,20260126,154500,28.565,28.59,28.51,28.51,20553,0
OTEX.US,5,20260126,155000,28.5,28.565,28.48,28.555,7222,0
OTEX.US,5,20260126,155500,28.54,28.54,28.43,28.43,5913,0
OTEX.US,5,20260126,160000,28.415,28.555,28.41,28.55,4500,0
OTEX.US,5,20260126,160500,28.5553,28.7,28.55,28.69,12177,0
OTEX.US,5,20260126,161000,28.68,28.8,28.65,28.8,3224,0
OTEX.US,5,20260126,161500,28.815,28.98,28.815,28.98,7414,0
OTEX.US,5,20260126,162000,28.99,29.03,28.95,29,8670,0
OTEX.US,5,20260126,162500,29.01,29.14,29.01,29.11,13208,0
OTEX.US,5,20260126,163000,29.11,29.17,29.055,29.06,36479,0
OTEX.US,5,20260126,163500,29.06,29.07,28.98,28.98,25045,0
OTEX.US,5,20260126,164000,28.97,28.97,28.93,28.955,4300,0
OTEX.US,5,20260126,164500,28.95,28.96,28.94,28.96,3896,0
OTEX.US,5,20260126,165000,28.97,29.015,28.955,28.97,9022,0
OTEX.US,5,20260126,165500,28.97,28.99,28.95,28.95,1587,0
OTEX.US,5,20260126,170000,28.97,28.97,28.925,28.94,2498,0
OTEX.US,5,20260126,170500,28.94,28.94,28.85,28.89,3794,0
OTEX.US,5,20260126,171000,28.89,28.905,28.89,28.9,4255,0
OTEX.US,5,20260126,171500,28.88,28.88,28.85,28.86,2900,0
OTEX.US,5,20260126,172000,28.87,28.935,28.87,28.91,2300,0
OTEX.US,5,20260126,172500,28.93,28.94,28.915,28.9302,3487,0
OTEX.US,5,20260126,173000,28.96,28.99,28.95,28.95,3429,0
OTEX.US,5,20260126,173500,28.94,28.98,28.94,28.9775,3105,0
OTEX.US,5,20260126,174000,28.97,28.98,28.96,28.98,2740,0
OTEX.US,5,20260126,174500,28.98,28.98,28.97,28.98,1050,0
OTEX.US,5,20260126,175000,28.97,28.985,28.96,28.985,2263,0
OTEX.US,5,20260126,175500,28.98,28.98,28.94,28.94,1317,0
OTEX.US,5,20260126,180000,28.94,28.95,28.93,28.95,4262,0
OTEX.US,5,20260126,180500,28.96,28.96,28.95,28.95,595,0
OTEX.US,5,20260126,181000,28.95,28.95,28.94,28.94,3418,0
OTEX.US,5,20260126,181500,28.94,28.97,28.94,28.95,2599,0
OTEX.US,5,20260126,182000,28.94,28.98,28.94,28.97,2311,0
OTEX.US,5,20260126,182500,28.97,28.985,28.965,28.98,1700,0
OTEX.US,5,20260126,183000,28.99,29,28.94,28.95,13473,0
OTEX.US,5,20260126,183500,28.975,29.005,28.975,29.005,1826,0
OTEX.US,5,20260126,184000,29,29,28.99,28.99,1174,0
OTEX.US,5,20260126,184500,28.98,28.98,28.96,28.9799,2317,0
OTEX.US,5,20260126,185000,28.965,28.965,28.925,28.93,2177,0
