<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OXLC.US,5,20260126,153000,14.69,14.7,14.6,14.625,27810,0
OXLC.US,5,20260126,153500,14.635,14.635,14.6,14.61,9831,0
OXLC.US,5,20260126,154000,14.6174,14.63,14.615,14.63,4612,0
OXLC.US,5,20260126,154500,14.625,14.625,14.61,14.61,6383,0
OXLC.US,5,20260126,155000,14.616,14.65,14.61,14.64,19012,0
OXLC.US,5,20260126,155500,14.625,14.67,14.6154,14.6227,5118,0
OXLC.US,5,20260126,160000,14.6342,14.6342,14.62,14.6299,6301,0
OXLC.US,5,20260126,160500,14.6269,14.63,14.62,14.63,7213,0
OXLC.US,5,20260126,161000,14.625,14.625,14.585,14.585,19035,0
OXLC.US,5,20260126,161500,14.5848,14.6,14.56,14.585,12075,0
OXLC.US,5,20260126,162000,14.59,14.59,14.56,14.565,14520,0
OXLC.US,5,20260126,162500,14.565,14.565,14.53,14.538,23057,0
OXLC.US,5,20260126,163000,14.53,14.5399,14.51,14.53,14153,0
OXLC.US,5,20260126,163500,14.515,14.52,14.51,14.5146,6186,0
OXLC.US,5,20260126,164000,14.5199,14.54,14.5145,14.53,10359,0
OXLC.US,5,20260126,164500,14.53,14.55,14.529,14.55,3600,0
OXLC.US,5,20260126,165000,14.5499,14.56,14.545,14.56,3579,0
OXLC.US,5,20260126,165500,14.5899,14.5899,14.55,14.5699,6722,0
OXLC.US,5,20260126,170000,14.565,14.585,14.552,14.57,11260,0
OXLC.US,5,20260126,170500,14.56,14.5785,14.55,14.56,4650,0
OXLC.US,5,20260126,171000,14.55,14.55,14.54,14.545,17968,0
OXLC.US,5,20260126,171500,14.5599,14.5599,14.5435,14.5435,3380,0
OXLC.US,5,20260126,172000,14.545,14.5491,14.54,14.5466,2258,0
OXLC.US,5,20260126,172500,14.5443,14.57,14.54,14.565,9365,0
OXLC.US,5,20260126,173000,14.57,14.59,14.55,14.58,3353,0
OXLC.US,5,20260126,173500,14.57,14.57,14.53,14.545,11895,0
OXLC.US,5,20260126,174000,14.5401,14.5456,14.54,14.545,3803,0
OXLC.US,5,20260126,174500,14.54,14.54,14.53,14.5399,4894,0
OXLC.US,5,20260126,175000,14.535,14.54,14.53,14.5358,6239,0
OXLC.US,5,20260126,175500,14.54,14.54,14.535,14.54,7131,0
OXLC.US,5,20260126,180000,14.55,14.565,14.54,14.565,3965,0
OXLC.US,5,20260126,180500,14.565,14.57,14.56,14.57,4565,0
OXLC.US,5,20260126,181000,14.56,14.5699,14.56,14.5643,3099,0
OXLC.US,5,20260126,181500,14.565,14.5793,14.5645,14.5793,3300,0
OXLC.US,5,20260126,182000,14.58,14.58,14.57,14.57,12499,0
OXLC.US,5,20260126,182500,14.573,14.5783,14.57,14.575,5426,0
OXLC.US,5,20260126,183000,14.576089,14.576089,14.57,14.57,3902,0
OXLC.US,5,20260126,183500,14.5791,14.58,14.57,14.57,6570,0
OXLC.US,5,20260126,184000,14.5601,14.61,14.5601,14.605,8308,0
OXLC.US,5,20260126,184500,14.59,14.61,14.58,14.5901,5078,0
OXLC.US,5,20260126,185000,14.6,14.605,14.59,14.605,4985,0
OXLC.US,5,20260126,185500,14.6,14.6,14.58,14.58,2287,0
OXLC.US,5,20260126,190000,14.57,14.57,14.55,14.56,4460,0
OXLC.US,5,20260126,190500,14.54,14.54,14.53,14.54,4403,0
OXLC.US,5,20260126,191000,14.54,14.55,14.53,14.53,3249,0
OXLC.US,5,20260126,191500,14.54,14.54,14.53,14.53,3800,0
OXLC.US,5,20260126,192000,14.54,14.54,14.525,14.525,5207,0
OXLC.US,5,20260126,192500,14.525,14.53,14.5236,14.525,1292,0
OXLC.US,5,20260126,193000,14.5248,14.54,14.52,14.525,3719,0
OXLC.US,5,20260126,193500,14.525,14.53,14.52,14.525,19018,0
OXLC.US,5,20260126,194000,14.525,14.53,14.52,14.525,5945,0
OXLC.US,5,20260126,194500,14.52,14.54,14.52,14.54,6546,0
OXLC.US,5,20260126,195000,14.535,14.54,14.5345,14.535,4680,0
OXLC.US,5,20260126,195500,14.54,14.551,14.5345,14.55,5113,0
OXLC.US,5,20260126,200000,14.551,14.551,14.5441,14.55,6060,0
OXLC.US,5,20260126,200500,14.5554,14.56,14.55,14.551,4604,0
OXLC.US,5,20260126,201000,14.56,14.56,14.54,14.555,17423,0
OXLC.US,5,20260126,201500,14.56,14.56,14.55,14.555,2541,0
OXLC.US,5,20260126,202000,14.555,14.565,14.555,14.565,5551,0
OXLC.US,5,20260126,202500,14.565,14.571,14.56,14.571,9936,0
OXLC.US,5,20260126,203000,14.571,14.58,14.56,14.565,10864,0
OXLC.US,5,20260126,203500,14.5601,14.5658,14.55,14.55,40821,0
OXLC.US,5,20260126,204000,14.545,14.56,14.53,14.545,19033,0
OXLC.US,5,20260126,204500,14.5512,14.57,14.54,14.561,13392,0
OXLC.US,5,20260126,205000,14.56,14.56,14.55,14.55,17319,0
OXLC.US,5,20260126,205500,14.545,14.555,14.535,14.555,7814,0
OXLC.US,5,20260126,210000,14.555,14.555,14.555,14.555,6930,0
OXLC.US,5,20260126,210500,14.5541,14.56,14.55,14.555,2380,0
OXLC.US,5,20260126,211000,14.5599,14.56,14.555,14.555,9490,0
OXLC.US,5,20260126,211500,14.555,14.56,14.55,14.555,10474,0
OXLC.US,5,20260126,212000,14.555,14.56,14.5545,14.56,3617,0
OXLC.US,5,20260126,212500,14.57,14.57,14.565,14.5666,1188,0
OXLC.US,5,20260126,213000,14.5646,14.5661,14.56,14.56,6436,0
OXLC.US,5,20260126,213500,14.575,14.58,14.57,14.57,4438,0
OXLC.US,5,20260126,214000,14.56,14.5665,14.555,14.555,3457,0
OXLC.US,5,20260126,214500,14.55,14.56,14.53,14.535,25112,0
OXLC.US,5,20260126,215000,14.53,14.55,14.5201,14.53,39127,0
OXLC.US,5,20260126,215500,14.53,14.55,14.525,14.55,39798,0
OXLC.US,5,20260127,153000,14.51,14.58,14.51,14.545,31234,0
OXLC.US,5,20260127,153500,14.53,14.54,14.52,14.5245,14503,0
OXLC.US,5,20260127,154000,14.525,14.5379,14.46,14.4631,77389,0
OXLC.US,5,20260127,154500,14.46,14.4633,14.43,14.44,25098,0
OXLC.US,5,20260127,155000,14.43,14.4301,14.38,14.38,41938,0
OXLC.US,5,20260127,155500,14.39,14.4199,14.37,14.37,23063,0
OXLC.US,5,20260127,160000,14.39,14.41,14.36,14.39,23383,0
OXLC.US,5,20260127,160500,14.3825,14.4,14.36,14.395,22690,0
OXLC.US,5,20260127,161000,14.395,14.41,14.3874,14.4,12323,0
OXLC.US,5,20260127,161500,14.4001,14.404,14.36,14.3654,23189,0
OXLC.US,5,20260127,162000,14.36,14.36,14.35,14.35,10324,0
OXLC.US,5,20260127,162500,14.3555,14.3699,14.35,14.3599,15026,0
OXLC.US,5,20260127,163000,14.35,14.35,14.34,14.3482,5495,0
OXLC.US,5,20260127,163500,14.345,14.345,14.33,14.335,22745,0
OXLC.US,5,20260127,164000,14.3367,14.3899,14.335,14.37,9381,0
OXLC.US,5,20260127,164500,14.36,14.39,14.35,14.362,4352,0
OXLC.US,5,20260127,165000,14.3666,14.3666,14.35,14.355,9694,0
OXLC.US,5,20260127,165500,14.35,14.35,14.32,14.3292,19323,0
OXLC.US,5,20260127,170000,14.32,14.33,14.31,14.3299,8126,0
OXLC.US,5,20260127,170500,14.325,14.33,14.32,14.33,2920,0
OXLC.US,5,20260127,171000,14.32,14.32,14.3,14.306568,18712,0
OXLC.US,5,20260127,171500,14.305,14.3199,14.27,14.3005,28950,0
OXLC.US,5,20260127,172000,14.305,14.3099,14.27,14.27,11820,0
OXLC.US,5,20260127,172500,14.28,14.29,14.28,14.29,10688,0
OXLC.US,5,20260127,173000,14.285,14.2856,14.2845,14.285,7960,0
OXLC.US,5,20260127,173500,14.2899,14.29,14.28,14.2899,9548,0
OXLC.US,5,20260127,174000,14.29,14.298,14.2801,14.295,3768,0
OXLC.US,5,20260127,174500,14.2999,14.3,14.2945,14.2956,2136,0
OXLC.US,5,20260127,175000,14.3,14.32,14.3,14.3171,7222,0
OXLC.US,5,20260127,175500,14.31,14.3599,14.31,14.34,3412,0
OXLC.US,5,20260127,180000,14.34,14.3418,14.32,14.32,4657,0
OXLC.US,5,20260127,180500,14.31,14.33,14.3097,14.31,6291,0
OXLC.US,5,20260127,181000,14.3375,14.3375,14.31,14.335,3593,0
OXLC.US,5,20260127,181500,14.3383,14.3383,14.3,14.3,11660,0
OXLC.US,5,20260127,182000,14.3,14.31,14.2842,14.29,34276,0
OXLC.US,5,20260127,182500,14.285,14.3,14.28,14.29,5421,0
OXLC.US,5,20260127,183000,14.29,14.29,14.28,14.285,9976,0
OXLC.US,5,20260127,183500,14.285,14.2869,14.28,14.28,6187,0
OXLC.US,5,20260127,184000,14.2831,14.29,14.28,14.28,1620,0
OXLC.US,5,20260127,184500,14.2797,14.28,14.275,14.28,6925,0
OXLC.US,5,20260127,185000,14.2801,14.285,14.27,14.28,23903,0
OXLC.US,5,20260127,185500,14.28,14.28,14.2201,14.2201,55102,0
OXLC.US,5,20260127,190000,14.23,14.2399,14.2202,14.2345,9129,0
OXLC.US,5,20260127,190500,14.23,14.29,14.23,14.27,10128,0
OXLC.US,5,20260127,191000,14.27,14.28,14.2555,14.28,3560,0
OXLC.US,5,20260127,191500,14.2492,14.2492,14.23,14.235,2855,0
OXLC.US,5,20260127,192000,14.23,14.2358,14.23,14.2358,7963,0
OXLC.US,5,20260127,192500,14.235,14.2363,14.2331,14.235,3263,0
OXLC.US,5,20260127,193000,14.23,14.24,14.23,14.24,2655,0
OXLC.US,5,20260127,193500,14.235,14.2399,14.23,14.2302,11558,0
OXLC.US,5,20260127,194000,14.2363,14.2363,14.23,14.235,9005,0
OXLC.US,5,20260127,194500,14.2351,14.2493,14.2335,14.245,6754,0
OXLC.US,5,20260127,195000,14.2403,14.245,14.22,14.22,18150,0
OXLC.US,5,20260127,195500,14.215,14.2199,14.21,14.2159,1600,0
OXLC.US,5,20260127,200000,14.2148,14.235,14.2148,14.225,16287,0
OXLC.US,5,20260127,200500,14.225,14.2299,14.18,14.19,42608,0
OXLC.US,5,20260127,201000,14.19,14.19,14.1707,14.175,11088,0
OXLC.US,5,20260127,201500,14.1766,14.1999,14.17,14.1999,9223,0
OXLC.US,5,20260127,202000,14.1999,14.1999,14.16,14.1642,13234,0
OXLC.US,5,20260127,202500,14.155,14.175,14.1522,14.175,5284,0
OXLC.US,5,20260127,203000,14.18,14.1862,14.1601,14.185,3021,0
OXLC.US,5,20260127,203500,14.18,14.18,14.16,14.17,9609,0
OXLC.US,5,20260127,204000,14.17,14.1734,14.16,14.1601,19834,0
OXLC.US,5,20260127,204500,14.16,14.17,14.16,14.165,26876,0
OXLC.US,5,20260127,205000,14.16,14.1655,14.12,14.12,62589,0
OXLC.US,5,20260127,205500,14.12,14.12,14.11,14.1121,13686,0
OXLC.US,5,20260127,210000,14.115,14.145,14.115,14.145,15121,0
OXLC.US,5,20260127,210500,14.14,14.145,14.13,14.14,3913,0
OXLC.US,5,20260127,211000,14.145,14.16,14.14,14.14,8347,0
OXLC.US,5,20260127,211500,14.1463,14.15,14.134,14.139,5014,0
OXLC.US,5,20260127,212000,14.146,14.146,14.13,14.135,3804,0
OXLC.US,5,20260127,212500,14.135,14.1363,14.1,14.1,25512,0
OXLC.US,5,20260127,213000,14.105,14.1399,14.1,14.1235,7158,0
OXLC.US,5,20260127,213500,14.1246,14.130728,14.115,14.13,11431,0
OXLC.US,5,20260127,214000,14.12,14.12,14.06,14.06,24803,0
OXLC.US,5,20260127,214500,14.07,14.08,14.06,14.075,16745,0
OXLC.US,5,20260127,215000,14.0726,14.0899,14.0601,14.0667,18379,0
OXLC.US,5,20260127,215500,14.065,14.085,14.02,14.02,75415,0
OXLC.US,5,20260128,153000,14.05,14.15,14.05,14.135,27917,0
OXLC.US,5,20260128,153500,14.135,14.135,14.07,14.0818,14935,0
OXLC.US,5,20260128,154000,14.08,14.1,14.0701,14.085,17247,0
OXLC.US,5,20260128,154500,14.085,14.1223,14.07,14.12,8514,0
OXLC.US,5,20260128,155000,14.12,14.12,14.12,14.12,2128,0
OXLC.US,5,20260128,155500,14.13,14.13,14.1167,14.12,18532,0
OXLC.US,5,20260128,160000,14.122,14.14,14.122,14.125,1486,0
OXLC.US,5,20260128,160500,14.1262,14.1262,14.1,14.1,2690,0
OXLC.US,5,20260128,161000,14.1122,14.12,14.1,14.11,7213,0
OXLC.US,5,20260128,161500,14.1114,14.1199,14.1001,14.1001,5459,0
OXLC.US,5,20260128,162000,14.11,14.12,14.1,14.115,9057,0
OXLC.US,5,20260128,162500,14.11,14.14,14.1,14.14,18013,0
OXLC.US,5,20260128,163000,14.14,14.1717,14.14,14.1716,7469,0
OXLC.US,5,20260128,163500,14.1799,14.1841,14.1705,14.1801,2020,0
OXLC.US,5,20260128,164000,14.17,14.17,14.15,14.16,5969,0
OXLC.US,5,20260128,164500,14.1658,14.17,14.1606,14.1692,5465,0
OXLC.US,5,20260128,165000,14.17,14.178,14.17,14.1741,2912,0
OXLC.US,5,20260128,165500,14.175,14.175,14.1737,14.175,2060,0
OXLC.US,5,20260128,170000,14.175,14.1799,14.17,14.175,2414,0
OXLC.US,5,20260128,170500,14.18,14.2,14.18,14.1924,8737,0
OXLC.US,5,20260128,171000,14.195,14.195,14.17,14.18,4501,0
OXLC.US,5,20260128,171500,14.1744,14.1744,14.14,14.14,3849,0
OXLC.US,5,20260128,172000,14.12,14.153,14.1,14.15,5378,0
OXLC.US,5,20260128,172500,14.125,14.125,14.097,14.1,11117,0
OXLC.US,5,20260128,173000,14.09,14.0943,14.08,14.08,4392,0
OXLC.US,5,20260128,173500,14.07,14.08,14.07,14.075,6882,0
OXLC.US,5,20260128,174000,14.0741,14.154684,14.07,14.13,5576,0
OXLC.US,5,20260128,174500,14.1,14.11,14.1,14.11,3098,0
OXLC.US,5,20260128,175000,14.11,14.1201,14.11,14.1201,5644,0
OXLC.US,5,20260128,175500,14.14,14.15,14.12,14.12,5145,0
OXLC.US,5,20260128,180000,14.13,14.13,14.1145,14.1145,2579,0
OXLC.US,5,20260128,180500,14.12,14.12,14.1,14.1001,8514,0
OXLC.US,5,20260128,181000,14.1,14.11,14.1,14.11,3361,0
OXLC.US,5,20260128,181500,14.12,14.12,14.11,14.11,2495,0
OXLC.US,5,20260128,182000,14.12,14.12,14.11,14.11,996,0
OXLC.US,5,20260128,182500,14.105,14.12,14.1,14.11,21189,0
OXLC.US,5,20260128,183000,14.1042,14.1042,14.0967,14.0967,921,0
OXLC.US,5,20260128,183500,14.0968,14.0968,14.0901,14.095,2312,0
OXLC.US,5,20260128,184000,14.095,14.0954,14.0928,14.095,6657,0
OXLC.US,5,20260128,184500,14.1,14.1,14.0946,14.0999,1029,0
OXLC.US,5,20260128,185000,14.1,14.13,14.1,14.13,6571,0
OXLC.US,5,20260128,185500,14.105,14.12,14.105,14.1162,1676,0
OXLC.US,5,20260128,190000,14.11,14.11,14.1,14.11,2038,0
OXLC.US,5,20260128,190500,14.1,14.1155,14.1,14.11,2891,0
OXLC.US,5,20260128,191000,14.1128,14.1208,14.11,14.11,4115,0
OXLC.US,5,20260128,191500,14.115,14.118,14.1,14.11,5138,0
OXLC.US,5,20260128,192000,14.11,14.12,14.1,14.12,3066,0
OXLC.US,5,20260128,192500,14.11,14.115,14.1049,14.1049,3272,0
OXLC.US,5,20260128,193000,14.12,14.12,14.1017,14.1017,3415,0
OXLC.US,5,20260128,193500,14.11,14.111,14.11,14.11,1562,0
OXLC.US,5,20260128,194000,14.11,14.115,14.1,14.11,2703,0
OXLC.US,5,20260128,194500,14.11,14.1167,14.1084,14.115,12316,0
OXLC.US,5,20260128,195000,14.115,14.1199,14.1001,14.11,4163,0
OXLC.US,5,20260128,195500,14.11,14.1408,14.11,14.1371,2197,0
OXLC.US,5,20260128,200000,14.12,14.14,14.12,14.13,1913,0
OXLC.US,5,20260128,200500,14.12,14.1399,14.12,14.12,2066,0
OXLC.US,5,20260128,201000,14.125,14.125,14.11,14.11,4318,0
OXLC.US,5,20260128,201500,14.1154,14.12,14.115,14.12,1920,0
OXLC.US,5,20260128,202000,14.12,14.12,14.11,14.11,5009,0
OXLC.US,5,20260128,202500,14.12,14.12,14.1,14.1,2656,0
OXLC.US,5,20260128,203000,14.09,14.1,14.07,14.09,13339,0
OXLC.US,5,20260128,203500,14.1,14.1099,14.08,14.095,11282,0
OXLC.US,5,20260128,204000,14.09,14.0908,14.089,14.0908,4042,0
OXLC.US,5,20260128,204500,14.1,14.1,14.08,14.09,6103,0
OXLC.US,5,20260128,205000,14.09,14.09,14.08,14.0892,6688,0
OXLC.US,5,20260128,205500,14.09,14.1,14.0892,14.09,5588,0
OXLC.US,5,20260128,210000,14.085,14.1,14.085,14.1,8158,0
OXLC.US,5,20260128,210500,14.11,14.11,14.0801,14.09,18463,0
OXLC.US,5,20260128,211000,14.1099,14.1099,14.09,14.09,690,0
OXLC.US,5,20260128,211500,14.085,14.0873,14.075,14.085,3138,0
OXLC.US,5,20260128,212000,14.08,14.098,14.08,14.0858,5023,0
OXLC.US,5,20260128,212500,14.085,14.085,14.07,14.08,11045,0
OXLC.US,5,20260128,213000,14.08,14.08,14.07,14.08,4234,0
OXLC.US,5,20260128,213500,14.07,14.0855,14.07,14.0855,3229,0
OXLC.US,5,20260128,214000,14.08,14.08,14.065,14.0698,3732,0
OXLC.US,5,20260128,214500,14.06,14.065,14.050935,14.055,20924,0
OXLC.US,5,20260128,215000,14.055,14.08,14.05,14.08,30162,0
OXLC.US,5,20260128,215500,14.075,14.11,14.07,14.1,22068,0
OXLC.US,5,20260129,153000,14.165,14.246,14.16,14.21,79500,0
OXLC.US,5,20260129,153500,14.201,14.215,14.16,14.18,14239,0
OXLC.US,5,20260129,154000,14.19,14.19,14.1488,14.1488,11294,0
OXLC.US,5,20260129,154500,14.136,14.17,14.135,14.165,9490,0
OXLC.US,5,20260129,155000,14.17,14.17,14.11,14.13,8173,0
OXLC.US,5,20260129,155500,14.13,14.1797,14.125,14.145,7119,0
OXLC.US,5,20260129,160000,14.136,14.14,14.12,14.125,2400,0
OXLC.US,5,20260129,160500,14.1295,14.1295,14.08,14.09,5174,0
OXLC.US,5,20260129,161000,14.1,14.1099,14.0816,14.0998,7181,0
OXLC.US,5,20260129,161500,14.1,14.1,14.089,14.09,8187,0
OXLC.US,5,20260129,162000,14.1,14.1139,14.09,14.11,2811,0
OXLC.US,5,20260129,162500,14.1047,14.1047,14.0801,14.0801,12123,0
OXLC.US,5,20260129,163000,14.09,14.115,14.09,14.105,21155,0
OXLC.US,5,20260129,163500,14.1,14.11,14.095,14.1,8573,0
OXLC.US,5,20260129,164000,14.1,14.1,14.09,14.09,2958,0
OXLC.US,5,20260129,164500,14.09,14.11,14.08,14.0824,10355,0
OXLC.US,5,20260129,165000,14.086,14.086,14,14.03,41382,0
OXLC.US,5,20260129,165500,14.025,14.05,14.025,14.045,5496,0
OXLC.US,5,20260129,170000,14.0463,14.06,14.04,14.04,3548,0
OXLC.US,5,20260129,170500,14.0665,14.0665,14.04,14.0461,11846,0
OXLC.US,5,20260129,171000,14.0467,14.0838,14.0467,14.08,2963,0
OXLC.US,5,20260129,171500,14.0728,14.08,14.072,14.075,3599,0
OXLC.US,5,20260129,172000,14.075,14.09,14.075,14.08,12678,0
OXLC.US,5,20260129,172500,14.08,14.08,14.07,14.07,1500,0
OXLC.US,5,20260129,173000,14.06,14.08,14.06,14.07,3750,0
OXLC.US,5,20260129,173500,14.07,14.07,14.05,14.05,6304,0
OXLC.US,5,20260129,174000,14.053,14.065,14.05,14.065,3735,0
OXLC.US,5,20260129,174500,14.06,14.066,14.06,14.065,2656,0
OXLC.US,5,20260129,175000,14.065,14.07,14.06,14.065,2621,0
OXLC.US,5,20260129,175500,14.06,14.0655,14.06,14.065,3991,0
OXLC.US,5,20260129,180000,14.0616,14.12,14.0616,14.12,9799,0
OXLC.US,5,20260129,180500,14.12,14.15,14.12,14.1402,5517,0
OXLC.US,5,20260129,181000,14.1432,14.18,14.1432,14.18,8382,0
OXLC.US,5,20260129,181500,14.17,14.185,14.17,14.175,12184,0
OXLC.US,5,20260129,182000,14.1753,14.19,14.1753,14.19,9354,0
OXLC.US,5,20260129,182500,14.2,14.2,14.18,14.2,11217,0
OXLC.US,5,20260129,183000,14.195,14.2,14.1901,14.1986,5917,0
OXLC.US,5,20260129,183500,14.1912,14.215,14.1912,14.21,10784,0
OXLC.US,5,20260129,184000,14.2,14.2,14.18,14.1877,8677,0
OXLC.US,5,20260129,184500,14.18,14.1816,14.165,14.165,2803,0
OXLC.US,5,20260129,185000,14.1643,14.17,14.16,14.16,6300,0
OXLC.US,5,20260129,185500,14.16,14.17,14.16,14.17,2990,0
OXLC.US,5,20260129,190000,14.16,14.16,14.12,14.12,2983,0
OXLC.US,5,20260129,190500,14.14,14.165,14.14,14.16,1418,0
OXLC.US,5,20260129,191000,14.15,14.15,14.15,14.15,3362,0
OXLC.US,5,20260129,191500,14.15,14.1549,14.15,14.15,1729,0
OXLC.US,5,20260129,192000,14.145,14.15,14.14,14.14,1182,0
OXLC.US,5,20260129,192500,14.15,14.15,14.14,14.145,2960,0
OXLC.US,5,20260129,193000,14.145,14.15,14.1301,14.133,3255,0
OXLC.US,5,20260129,193500,14.14,14.15,14.14,14.145,2300,0
OXLC.US,5,20260129,194000,14.143,14.15,14.14,14.14,1407,0
OXLC.US,5,20260129,194500,14.14,14.14,14.119,14.12,1738,0
