<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OXLCG.US,5,20260126,161000,25.44,25.44,25.44,25.44,100,0
OXLCG.US,5,20260126,165000,25.4576,25.4576,25.44,25.45,877,0
OXLCG.US,5,20260126,173500,25.4401,25.4401,25.4401,25.4401,100,0
OXLCG.US,5,20260126,180000,25.45,25.46,25.45,25.45,960,0
OXLCG.US,5,20260126,190000,25.46,25.46,25.46,25.46,723,0
OXLCG.US,5,20260126,195500,25.46,25.5,25.46,25.5,3823,0
OXLCG.US,5,20260126,211500,25.5,25.55,25.4501,25.4501,500,0
OXLCG.US,5,20260126,214500,25.508,25.508,25.508,25.508,100,0
OXLCG.US,5,20260126,215500,25.46,25.46,25.46,25.46,100,0
OXLCG.US,5,20260127,170500,25.493,25.495,25.493,25.495,1000,0
OXLCG.US,5,20260127,175500,25.49,25.49,25.49,25.49,100,0
OXLCG.US,5,20260127,181500,25.49,25.49,25.47,25.475,1208,0
OXLCG.US,5,20260127,183500,25.4798,25.4798,25.4798,25.4798,120,0
OXLCG.US,5,20260127,184000,25.475,25.48,25.455,25.455,3312,0
OXLCG.US,5,20260127,185000,25.3616,25.3616,25.3616,25.3616,240,0
OXLCG.US,5,20260127,195000,25.36,25.36,25.36,25.36,100,0
OXLCG.US,5,20260127,201000,25.36,25.36,25.36,25.36,100,0
OXLCG.US,5,20260127,215000,25.39,25.39,25.39,25.39,100,0
OXLCG.US,5,20260128,165000,25.4,25.4,25.4,25.4,200,0
OXLCG.US,5,20260128,170500,25.39,25.39,25.39,25.39,100,0
OXLCG.US,5,20260128,204500,25.39,25.39,25.39,25.39,138,0
OXLCG.US,5,20260128,205000,25.43,25.43,25.43,25.43,400,0
OXLCG.US,5,20260128,210000,25.41,25.41,25.41,25.41,100,0
OXLCG.US,5,20260128,214000,25.4116,25.4116,25.4116,25.4116,202,0
OXLCG.US,5,20260129,164000,25.39,25.39,25.39,25.39,1500,0
OXLCG.US,5,20260130,153500,25.4362,25.4362,25.4362,25.4362,100,0
OXLCG.US,5,20260130,155000,25.4999,25.4999,25.4999,25.4999,1000,0
OXLCG.US,5,20260130,165000,25.44,25.465,25.44,25.465,550,0
OXLCG.US,5,20260130,165500,25.44,25.44,25.44,25.44,100,0
OXLCG.US,5,20260130,170000,25.44,25.44,25.44,25.44,675,0
OXLCG.US,5,20260130,202000,25.4899,25.4899,25.4899,25.4899,310,0
OXLCG.US,5,20260130,214000,25.47,25.49,25.47,25.47,1500,0
OXLCG.US,5,20260202,153000,25.39,25.39,25.39,25.39,290,0
OXLCG.US,5,20260202,170500,25.46,25.46,25.45,25.4501,400,0
OXLCG.US,5,20260202,175000,25.45,25.45,25.45,25.45,170,0
OXLCG.US,5,20260202,184500,25.47,25.47,25.47,25.47,700,0
OXLCG.US,5,20260202,194000,25.48,25.48,25.48,25.48,250,0
OXLCG.US,5,20260202,195500,25.47,25.4702,25.47,25.4702,488,0
OXLCG.US,5,20260202,201000,25.49,25.49,25.49,25.49,105,0
OXLCG.US,5,20260202,211000,25.5499,25.55,25.5499,25.5499,3588,0
OXLCG.US,5,20260203,154000,25.525,25.525,25.525,25.525,100,0
OXLCG.US,5,20260203,160500,25.475,25.475,25.475,25.475,240,0
OXLCG.US,5,20260203,161500,25.475,25.475,25.475,25.475,400,0
OXLCG.US,5,20260203,164500,25.55,25.55,25.55,25.55,171,0
OXLCG.US,5,20260203,172500,25.5,25.55,25.5,25.55,1857,0
OXLCG.US,5,20260203,174000,25.416,25.416,25.416,25.416,200,0
OXLCG.US,5,20260203,174500,25.44,25.44,25.41,25.416,300,0
OXLCG.US,5,20260203,181500,25.45,25.48,25.44,25.44,800,0
OXLCG.US,5,20260203,182000,25.5,25.5,25.5,25.5,700,0
OXLCG.US,5,20260203,192000,25.5,25.6,25.5,25.55,400,0
OXLCG.US,5,20260203,195000,25.56,25.56,25.56,25.56,150,0
OXLCG.US,5,20260203,195500,25.5,25.5001,25.5,25.5,600,0
OXLCG.US,5,20260203,201000,25.5,25.5,25.5,25.5,328,0
OXLCG.US,5,20260203,214000,25.49,25.49,25.45,25.45,248,0
OXLCG.US,5,20260204,165000,25.492,25.492,25.492,25.492,100,0
OXLCG.US,5,20260204,170000,25.49,25.49,25.49,25.49,100,0
OXLCG.US,5,20260204,171500,25.49,25.49,25.475,25.475,300,0
OXLCG.US,5,20260204,173000,25.45,25.4501,25.45,25.4501,1968,0
OXLCG.US,5,20260204,173500,25.4,25.4001,25.39,25.39,3454,0
OXLCG.US,5,20260204,174000,25.38,25.38,25.375,25.375,974,0
OXLCG.US,5,20260204,181000,25.38,25.38,25.38,25.38,100,0
OXLCG.US,5,20260204,181500,25.49,25.49,25.49,25.49,100,0
OXLCG.US,5,20260204,182000,25.24,25.27,25.24,25.26,500,0
OXLCG.US,5,20260204,185000,25.26,25.26,25.26,25.26,100,0
OXLCG.US,5,20260204,194000,25.27,25.27,25.26,25.26,205,0
OXLCG.US,5,20260204,200500,25.38,25.38,25.38,25.38,198,0
OXLCG.US,5,20260204,213000,25.3999,25.3999,25.3999,25.3999,800,0
OXLCG.US,5,20260205,153000,25.06,25.26,25.06,25.06,2200,0
OXLCG.US,5,20260205,153500,25.18,25.18,25.18,25.18,100,0
OXLCG.US,5,20260205,155500,25.15,25.15,25.14,25.15,400,0
OXLCG.US,5,20260205,160000,25.15,25.15,25.15,25.15,180,0
OXLCG.US,5,20260205,160500,25.14,25.15,25.14,25.15,300,0
OXLCG.US,5,20260205,161000,25.14,25.14,25.14,25.14,100,0
OXLCG.US,5,20260205,161500,25.14,25.15,25.14,25.14,442,0
OXLCG.US,5,20260205,173000,25.18,25.21,25.18,25.21,615,0
OXLCG.US,5,20260205,173500,25.17,25.17,25.17,25.17,559,0
OXLCG.US,5,20260205,204000,25.2146,25.2146,25.2146,25.2146,300,0
OXLCG.US,5,20260205,215000,25.19,25.19,25.19,25.19,100,0
OXLCG.US,5,20260206,153000,25.2105,25.2105,25.2105,25.2105,192,0
OXLCG.US,5,20260206,195000,25.23,25.23,25.22,25.22,200,0
OXLCG.US,5,20260206,212000,25.26,25.26,25.26,25.26,100,0
OXLCG.US,5,20260209,153000,25.26,25.26,25.26,25.26,400,0
OXLCG.US,5,20260209,155500,25.255,25.255,25.255,25.255,170,0
OXLCG.US,5,20260209,160000,25.185,25.185,25.185,25.185,130,0
OXLCG.US,5,20260209,162000,25.224,25.224,25.224,25.224,200,0
OXLCG.US,5,20260209,163500,25.26,25.26,25.2598,25.26,671,0
