<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OXSQG.US,5,20260126,171500,24.22,24.22,24.22,24.22,150,0
OXSQG.US,5,20260126,172000,24.1712,24.1712,24.1712,24.1712,695,0
OXSQG.US,5,20260126,215500,24.22,24.22,24.22,24.22,983,0
OXSQG.US,5,20260127,171000,24.19,24.19,24.19,24.19,500,0
OXSQG.US,5,20260127,195000,24.16,24.16,24.16,24.16,200,0
OXSQG.US,5,20260127,205000,24.16,24.16,24.16,24.16,143,0
OXSQG.US,5,20260128,213500,24.1762,24.1762,24.1762,24.1762,100,0
OXSQG.US,5,20260128,215000,24.175,24.19,24.175,24.1898,1100,0
OXSQG.US,5,20260129,175000,24.16,24.16,24.16,24.16,100,0
OXSQG.US,5,20260129,181000,24.16,24.1601,24.16,24.1601,690,0
OXSQG.US,5,20260130,153000,24.29,24.29,24.29,24.29,116,0
OXSQG.US,5,20260202,160000,24.225,24.225,24.225,24.225,298,0
OXSQG.US,5,20260202,163000,24.22,24.22,24.22,24.22,170,0
OXSQG.US,5,20260202,164000,24.25,24.25,24.25,24.25,199,0
OXSQG.US,5,20260203,190000,24.235,24.235,24.235,24.235,1000,0
OXSQG.US,5,20260203,204000,24.179,24.179,24.179,24.179,132,0
OXSQG.US,5,20260205,215500,24.18,24.18,24.18,24.18,400,0
OXSQG.US,5,20260206,160500,24.16,24.16,24.16,24.16,1000,0
OXSQG.US,5,20260206,170500,24.17,24.17,24.16,24.16,1000,0
OXSQG.US,5,20260206,214500,24.2,24.2,24.17,24.17,200,0
OXSQG.US,5,20260210,215000,24.2,24.2,24.16,24.1872,1923,0
OXSQG.US,5,20260211,185500,24.28,24.28,24.28,24.28,320,0
OXSQG.US,5,20260211,200500,24.28,24.3999,24.28,24.3999,1100,0
OXSQG.US,5,20260211,211500,24.304,24.304,24.304,24.304,800,0
OXSQG.US,5,20260211,213000,24.2545,24.2545,24.2545,24.2545,500,0
OXSQG.US,5,20260211,215500,24.3,24.3,24.3,24.3,100,0
OXSQG.US,5,20260212,183000,24.35,24.35,24.35,24.35,200,0
OXSQG.US,5,20260213,155500,24.305,24.305,24.305,24.305,200,0
OXSQG.US,5,20260213,215500,24.34,24.34,24.34,24.34,100,0
