<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBLS.US,5,20260610,184500,33.35,33.4,26.61,27.95,1012416,0
PBLS.US,5,20260610,185000,28.11,30,27.03,29.825,279572,0
PBLS.US,5,20260610,185500,29.825,30.055,28.68,29.475,238355,0
PBLS.US,5,20260610,190000,29.65,29.71,28.685,28.87,243603,0
PBLS.US,5,20260610,190500,29.03,29.03,28.2,28.94,82306,0
PBLS.US,5,20260610,191000,28.82,29.17,28.43,29.135,216256,0
PBLS.US,5,20260610,191500,29.14,29.69,29,29.51,97642,0
PBLS.US,5,20260610,192000,29.53,29.74,28.82,29.22,180182,0
PBLS.US,5,20260610,192500,29.31,29.65,28.42,29.65,134073,0
PBLS.US,5,20260610,193000,29.65,30.32,29.43,30.32,167677,0
PBLS.US,5,20260610,193500,30.3175,30.325,29.49,30,106522,0
PBLS.US,5,20260610,194000,29.71,30.2625,29.71,30.095,87656,0
PBLS.US,5,20260610,194500,30.095,30.2,29.5,29.715,55400,0
PBLS.US,5,20260610,195000,29.795,29.935,29.5701,29.835,37738,0
PBLS.US,5,20260610,195500,29.835,30.1,29.685,29.765,101089,0
PBLS.US,5,20260610,200000,29.79,30.07,29.72,30.04,41857,0
PBLS.US,5,20260610,200500,30.04,30.38,29.98,30.095,64517,0
PBLS.US,5,20260610,201000,30.095,30.25,30.05,30.1,37459,0
PBLS.US,5,20260610,201500,30.1,30.87,30.06,30.86,101486,0
PBLS.US,5,20260610,202000,30.86,31.99,30.5,30.945,76303,0
PBLS.US,5,20260610,202500,30.945,31.15,30.79,31.08,40994,0
PBLS.US,5,20260610,203000,31.08,31.4,30.88,31.2,59542,0
PBLS.US,5,20260610,203500,31.105,31.38,31.08,31.25,55630,0
PBLS.US,5,20260610,204000,31.23,31.875,31.21,31.775,131563,0
PBLS.US,5,20260610,204500,31.71,32.2,31.262,31.42,51135,0
PBLS.US,5,20260610,205000,31.46,33,31.385,32.86,83512,0
PBLS.US,5,20260610,205500,32.61,33.89,32.5,32.62,70754,0
PBLS.US,5,20260610,210000,32.825,33.35,32.67,32.815,54777,0
PBLS.US,5,20260610,210500,32.69,32.93,32.21,32.74,41659,0
PBLS.US,5,20260610,211000,32.77,32.8,32,32.05,60938,0
PBLS.US,5,20260610,211500,32.24,32.865,32.04,32.14,52686,0
PBLS.US,5,20260610,212000,32,32.78,31.53,32.41,56250,0
PBLS.US,5,20260610,212500,32.38,33.0469,31.5,32.215,39848,0
PBLS.US,5,20260610,213000,32.215,32.705,32.15,32.53,48975,0
PBLS.US,5,20260610,213500,32.47,33.715,32.47,33.715,82051,0
PBLS.US,5,20260610,214000,33.775,34.015,32.8,33.43,83913,0
PBLS.US,5,20260610,214500,33.41,33.635,32.02,32.4,51125,0
PBLS.US,5,20260610,215000,32.35,32.75,31.11,31.575,114893,0
PBLS.US,5,20260610,215500,31.575,32.35,30.53,32.245,214857,0
PBLS.US,5,20260611,153000,30,33.43,30,33.23,25542,0
PBLS.US,5,20260611,153500,33.5338,33.68,32.5,33.14,36479,0
PBLS.US,5,20260611,154000,33.16,33.165,32.5,32.65,35161,0
PBLS.US,5,20260611,154500,32.675,32.675,31.95,31.98,24464,0
PBLS.US,5,20260611,155000,31.79,34.0199,31.79,33.655,95942,0
PBLS.US,5,20260611,155500,33.655,33.655,31.96,31.96,31882,0
PBLS.US,5,20260611,160000,31.96,33,31.96,32.75,23727,0
PBLS.US,5,20260611,160500,32.6116,32.8,31.95,32.065,11440,0
PBLS.US,5,20260611,161000,32.065,32.18,31.24,31.86,14907,0
PBLS.US,5,20260611,161500,31.86,33.01,31.86,32.525,27517,0
PBLS.US,5,20260611,162000,32.525,32.575,32.23,32.575,7638,0
PBLS.US,5,20260611,162500,32.575,33.0941,32.575,32.995,6103,0
PBLS.US,5,20260611,163000,33.13,33.4499,33.13,33.16,3600,0
PBLS.US,5,20260611,163500,33.16,34.4706,33,34.01,32639,0
PBLS.US,5,20260611,164000,33.96,34.1199,33.8057,34,11047,0
PBLS.US,5,20260611,164500,34,34.19,33.65,34.15,81916,0
PBLS.US,5,20260611,165000,33.91,34.09,32.9,33.37,31529,0
PBLS.US,5,20260611,165500,33.7899,33.7899,32.285,32.96,31745,0
PBLS.US,5,20260611,170000,33.01,33.59,32.85,33.33,14621,0
PBLS.US,5,20260611,170500,33.435,34.005,33.4,34,20141,0
PBLS.US,5,20260611,171000,34,34,33.49,33.7,20955,0
PBLS.US,5,20260611,171500,33.84,33.84,33.6801,33.84,7100,0
PBLS.US,5,20260611,172000,33.69,33.84,33.69,33.78,3860,0
PBLS.US,5,20260611,172500,33.775,34,32.84,33.27,20701,0
PBLS.US,5,20260611,173000,33.435,34.06,33.28,33.965,22508,0
PBLS.US,5,20260611,173500,33.935,34.09,33.71,33.935,12267,0
PBLS.US,5,20260611,174000,33.85,33.875,33.57,33.585,5697,0
PBLS.US,5,20260611,174500,33.72,33.7481,33.585,33.61,6312,0
PBLS.US,5,20260611,175000,33.635,33.765,33.635,33.65,4172,0
PBLS.US,5,20260611,175500,33.74,33.88,33.55,33.78,10763,0
PBLS.US,5,20260611,180000,33.5833,33.71,33.5833,33.66,3204,0
PBLS.US,5,20260611,180500,33.755,33.8509,33.75,33.82,3150,0
PBLS.US,5,20260611,181000,33.82,33.93,33.735,33.93,6189,0
PBLS.US,5,20260611,181500,33.93,34.01,33.86,33.94,8205,0
PBLS.US,5,20260611,182000,33.94,34.0674,33.655,33.655,6565,0
PBLS.US,5,20260611,182500,33.655,33.85,33.5,33.5,7321,0
PBLS.US,5,20260611,183000,33.46,33.635,33.09,33.4,9483,0
PBLS.US,5,20260611,183500,33.39,33.4,32.67,33,6865,0
PBLS.US,5,20260611,184000,32.98,33.5,32.82,33.32,9864,0
PBLS.US,5,20260611,184500,33.5,33.53,33.28,33.53,10701,0
PBLS.US,5,20260611,185000,33.53,33.53,33.23,33.39,2499,0
PBLS.US,5,20260611,185500,33.39,33.53,33.305,33.53,3810,0
PBLS.US,5,20260611,190000,33.53,33.53,33.38,33.38,1200,0
PBLS.US,5,20260611,190500,33.405,33.5,33.13,33.13,7115,0
PBLS.US,5,20260611,191000,33.19,33.3,32.88,32.895,8173,0
PBLS.US,5,20260611,191500,32.895,33.08,32.895,33.08,1075,0
PBLS.US,5,20260611,192000,32.93,33.5,32.925,33.5,5182,0
PBLS.US,5,20260611,192500,33.35,33.35,33.045,33.16,5085,0
PBLS.US,5,20260611,193000,33.35,33.59,33.255,33.59,6513,0
PBLS.US,5,20260611,193500,33.59,33.59,33.44,33.59,2000,0
PBLS.US,5,20260611,194000,33.59,33.6,33.4,33.455,4719,0
PBLS.US,5,20260611,194500,33.465,33.465,33.34,33.4,3457,0
PBLS.US,5,20260611,195000,33.465,33.465,32.97,32.97,7478,0
PBLS.US,5,20260611,195500,33.02,33.215,32.92,33.2,6387,0
PBLS.US,5,20260611,200000,33.2,33.4499,33.11,33.2625,3900,0
