<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLBY.US,5,20260126,153000,1.8,1.81,1.77,1.78,27149,0
PLBY.US,5,20260126,153500,1.775,1.79,1.765,1.79,72601,0
PLBY.US,5,20260126,154000,1.785,1.79,1.7803,1.785,3000,0
PLBY.US,5,20260126,154500,1.785,1.79,1.7816,1.785,2308,0
PLBY.US,5,20260126,155000,1.785,1.785,1.7836,1.7836,2200,0
PLBY.US,5,20260126,155500,1.79,1.79,1.785,1.7883,798,0
PLBY.US,5,20260126,160000,1.785,1.785,1.775,1.775,11413,0
PLBY.US,5,20260126,160500,1.775,1.78,1.77,1.77,1187,0
PLBY.US,5,20260126,161000,1.76,1.765,1.76,1.765,385,0
PLBY.US,5,20260126,161500,1.765,1.7657,1.765,1.765,1184,0
PLBY.US,5,20260126,162000,1.765,1.765,1.76,1.765,1039,0
PLBY.US,5,20260126,162500,1.7605,1.7697,1.7605,1.765,3747,0
PLBY.US,5,20260126,163000,1.76,1.76,1.755,1.755,11915,0
PLBY.US,5,20260126,163500,1.76,1.76,1.755,1.7599,12673,0
PLBY.US,5,20260126,164000,1.755,1.76,1.755,1.76,1915,0
PLBY.US,5,20260126,164500,1.7518,1.76,1.7518,1.76,1400,0
PLBY.US,5,20260126,165000,1.75,1.76,1.75,1.76,3281,0
PLBY.US,5,20260126,165500,1.7542,1.76,1.75,1.755,5410,0
PLBY.US,5,20260126,170000,1.75,1.75,1.745,1.745,4142,0
PLBY.US,5,20260126,170500,1.745,1.745,1.745,1.745,5801,0
PLBY.US,5,20260126,171000,1.745,1.745,1.745,1.745,200,0
PLBY.US,5,20260126,171500,1.74,1.74,1.7347,1.735,7086,0
PLBY.US,5,20260126,172000,1.735,1.745,1.735,1.74,7995,0
PLBY.US,5,20260126,172500,1.745,1.745,1.735,1.7387,8391,0
PLBY.US,5,20260126,173000,1.735,1.74,1.73,1.74,1185,0
PLBY.US,5,20260126,173500,1.735,1.74,1.731,1.74,1719,0
PLBY.US,5,20260126,174000,1.74,1.74,1.74,1.74,100,0
PLBY.US,5,20260126,174500,1.7318,1.735,1.7318,1.735,500,0
