<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PNTG.US,5,20260126,153000,30.53,30.68,30.5,30.68,4291,0
PNTG.US,5,20260126,153500,30.54,30.58,30.46,30.495,1321,0
PNTG.US,5,20260126,154500,30.523493,30.523493,30.445,30.445,1392,0
PNTG.US,5,20260126,155000,30.44,30.44,30.3524,30.3524,327,0
PNTG.US,5,20260126,155500,30.5,30.7,30.5,30.66,652,0
PNTG.US,5,20260126,160000,30.655,30.655,30.5,30.5,1180,0
PNTG.US,5,20260126,160500,30.5,30.7799,30.49,30.635,2277,0
PNTG.US,5,20260126,161000,30.52,30.625,30.42,30.46,1883,0
PNTG.US,5,20260126,161500,30.51,30.51,30.51,30.51,100,0
PNTG.US,5,20260126,162000,30.632,30.632,30.51,30.51,250,0
PNTG.US,5,20260126,162500,30.62,30.62,30.5,30.505,1107,0
PNTG.US,5,20260126,163000,30.525,30.6,30.51,30.6,2030,0
PNTG.US,5,20260126,163500,30.585,30.585,30.585,30.585,100,0
PNTG.US,5,20260126,164000,30.54,30.59,30.46,30.47,2723,0
PNTG.US,5,20260126,164500,30.5305,30.58,30.47,30.47,887,0
PNTG.US,5,20260126,165000,30.46,30.46,30.4,30.455,600,0
PNTG.US,5,20260126,165500,30.51,30.51,30.4,30.475,3452,0
PNTG.US,5,20260126,170000,30.425,30.425,30.425,30.425,164,0
PNTG.US,5,20260126,170500,30.37,30.37,30.37,30.37,300,0
PNTG.US,5,20260126,171000,30.34,30.37,30.34,30.37,400,0
PNTG.US,5,20260126,171500,30.37,30.425,30.31,30.32,3257,0
PNTG.US,5,20260126,172000,30.34,30.35,30.325,30.35,1118,0
PNTG.US,5,20260126,172500,30.345,30.42,30.345,30.42,1562,0
PNTG.US,5,20260126,173000,30.38,30.38,30.38,30.38,100,0
PNTG.US,5,20260126,174000,30.38,30.38,30.37,30.375,923,0
PNTG.US,5,20260126,174500,30.37,30.47,30.37,30.47,2225,0
PNTG.US,5,20260126,175000,30.47,30.49,30.43,30.465,1518,0
PNTG.US,5,20260126,175500,30.46,30.47,30.46,30.47,265,0
PNTG.US,5,20260126,180000,30.5,30.5,30.41,30.47,1959,0
PNTG.US,5,20260126,180500,30.47,30.52,30.47,30.52,1837,0
PNTG.US,5,20260126,181000,30.51,30.51,30.41,30.455,1200,0
PNTG.US,5,20260126,181500,30.455,30.455,30.445,30.445,400,0
PNTG.US,5,20260126,182000,30.445,30.445,30.445,30.445,415,0
PNTG.US,5,20260126,182500,30.41,30.48,30.41,30.45,911,0
PNTG.US,5,20260126,183000,30.48,30.5,30.47,30.47,3106,0
PNTG.US,5,20260126,183500,30.47,30.49,30.47,30.49,865,0
PNTG.US,5,20260126,184000,30.49,30.5,30.48,30.49,2151,0
PNTG.US,5,20260126,184500,30.48,30.49,30.46,30.46,1300,0
PNTG.US,5,20260126,185000,30.437,30.45,30.437,30.45,300,0
PNTG.US,5,20260126,185500,30.47,30.47,30.38,30.405,1050,0
PNTG.US,5,20260126,190000,30.42,30.45,30.415,30.42,3753,0
PNTG.US,5,20260126,190500,30.42,30.42,30.37,30.37,500,0
PNTG.US,5,20260126,191000,30.3488,30.36,30.2475,30.32,2404,0
PNTG.US,5,20260126,191500,30.33,30.33,30.32,30.325,880,0
PNTG.US,5,20260126,192500,30.335,30.335,30.335,30.335,406,0
PNTG.US,5,20260126,193000,30.34,30.375,30.32,30.34,5502,0
PNTG.US,5,20260126,193500,30.335,30.335,30.32,30.32,300,0
PNTG.US,5,20260126,194000,30.32,30.34,30.23,30.23,2650,0
PNTG.US,5,20260126,194500,30.24,30.29,30.225,30.29,2928,0
PNTG.US,5,20260126,195000,30.29,30.34,30.29,30.32,4454,0
PNTG.US,5,20260126,195500,30.325,30.325,30.295,30.325,2554,0
PNTG.US,5,20260126,200000,30.325,30.34,30.29,30.29,1492,0
PNTG.US,5,20260126,200500,30.26,30.3,30.26,30.3,1840,0
PNTG.US,5,20260126,201000,30.3,30.32,30.3,30.32,1446,0
PNTG.US,5,20260126,201500,30.32,30.39,30.31,30.39,2006,0
PNTG.US,5,20260126,202000,30.4,30.41,30.4,30.41,200,0
PNTG.US,5,20260126,202500,30.48,30.495,30.41,30.425,2475,0
PNTG.US,5,20260126,203000,30.38,30.405,30.38,30.405,200,0
PNTG.US,5,20260126,203500,30.405,30.46,30.38,30.45,1706,0
PNTG.US,5,20260126,204000,30.47,30.48,30.46,30.48,1102,0
PNTG.US,5,20260126,204500,30.49,30.505,30.48,30.505,1100,0
PNTG.US,5,20260126,205000,30.48,30.485,30.475,30.485,507,0
PNTG.US,5,20260126,205500,30.485,30.485,30.475,30.475,308,0
