<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PONOR.US,5,20260505,162500,0.24,0.24,0.24,0.24,750000,0
PONOR.US,5,20260505,163000,0.24,0.24,0.24,0.24,20000,0
PONOR.US,5,20260505,163500,0.24,0.24,0.24,0.24,110000,0
PONOR.US,5,20260505,164500,0.24,0.24,0.24,0.24,70000,0
PONOR.US,5,20260505,165000,0.24,0.24,0.24,0.24,50000,0
PONOR.US,5,20260505,181500,0.24,0.24,0.24,0.24,200000,0
PONOR.US,5,20260505,184500,0.24,0.24,0.24,0.24,10000,0
PONOR.US,5,20260505,191000,0.24,0.24,0.24,0.24,4975,0
PONOR.US,5,20260505,193500,0.24,0.24,0.24,0.24,140000,0
PONOR.US,5,20260506,180000,0.24,0.24,0.24,0.24,10000,0
PONOR.US,5,20260506,194000,0.22,0.22,0.22,0.22,40000,0
PONOR.US,5,20260506,214000,0.23,0.23,0.23,0.23,250000,0
PONOR.US,5,20260507,161500,0.22,0.22,0.22,0.22,100,0
PONOR.US,5,20260507,162000,0.22,0.22,0.22,0.22,3000,0
PONOR.US,5,20260507,163000,0.22,0.22,0.22,0.22,220499,0
PONOR.US,5,20260507,163500,0.22,0.22,0.22,0.22,203000,0
PONOR.US,5,20260507,164500,0.22,0.22,0.22,0.22,3000,0
PONOR.US,5,20260507,165000,0.22,0.22,0.22,0.22,3000,0
PONOR.US,5,20260507,170000,0.22,0.22,0.22,0.22,3000,0
PONOR.US,5,20260507,170500,0.22,0.22,0.22,0.22,3000,0
PONOR.US,5,20260507,171500,0.22,0.22,0.22,0.22,3000,0
PONOR.US,5,20260507,172000,0.22,0.22,0.22,0.22,3000,0
PONOR.US,5,20260507,173000,0.22,0.22,0.22,0.22,3000,0
PONOR.US,5,20260507,173500,0.22,0.22,0.22,0.22,3000,0
PONOR.US,5,20260507,174000,0.22,0.22,0.22,0.22,3000,0
PONOR.US,5,20260507,175000,0.22,0.22,0.22,0.22,3000,0
PONOR.US,5,20260507,175500,0.22,0.22,0.22,0.22,3000,0
PONOR.US,5,20260507,180000,0.22,0.22,0.22,0.22,3100,0
PONOR.US,5,20260507,180500,0.22,0.22,0.22,0.22,3000,0
PONOR.US,5,20260507,181000,0.22,0.22,0.22,0.22,1800,0
PONOR.US,5,20260508,165000,0.24,0.24,0.2399,0.2399,800,0
PONOR.US,5,20260508,210000,0.2001,0.2001,0.2,0.2001,19348,0
PONOR.US,5,20260508,210500,0.2001,0.2001,0.2001,0.2001,2494,0
PONOR.US,5,20260508,211000,0.2001,0.2001,0.2001,0.2001,1250,0
PONOR.US,5,20260508,211500,0.2001,0.2001,0.2001,0.2001,2498,0
PONOR.US,5,20260508,212000,0.2001,0.2001,0.2001,0.2001,2504,0
PONOR.US,5,20260508,212500,0.2001,0.2001,0.2001,0.2001,1250,0
PONOR.US,5,20260508,213000,0.2001,0.2001,0.2001,0.2001,2506,0
PONOR.US,5,20260508,213500,0.2001,0.2001,0.2001,0.2001,2507,0
PONOR.US,5,20260508,214000,0.2001,0.2001,0.2001,0.2001,1254,0
PONOR.US,5,20260508,214500,0.2001,0.2001,0.2001,0.2001,2502,0
PONOR.US,5,20260508,215000,0.2001,0.2001,0.2001,0.2001,2494,0
PONOR.US,5,20260508,215500,0.2001,0.2001,0.2001,0.2001,2268,0
PONOR.US,5,20260511,165000,0.2,0.2001,0.2,0.2,2000,0
PONOR.US,5,20260511,172000,0.2001,0.2001,0.2001,0.2001,5000,0
PONOR.US,5,20260511,192000,0.2001,0.2001,0.2001,0.2001,5000,0
PONOR.US,5,20260511,194000,0.2001,0.2001,0.2001,0.2001,5000,0
PONOR.US,5,20260511,195000,0.2,0.2001,0.2,0.2001,4000,0
PONOR.US,5,20260512,164000,0.21,0.21,0.21,0.21,100,0
PONOR.US,5,20260512,215500,0.2001,0.2001,0.2001,0.2001,25000,0
PONOR.US,5,20260514,155000,0.22,0.22,0.22,0.22,100,0
PONOR.US,5,20260514,161500,0.2,0.2,0.2,0.2,25000,0
PONOR.US,5,20260518,183000,0.21,0.21,0.21,0.21,100,0
PONOR.US,5,20260518,215500,0.2001,0.2001,0.2001,0.2001,500,0
PONOR.US,5,20260522,193500,0.22,0.22,0.22,0.22,500,0
PONOR.US,5,20260522,195000,0.22,0.2201,0.22,0.22,57499,0
PONOR.US,5,20260526,174500,0.24,0.24,0.24,0.24,5200,0
