<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRCT.US,5,20260126,153000,29.04,29.11,28.76,29.08,16686,0
PRCT.US,5,20260126,153500,29.05,29.45,29.05,29.445,97612,0
PRCT.US,5,20260126,154000,29.44,29.54,29.3001,29.42,4856,0
PRCT.US,5,20260126,154500,29.39,29.6,29.31,29.31,4850,0
PRCT.US,5,20260126,155000,29.49,29.49,29.29,29.31,15999,0
PRCT.US,5,20260126,155500,29.3,29.39,29.165,29.355,8437,0
PRCT.US,5,20260126,160000,29.355,29.355,29.27,29.3,3779,0
PRCT.US,5,20260126,160500,29.43,29.74,29.37,29.5401,9222,0
PRCT.US,5,20260126,161000,29.74,29.74,29.625,29.625,7801,0
PRCT.US,5,20260126,161500,29.64,29.92,29.62,29.78,13012,0
PRCT.US,5,20260126,162000,29.74,29.7825,29.68,29.77,6703,0
PRCT.US,5,20260126,162500,29.77,29.775,29.74,29.75,4351,0
PRCT.US,5,20260126,163000,29.74,29.85,29.68,29.85,6588,0
PRCT.US,5,20260126,163500,29.89,29.89,29.795,29.8073,3093,0
PRCT.US,5,20260126,164000,29.84,29.84,29.665,29.715,4045,0
PRCT.US,5,20260126,164500,29.7,29.795,29.52,29.52,6539,0
PRCT.US,5,20260126,165000,29.525,29.585,29.5,29.5,2595,0
PRCT.US,5,20260126,165500,29.495,29.52,29.48,29.505,2354,0
PRCT.US,5,20260126,170000,29.51,29.51,29.47,29.485,3500,0
PRCT.US,5,20260126,170500,29.46,29.47,29.4425,29.465,2400,0
PRCT.US,5,20260126,171000,29.45,29.45,29.29,29.29,10235,0
PRCT.US,5,20260126,171500,29.29,29.36,29.27,29.36,4346,0
PRCT.US,5,20260126,172000,29.35,29.46,29.35,29.43,4408,0
PRCT.US,5,20260126,172500,29.45,29.5,29.42,29.42,4894,0
PRCT.US,5,20260126,173000,29.4,29.56,29.37,29.56,2742,0
PRCT.US,5,20260126,173500,29.53,29.6,29.51,29.575,6038,0
PRCT.US,5,20260126,174000,29.57,29.57,29.53,29.53,2212,0
PRCT.US,5,20260126,174500,29.55,29.63,29.55,29.59,4019,0
PRCT.US,5,20260126,175000,29.58,29.6,29.56,29.58,1952,0
PRCT.US,5,20260126,175500,29.57,29.58,29.48,29.51,5252,0
PRCT.US,5,20260126,180000,29.54,29.54,29.485,29.52,2900,0
PRCT.US,5,20260126,180500,29.53,29.57,29.53,29.55,2430,0
PRCT.US,5,20260126,181000,29.54,29.54,29.5,29.53,3460,0
PRCT.US,5,20260126,181500,29.52,29.52,29.51,29.51,400,0
PRCT.US,5,20260126,182000,29.51,29.55,29.5,29.54,4454,0
PRCT.US,5,20260126,182500,29.53,29.59,29.53,29.59,4863,0
PRCT.US,5,20260126,183000,29.585,29.585,29.57,29.57,2759,0
PRCT.US,5,20260126,183500,29.56,29.585,29.55,29.55,2468,0
PRCT.US,5,20260126,184000,29.53,29.56,29.5199,29.56,4205,0
PRCT.US,5,20260126,184500,29.575,29.5895,29.52,29.52,1675,0
PRCT.US,5,20260126,185000,29.53,29.59,29.53,29.585,4140,0
PRCT.US,5,20260126,185500,29.575,29.6,29.57,29.57,1800,0
PRCT.US,5,20260126,190000,29.57,29.57,29.5,29.5,3218,0
PRCT.US,5,20260126,190500,29.5,29.5,29.44,29.45,2600,0
PRCT.US,5,20260126,191000,29.45,29.47,29.41,29.41,1847,0
PRCT.US,5,20260126,191500,29.41,29.45,29.41,29.44,6787,0
PRCT.US,5,20260126,192000,29.45,29.47,29.45,29.47,1450,0
PRCT.US,5,20260126,192500,29.5,29.5,29.46,29.46,2398,0
PRCT.US,5,20260126,193000,29.48,29.5,29.4715,29.5,3114,0
PRCT.US,5,20260126,193500,29.49,29.49,29.45,29.45,3371,0
PRCT.US,5,20260126,194000,29.44,29.46,29.44,29.44,3104,0
PRCT.US,5,20260126,194500,29.44,29.455,29.425,29.44,6157,0
