<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RACC.US,5,20260520,174000,10.21,10.27,10.21,10.27,344175,0
RACC.US,5,20260520,174500,10.3,10.36,10.3,10.33,17347,0
RACC.US,5,20260520,175000,10.33,10.37,10.3,10.3,24185,0
RACC.US,5,20260520,175500,10.33,10.33,10.295,10.3,40132,0
RACC.US,5,20260520,180000,10.3,10.33,10.3,10.32,11500,0
RACC.US,5,20260520,180500,10.3,10.33,10.3,10.33,3700,0
RACC.US,5,20260520,181500,10.31,10.32,10.3,10.32,8900,0
RACC.US,5,20260520,182000,10.31,10.32,10.31,10.32,1107,0
RACC.US,5,20260520,182500,10.32,10.33,10.32,10.32,300,0
RACC.US,5,20260520,183000,10.31,10.31,10.31,10.31,100,0
RACC.US,5,20260520,183500,10.32,10.32,10.32,10.32,400,0
RACC.US,5,20260520,184000,10.31,10.32,10.31,10.31,3861,0
RACC.US,5,20260520,184500,10.31,10.33,10.31,10.33,7850,0
RACC.US,5,20260520,185000,10.31,10.32,10.31,10.31,23315,0
RACC.US,5,20260520,185500,10.31,10.31,10.31,10.31,1200,0
RACC.US,5,20260520,190000,10.31,10.31,10.31,10.31,200,0
RACC.US,5,20260520,190500,10.31,10.31,10.31,10.31,2405,0
RACC.US,5,20260520,191000,10.315,10.32,10.31,10.32,5343,0
RACC.US,5,20260520,191500,10.32,10.32,10.32,10.32,449,0
RACC.US,5,20260520,192000,10.32,10.33,10.32,10.33,1772,0
RACC.US,5,20260520,192500,10.33,10.33,10.33,10.33,700,0
RACC.US,5,20260520,193500,10.31,10.33,10.31,10.33,1100,0
RACC.US,5,20260520,194000,10.33,10.33,10.31,10.32,1900,0
RACC.US,5,20260520,195000,10.31,10.33,10.31,10.33,1746,0
RACC.US,5,20260520,195500,10.31,10.31,10.3,10.31,12529,0
RACC.US,5,20260520,200000,10.3,10.31,10.3,10.31,9060,0
RACC.US,5,20260520,200500,10.31,10.33,10.31,10.33,6738,0
RACC.US,5,20260520,201000,10.33,10.33,10.33,10.33,309,0
