<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDNW.US,5,20260126,153000,5.37,5.37,5.37,5.37,559,0
RDNW.US,5,20260126,155000,5.42,5.42,5.42,5.42,184,0
RDNW.US,5,20260126,160000,5.39,5.4206,5.37,5.37,2582,0
RDNW.US,5,20260126,161500,5.399,5.399,5.399,5.399,200,0
RDNW.US,5,20260126,162000,5.38,5.38,5.38,5.38,425,0
RDNW.US,5,20260126,165500,5.4,5.4,5.4,5.4,100,0
RDNW.US,5,20260126,173000,5.39,5.39,5.39,5.39,100,0
RDNW.US,5,20260126,173500,5.4,5.47,5.4,5.47,563,0
RDNW.US,5,20260126,180500,5.3918,5.47,5.3918,5.47,1121,0
RDNW.US,5,20260126,181500,5.47,5.47,5.4,5.4,300,0
RDNW.US,5,20260126,183000,5.47,5.47,5.47,5.47,100,0
RDNW.US,5,20260126,190000,5.4535,5.4535,5.4535,5.4535,100,0
RDNW.US,5,20260126,190500,5.4,5.4,5.4,5.4,100,0
RDNW.US,5,20260126,192500,5.45,5.5,5.45,5.5,1900,0
RDNW.US,5,20260126,193000,5.5,5.5,5.46,5.47,1280,0
RDNW.US,5,20260126,194500,5.48,5.48,5.46,5.46,768,0
RDNW.US,5,20260126,195000,5.43,5.43,5.43,5.43,100,0
RDNW.US,5,20260126,203000,5.46,5.46,5.3801,5.3801,1709,0
RDNW.US,5,20260126,204000,5.38,5.38,5.38,5.38,100,0
RDNW.US,5,20260126,211500,5.4,5.45,5.4,5.45,488,0
RDNW.US,5,20260126,213000,5.48,5.48,5.46,5.475,711,0
RDNW.US,5,20260126,213500,5.5,5.5,5.5,5.5,400,0
RDNW.US,5,20260126,214500,5.56,5.56,5.56,5.56,100,0
RDNW.US,5,20260126,215000,5.482,5.482,5.482,5.482,543,0
RDNW.US,5,20260126,215500,5.47,5.52,5.47,5.52,2207,0
RDNW.US,5,20260127,153000,5.47,5.47,5.47,5.47,1063,0
RDNW.US,5,20260127,160000,5.375,5.54,5.375,5.54,371,0
RDNW.US,5,20260127,160500,5.53,5.53,5.53,5.53,179,0
RDNW.US,5,20260127,170000,5.53,5.53,5.53,5.53,100,0
RDNW.US,5,20260127,171000,5.49,5.49,5.46,5.46,800,0
RDNW.US,5,20260127,172500,5.53,5.53,5.53,5.53,100,0
RDNW.US,5,20260127,180000,5.53,5.53,5.515,5.53,2688,0
RDNW.US,5,20260127,180500,5.5195,5.53,5.5195,5.53,252,0
RDNW.US,5,20260127,181000,5.52,5.52,5.51,5.515,420,0
RDNW.US,5,20260127,183500,5.51,5.52,5.51,5.52,200,0
RDNW.US,5,20260127,190500,5.53,5.53,5.53,5.53,100,0
RDNW.US,5,20260127,192500,5.53,5.53,5.53,5.53,100,0
RDNW.US,5,20260127,195000,5.5165,5.5165,5.5165,5.5165,100,0
RDNW.US,5,20260127,200000,5.51,5.51,5.51,5.51,392,0
RDNW.US,5,20260127,201000,5.51,5.51,5.51,5.51,100,0
RDNW.US,5,20260127,201500,5.53,5.53,5.53,5.53,677,0
RDNW.US,5,20260127,203500,5.53,5.53,5.51,5.51,338,0
RDNW.US,5,20260127,204500,5.53,5.53,5.53,5.53,100,0
RDNW.US,5,20260127,205000,5.5299,5.5299,5.5299,5.5299,150,0
RDNW.US,5,20260127,211500,5.48,5.48,5.48,5.48,100,0
RDNW.US,5,20260127,212500,5.48,5.48,5.48,5.48,100,0
RDNW.US,5,20260127,213000,5.48,5.48,5.48,5.48,100,0
RDNW.US,5,20260127,214000,5.48,5.49,5.48,5.49,244,0
RDNW.US,5,20260127,215500,5.49,5.52,5.48,5.52,3399,0
RDNW.US,5,20260128,155000,5.2201,5.2201,5.2201,5.2201,792,0
RDNW.US,5,20260128,160500,5.53,5.53,5.53,5.53,179,0
RDNW.US,5,20260128,170000,5.56,5.56,5.56,5.56,100,0
RDNW.US,5,20260128,181500,5.57,5.57,5.57,5.57,100,0
