<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RILYN.US,5,20260126,153000,23.63,23.6538,23.63,23.6538,1420,0
RILYN.US,5,20260126,154000,23.65,23.65,23.65,23.65,200,0
RILYN.US,5,20260126,154500,23.6,23.6,23.55,23.55,900,0
RILYN.US,5,20260126,155000,23.5736,23.5736,23.5736,23.5736,100,0
RILYN.US,5,20260126,163000,23.55,23.55,23.47,23.47,1800,0
RILYN.US,5,20260126,174000,23.5571,23.5571,23.49,23.49,600,0
RILYN.US,5,20260126,181500,23.4801,23.615,23.4801,23.49,2100,0
RILYN.US,5,20260126,191000,23.7,23.7,23.51,23.51,2653,0
RILYN.US,5,20260126,192000,23.6492,23.6492,23.6492,23.6492,509,0
RILYN.US,5,20260126,193500,23.55,23.55,23.55,23.55,100,0
RILYN.US,5,20260126,194000,23.51,23.51,23.51,23.51,100,0
RILYN.US,5,20260126,195000,23.55,23.55,23.55,23.55,100,0
RILYN.US,5,20260126,195500,23.6999,23.6999,23.55,23.55,986,0
RILYN.US,5,20260126,201000,23.51,23.51,23.51,23.51,410,0
RILYN.US,5,20260126,201500,23.51,23.51,23.51,23.51,1423,0
RILYN.US,5,20260126,202500,23.45,23.45,23.45,23.45,1998,0
RILYN.US,5,20260126,204500,23.3875,23.3875,23.2335,23.2335,520,0
RILYN.US,5,20260126,210500,23.5547,23.5547,23.5547,23.5547,300,0
RILYN.US,5,20260126,211500,23.4372,23.4372,23.4372,23.4372,300,0
RILYN.US,5,20260126,212000,23.4852,23.53,23.4852,23.53,600,0
RILYN.US,5,20260126,212500,23.41,23.5378,23.41,23.5378,700,0
RILYN.US,5,20260126,213000,23.39,23.45,23.3756,23.45,1433,0
RILYN.US,5,20260126,214000,23.28,23.28,23.28,23.28,300,0
RILYN.US,5,20260126,214500,23.28,23.28,23.28,23.28,100,0
RILYN.US,5,20260126,215000,23.3,23.3,23.28,23.28,200,0
RILYN.US,5,20260126,215500,23.4499,23.4499,23.28,23.44,980,0
RILYN.US,5,20260127,153000,23.34,23.34,23.34,23.34,212,0
RILYN.US,5,20260127,160000,23.57,23.68,23.45,23.45,4194,0
RILYN.US,5,20260127,161000,23.45,23.5,23.45,23.45,1035,0
RILYN.US,5,20260127,161500,23.4,23.41,23.4,23.41,200,0
RILYN.US,5,20260127,164000,23.375,23.375,23.375,23.375,150,0
RILYN.US,5,20260127,164500,23.4499,23.4499,23.4499,23.4499,100,0
RILYN.US,5,20260127,165500,23.4,23.4,23.31,23.36,300,0
RILYN.US,5,20260127,171500,23.362,23.3726,23.36,23.37,1200,0
RILYN.US,5,20260127,172500,23.37,23.4,23.37,23.4,1200,0
RILYN.US,5,20260127,174000,23.4032,23.4032,23.4032,23.4032,100,0
