<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RILYZ.US,5,20260126,153000,16.3,16.3,15.5001,15.5001,1060,0
RILYZ.US,5,20260126,153500,16,16,16,16,5000,0
RILYZ.US,5,20260126,154000,15.95,15.95,15.94,15.95,5050,0
RILYZ.US,5,20260126,154500,15.95,15.9636,15.95,15.9636,1518,0
RILYZ.US,5,20260126,160500,15.92,15.92,15.92,15.92,100,0
RILYZ.US,5,20260126,161000,15.95,15.95,15.9455,15.95,1549,0
RILYZ.US,5,20260126,161500,15.9999,15.9999,15.95,15.95,1050,0
RILYZ.US,5,20260126,162000,15.95,16,15.95,16,3323,0
RILYZ.US,5,20260126,162500,16,16.025,15.95,16.025,2859,0
RILYZ.US,5,20260126,163000,15.99,16.0174,15.99,16,1396,0
RILYZ.US,5,20260126,163500,16,16.03,16,16.03,300,0
RILYZ.US,5,20260126,164000,16.03,16.03,16.015,16.015,300,0
RILYZ.US,5,20260126,164500,16.0001,16.045,16.0001,16.045,492,0
RILYZ.US,5,20260126,165000,16.03,16.03,16.03,16.03,227,0
RILYZ.US,5,20260126,165500,16,16,16,16,225,0
RILYZ.US,5,20260126,172500,16,16.038,16,16.038,400,0
RILYZ.US,5,20260126,174500,16.0695,16.0695,16,16,200,0
RILYZ.US,5,20260126,175500,16,16,16,16,100,0
RILYZ.US,5,20260126,180000,16,16,15.98,15.98,623,0
RILYZ.US,5,20260126,181000,15.99,15.99,15.91,15.91,2287,0
RILYZ.US,5,20260126,181500,15.91,15.9899,15.83,15.97,2300,0
RILYZ.US,5,20260126,183500,15.9,15.9,15.9,15.9,100,0
RILYZ.US,5,20260126,190500,15.91,15.91,15.91,15.91,100,0
RILYZ.US,5,20260126,195000,15.85,15.85,15.8,15.8,1485,0
RILYZ.US,5,20260126,195500,15.8,15.8,15.79,15.8,638,0
RILYZ.US,5,20260126,200000,15.8,15.8,15.77,15.77,1052,0
RILYZ.US,5,20260126,200500,15.75,15.75,15.75,15.75,555,0
RILYZ.US,5,20260126,201000,15.8,15.8,15.78,15.78,1130,0
RILYZ.US,5,20260126,202000,15.771729,15.78,15.771729,15.78,900,0
RILYZ.US,5,20260126,202500,15.75,15.75,15.75,15.75,168,0
RILYZ.US,5,20260126,203000,15.79,15.8,15.75,15.75,2100,0
RILYZ.US,5,20260126,203500,15.71,15.71,15.71,15.71,100,0
RILYZ.US,5,20260126,204000,15.71,15.745,15.7,15.7,1441,0
RILYZ.US,5,20260126,210500,15.665,15.7499,15.665,15.7499,200,0
RILYZ.US,5,20260126,215000,15.601,15.7,15.6,15.7,863,0
RILYZ.US,5,20260126,215500,15.7,15.7,15.69,15.7,414,0
RILYZ.US,5,20260127,153500,15.75,15.75,15.75,15.75,111,0
RILYZ.US,5,20260127,154500,15.75,15.75,15.75,15.75,712,0
RILYZ.US,5,20260127,160000,15.75,15.9999,15.75,15.9999,957,0
RILYZ.US,5,20260127,163000,15.58,15.7,15.52,15.52,3000,0
RILYZ.US,5,20260127,165000,15.85,15.85,15.85,15.85,1095,0
RILYZ.US,5,20260127,170000,15.75,15.75,15.75,15.75,2880,0
RILYZ.US,5,20260127,171000,15.75,15.75,15.7,15.7,1817,0
RILYZ.US,5,20260127,172000,15.74,15.74,15.74,15.74,100,0
RILYZ.US,5,20260127,173000,15.74,15.75,15.73,15.75,1851,0
RILYZ.US,5,20260127,173500,15.7499,15.77,15.74,15.76,8397,0
RILYZ.US,5,20260127,180500,15.95,15.95,15.76,15.76,300,0
RILYZ.US,5,20260127,181500,15.87,15.87,15.87,15.87,165,0
RILYZ.US,5,20260127,183500,15.87,15.87,15.87,15.87,100,0
RILYZ.US,5,20260127,190000,15.86,15.92,15.86,15.877,4022,0
RILYZ.US,5,20260127,192000,15.7301,15.82,15.7301,15.82,880,0
RILYZ.US,5,20260127,194000,15.865,15.96,15.865,15.96,550,0
RILYZ.US,5,20260127,195000,15.96,15.96,15.96,15.96,100,0
RILYZ.US,5,20260127,195500,15.9,15.96,15.9,15.9,1300,0
RILYZ.US,5,20260127,200000,15.94,15.94,15.85,15.86,422,0
RILYZ.US,5,20260127,200500,15.9077,15.9077,15.9077,15.9077,300,0
RILYZ.US,5,20260127,201000,15.85,15.89,15.75,15.89,1668,0
RILYZ.US,5,20260127,201500,15.8,15.8,15.775,15.8,3104,0
RILYZ.US,5,20260127,202000,15.8,15.85,15.8,15.85,770,0
RILYZ.US,5,20260127,202500,15.85,15.85,15.85,15.85,100,0
RILYZ.US,5,20260127,203000,15.75,15.85,15.75,15.85,300,0
RILYZ.US,5,20260127,203500,15.8051,15.8051,15.75,15.785,2511,0
RILYZ.US,5,20260127,204000,15.76,15.76,15.75,15.75,430,0
RILYZ.US,5,20260127,204500,15.84,15.84,15.84,15.84,100,0
RILYZ.US,5,20260127,205000,15.84,15.84,15.805,15.805,200,0
RILYZ.US,5,20260127,210500,15.85,15.89,15.85,15.89,400,0
RILYZ.US,5,20260127,211000,15.89,15.89,15.89,15.89,200,0
