<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RKLZ.US,5,20260126,153000,23.56,24.52,23.36,23.68,109805.75,0
RKLZ.US,5,20260126,153500,23.68,24.56,23.36,24.4,90639.375,0
RKLZ.US,5,20260126,154000,24.384,24.72,24,24.16,40208.375,0
RKLZ.US,5,20260126,154500,24.12,24.16,23.6,23.92,34859.875,0
RKLZ.US,5,20260126,155000,23.96,24.16,23.9192,24.08,9283.25,0
RKLZ.US,5,20260126,155500,24.16,24.16,23.7656,24,17797.875,0
RKLZ.US,5,20260126,160000,24,24.16,23.92,24.16,10812.625,0
RKLZ.US,5,20260126,160500,24.1544,24.32,24.0008,24.28,42155.25,0
RKLZ.US,5,20260126,161000,24.24,24.312,24.08,24.24,7712.125,0
RKLZ.US,5,20260126,161500,24.32,24.48,24.1608,24.4,21570.875,0
RKLZ.US,5,20260126,162000,24.32,24.48,24.32,24.3984,12572.25,0
RKLZ.US,5,20260126,162500,24.36,24.56,24.32,24.408,25721.75,0
RKLZ.US,5,20260126,163000,24.4,24.88,24.4,24.64,25135.25,0
RKLZ.US,5,20260126,163500,24.64,25.12,24.64,25.1056,39245.625,0
RKLZ.US,5,20260126,164000,25.08,25.16,25.04,25.04,17735.5,0
RKLZ.US,5,20260126,164500,25.04,25.04,24.4008,24.48,49657.75,0
RKLZ.US,5,20260126,165000,24.48,24.5592,24.24,24.32,38976.25,0
RKLZ.US,5,20260126,165500,24.32,24.64,24.28,24.6328,18517.625,0
RKLZ.US,5,20260126,170000,24.64,24.8792,24.64,24.84,13418.75,0
RKLZ.US,5,20260126,170500,24.8744,25.16,24.8,24.96,18352.75,0
RKLZ.US,5,20260126,171000,24.96,25.04,24.88,25.04,35916.25,0
RKLZ.US,5,20260126,171500,25.04,25.52,25.04,25.44,52865.875,0
RKLZ.US,5,20260126,172000,25.44,25.6,25.36,25.56,24839.75,0
RKLZ.US,5,20260126,172500,25.6,25.68,25.32,25.32,30176.75,0
RKLZ.US,5,20260126,173000,25.28,25.5144,25.16,25.28,17900,0
RKLZ.US,5,20260126,173500,25.3624,25.4,25.12,25.24,14139.875,0
RKLZ.US,5,20260126,174000,25.2,25.28,25.04,25.16,22106.5,0
RKLZ.US,5,20260126,174500,25.16,25.16,24.72,24.8,21748.625,0
RKLZ.US,5,20260126,175000,24.84,25.0392,24.64,25.0392,19235.75,0
RKLZ.US,5,20260126,175500,25,25.28,25,25.24,25148.25,0
RKLZ.US,5,20260126,180000,25.24,25.3532,25.2,25.24,10169.25,0
RKLZ.US,5,20260126,180500,25.24,25.52,25.2,25.44,30244.375,0
RKLZ.US,5,20260126,181000,25.44,25.52,25.36,25.36,6624.5,0
RKLZ.US,5,20260126,181500,25.2128,25.32,25.2,25.28,3638.125,0
RKLZ.US,5,20260126,182000,25.28,25.2808,25.12,25.12,8336.25,0
RKLZ.US,5,20260126,182500,25.2,25.2,25,25.16,26562.375,0
