<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMCF.US,5,20260126,153000,2.25,2.3,2.25,2.26,9257,0
RMCF.US,5,20260126,153500,2.325,2.3361,2.31,2.3361,2393,0
RMCF.US,5,20260126,154000,2.325,2.325,2.325,2.325,435,0
RMCF.US,5,20260126,154500,2.3101,2.35,2.31,2.31,4529,0
RMCF.US,5,20260126,155000,2.27,2.27,2.27,2.27,100,0
RMCF.US,5,20260126,155500,2.277,2.277,2.2732,2.2732,400,0
RMCF.US,5,20260126,160000,2.29,2.3101,2.29,2.3101,3600,0
RMCF.US,5,20260126,160500,2.28,2.3097,2.28,2.3097,450,0
RMCF.US,5,20260126,161000,2.3,2.3,2.2612,2.2921,3950,0
RMCF.US,5,20260126,162000,2.2706,2.2706,2.2706,2.2706,500,0
RMCF.US,5,20260126,162500,2.26,2.27,2.26,2.26,8258,0
RMCF.US,5,20260126,163500,2.295,2.295,2.295,2.295,1500,0
RMCF.US,5,20260126,164000,2.28,2.28,2.28,2.28,100,0
RMCF.US,5,20260126,164500,2.3,2.3,2.2905,2.2905,2044,0
RMCF.US,5,20260126,165000,2.28,2.29,2.26,2.26,6404,0
RMCF.US,5,20260126,165500,2.26,2.27,2.26,2.27,233,0
RMCF.US,5,20260126,170000,2.27,2.28,2.27,2.28,319,0
RMCF.US,5,20260126,171000,2.29,2.29,2.29,2.29,220,0
RMCF.US,5,20260126,172000,2.28,2.2801,2.28,2.2801,2000,0
RMCF.US,5,20260126,173000,2.29,2.32,2.26,2.32,10626,0
RMCF.US,5,20260126,174000,2.28,2.28,2.28,2.28,100,0
RMCF.US,5,20260126,174500,2.2845,2.2845,2.2845,2.2845,2000,0
RMCF.US,5,20260126,180000,2.28,2.295,2.28,2.295,3200,0
RMCF.US,5,20260126,180500,2.305,2.305,2.305,2.305,100,0
RMCF.US,5,20260126,181000,2.33,2.34,2.33,2.34,292,0
RMCF.US,5,20260126,181500,2.3001,2.3001,2.3001,2.3001,2000,0
RMCF.US,5,20260126,182000,2.3,2.3,2.3,2.3,100,0
RMCF.US,5,20260126,183500,2.324953,2.35,2.32,2.34,4334,0
RMCF.US,5,20260126,184000,2.35,2.35,2.35,2.35,4690,0
RMCF.US,5,20260126,184500,2.35,2.35,2.31,2.31,672,0
RMCF.US,5,20260126,185000,2.355,2.36,2.31,2.36,3500,0
RMCF.US,5,20260126,190000,2.35,2.3601,2.3448,2.3448,1399,0
RMCF.US,5,20260126,192500,2.33,2.35,2.33,2.35,2100,0
RMCF.US,5,20260126,193500,2.34,2.34,2.34,2.34,100,0
RMCF.US,5,20260126,194500,2.35,2.35,2.35,2.35,100,0
RMCF.US,5,20260126,195500,2.34,2.34,2.34,2.34,222,0
RMCF.US,5,20260126,200000,2.34,2.34,2.34,2.34,1632,0
RMCF.US,5,20260126,200500,2.3425,2.3425,2.3425,2.3425,200,0
RMCF.US,5,20260126,201500,2.3,2.3,2.3,2.3,100,0
RMCF.US,5,20260126,204000,2.32,2.32,2.32,2.32,100,0
RMCF.US,5,20260126,204500,2.34,2.34,2.34,2.34,100,0
RMCF.US,5,20260126,211000,2.34,2.3401,2.335,2.34,4864,0
RMCF.US,5,20260126,211500,2.34,2.34,2.34,2.34,400,0
RMCF.US,5,20260126,212000,2.32,2.325,2.32,2.325,1700,0
RMCF.US,5,20260126,214000,2.33,2.33,2.32,2.32,200,0
RMCF.US,5,20260126,215000,2.33,2.33,2.325,2.33,1334,0
RMCF.US,5,20260126,215500,2.33,2.355,2.32,2.32,6384,0
RMCF.US,5,20260127,153000,2.348,2.348,2.348,2.348,200,0
RMCF.US,5,20260127,153500,2.32,2.32,2.32,2.32,400,0
RMCF.US,5,20260127,154500,2.31,2.3151,2.3,2.3104,17274,0
RMCF.US,5,20260127,155500,2.31,2.33,2.31,2.33,399,0
RMCF.US,5,20260127,160000,2.33,2.33,2.33,2.33,209,0
RMCF.US,5,20260127,161000,2.3348,2.35,2.3348,2.35,598,0
RMCF.US,5,20260127,162000,2.3514,2.3899,2.3514,2.3899,1125,0
RMCF.US,5,20260127,163000,2.39,2.42,2.39,2.42,1584,0
RMCF.US,5,20260127,163500,2.4,2.4116,2.3803,2.4116,597,0
RMCF.US,5,20260127,164000,2.43,2.43,2.3878,2.3878,589,0
RMCF.US,5,20260127,164500,2.3655,2.4056,2.3655,2.4056,252,0
RMCF.US,5,20260127,170500,2.4099,2.41,2.402,2.41,698,0
RMCF.US,5,20260127,171000,2.37,2.4031,2.37,2.4031,500,0
RMCF.US,5,20260127,171500,2.36,2.36,2.36,2.36,558,0
RMCF.US,5,20260127,172500,2.3614,2.38,2.3614,2.38,200,0
RMCF.US,5,20260127,173000,2.37,2.37,2.37,2.37,264,0
RMCF.US,5,20260127,174000,2.37,2.37,2.37,2.37,100,0
RMCF.US,5,20260127,174500,2.39,2.4174,2.37,2.374,1600,0
RMCF.US,5,20260127,175500,2.37,2.3706,2.37,2.3706,300,0
RMCF.US,5,20260127,180500,2.4127,2.4127,2.4127,2.4127,500,0
RMCF.US,5,20260127,182500,2.3853,2.45,2.3853,2.45,10650,0
RMCF.US,5,20260127,183000,2.4315,2.4315,2.4045,2.4045,284,0
RMCF.US,5,20260127,184000,2.4382,2.4382,2.43,2.43,5090,0
RMCF.US,5,20260127,184500,2.44,2.45,2.44,2.4499,3229,0
RMCF.US,5,20260127,185000,2.4352,2.45,2.4352,2.45,1230,0
RMCF.US,5,20260127,185500,2.47,2.47,2.46,2.46,1094,0
RMCF.US,5,20260127,190000,2.43,2.46,2.43,2.4544,3611,0
RMCF.US,5,20260127,190500,2.46,2.46,2.46,2.46,100,0
RMCF.US,5,20260127,191000,2.4599,2.5,2.4599,2.49,12743,0
RMCF.US,5,20260127,191500,2.5,2.5,2.48,2.49,7407,0
RMCF.US,5,20260127,192000,2.5,2.5,2.48,2.48,6374,0
RMCF.US,5,20260127,192500,2.5,2.52,2.48,2.52,23064,0
RMCF.US,5,20260127,193000,2.5002,2.503,2.5,2.5,9838,0
RMCF.US,5,20260127,193500,2.485,2.485,2.485,2.485,100,0
RMCF.US,5,20260127,194500,2.46,2.49,2.46,2.48,1022,0
RMCF.US,5,20260127,195500,2.48,2.48,2.48,2.48,100,0
RMCF.US,5,20260127,200000,2.5,2.5,2.5,2.5,502,0
RMCF.US,5,20260127,200500,2.52,2.52,2.5,2.5,200,0
RMCF.US,5,20260127,201000,2.52,2.52,2.515,2.515,1580,0
RMCF.US,5,20260127,201500,2.51,2.51,2.51,2.51,121,0
RMCF.US,5,20260127,202000,2.54,2.55,2.51,2.55,580,0
RMCF.US,5,20260127,202500,2.53,2.585,2.5248,2.575,13190,0
RMCF.US,5,20260127,203000,2.55,2.56,2.55,2.56,1178,0
RMCF.US,5,20260127,203500,2.57,2.57,2.57,2.57,580,0
RMCF.US,5,20260127,205500,2.54,2.57,2.54,2.57,300,0
RMCF.US,5,20260127,210500,2.57,2.57,2.565,2.565,3400,0
RMCF.US,5,20260127,211000,2.545,2.59,2.545,2.56,1880,0
RMCF.US,5,20260127,212000,2.565,2.565,2.565,2.565,200,0
RMCF.US,5,20260127,212500,2.5201,2.5201,2.5201,2.5201,2000,0
RMCF.US,5,20260127,213000,2.555,2.555,2.5331,2.5331,325,0
RMCF.US,5,20260127,213500,2.5202,2.5202,2.5202,2.5202,1500,0
RMCF.US,5,20260127,214000,2.5211,2.5211,2.5211,2.5211,250,0
RMCF.US,5,20260127,214500,2.545,2.545,2.38,2.3801,13970,0
RMCF.US,5,20260127,215000,2.425,2.4957,2.4,2.4,9890,0
RMCF.US,5,20260127,215500,2.4567,2.47,2.38,2.41,4080,0
