<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMR.US,5,20260126,153000,15.68,15.68,15.52,15.6,3098,0
RMR.US,5,20260126,153500,15.6,15.74,15.565,15.6,1550,0
RMR.US,5,20260126,154000,15.6,15.62,15.55,15.6,4652,0
RMR.US,5,20260126,154500,15.6,15.6,15.56,15.57,4977,0
RMR.US,5,20260126,155000,15.575,15.6199,15.56,15.6,4105,0
RMR.US,5,20260126,155500,15.57,15.6,15.565,15.565,5585,0
RMR.US,5,20260126,160000,15.5,15.51,15.45,15.45,1498,0
RMR.US,5,20260126,160500,15.445,15.45,15.445,15.45,850,0
RMR.US,5,20260126,161000,15.45,15.4999,15.4168,15.44,3051,0
RMR.US,5,20260126,161500,15.435,15.435,15.31,15.35,8268,0
RMR.US,5,20260126,162000,15.35,15.44,15.31,15.44,7877,0
RMR.US,5,20260126,162500,15.33,15.43,15.18,15.18,10610,0
RMR.US,5,20260126,163000,15.185,15.2,15.12,15.15,2132,0
RMR.US,5,20260126,163500,15.19,15.28,15.17,15.28,5857,0
RMR.US,5,20260126,164000,15.2668,15.3,15.18,15.27,4125,0
RMR.US,5,20260126,164500,15.29,15.3,15.21,15.21,5125,0
RMR.US,5,20260126,165000,15.21,15.3,15.18,15.22,3996,0
RMR.US,5,20260126,165500,15.22,15.26,15.17,15.26,7259,0
RMR.US,5,20260126,170000,15.255,15.27,15.23,15.27,4210,0
RMR.US,5,20260126,170500,15.27,15.27,15.23,15.25,4739,0
RMR.US,5,20260126,171000,15.25,15.26,15.21,15.22,1852,0
RMR.US,5,20260126,171500,15.22,15.27,15.19,15.2327,3988,0
RMR.US,5,20260126,172000,15.22,15.24,15.21,15.23,7475,0
RMR.US,5,20260126,172500,15.24,15.29,15.23,15.29,2509,0
RMR.US,5,20260126,173000,15.31,15.31,15.27,15.28,1993,0
RMR.US,5,20260126,173500,15.285,15.34,15.27,15.325,1700,0
RMR.US,5,20260126,174000,15.3,15.33,15.3,15.315,3034,0
RMR.US,5,20260126,174500,15.315,15.34,15.3,15.33,7467,0
RMR.US,5,20260126,175000,15.32,15.37,15.32,15.33,2311,0
