<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMSG.US,5,20260126,153000,1.23,1.23,1.23,1.23,443,0
RMSG.US,5,20260126,161000,1.2,1.2094,1.2,1.2094,1000,0
RMSG.US,5,20260126,161500,1.2,1.2,1.2,1.2,100,0
RMSG.US,5,20260126,164000,1.2,1.2,1.2,1.2,434,0
RMSG.US,5,20260126,165500,1.1902,1.1902,1.1902,1.1902,500,0
RMSG.US,5,20260126,170000,1.2199,1.2199,1.2199,1.2199,350,0
RMSG.US,5,20260126,175500,1.2,1.2,1.2,1.2,300,0
RMSG.US,5,20260126,182000,1.25,1.25,1.25,1.25,680,0
RMSG.US,5,20260126,192500,1.21,1.21,1.1901,1.1901,4975,0
RMSG.US,5,20260126,193000,1.19,1.2,1.18,1.18,4150,0
RMSG.US,5,20260126,200000,1.23,1.23,1.23,1.23,140,0
RMSG.US,5,20260126,200500,1.2,1.2,1.17,1.17,1326,0
RMSG.US,5,20260126,204000,1.19,1.19,1.18,1.18,249,0
RMSG.US,5,20260126,210000,1.16,1.2,1.16,1.2,392,0
RMSG.US,5,20260126,210500,1.2142,1.2142,1.2142,1.2142,200,0
RMSG.US,5,20260126,211500,1.2196,1.2196,1.2196,1.2196,500,0
RMSG.US,5,20260126,212500,1.1887,1.1887,1.1887,1.1887,2500,0
RMSG.US,5,20260126,214500,1.18,1.18,1.17,1.17,315,0
RMSG.US,5,20260126,215000,1.185,1.185,1.185,1.185,124,0
RMSG.US,5,20260126,215500,1.17,1.17,1.16,1.16,515,0
RMSG.US,5,20260127,153500,1.215,1.215,1.215,1.215,1710,0
RMSG.US,5,20260127,155000,1.17,1.17,1.15,1.15,2450,0
RMSG.US,5,20260127,155500,1.12,1.14,1.1106,1.14,550,0
RMSG.US,5,20260127,161500,1.15,1.15,1.11,1.11,914,0
RMSG.US,5,20260127,162000,1.1229,1.1229,1.1229,1.1229,480,0
RMSG.US,5,20260127,162500,1.16,1.16,1.16,1.16,126,0
RMSG.US,5,20260127,164500,1.135,1.135,1.135,1.135,100,0
RMSG.US,5,20260127,165000,1.15,1.15,1.15,1.15,256,0
RMSG.US,5,20260127,165500,1.16,1.16,1.1566,1.1566,500,0
RMSG.US,5,20260127,170500,1.15,1.15,1.15,1.15,100,0
RMSG.US,5,20260127,173500,1.14,1.14,1.14,1.14,1130,0
RMSG.US,5,20260127,175000,1.12,1.12,1.12,1.12,100,0
RMSG.US,5,20260127,180000,1.14,1.14,1.1111,1.1111,850,0
RMSG.US,5,20260127,180500,1.1206,1.1206,1.1206,1.1206,500,0
RMSG.US,5,20260127,181000,1.1101,1.1105,1.1101,1.1101,1130,0
RMSG.US,5,20260127,181500,1.1101,1.1101,1.1101,1.1101,1000,0
RMSG.US,5,20260127,182000,1.1154,1.1154,1.1154,1.1154,803,0
RMSG.US,5,20260127,182500,1.1188,1.1201,1.11,1.116,3338,0
RMSG.US,5,20260127,183000,1.1101,1.1101,1.11,1.11,522,0
RMSG.US,5,20260127,183500,1.1222,1.1222,1.103,1.1101,6238,0
RMSG.US,5,20260127,184000,1.1086,1.11,1.1,1.11,3992,0
RMSG.US,5,20260127,184500,1.1,1.1,1.09,1.09,2776,0
RMSG.US,5,20260127,185500,1.09,1.09,1.09,1.09,108,0
RMSG.US,5,20260127,190000,1.095,1.1,1.095,1.1,478,0
RMSG.US,5,20260127,191500,1.1,1.105,1.09,1.1,1572,0
RMSG.US,5,20260127,192500,1.1,1.1,1.1,1.1,1000,0
RMSG.US,5,20260127,193000,1.105,1.105,1.105,1.105,418,0
RMSG.US,5,20260127,195000,1.105,1.1099,1.105,1.1099,1100,0
RMSG.US,5,20260127,200500,1.11,1.13,1.11,1.13,700,0
RMSG.US,5,20260127,213500,1.14,1.14,1.14,1.14,100,0
RMSG.US,5,20260127,214500,1.145,1.145,1.145,1.145,678,0
RMSG.US,5,20260127,215000,1.14,1.14,1.14,1.14,225,0
RMSG.US,5,20260127,215500,1.15,1.16,1.13,1.13,2655,0
RMSG.US,5,20260128,153500,1.1317,1.1317,1.1317,1.1317,231,0
RMSG.US,5,20260128,163500,1.132,1.155,1.11,1.11,18552,0
RMSG.US,5,20260128,165500,1.1111,1.1111,1.1111,1.1111,179,0
RMSG.US,5,20260128,172000,1.1,1.1,1.1,1.1,167,0
RMSG.US,5,20260128,172500,1.1,1.1,1.1,1.1,100,0
RMSG.US,5,20260128,173000,1.11,1.11,1.1,1.1,246,0
RMSG.US,5,20260128,173500,1.1,1.1068,1.07,1.07,18329,0
RMSG.US,5,20260128,174000,1.06,1.06,1.06,1.06,200,0
RMSG.US,5,20260128,175000,1.09,1.09,1.08,1.08,1465,0
RMSG.US,5,20260128,180000,1.081,1.081,1.03,1.0363,20953,0
RMSG.US,5,20260128,180500,1.03,1.03,1.02,1.03,1008,0
RMSG.US,5,20260128,181000,1.03,1.03,1.02,1.0238,800,0
RMSG.US,5,20260128,181500,1.0399,1.0399,1.0399,1.0399,350,0
RMSG.US,5,20260128,182000,1.02,1.02,0.99,0.99,2906,0
RMSG.US,5,20260128,183000,1.01,1.02,1.01,1.02,953,0
RMSG.US,5,20260128,184500,1.01,1.0295,1.01,1.0295,1100,0
RMSG.US,5,20260128,185000,1.02,1.02,1.02,1.02,315,0
RMSG.US,5,20260128,185500,1.0599,1.06,1,1,6102,0
RMSG.US,5,20260128,190500,1.02,1.02,1.02,1.02,515,0
RMSG.US,5,20260128,191500,1.0001,1.0001,1,1,567,0
RMSG.US,5,20260128,194000,1.01,1.01,1.01,1.01,100,0
RMSG.US,5,20260128,194500,1.035,1.035,1.01,1.02,4326,0
RMSG.US,5,20260128,195000,1.02,1.03,1.01,1.01,3269,0
RMSG.US,5,20260128,200000,1.02,1.02,1.02,1.02,5953,0
RMSG.US,5,20260128,205500,1.02,1.02,1.02,1.02,100,0
RMSG.US,5,20260128,210500,1.04,1.04,1.04,1.04,110,0
RMSG.US,5,20260128,215000,1.02,1.02,1.02,1.02,100,0
RMSG.US,5,20260128,215500,1.02,1.02,1.02,1.02,300,0
RMSG.US,5,20260129,153000,1.1,1.1,1.0506,1.0506,371,0
RMSG.US,5,20260129,154000,1.05,1.05,1.04,1.04,433,0
RMSG.US,5,20260129,154500,1.04,1.04,1.04,1.04,2213,0
RMSG.US,5,20260129,155000,1.0449,1.0888,1.03,1.0888,4091,0
RMSG.US,5,20260129,155500,1.06,1.06,1.06,1.06,300,0
RMSG.US,5,20260129,160500,1.0301,1.0301,1,1,3925,0
RMSG.US,5,20260129,161000,1,1.0001,0.97,0.9701,7108,0
RMSG.US,5,20260129,161500,0.97,0.97,0.95,0.95,1974,0
RMSG.US,5,20260129,164000,0.9403,0.96,0.9403,0.96,1500,0
RMSG.US,5,20260129,165000,0.97,0.97,0.97,0.97,100,0
RMSG.US,5,20260129,165500,0.966,0.966,0.955,0.955,250,0
RMSG.US,5,20260129,170500,0.9599,0.9599,0.9599,0.9599,100,0
RMSG.US,5,20260129,171000,0.9599,0.9599,0.94,0.94,7909,0
RMSG.US,5,20260129,171500,0.94,0.94,0.94,0.94,1400,0
RMSG.US,5,20260129,172500,0.94001,0.94001,0.94,0.94,492,0
RMSG.US,5,20260129,173000,0.94,0.94,0.94,0.94,200,0
RMSG.US,5,20260129,173500,0.94,0.94,0.9391,0.9391,891,0
RMSG.US,5,20260129,174000,0.94,0.94,0.94,0.94,1009,0
RMSG.US,5,20260129,180000,0.9392,0.9392,0.9392,0.9392,100,0
RMSG.US,5,20260129,181500,0.94,0.94,0.94,0.94,331,0
RMSG.US,5,20260129,183000,0.9392,0.9392,0.9392,0.9392,100,0
RMSG.US,5,20260129,184500,0.9392,0.9392,0.93,0.93,925,0
