<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RNTX.US,5,20260126,153000,1.36,1.375,1.36,1.375,401,0
RNTX.US,5,20260126,155500,1.39,1.43,1.39,1.43,2966,0
RNTX.US,5,20260126,160000,1.41,1.425,1.41,1.425,200,0
RNTX.US,5,20260126,160500,1.4101,1.4111,1.41,1.41,5450,0
RNTX.US,5,20260126,161000,1.42,1.445,1.42,1.44,2601,0
RNTX.US,5,20260126,161500,1.4425,1.445,1.44,1.44,700,0
RNTX.US,5,20260126,162000,1.45,1.48,1.45,1.48,1432,0
RNTX.US,5,20260126,162500,1.4697,1.4697,1.4697,1.4697,541,0
RNTX.US,5,20260126,163000,1.45,1.47,1.45,1.47,1573,0
RNTX.US,5,20260126,164000,1.46,1.46,1.46,1.46,100,0
RNTX.US,5,20260126,165000,1.47,1.47,1.46,1.46,200,0
RNTX.US,5,20260126,165500,1.4693,1.5,1.4693,1.5,2809,0
RNTX.US,5,20260126,170000,1.505,1.505,1.5,1.5,2600,0
RNTX.US,5,20260126,170500,1.5,1.54,1.5,1.53,22609,0
RNTX.US,5,20260126,171000,1.53,1.545,1.53,1.53,2860,0
RNTX.US,5,20260126,171500,1.53,1.53,1.52,1.52,12810,0
RNTX.US,5,20260126,172000,1.548,1.5979,1.54,1.5893,25788,0
RNTX.US,5,20260126,173000,1.56,1.56,1.54,1.56,4430,0
RNTX.US,5,20260126,173500,1.56,1.56,1.55,1.56,3664,0
RNTX.US,5,20260126,174000,1.56,1.565,1.55,1.55,12142,0
RNTX.US,5,20260126,174500,1.5,1.5,1.4715,1.4715,1000,0
RNTX.US,5,20260126,180500,1.48,1.48,1.48,1.48,125,0
RNTX.US,5,20260126,182500,1.5115,1.5115,1.5115,1.5115,100,0
RNTX.US,5,20260126,183000,1.48,1.48,1.48,1.48,3600,0
RNTX.US,5,20260126,183500,1.54,1.54,1.54,1.54,2000,0
RNTX.US,5,20260126,184000,1.5026,1.518,1.5026,1.518,5250,0
RNTX.US,5,20260126,185500,1.54,1.54,1.54,1.54,100,0
RNTX.US,5,20260126,190000,1.549,1.549,1.549,1.549,1535,0
RNTX.US,5,20260126,191000,1.5325,1.5325,1.5325,1.5325,186,0
RNTX.US,5,20260126,191500,1.5062,1.5062,1.5062,1.5062,100,0
RNTX.US,5,20260126,192500,1.52,1.55,1.52,1.55,974,0
RNTX.US,5,20260126,193000,1.55,1.55,1.55,1.55,136,0
RNTX.US,5,20260126,193500,1.5235,1.5235,1.5235,1.5235,1000,0
RNTX.US,5,20260126,195000,1.5297,1.5297,1.5297,1.5297,370,0
RNTX.US,5,20260126,195500,1.54,1.54,1.54,1.54,515,0
RNTX.US,5,20260126,201000,1.54,1.55,1.54,1.55,1515,0
