<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RPRX.US,5,20260126,153000,40.41,40.41,40.26,40.4,50028,0
RPRX.US,5,20260126,153500,40.4,40.48,40.4,40.43,38546,0
RPRX.US,5,20260126,154000,40.43,40.62,40.43,40.595,8592,0
RPRX.US,5,20260126,154500,40.595,40.61,40.47,40.53,14885,0
RPRX.US,5,20260126,155000,40.49,40.585,40.46,40.5385,18281,0
RPRX.US,5,20260126,155500,40.54,40.61,40.46,40.52,13868,0
RPRX.US,5,20260126,160000,40.51,40.52,40.415,40.4301,15932,0
RPRX.US,5,20260126,160500,40.43,40.48,40.41,40.44,31258,0
RPRX.US,5,20260126,161000,40.44,40.475,40.39,40.42,14181,0
RPRX.US,5,20260126,161500,40.42,40.48,40.42,40.47,10204,0
RPRX.US,5,20260126,162000,40.47,40.48,40.41,40.42,20954,0
RPRX.US,5,20260126,162500,40.43,40.43,40.38,40.38,11932,0
RPRX.US,5,20260126,163000,40.38,40.425,40.365,40.42,24433,0
RPRX.US,5,20260126,163500,40.42,40.45,40.4,40.435,36196,0
RPRX.US,5,20260126,164000,40.435,40.44,40.385,40.42,21008,0
RPRX.US,5,20260126,164500,40.42,40.44,40.38,40.395,13367,0
RPRX.US,5,20260126,165000,40.395,40.43,40.3,40.3,15683,0
RPRX.US,5,20260126,165500,40.29,40.35,40.2801,40.33,10226,0
RPRX.US,5,20260126,170000,40.33,40.335,40.225,40.245,22278,0
RPRX.US,5,20260126,170500,40.24,40.255,40.235,40.245,15322,0
RPRX.US,5,20260126,171000,40.245,40.27,40.24,40.26,8016,0
RPRX.US,5,20260126,171500,40.255,40.275,40.23,40.25,11381,0
RPRX.US,5,20260126,172000,40.24,40.26,40.23,40.25,4403,0
RPRX.US,5,20260126,172500,40.2501,40.3,40.2501,40.3,7083,0
RPRX.US,5,20260126,173000,40.3,40.32,40.28,40.31,45294,0
RPRX.US,5,20260126,173500,40.32,40.35,40.3,40.3,10156,0
RPRX.US,5,20260126,174000,40.3,40.35,40.3,40.34,11682,0
RPRX.US,5,20260126,174500,40.33,40.34,40.29,40.305,25736,0
RPRX.US,5,20260126,175000,40.305,40.33,40.24,40.24,26126,0
RPRX.US,5,20260126,175500,40.22,40.29,40.18,40.24,19011,0
RPRX.US,5,20260126,180000,40.26,40.265,40.235,40.25,24533,0
RPRX.US,5,20260126,180500,40.26,40.315,40.26,40.31,17979,0
