<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RVMD.US,5,20260126,153000,93.5,94.67,92.5,94.36,609252,0
RVMD.US,5,20260126,153500,94.49,96.25,94.35,95.2195,465499,0
RVMD.US,5,20260126,154000,95.14,96.4,94.65,96.03,308450,0
RVMD.US,5,20260126,154500,96.075,96.2999,95,95.47,258659,0
RVMD.US,5,20260126,155000,95.535,95.64,93.26,93.43,232723,0
RVMD.US,5,20260126,155500,93.49,94.63,93.24,94.5,177519,0
RVMD.US,5,20260126,160000,94.5,95.06,94.0564,94.62,134166,0
RVMD.US,5,20260126,160500,94.615,95,94.42,94.925,96879,0
RVMD.US,5,20260126,161000,94.925,95.38,94.76,94.79,144903,0
RVMD.US,5,20260126,161500,94.7701,97.1999,94.73,97.1,197775,0
RVMD.US,5,20260126,162000,97.09,98.77,97.01,98.325,253154,0
RVMD.US,5,20260126,162500,98.325,98.6411,96.3101,96.52,111301,0
RVMD.US,5,20260126,163000,96.575,96.575,95.89,96.435,85323,0
RVMD.US,5,20260126,163500,96.475,96.75,95.94,96.45,66989,0
RVMD.US,5,20260126,164000,96.46,96.54,95.96,96.22,108838,0
RVMD.US,5,20260126,164500,96.26,96.75,96.16,96.5,35895,0
RVMD.US,5,20260126,165000,96.52,96.9599,96.26,96.72,41793,0
RVMD.US,5,20260126,165500,96.72,97.4087,96.66,97.35,69794,0
RVMD.US,5,20260126,170000,97.35,97.35,96.82,96.882,79397,0
RVMD.US,5,20260126,170500,96.905,97.78,96.78,97.59,109894,0
RVMD.US,5,20260126,171000,97.5966,98.93,97.5966,98.65,163140,0
RVMD.US,5,20260126,171500,98.72,99.51,98.55,99.1201,174310,0
RVMD.US,5,20260126,172000,99.21,99.36,98.79,98.93,111991,0
RVMD.US,5,20260126,172500,98.85,98.855,97.78,97.91,81839,0
RVMD.US,5,20260126,173000,97.905,98.69,97.9,98.08,47210,0
RVMD.US,5,20260126,173500,98.02,98.62,97.84,98.6,60512,0
RVMD.US,5,20260126,174000,98.46,98.599,96.8,96.93,67139,0
RVMD.US,5,20260126,174500,96.93,97.7,96.8,97.31,132966,0
RVMD.US,5,20260126,175000,97.315,97.53,97.16,97.455,27190,0
RVMD.US,5,20260126,175500,97.455,97.74,97.44,97.475,39469,0
RVMD.US,5,20260126,180000,97.43,97.83,97.38,97.6,41341,0
RVMD.US,5,20260126,180500,97.645,98.27,97.501,98.17,31356,0
RVMD.US,5,20260126,181000,98.11,98.205,97.5,97.66,28496,0
RVMD.US,5,20260126,181500,97.61,97.97,97.52,97.75,30375,0
RVMD.US,5,20260126,182000,97.75,97.8299,97.6,97.755,16531,0
RVMD.US,5,20260126,182500,97.765,97.765,97.29,97.37,43392,0
RVMD.US,5,20260126,183000,97.3,97.38,96.93,97.32,28845,0
RVMD.US,5,20260126,183500,97.37,97.41,97.11,97.145,18014,0
RVMD.US,5,20260126,184000,97.155,97.4535,97.01,97.4535,30941,0
RVMD.US,5,20260126,184500,97.485,97.6036,97.08,97.13,29484,0
RVMD.US,5,20260126,185000,97.18,97.26,97.01,97.15,23635,0
RVMD.US,5,20260126,185500,97.19,97.46,97.18,97.405,15181,0
RVMD.US,5,20260126,190000,97.43,97.49,97.28,97.4,17738,0
RVMD.US,5,20260126,190500,97.36,97.53,97.19,97.3691,20726,0
RVMD.US,5,20260126,191000,97.36,97.39,96.86,96.91,48667,0
RVMD.US,5,20260126,191500,96.94,97.46,96.86,97.345,24293,0
RVMD.US,5,20260126,192000,97.34,97.46,97.2,97.29,17540,0
RVMD.US,5,20260126,192500,97.29,97.54,97.23,97.3561,16850,0
RVMD.US,5,20260126,193000,97.32,97.61,97.32,97.525,16699,0
RVMD.US,5,20260126,193500,97.525,97.6999,97.395,97.45,24771,0
RVMD.US,5,20260126,194000,97.45,97.7,97.45,97.59,23388,0
RVMD.US,5,20260126,194500,97.5239,97.76,97.34,97.4899,25805,0
RVMD.US,5,20260126,195000,97.41,98.1,97.405,97.87,31310,0
RVMD.US,5,20260126,195500,97.84,98.06,97.75,97.7765,21177,0
RVMD.US,5,20260126,200000,97.78,98.09,97.46,97.52,42088,0
RVMD.US,5,20260126,200500,97.52,97.69,97.47,97.655,20610,0
RVMD.US,5,20260126,201000,97.655,97.8,97.57,97.66,31470,0
RVMD.US,5,20260126,201500,97.61,97.66,97.44,97.6,38232,0
RVMD.US,5,20260126,202000,97.64,98.21,97.62,97.835,46685,0
RVMD.US,5,20260126,202500,97.87,97.9,97.7,97.82,17229,0
RVMD.US,5,20260126,203000,97.85,98.21,97.78,97.855,22857,0
RVMD.US,5,20260126,203500,97.85,97.87,97.11,97.3,38033,0
RVMD.US,5,20260126,204000,97.3,97.51,97.19,97.47,28821,0
RVMD.US,5,20260126,204500,97.435,97.5,97.27,97.28,24628,0
RVMD.US,5,20260126,205000,97.275,97.28,96.975,97.28,36654,0
RVMD.US,5,20260126,205500,97.28,97.29,97.02,97.12,25830,0
RVMD.US,5,20260126,210000,97.125,97.365,96.98,97.2,48875,0
RVMD.US,5,20260126,210500,97.21,97.475,97.13,97.38,57667,0
RVMD.US,5,20260126,211000,97.4,97.7,97.2,97.565,50028,0
RVMD.US,5,20260126,211500,97.59,97.805,97.46,97.71,43511,0
RVMD.US,5,20260126,212000,97.71,97.96,97.34,97.58,51507,0
RVMD.US,5,20260126,212500,97.58,98.4389,97.41,98.415,63176,0
RVMD.US,5,20260126,213000,98.38,98.715,98.25,98.6228,58008,0
RVMD.US,5,20260126,213500,98.7,98.72,98.09,98.29,68027,0
RVMD.US,5,20260126,214000,98.29,98.39,98.02,98.385,61571,0
RVMD.US,5,20260126,214500,98.42,98.54,97.855,98.16,69946,0
RVMD.US,5,20260126,215000,98.15,98.4775,97.77,97.93,130178,0
RVMD.US,5,20260126,215500,97.94,97.98,97.65,97.78,630710,0
RVMD.US,5,20260127,153000,98.135,99.5599,97.75,99.215,100179,0
RVMD.US,5,20260127,153500,99.215,101.23,99.01,99.74,95115,0
RVMD.US,5,20260127,154000,99.87,100.35,99.02,99.175,79425,0
RVMD.US,5,20260127,154500,99.155,100.7,99,100.49,127386,0
RVMD.US,5,20260127,155000,100.6,100.71,99.6001,100.6,66632,0
RVMD.US,5,20260127,155500,100.53,100.57,100.201,100.365,32119,0
RVMD.US,5,20260127,160000,100.14,100.335,99.52,100.17,115046,0
RVMD.US,5,20260127,160500,100.105,100.105,98.81,99.27,83061,0
RVMD.US,5,20260127,161000,99.22,99.63,99.04,99.24,21607,0
RVMD.US,5,20260127,161500,99.08,99.16,98.75,98.99,22622,0
RVMD.US,5,20260127,162000,99.035,99.48,99.03,99.365,11306,0
RVMD.US,5,20260127,162500,99.365,100.0684,99.33,99.97,70428,0
RVMD.US,5,20260127,163000,99.97,101.93,99.65,101.67,206580,0
RVMD.US,5,20260127,163500,101.7,101.75,100.35,100.47,73223,0
RVMD.US,5,20260127,164000,100.44,100.59,99.74,99.885,21348,0
RVMD.US,5,20260127,164500,99.75,99.92,99.33,99.44,31297,0
RVMD.US,5,20260127,165000,99.44,99.66,99.41,99.64,10694,0
RVMD.US,5,20260127,165500,99.64,100,99.57,99.99,44083,0
RVMD.US,5,20260127,170000,99.974,99.99,99.68,99.87,6632,0
RVMD.US,5,20260127,170500,99.97,100,99.75,99.75,2399,0
RVMD.US,5,20260127,171000,99.8596,99.91,99.59,99.72,5309,0
RVMD.US,5,20260127,171500,99.735,99.8899,99.68,99.73,4748,0
RVMD.US,5,20260127,172000,99.86,99.9,99.66,99.715,5474,0
RVMD.US,5,20260127,172500,99.715,99.7957,99.64,99.75,6464,0
RVMD.US,5,20260127,173000,99.755,100.01,99.755,99.95,21291,0
RVMD.US,5,20260127,173500,99.92,100.21,99.86,100.03,15091,0
RVMD.US,5,20260127,174000,100.05,100.34,100.025,100.326,12626,0
RVMD.US,5,20260127,174500,100.28,100.39,100.05,100.1,17957,0
RVMD.US,5,20260127,175000,100.1,100.11,100.02,100.0999,3540,0
RVMD.US,5,20260127,175500,100.055,100.205,100.055,100.1072,11700,0
RVMD.US,5,20260127,180000,100.109,100.42,100.06,100.2,9360,0
RVMD.US,5,20260127,180500,100.2,100.265,99.87,100.24,19644,0
RVMD.US,5,20260127,181000,100.2051,100.81,100.2051,100.745,75493,0
RVMD.US,5,20260127,181500,100.75,100.93,100.39,100.805,18093,0
RVMD.US,5,20260127,182000,100.81,100.81,99.98,99.98,12246,0
RVMD.US,5,20260127,182500,99.98,100.25,99.88,100.215,15632,0
RVMD.US,5,20260127,183000,100.205,100.205,99.97,100.07,29971,0
RVMD.US,5,20260127,183500,99.98,100.0499,99.84,99.89,13041,0
RVMD.US,5,20260127,184000,100.04,100.04,99.75,99.875,8812,0
RVMD.US,5,20260127,184500,99.89,99.98,99.82,99.96,4471,0
RVMD.US,5,20260127,185000,99.965,100.03,99.71,99.715,22137,0
RVMD.US,5,20260127,185500,99.75,99.75,99.615,99.66,4243,0
RVMD.US,5,20260127,190000,99.65,99.86,99.645,99.855,5130,0
RVMD.US,5,20260127,190500,99.855,99.855,99.25,99.315,13558,0
RVMD.US,5,20260127,191000,99.31,99.52,99.3,99.475,15412,0
RVMD.US,5,20260127,191500,99.495,99.58,99.4,99.58,2700,0
RVMD.US,5,20260127,192000,99.58,99.75,99.55,99.74,3989,0
RVMD.US,5,20260127,192500,99.74,99.91,99.74,99.76,5827,0
