<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RYAAY.US,5,20260126,153000,68.73,69.195,68.37,68.675,102155,0
RYAAY.US,5,20260126,153500,68.665,69.05,68.52,68.5699,77014,0
RYAAY.US,5,20260126,154000,68.655,69,68.5001,68.745,116778,0
RYAAY.US,5,20260126,154500,68.82,69.36,68.715,69.31,26277,0
RYAAY.US,5,20260126,155000,69.29,69.75,69.215,69.67,29931,0
RYAAY.US,5,20260126,155500,69.675,70.02,69.67,69.805,80294,0
RYAAY.US,5,20260126,160000,69.825,69.87,69.645,69.76,34523,0
RYAAY.US,5,20260126,160500,69.755,69.94,69.73,69.89,10189,0
RYAAY.US,5,20260126,161000,69.92,70.165,69.915,70.09,31491,0
RYAAY.US,5,20260126,161500,70.12,70.2,69.97,70.03,46840,0
RYAAY.US,5,20260126,162000,70.03,70.07,69.965,69.965,19612,0
RYAAY.US,5,20260126,162500,69.96,69.98,69.72,69.73,11062,0
RYAAY.US,5,20260126,163000,69.735,69.965,69.735,69.965,6575,0
RYAAY.US,5,20260126,163500,69.9,69.94,69.66,69.72,16766,0
RYAAY.US,5,20260126,164000,69.7,69.9,69.7,69.77,14693,0
RYAAY.US,5,20260126,164500,69.8,69.9,69.78,69.87,3845,0
RYAAY.US,5,20260126,165000,69.89,70.1,69.89,70.06,8331,0
RYAAY.US,5,20260126,165500,70.0991,70.1,69.92,69.95,23448,0
RYAAY.US,5,20260126,170000,69.95,70.08,69.86,69.86,13332,0
RYAAY.US,5,20260126,170500,69.87,69.885,69.5015,69.61,47458,0
RYAAY.US,5,20260126,171000,69.57,69.7,69.365,69.365,40362,0
RYAAY.US,5,20260126,171500,69.365,69.42,69.11,69.1775,15666,0
RYAAY.US,5,20260126,172000,69.18,69.28,69.135,69.135,10895,0
RYAAY.US,5,20260126,172500,69.18,69.19,69.04,69.075,3193,0
RYAAY.US,5,20260126,173000,69.07,69.1,68.97,68.99,15090,0
RYAAY.US,5,20260126,173500,68.99,69.05,68.73,68.73,37776,0
RYAAY.US,5,20260126,174000,68.73,68.76,68.68,68.6801,8726,0
RYAAY.US,5,20260126,174500,68.715,68.81,68.5695,68.5695,15108,0
RYAAY.US,5,20260126,175000,68.575,68.71,68.53,68.655,10707,0
RYAAY.US,5,20260126,175500,68.72,68.81,68.64,68.64,15045,0
RYAAY.US,5,20260126,180000,68.635,68.86,68.63,68.86,5528,0
RYAAY.US,5,20260126,180500,68.855,68.86,68.795,68.82,3515,0
RYAAY.US,5,20260126,181000,68.84,68.84,68.75,68.78,15829,0
RYAAY.US,5,20260126,181500,68.81,68.825,68.63,68.665,26327,0
RYAAY.US,5,20260126,182000,68.685,68.86,68.65,68.84,28954,0
RYAAY.US,5,20260126,182500,68.84,68.895,68.835,68.835,7210,0
RYAAY.US,5,20260126,183000,68.88,68.94,68.825,68.88,8845,0
RYAAY.US,5,20260126,183500,68.89,68.89,68.785,68.785,7471,0
RYAAY.US,5,20260126,184000,68.78,68.79,68.61,68.625,26762,0
RYAAY.US,5,20260126,184500,68.625,68.75,68.625,68.705,6750,0
RYAAY.US,5,20260126,185000,68.705,68.7384,68.63,68.665,16505,0
RYAAY.US,5,20260126,185500,68.665,68.685,68.64,68.665,2865,0
RYAAY.US,5,20260126,190000,68.665,68.71,68.62,68.645,18341,0
RYAAY.US,5,20260126,190500,68.645,68.645,68.38,68.5,33400,0
RYAAY.US,5,20260126,191000,68.465,68.52,68.41,68.455,15940,0
RYAAY.US,5,20260126,191500,68.43,68.48,68.4,68.41,15861,0
RYAAY.US,5,20260126,192000,68.41,68.46,68.305,68.34,20383,0
RYAAY.US,5,20260126,192500,68.34,68.4,68.33,68.33,6779,0
RYAAY.US,5,20260126,193000,68.33,68.36,68.28,68.33,9868,0
RYAAY.US,5,20260126,193500,68.305,68.43,68.305,68.36,33329,0
RYAAY.US,5,20260126,194000,68.345,68.52,68.34,68.4,25122,0
RYAAY.US,5,20260126,194500,68.4,68.42,68.34,68.34,11416,0
RYAAY.US,5,20260126,195000,68.34,68.34,68.265,68.285,11778,0
RYAAY.US,5,20260126,195500,68.285,68.355,68.26,68.335,18145,0
RYAAY.US,5,20260126,200000,68.335,68.415,68.31,68.33,12901,0
RYAAY.US,5,20260126,200500,68.33,68.385,68.275,68.35,19382,0
RYAAY.US,5,20260126,201000,68.4,68.44,68.385,68.385,7399,0
RYAAY.US,5,20260126,201500,68.39,68.41,68.305,68.41,4546,0
RYAAY.US,5,20260126,202000,68.405,68.46,68.37,68.46,12426,0
RYAAY.US,5,20260126,202500,68.46,68.48,68.4017,68.4349,8846,0
RYAAY.US,5,20260126,203000,68.42,68.48,68.39,68.39,4822,0
RYAAY.US,5,20260126,203500,68.42,68.49,68.3,68.41,17629,0
RYAAY.US,5,20260126,204000,68.48,68.54,68.465,68.465,4612,0
RYAAY.US,5,20260126,204500,68.46,68.54,68.395,68.465,4623,0
RYAAY.US,5,20260126,205000,68.47,68.6,68.465,68.545,14755,0
RYAAY.US,5,20260126,205500,68.525,68.66,68.525,68.62,2860,0
RYAAY.US,5,20260126,210000,68.61,68.71,68.55,68.625,5039,0
RYAAY.US,5,20260126,210500,68.64,68.7,68.59,68.66,8845,0
RYAAY.US,5,20260126,211000,68.63,68.7,68.63,68.655,7663,0
RYAAY.US,5,20260126,211500,68.655,68.655,68.47,68.625,15054,0
RYAAY.US,5,20260126,212000,68.59,68.625,68.54,68.58,27517,0
RYAAY.US,5,20260126,212500,68.58,68.6,68.57,68.6,13399,0
RYAAY.US,5,20260126,213000,68.61,68.655,68.48,68.56,20983,0
RYAAY.US,5,20260126,213500,68.56,68.58,68.45,68.48,25788,0
RYAAY.US,5,20260126,214000,68.48,68.58,68.475,68.565,12824,0
RYAAY.US,5,20260126,214500,68.565,68.6,68.51,68.57,32441,0
RYAAY.US,5,20260126,215000,68.56,68.685,68.47,68.68,58532,0
RYAAY.US,5,20260126,215500,68.68,69.04,68.625,69,353919,0
RYAAY.US,5,20260127,153000,68.87,69.16,68.63,68.695,64255,0
