<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SATA.US,5,20260126,153000,97,97.44,96.7,97.44,13612,0
SATA.US,5,20260126,153500,96.85,97.41,96.745,97,25499,0
SATA.US,5,20260126,154000,96.745,97,96.745,97,6446,0
SATA.US,5,20260126,154500,96.985,97,96.918,97,3354,0
SATA.US,5,20260126,155000,97.0925,97.27,96.98,97,5796,0
SATA.US,5,20260126,155500,96.98,97.21,96.95,97.08,1280,0
SATA.US,5,20260126,160000,97.08,97.11979,96.95,97.01,3197,0
SATA.US,5,20260126,160500,97,97,97,97,100,0
SATA.US,5,20260126,161000,96.97,96.97,96.85,96.85,2552,0
SATA.US,5,20260126,161500,96.957,96.957,96.957,96.957,460,0
SATA.US,5,20260126,162000,96.97,97,96.81,97,3184,0
SATA.US,5,20260126,162500,97,97,97,97,200,0
SATA.US,5,20260126,163000,96.9,96.9,96.9,96.9,104,0
SATA.US,5,20260126,164000,96.59,96.59,96.59,96.59,693,0
SATA.US,5,20260126,164500,96.51,96.55,96.51,96.55,500,0
SATA.US,5,20260126,170000,96.7,96.7,96.7,96.7,572,0
SATA.US,5,20260126,170500,96.7472,96.7472,96.7371,96.7371,450,0
SATA.US,5,20260126,171000,96.78,96.84,96.6,96.74,1224,0
SATA.US,5,20260126,171500,96.6001,96.6001,96.6001,96.6001,250,0
SATA.US,5,20260126,172000,96.79,96.79,96.63,96.63,666,0
SATA.US,5,20260126,172500,96.7,96.7,96.61,96.62,1400,0
SATA.US,5,20260126,173000,96.6,96.79,96.6,96.79,1032,0
SATA.US,5,20260126,173500,96.6,96.61,96.5,96.5,25579,0
SATA.US,5,20260126,174000,96.49,96.49,96.49,96.49,130,0
SATA.US,5,20260126,174500,96.45,96.45,96.26,96.26,997,0
SATA.US,5,20260126,175000,96.35,96.35,96.26,96.26,200,0
SATA.US,5,20260126,180000,96.45,96.49,96.36,96.48,500,0
SATA.US,5,20260126,180500,96.49,96.5,96.21,96.22,1204,0
SATA.US,5,20260126,181000,96.29,96.29,96.2,96.215,6579,0
SATA.US,5,20260126,181500,96.22,96.345,96.2,96.22,8874,0
SATA.US,5,20260126,182000,96.2,96.2,96.2,96.2,100,0
SATA.US,5,20260126,182500,96.345,96.3595,96.345,96.3595,411,0
SATA.US,5,20260126,183000,96.22,96.345,96.22,96.345,359,0
SATA.US,5,20260126,183500,96.44,96.44,96.24,96.241,700,0
SATA.US,5,20260126,184000,96.49,96.49,96.34,96.34,704,0
SATA.US,5,20260126,184500,96.42,96.42,96.36,96.4,600,0
SATA.US,5,20260126,185000,96.4,96.4,96.36,96.36,396,0
SATA.US,5,20260126,185500,96.42,96.42,96.42,96.42,250,0
SATA.US,5,20260126,190000,96.42,96.45,96.37,96.435,1245,0
SATA.US,5,20260126,191000,96.38,96.38,96.28,96.28,800,0
SATA.US,5,20260126,191500,96.24,96.348,96.2,96.348,1059,0
SATA.US,5,20260126,192000,96.201,96.201,96.2,96.2,276,0
SATA.US,5,20260126,192500,96.2675,96.2675,96.2,96.2,350,0
SATA.US,5,20260126,193000,96.25,96.25,96.2,96.2,1108,0
SATA.US,5,20260126,193500,96.25,96.25,96.25,96.25,200,0
SATA.US,5,20260126,195000,96.35,96.35,96.3,96.3,400,0
SATA.US,5,20260126,195500,96.35,96.35,96.35,96.35,200,0
SATA.US,5,20260126,200000,96.295,96.35,96.25,96.3,2729,0
SATA.US,5,20260126,201500,96.34,96.34,96.3,96.3,200,0
SATA.US,5,20260126,202500,96.295,96.295,96.295,96.295,135,0
SATA.US,5,20260126,203000,96.35,96.35,96.35,96.35,100,0
SATA.US,5,20260126,203500,96.35,96.355,96.251,96.35,1509,0
SATA.US,5,20260126,204000,96.25,96.25,96.25,96.25,100,0
SATA.US,5,20260126,204500,96.35,96.4,96.26,96.26,500,0
SATA.US,5,20260126,205000,96.35,96.45,96.29,96.4,2494,0
SATA.US,5,20260126,205500,96.4,96.46,96.251,96.39,3179,0
SATA.US,5,20260126,210000,96.46,96.46,96.4215,96.46,840,0
SATA.US,5,20260126,210500,96.46,96.5,96.4568,96.46,3451,0
SATA.US,5,20260126,211000,96.5,96.5,96.475,96.48,3711,0
SATA.US,5,20260126,211500,96.45,96.45,96.45,96.45,400,0
SATA.US,5,20260126,212000,96.5,96.5,96.45,96.45,308,0
SATA.US,5,20260126,212500,96.49,96.5,96.405,96.405,669,0
SATA.US,5,20260126,213000,96.4997,96.5,96.31,96.31,1550,0
SATA.US,5,20260126,213500,96.4999,96.4999,96.4999,96.4999,100,0
SATA.US,5,20260126,214000,96.5,96.5,96.41,96.41,786,0
SATA.US,5,20260126,214500,96.5,96.5,96.473,96.473,918,0
SATA.US,5,20260126,215000,96.475,96.5,96.47,96.47,7570,0
