<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCAG.US,5,20260126,191500,2.6205,2.6205,2.6205,2.6205,200,0
SCAG.US,5,20260126,194000,2.42,2.42,2.42,2.42,100,0
SCAG.US,5,20260126,210000,2.546,2.546,2.546,2.546,100,0
SCAG.US,5,20260126,215500,2.46,2.46,2.46,2.46,750,0
SCAG.US,5,20260127,153500,2.46,2.46,2.46,2.46,100,0
SCAG.US,5,20260127,154000,2.48,2.48,2.48,2.48,105,0
SCAG.US,5,20260127,163000,2.5697,2.5697,2.5697,2.5697,200,0
SCAG.US,5,20260127,195000,2.56,2.56,2.56,2.56,266,0
SCAG.US,5,20260128,160000,2.5225,2.5225,2.5225,2.5225,325,0
SCAG.US,5,20260128,181500,2.53,2.53,2.53,2.53,200,0
SCAG.US,5,20260128,182000,2.53,2.53,2.53,2.53,248,0
SCAG.US,5,20260128,185000,2.53,2.53,2.53,2.53,100,0
SCAG.US,5,20260128,192500,2.53,2.53,2.53,2.53,121,0
SCAG.US,5,20260128,195000,2.53,2.53,2.53,2.53,200,0
SCAG.US,5,20260128,205000,2.53,2.53,2.53,2.53,154,0
SCAG.US,5,20260128,215000,2.51,2.51,2.51,2.51,181,0
SCAG.US,5,20260128,215500,2.46,2.46,2.46,2.46,200,0
SCAG.US,5,20260129,155500,2.6116,2.6116,2.6116,2.6116,322,0
SCAG.US,5,20260129,171500,2.4701,2.4701,2.4701,2.4701,598,0
SCAG.US,5,20260129,172000,2.4701,2.4701,2.4701,2.4701,402,0
SCAG.US,5,20260129,172500,2.54,2.54,2.54,2.54,200,0
SCAG.US,5,20260129,191500,2.47,2.47,2.47,2.47,159,0
SCAG.US,5,20260129,201500,2.4148,2.4148,2.4148,2.4148,200,0
SCAG.US,5,20260130,153000,2.4,2.4,2.4,2.4,564,0
SCAG.US,5,20260130,160500,2.4913,2.4913,2.4913,2.4913,560,0
SCAG.US,5,20260130,173000,2.35,2.35,2.35,2.35,300,0
SCAG.US,5,20260130,190500,2.35,2.35,2.35,2.35,500,0
SCAG.US,5,20260130,191500,2.37,2.37,2.3506,2.3506,300,0
SCAG.US,5,20260130,192000,2.37,2.37,2.3506,2.37,486,0
SCAG.US,5,20260130,214000,2.385,2.385,2.385,2.385,200,0
SCAG.US,5,20260130,214500,2.392,2.392,2.392,2.392,100,0
SCAG.US,5,20260202,154000,2.5076,2.5076,2.5076,2.5076,100,0
SCAG.US,5,20260202,155500,2.5543,2.5543,2.5543,2.5543,632,0
SCAG.US,5,20260202,201000,2.35,2.35,2.35,2.35,171,0
SCAG.US,5,20260203,161000,2.2887,2.2887,2.25,2.25,1206,0
SCAG.US,5,20260203,162500,2.25,2.2899,2.25,2.2899,569,0
SCAG.US,5,20260203,171500,2.21,2.21,2.21,2.21,307,0
SCAG.US,5,20260203,174500,2.2,2.2,2.2,2.2,100,0
SCAG.US,5,20260203,195000,2.2,2.2,2.2,2.2,1094,0
SCAG.US,5,20260203,200000,2.2,2.2,2.2,2.2,499,0
SCAG.US,5,20260203,211500,2.2,2.2,2.2,2.2,200,0
SCAG.US,5,20260203,214000,2.22,2.22,2.22,2.22,746,0
SCAG.US,5,20260204,155000,2.2,2.2,2.2,2.2,191,0
SCAG.US,5,20260204,180000,2.19,2.19,2.15,2.15,300,0
SCAG.US,5,20260204,181500,2.17,2.19,2.17,2.18,700,0
SCAG.US,5,20260204,184500,2.18,2.18,2.18,2.18,1100,0
SCAG.US,5,20260204,185000,1.95,1.95,1.95,1.95,200,0
SCAG.US,5,20260204,185500,2.065,2.065,2.065,2.065,170,0
