<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCZM.US,5,20260126,153000,17.645,17.645,16.2101,16.41,106006,0
SCZM.US,5,20260126,153500,16.41,17.61,16.33,16.8518,62552,0
SCZM.US,5,20260126,154000,16.95,17.2675,16.6572,16.92,24138,0
SCZM.US,5,20260126,154500,16.71,16.8999,16.6552,16.775,21804,0
SCZM.US,5,20260126,155000,16.775,17.39,16.71,17.205,86120,0
SCZM.US,5,20260126,155500,17.27,17.38,17.1,17.16,19407,0
SCZM.US,5,20260126,160000,17.1,17.135,16.68,16.809,27559,0
SCZM.US,5,20260126,160500,16.69,16.9199,16.6798,16.7,27884,0
SCZM.US,5,20260126,161000,16.7,16.8499,16.5,16.5683,21802,0
SCZM.US,5,20260126,161500,16.64,16.64,16.3,16.37,22847,0
SCZM.US,5,20260126,162000,16.418,16.5599,16.31,16.31,26533,0
SCZM.US,5,20260126,162500,16.3001,16.5,16.3,16.4696,16476,0
SCZM.US,5,20260126,163000,16.4,16.5499,16.26,16.31,29251,0
SCZM.US,5,20260126,163500,16.32,16.43,16.28,16.29,7817,0
SCZM.US,5,20260126,164000,16.25,16.37,16.22,16.325,13385,0
SCZM.US,5,20260126,164500,16.3174,16.805,16.3174,16.78,17719,0
SCZM.US,5,20260126,165000,16.8214,16.8599,16.58,16.6634,8704,0
SCZM.US,5,20260126,165500,16.69,16.825,16.6,16.645,9119,0
SCZM.US,5,20260126,170000,16.6,16.6,16.35,16.395,19524,0
SCZM.US,5,20260126,170500,16.45,16.63,16.42,16.49,16738,0
SCZM.US,5,20260126,171000,16.55,16.575,16.51,16.53,2190,0
SCZM.US,5,20260126,171500,16.5675,16.57,16.48,16.48,6834,0
SCZM.US,5,20260126,172000,16.505,16.58,16.48,16.58,7909,0
SCZM.US,5,20260126,172500,16.58,16.69,16.31,16.43,44531,0
SCZM.US,5,20260126,173000,16.435,16.54,16.32,16.5,4136,0
SCZM.US,5,20260126,173500,16.44,16.59,16.44,16.48,6271,0
SCZM.US,5,20260126,174000,16.53,16.615,16.41,16.455,6991,0
SCZM.US,5,20260126,174500,16.454,16.7,16.454,16.7,4737,0
SCZM.US,5,20260126,175000,16.7,16.89,16.63,16.74,19180,0
SCZM.US,5,20260126,175500,16.735,16.87,16.6301,16.75,12339,0
SCZM.US,5,20260126,180000,16.75,16.96,16.75,16.95,7332,0
SCZM.US,5,20260126,180500,16.9499,16.95,16.8,16.85,7395,0
