<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDHIU.US,5,20260204,190000,10.48,10.48,10.48,10.48,100,0
SDHIU.US,5,20260205,185500,10.55,10.55,10.55,10.55,200,0
SDHIU.US,5,20260211,175000,10.5,10.5,10.5,10.5,50000,0
SDHIU.US,5,20260302,170500,10.7,10.7,10.7,10.7,100,0
SDHIU.US,5,20260302,185000,10.59,10.59,10.59,10.59,100,0
SDHIU.US,5,20260302,191500,10.5,10.5,10.5,10.5,100,0
SDHIU.US,5,20260309,153000,10.48,10.48,10.48,10.48,100,0
SDHIU.US,5,20260402,163500,9.6,9.6,9.6,9.6,100,0
SDHIU.US,5,20260406,153000,10.31,10.31,10.31,10.31,555,0
SDHIU.US,5,20260406,161000,10.5,10.51,10.5,10.51,300,0
SDHIU.US,5,20260406,200000,10.5,10.5,10.5,10.5,400,0
SDHIU.US,5,20260430,184500,10.64,10.64,10.64,10.64,900,0
SDHIU.US,5,20260521,202000,10.6,10.6,10.6,10.6,100,0
SDHIU.US,5,20260527,212500,10.53,10.53,10.53,10.53,107,0
SDHIU.US,5,20260617,153000,10.6,10.6,10.6,10.6,100,0
